,Unnamed: 0,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,18.0,2020-04-13,1 wk ahead cum death,2020-04-18,US,US,point,,31647.198
1,19.0,2020-04-13,2 wk ahead cum death,2020-04-25,US,US,point,,51036.09099999999
2,20.0,2020-04-13,3 wk ahead cum death,2020-05-02,US,US,point,,70037.94975
3,21.0,2020-04-13,4 wk ahead cum death,2020-05-09,US,US,point,,88911.994
4,22.0,2020-04-13,5 wk ahead cum death,2020-05-16,US,US,point,,105921.02475
5,23.0,2020-04-13,6 wk ahead cum death,2020-05-23,US,US,point,,120663.354
6,942.0,2020-04-13,1 wk ahead cum death,2020-04-18,01,Alabama,point,,152.23832162630399
7,943.0,2020-04-13,2 wk ahead cum death,2020-04-25,01,Alabama,point,,243.473905939223
8,944.0,2020-04-13,3 wk ahead cum death,2020-05-02,01,Alabama,point,,338.592072259522
9,945.0,2020-04-13,4 wk ahead cum death,2020-05-09,01,Alabama,point,,428.445974253916
10,946.0,2020-04-13,5 wk ahead cum death,2020-05-16,01,Alabama,point,,506.20857725417693
11,947.0,2020-04-13,6 wk ahead cum death,2020-05-23,01,Alabama,point,,577.753080752729
12,948.0,2020-04-13,1 wk ahead cum death,2020-04-18,10,Delaware,point,,51.86810266278921
13,949.0,2020-04-13,2 wk ahead cum death,2020-04-25,10,Delaware,point,,71.2961344206246
14,950.0,2020-04-13,3 wk ahead cum death,2020-05-02,10,Delaware,point,,89.92783391006
15,951.0,2020-04-13,4 wk ahead cum death,2020-05-09,10,Delaware,point,,107.75670900696699
16,952.0,2020-04-13,5 wk ahead cum death,2020-05-16,10,Delaware,point,,123.940929254089
17,953.0,2020-04-13,6 wk ahead cum death,2020-05-23,10,Delaware,point,,138.46635910780898
18,954.0,2020-04-13,1 wk ahead cum death,2020-04-18,11,District of Columbia,point,,75.239499215125
19,955.0,2020-04-13,2 wk ahead cum death,2020-04-25,11,District of Columbia,point,,103.07595711158001
20,956.0,2020-04-13,3 wk ahead cum death,2020-05-02,11,District of Columbia,point,,127.223719978571
21,957.0,2020-04-13,4 wk ahead cum death,2020-05-09,11,District of Columbia,point,,145.23480351315
22,958.0,2020-04-13,5 wk ahead cum death,2020-05-16,11,District of Columbia,point,,159.609789192163
23,959.0,2020-04-13,6 wk ahead cum death,2020-05-23,11,District of Columbia,point,,171.308267544065
24,960.0,2020-04-13,1 wk ahead cum death,2020-04-18,12,Florida,point,,796.3888646352742
25,961.0,2020-04-13,2 wk ahead cum death,2020-04-25,12,Florida,point,,1291.47527498432
26,962.0,2020-04-13,3 wk ahead cum death,2020-05-02,12,Florida,point,,1873.49373762436
27,963.0,2020-04-13,4 wk ahead cum death,2020-05-09,12,Florida,point,,2490.23681737261
28,964.0,2020-04-13,5 wk ahead cum death,2020-05-16,12,Florida,point,,3005.76526088086
29,965.0,2020-04-13,6 wk ahead cum death,2020-05-23,12,Florida,point,,3382.3232357643797
30,966.0,2020-04-13,1 wk ahead cum death,2020-04-18,13,Georgia,point,,717.419908145202
31,967.0,2020-04-13,2 wk ahead cum death,2020-04-25,13,Georgia,point,,1107.92783642603
32,968.0,2020-04-13,3 wk ahead cum death,2020-05-02,13,Georgia,point,,1542.9604221659
33,969.0,2020-04-13,4 wk ahead cum death,2020-05-09,13,Georgia,point,,1972.65725616987
34,970.0,2020-04-13,5 wk ahead cum death,2020-05-16,13,Georgia,point,,2325.14073746855
35,971.0,2020-04-13,6 wk ahead cum death,2020-05-23,13,Georgia,point,,2583.1494876441297
36,972.0,2020-04-13,1 wk ahead cum death,2020-04-18,15,Hawaii,point,,18.226149248719803
37,973.0,2020-04-13,2 wk ahead cum death,2020-04-25,15,Hawaii,point,,33.6048274923309
38,974.0,2020-04-13,3 wk ahead cum death,2020-05-02,15,Hawaii,point,,44.73223100851211
39,975.0,2020-04-13,4 wk ahead cum death,2020-05-09,15,Hawaii,point,,49.5188674554758
40,976.0,2020-04-13,5 wk ahead cum death,2020-05-16,15,Hawaii,point,,51.244453067380114
41,977.0,2020-04-13,6 wk ahead cum death,2020-05-23,15,Hawaii,point,,52.409001349358995
42,978.0,2020-04-13,1 wk ahead cum death,2020-04-18,16,Idaho,point,,34.785474088197304
43,979.0,2020-04-13,2 wk ahead cum death,2020-04-25,16,Idaho,point,,44.895862784492394
44,980.0,2020-04-13,3 wk ahead cum death,2020-05-02,16,Idaho,point,,52.39951101403621
45,981.0,2020-04-13,4 wk ahead cum death,2020-05-09,16,Idaho,point,,56.424842055445396
46,982.0,2020-04-13,5 wk ahead cum death,2020-05-16,16,Idaho,point,,58.123301411512784
47,983.0,2020-04-13,6 wk ahead cum death,2020-05-23,16,Idaho,point,,59.5783311947712
