,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-04-12,1 day ahead cum death,2020-04-13,01,Alabama,point,,47
1,2020-04-12,1 day ahead cum death,2020-04-13,02,Alaska,point,,12
2,2020-04-12,1 day ahead cum death,2020-04-13,04,Arizona,point,,203
3,2020-04-12,1 day ahead cum death,2020-04-13,05,Arkansas,point,,11
4,2020-04-12,1 day ahead cum death,2020-04-13,06,California,point,,1259
5,2020-04-12,1 day ahead cum death,2020-04-13,08,Colorado,point,,322
6,2020-04-12,1 day ahead cum death,2020-04-13,09,Connecticut,point,,455
7,2020-04-12,1 day ahead cum death,2020-04-13,10,Delaware,point,,27
8,2020-04-12,1 day ahead cum death,2020-04-13,12,Florida,point,,923
9,2020-04-12,1 day ahead cum death,2020-04-13,13,Georgia,point,,265
10,2020-04-12,1 day ahead cum death,2020-04-13,15,Hawaii,point,,14
11,2020-04-12,1 day ahead cum death,2020-04-13,16,Idaho,point,,0
12,2020-04-12,1 day ahead cum death,2020-04-13,17,Illinois,point,,875
13,2020-04-12,1 day ahead cum death,2020-04-13,18,Indiana,point,,132
14,2020-04-12,1 day ahead cum death,2020-04-13,19,Iowa,point,,19
15,2020-04-12,1 day ahead cum death,2020-04-13,20,Kansas,point,,24
16,2020-04-12,1 day ahead cum death,2020-04-13,21,Kentucky,point,,33
17,2020-04-12,1 day ahead cum death,2020-04-13,22,Louisiana,point,,407
18,2020-04-12,1 day ahead cum death,2020-04-13,23,Maine,point,,22
19,2020-04-12,1 day ahead cum death,2020-04-13,24,Maryland,point,,163
20,2020-04-12,1 day ahead cum death,2020-04-13,25,Massachusetts,point,,880
21,2020-04-12,1 day ahead cum death,2020-04-13,26,Michigan,point,,1271
22,2020-04-12,1 day ahead cum death,2020-04-13,27,Minnesota,point,,42
23,2020-04-12,1 day ahead cum death,2020-04-13,28,Mississippi,point,,10
24,2020-04-12,1 day ahead cum death,2020-04-13,29,Missouri,point,,136
25,2020-04-12,1 day ahead cum death,2020-04-13,30,Montana,point,,18
26,2020-04-12,1 day ahead cum death,2020-04-13,31,Nebraska,point,,6
27,2020-04-12,1 day ahead cum death,2020-04-13,32,Nevada,point,,50
28,2020-04-12,1 day ahead cum death,2020-04-13,33,New Hampshire,point,,36
29,2020-04-12,1 day ahead cum death,2020-04-13,34,New Jersey,point,,1989
30,2020-04-12,1 day ahead cum death,2020-04-13,35,New Mexico,point,,20
31,2020-04-12,1 day ahead cum death,2020-04-13,36,New York,point,,10729
32,2020-04-12,1 day ahead cum death,2020-04-13,37,North Carolina,point,,136
33,2020-04-12,1 day ahead cum death,2020-04-13,38,North Dakota,point,,0
34,2020-04-12,1 day ahead cum death,2020-04-13,39,Ohio,point,,123
35,2020-04-12,1 day ahead cum death,2020-04-13,40,Oklahoma,point,,35
36,2020-04-12,1 day ahead cum death,2020-04-13,41,Oregon,point,,80
37,2020-04-12,1 day ahead cum death,2020-04-13,42,Pennsylvania,point,,615
38,2020-04-12,1 day ahead cum death,2020-04-13,44,Rhode Island,point,,36
39,2020-04-12,1 day ahead cum death,2020-04-13,45,South Carolina,point,,76
40,2020-04-12,1 day ahead cum death,2020-04-13,46,South Dakota,point,,8
41,2020-04-12,1 day ahead cum death,2020-04-13,47,Tennessee,point,,175
42,2020-04-12,1 day ahead cum death,2020-04-13,48,Texas,point,,317
43,2020-04-12,1 day ahead cum death,2020-04-13,49,Utah,point,,57
44,2020-04-12,1 day ahead cum death,2020-04-13,50,Vermont,point,,35
45,2020-04-12,1 day ahead cum death,2020-04-13,51,Virginia,point,,73
46,2020-04-12,1 day ahead cum death,2020-04-13,53,Washington,point,,583
47,2020-04-12,1 day ahead cum death,2020-04-13,54,West Virginia,point,,0
48,2020-04-12,1 day ahead cum death,2020-04-13,55,Wisconsin,point,,133
49,2020-04-12,1 day ahead cum death,2020-04-13,56,Wyoming,point,,0
50,2020-04-12,1 day ahead cum death,2020-04-13,US,US,point,,23361
1224,2020-04-12,1 day ahead inc death,2020-04-13,01,Alabama,point,,10
1225,2020-04-12,1 day ahead inc death,2020-04-13,02,Alaska,point,,2
1226,2020-04-12,1 day ahead inc death,2020-04-13,04,Arizona,point,,36
1227,2020-04-12,1 day ahead inc death,2020-04-13,05,Arkansas,point,,2
1228,2020-04-12,1 day ahead inc death,2020-04-13,06,California,point,,131
1229,2020-04-12,1 day ahead inc death,2020-04-13,08,Colorado,point,,48
1230,2020-04-12,1 day ahead inc death,2020-04-13,09,Connecticut,point,,73
1231,2020-04-12,1 day ahead inc death,2020-04-13,10,Delaware,point,,4
1232,2020-04-12,1 day ahead inc death,2020-04-13,12,Florida,point,,142
1233,2020-04-12,1 day ahead inc death,2020-04-13,13,Georgia,point,,33
1234,2020-04-12,1 day ahead inc death,2020-04-13,15,Hawaii,point,,1
1235,2020-04-12,1 day ahead inc death,2020-04-13,16,Idaho,point,,0
1236,2020-04-12,1 day ahead inc death,2020-04-13,17,Illinois,point,,132
1237,2020-04-12,1 day ahead inc death,2020-04-13,18,Indiana,point,,21
1238,2020-04-12,1 day ahead inc death,2020-04-13,19,Iowa,point,,2
1239,2020-04-12,1 day ahead inc death,2020-04-13,20,Kansas,point,,4
1240,2020-04-12,1 day ahead inc death,2020-04-13,21,Kentucky,point,,4
1241,2020-04-12,1 day ahead inc death,2020-04-13,22,Louisiana,point,,48
1242,2020-04-12,1 day ahead inc death,2020-04-13,23,Maine,point,,4
1243,2020-04-12,1 day ahead inc death,2020-04-13,24,Maryland,point,,22
1244,2020-04-12,1 day ahead inc death,2020-04-13,25,Massachusetts,point,,132
1245,2020-04-12,1 day ahead inc death,2020-04-13,26,Michigan,point,,244
1246,2020-04-12,1 day ahead inc death,2020-04-13,27,Minnesota,point,,7
1247,2020-04-12,1 day ahead inc death,2020-04-13,28,Mississippi,point,,2
1248,2020-04-12,1 day ahead inc death,2020-04-13,29,Missouri,point,,26
1249,2020-04-12,1 day ahead inc death,2020-04-13,30,Montana,point,,3
1250,2020-04-12,1 day ahead inc death,2020-04-13,31,Nebraska,point,,0
1251,2020-04-12,1 day ahead inc death,2020-04-13,32,Nevada,point,,6
1252,2020-04-12,1 day ahead inc death,2020-04-13,33,New Hampshire,point,,4
1253,2020-04-12,1 day ahead inc death,2020-04-13,34,New Jersey,point,,299
1254,2020-04-12,1 day ahead inc death,2020-04-13,35,New Mexico,point,,2
1255,2020-04-12,1 day ahead inc death,2020-04-13,36,New York,point,,1538
1256,2020-04-12,1 day ahead inc death,2020-04-13,37,North Carolina,point,,28
1257,2020-04-12,1 day ahead inc death,2020-04-13,38,North Dakota,point,,0
1258,2020-04-12,1 day ahead inc death,2020-04-13,39,Ohio,point,,14
1259,2020-04-12,1 day ahead inc death,2020-04-13,40,Oklahoma,point,,6
1260,2020-04-12,1 day ahead inc death,2020-04-13,41,Oregon,point,,11
1261,2020-04-12,1 day ahead inc death,2020-04-13,42,Pennsylvania,point,,99
1262,2020-04-12,1 day ahead inc death,2020-04-13,44,Rhode Island,point,,5
1263,2020-04-12,1 day ahead inc death,2020-04-13,45,South Carolina,point,,10
1264,2020-04-12,1 day ahead inc death,2020-04-13,46,South Dakota,point,,1
1265,2020-04-12,1 day ahead inc death,2020-04-13,47,Tennessee,point,,24
1266,2020-04-12,1 day ahead inc death,2020-04-13,48,Texas,point,,53
1267,2020-04-12,1 day ahead inc death,2020-04-13,49,Utah,point,,8
1268,2020-04-12,1 day ahead inc death,2020-04-13,50,Vermont,point,,7
