,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-06-14,1 day ahead cum death,2020-06-15,01,Alabama,point,,807
1,2020-06-14,1 day ahead cum death,2020-06-15,02,Alaska,point,,12
2,2020-06-14,1 day ahead cum death,2020-06-15,04,Arizona,point,,1261
3,2020-06-14,1 day ahead cum death,2020-06-15,05,Arkansas,point,,186
4,2020-06-14,1 day ahead cum death,2020-06-15,06,California,point,,5270
5,2020-06-14,1 day ahead cum death,2020-06-15,08,Colorado,point,,1613
6,2020-06-14,1 day ahead cum death,2020-06-15,09,Connecticut,point,,4206
7,2020-06-14,1 day ahead cum death,2020-06-15,10,Delaware,point,,425
8,2020-06-14,1 day ahead cum death,2020-06-15,11,District of Columbia,point,,518
9,2020-06-14,1 day ahead cum death,2020-06-15,12,Florida,point,,3036
10,2020-06-14,1 day ahead cum death,2020-06-15,13,Georgia,point,,2493
11,2020-06-14,1 day ahead cum death,2020-06-15,15,Hawaii,point,,17
12,2020-06-14,1 day ahead cum death,2020-06-15,16,Idaho,point,,87
13,2020-06-14,1 day ahead cum death,2020-06-15,17,Illinois,point,,6365
14,2020-06-14,1 day ahead cum death,2020-06-15,18,Indiana,point,,2448
15,2020-06-14,1 day ahead cum death,2020-06-15,19,Iowa,point,,671
16,2020-06-14,1 day ahead cum death,2020-06-15,20,Kansas,point,,248
17,2020-06-14,1 day ahead cum death,2020-06-15,21,Kentucky,point,,511
18,2020-06-14,1 day ahead cum death,2020-06-15,22,Louisiana,point,,3024
19,2020-06-14,1 day ahead cum death,2020-06-15,23,Maine,point,,102
20,2020-06-14,1 day ahead cum death,2020-06-15,24,Maryland,point,,2976
21,2020-06-14,1 day ahead cum death,2020-06-15,25,Massachusetts,point,,7644
22,2020-06-14,1 day ahead cum death,2020-06-15,26,Michigan,point,,6064
23,2020-06-14,1 day ahead cum death,2020-06-15,27,Minnesota,point,,1365
24,2020-06-14,1 day ahead cum death,2020-06-15,28,Mississippi,point,,914
25,2020-06-14,1 day ahead cum death,2020-06-15,29,Missouri,point,,897
26,2020-06-14,1 day ahead cum death,2020-06-15,30,Montana,point,,18
27,2020-06-14,1 day ahead cum death,2020-06-15,31,Nebraska,point,,227
28,2020-06-14,1 day ahead cum death,2020-06-15,32,Nevada,point,,466
29,2020-06-14,1 day ahead cum death,2020-06-15,33,New Hampshire,point,,323
30,2020-06-14,1 day ahead cum death,2020-06-15,34,New Jersey,point,,12682
31,2020-06-14,1 day ahead cum death,2020-06-15,35,New Mexico,point,,440
32,2020-06-14,1 day ahead cum death,2020-06-15,36,New York,point,,30872
33,2020-06-14,1 day ahead cum death,2020-06-15,37,North Carolina,point,,1202
34,2020-06-14,1 day ahead cum death,2020-06-15,38,North Dakota,point,,75
35,2020-06-14,1 day ahead cum death,2020-06-15,39,Ohio,point,,2591
36,2020-06-14,1 day ahead cum death,2020-06-15,40,Oklahoma,point,,364
37,2020-06-14,1 day ahead cum death,2020-06-15,41,Oregon,point,,176
38,2020-06-14,1 day ahead cum death,2020-06-15,42,Pennsylvania,point,,6259
39,2020-06-14,1 day ahead cum death,2020-06-15,44,Rhode Island,point,,840
40,2020-06-14,1 day ahead cum death,2020-06-15,45,South Carolina,point,,637
41,2020-06-14,1 day ahead cum death,2020-06-15,46,South Dakota,point,,81
42,2020-06-14,1 day ahead cum death,2020-06-15,47,Tennessee,point,,499
43,2020-06-14,1 day ahead cum death,2020-06-15,48,Texas,point,,2043
44,2020-06-14,1 day ahead cum death,2020-06-15,49,Utah,point,,147
45,2020-06-14,1 day ahead cum death,2020-06-15,50,Vermont,point,,55
46,2020-06-14,1 day ahead cum death,2020-06-15,51,Virginia,point,,1600
47,2020-06-14,1 day ahead cum death,2020-06-15,53,Washington,point,,1226
48,2020-06-14,1 day ahead cum death,2020-06-15,54,West Virginia,point,,88
49,2020-06-14,1 day ahead cum death,2020-06-15,55,Wisconsin,point,,712
50,2020-06-14,1 day ahead cum death,2020-06-15,56,Wyoming,point,,18
51,2020-06-14,1 day ahead cum death,2020-06-15,US,US,point,,116964
1248,2020-06-14,1 day ahead inc death,2020-06-15,01,Alabama,point,,18
1249,2020-06-14,1 day ahead inc death,2020-06-15,02,Alaska,point,,0
1250,2020-06-14,1 day ahead inc death,2020-06-15,04,Arizona,point,,37
1251,2020-06-14,1 day ahead inc death,2020-06-15,05,Arkansas,point,,5
1252,2020-06-14,1 day ahead inc death,2020-06-15,06,California,point,,97
1253,2020-06-14,1 day ahead inc death,2020-06-15,08,Colorado,point,,8
1254,2020-06-14,1 day ahead inc death,2020-06-15,09,Connecticut,point,,9
1255,2020-06-14,1 day ahead inc death,2020-06-15,10,Delaware,point,,3
1256,2020-06-14,1 day ahead inc death,2020-06-15,11,District of Columbia,point,,3
1257,2020-06-14,1 day ahead inc death,2020-06-15,12,Florida,point,,57
1258,2020-06-14,1 day ahead inc death,2020-06-15,13,Georgia,point,,22
1259,2020-06-14,1 day ahead inc death,2020-06-15,15,Hawaii,point,,0
1260,2020-06-14,1 day ahead inc death,2020-06-15,16,Idaho,point,,0
1261,2020-06-14,1 day ahead inc death,2020-06-15,17,Illinois,point,,37
1262,2020-06-14,1 day ahead inc death,2020-06-15,18,Indiana,point,,17
1263,2020-06-14,1 day ahead inc death,2020-06-15,19,Iowa,point,,11
1264,2020-06-14,1 day ahead inc death,2020-06-15,20,Kansas,point,,2
1265,2020-06-14,1 day ahead inc death,2020-06-15,21,Kentucky,point,,6
1266,2020-06-14,1 day ahead inc death,2020-06-15,22,Louisiana,point,,10
1267,2020-06-14,1 day ahead inc death,2020-06-15,23,Maine,point,,1
1268,2020-06-14,1 day ahead inc death,2020-06-15,24,Maryland,point,,25
1269,2020-06-14,1 day ahead inc death,2020-06-15,25,Massachusetts,point,,32
1270,2020-06-14,1 day ahead inc death,2020-06-15,26,Michigan,point,,25
1271,2020-06-14,1 day ahead inc death,2020-06-15,27,Minnesota,point,,25
1272,2020-06-14,1 day ahead inc death,2020-06-15,28,Mississippi,point,,12
1273,2020-06-14,1 day ahead inc death,2020-06-15,29,Missouri,point,,6
1274,2020-06-14,1 day ahead inc death,2020-06-15,30,Montana,point,,0
1275,2020-06-14,1 day ahead inc death,2020-06-15,31,Nebraska,point,,6
1276,2020-06-14,1 day ahead inc death,2020-06-15,32,Nevada,point,,2
1277,2020-06-14,1 day ahead inc death,2020-06-15,33,New Hampshire,point,,2
1278,2020-06-14,1 day ahead inc death,2020-06-15,34,New Jersey,point,,30
1279,2020-06-14,1 day ahead inc death,2020-06-15,35,New Mexico,point,,4
1280,2020-06-14,1 day ahead inc death,2020-06-15,36,New York,point,,37
1281,2020-06-14,1 day ahead inc death,2020-06-15,37,North Carolina,point,,37
1282,2020-06-14,1 day ahead inc death,2020-06-15,38,North Dakota,point,,0
1283,2020-06-14,1 day ahead inc death,2020-06-15,39,Ohio,point,,16
1284,2020-06-14,1 day ahead inc death,2020-06-15,40,Oklahoma,point,,3
1285,2020-06-14,1 day ahead inc death,2020-06-15,41,Oregon,point,,1
1286,2020-06-14,1 day ahead inc death,2020-06-15,42,Pennsylvania,point,,23
1287,2020-06-14,1 day ahead inc death,2020-06-15,44,Rhode Island,point,,3
1288,2020-06-14,1 day ahead inc death,2020-06-15,45,South Carolina,point,,19
1289,2020-06-14,1 day ahead inc death,2020-06-15,46,South Dakota,point,,3
1290,2020-06-14,1 day ahead inc death,2020-06-15,47,Tennessee,point,,13
1291,2020-06-14,1 day ahead inc death,2020-06-15,48,Texas,point,,36
1292,2020-06-14,1 day ahead inc death,2020-06-15,49,Utah,point,,4
1293,2020-06-14,1 day ahead inc death,2020-06-15,50,Vermont,point,,0
1294,2020-06-14,1 day ahead inc death,2020-06-15,51,Virginia,point,,29
1295,2020-06-14,1 day ahead inc death,2020-06-15,53,Washington,point,,6
1296,2020-06-14,1 day ahead inc death,2020-06-15,54,West Virginia,point,,0
1297,2020-06-14,1 day ahead inc death,2020-06-15,55,Wisconsin,point,,11
1298,2020-06-14,1 day ahead inc death,2020-06-15,56,Wyoming,point,,0
1299,2020-06-14,1 day ahead inc death,2020-06-15,US,US,point,,761
2496,2020-06-14,1 day ahead inc hosp,2020-06-15,01,Alabama,point,,70
2497,2020-06-14,1 day ahead inc hosp,2020-06-15,02,Alaska,point,,2
2498,2020-06-14,1 day ahead inc hosp,2020-06-15,04,Arizona,point,,168
