,forecast_date,target,target_end_date,location,location_name,type,quantile,value,Unnamed: 0
924,2020-05-09,1 day ahead cum death,2020-05-10,1,Alabama,point,,422.4190917755927,
925,2020-05-09,2 day ahead cum death,2020-05-11,1,Alabama,point,,437.0611585761094,
926,2020-05-09,3 day ahead cum death,2020-05-12,1,Alabama,point,,451.8466459496845,
927,2020-05-09,4 day ahead cum death,2020-05-13,1,Alabama,point,,466.7725740344178,
928,2020-05-09,5 day ahead cum death,2020-05-14,1,Alabama,point,,481.8371633898607,
929,2020-05-09,6 day ahead cum death,2020-05-15,1,Alabama,point,,497.0386345755641,
930,2020-05-09,7 day ahead cum death,2020-05-16,1,Alabama,point,,512.375416691601,
931,2020-05-09,8 day ahead cum death,2020-05-17,1,Alabama,point,,527.8469877217632,
932,2020-05-09,9 day ahead cum death,2020-05-18,1,Alabama,point,,543.4523716536702,
933,2020-05-09,10 day ahead cum death,2020-05-19,1,Alabama,point,,559.1891221271153,
934,2020-05-09,11 day ahead cum death,2020-05-20,1,Alabama,point,,575.0556784027216,
935,2020-05-09,12 day ahead cum death,2020-05-21,1,Alabama,point,,591.0504797411122,
936,2020-05-09,13 day ahead cum death,2020-05-22,1,Alabama,point,,607.1721144086548,
937,2020-05-09,14 day ahead cum death,2020-05-23,1,Alabama,point,,623.4197617768389,
938,2020-05-09,1 day ahead inc death,2020-05-10,1,Alabama,point,,14.498340508272106,
939,2020-05-09,2 day ahead inc death,2020-05-11,1,Alabama,point,,14.642066800516693,
940,2020-05-09,3 day ahead inc death,2020-05-12,1,Alabama,point,,14.785487373575158,
941,2020-05-09,4 day ahead inc death,2020-05-13,1,Alabama,point,,14.925928084733323,
942,2020-05-09,5 day ahead inc death,2020-05-14,1,Alabama,point,,15.064589355442825,
943,2020-05-09,6 day ahead inc death,2020-05-15,1,Alabama,point,,15.20147118570342,
944,2020-05-09,7 day ahead inc death,2020-05-16,1,Alabama,point,,15.336782116036888,
945,2020-05-09,8 day ahead inc death,2020-05-17,1,Alabama,point,,15.471571030162105,
946,2020-05-09,9 day ahead inc death,2020-05-18,1,Alabama,point,,15.605383931907106,
947,2020-05-09,10 day ahead inc death,2020-05-19,1,Alabama,point,,15.7367504734451,
948,2020-05-09,11 day ahead inc death,2020-05-20,1,Alabama,point,,15.866556275606325,
949,2020-05-09,12 day ahead inc death,2020-05-21,1,Alabama,point,,15.994801338390571,
950,2020-05-09,13 day ahead inc death,2020-05-22,1,Alabama,point,,16.12163466754278,
951,2020-05-09,14 day ahead inc death,2020-05-23,1,Alabama,point,,16.24764736818393,
952,2020-05-09,1 day ahead inc hosp,2020-05-10,1,Alabama,point,,66.27579540601387,
953,2020-05-09,2 day ahead inc hosp,2020-05-11,1,Alabama,point,,66.89870801866093,
