,Unnamed: 0,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,0.0,2020-05-04,1 wk ahead inc death,2020-05-09,US,US,point,,16724.92
1,24.0,2020-05-04,1 wk ahead cum death,2020-05-09,US,US,point,,78592.9174
2,48.0,2020-05-04,2 wk ahead inc death,2020-05-16,US,US,point,,25469.61
3,72.0,2020-05-04,2 wk ahead cum death,2020-05-16,US,US,point,,104062.5245
4,96.0,2020-05-04,1 wk ahead inc death,2020-05-09,01,AL,point,,57.38
5,120.0,2020-05-04,1 wk ahead cum death,2020-05-09,01,AL,point,,311.3802
6,144.0,2020-05-04,2 wk ahead inc death,2020-05-16,01,AL,point,,24.74
7,168.0,2020-05-04,2 wk ahead cum death,2020-05-16,01,AL,point,,336.1203
8,192.0,2020-05-04,1 wk ahead inc death,2020-05-09,05,AR,point,,17.97
9,216.0,2020-05-04,1 wk ahead cum death,2020-05-09,05,AR,point,,91.3415
10,240.0,2020-05-04,2 wk ahead inc death,2020-05-16,05,AR,point,,27.49
11,264.0,2020-05-04,2 wk ahead cum death,2020-05-16,05,AR,point,,118.82799999999999
12,288.0,2020-05-04,1 wk ahead inc death,2020-05-09,06,CA,point,,275.74
13,312.0,2020-05-04,1 wk ahead cum death,2020-05-09,06,CA,point,,2263.2412
14,336.0,2020-05-04,2 wk ahead inc death,2020-05-16,06,CA,point,,1482.5
15,360.0,2020-05-04,2 wk ahead cum death,2020-05-16,06,CA,point,,3745.7423
16,384.0,2020-05-04,1 wk ahead inc death,2020-05-09,08,CO,point,,101.96
17,408.0,2020-05-04,1 wk ahead cum death,2020-05-09,08,CO,point,,863.9575
18,432.0,2020-05-04,2 wk ahead inc death,2020-05-16,08,CO,point,,69.12
19,456.0,2020-05-04,2 wk ahead cum death,2020-05-16,08,CO,point,,933.0762
20,480.0,2020-05-04,1 wk ahead inc death,2020-05-09,09,CT,point,,309.67
21,504.0,2020-05-04,1 wk ahead cum death,2020-05-09,09,CT,point,,2477.6728
22,528.0,2020-05-04,2 wk ahead inc death,2020-05-16,09,CT,point,,505.48
23,552.0,2020-05-04,2 wk ahead cum death,2020-05-16,09,CT,point,,2983.1504
24,576.0,2020-05-04,1 wk ahead inc death,2020-05-09,10,DE,point,,33.73
25,600.0,2020-05-04,1 wk ahead cum death,2020-05-09,10,DE,point,,177.727
26,624.0,2020-05-04,2 wk ahead inc death,2020-05-16,10,DE,point,,52.35
27,648.0,2020-05-04,2 wk ahead cum death,2020-05-16,10,DE,point,,230.0817
28,672.0,2020-05-04,1 wk ahead inc death,2020-05-09,11,DC,point,,79.76
29,696.0,2020-05-04,1 wk ahead cum death,2020-05-09,11,DC,point,,287.2585
30,720.0,2020-05-04,2 wk ahead inc death,2020-05-16,11,DC,point,,49.34
31,744.0,2020-05-04,2 wk ahead cum death,2020-05-16,11,DC,point,,336.5942
32,768.0,2020-05-04,1 wk ahead inc death,2020-05-09,12,FL,point,,70.36
33,792.0,2020-05-04,1 wk ahead cum death,2020-05-09,12,FL,point,,1310.358
34,816.0,2020-05-04,2 wk ahead inc death,2020-05-16,12,FL,point,,204.2
