,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,point,,2239.0
24,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,point,,2482.0
48,2020-05-31,3 wk ahead cum death,2020-06-20,13,GA,point,,2803.333333
72,2020-05-31,4 wk ahead cum death,2020-06-27,13,GA,point,,3235.333333
96,2020-05-31,1 wk ahead inc death,2020-06-06,13,GA,point,,179.33333330000002
120,2020-05-31,2 wk ahead inc death,2020-06-13,13,GA,point,,243.0
144,2020-05-31,3 wk ahead inc death,2020-06-20,13,GA,point,,321.3333333
168,2020-05-31,4 wk ahead inc death,2020-06-27,13,GA,point,,432.0
0,2020-06-07,1 wk ahead inc death,2020-06-13,13,GA,point,,166.0
24,2020-06-07,2 wk ahead inc death,2020-06-20,13,GA,point,,193.0
48,2020-06-07,3 wk ahead inc death,2020-06-27,13,GA,point,,218.0
72,2020-06-07,4 wk ahead inc death,2020-07-04,13,GA,point,,263.0
96,2020-06-07,1 wk ahead cum death,2020-06-13,13,GA,point,,2383.333333
120,2020-06-07,2 wk ahead cum death,2020-06-20,13,GA,point,,2576.333333
144,2020-06-07,3 wk ahead cum death,2020-06-27,13,GA,point,,2794.333333
168,2020-06-07,4 wk ahead cum death,2020-07-04,13,GA,point,,3057.333333
0,2020-06-14,1 wk ahead inc death,2020-06-20,13,GA,point,,193.0
24,2020-06-14,2 wk ahead inc death,2020-06-27,13,GA,point,,218.0
48,2020-06-14,3 wk ahead inc death,2020-07-04,13,GA,point,,263.0
72,2020-06-14,4 wk ahead inc death,2020-07-11,13,GA,point,,329.0
96,2020-06-14,1 wk ahead cum death,2020-06-20,13,GA,point,,2576.333333
120,2020-06-14,2 wk ahead cum death,2020-06-27,13,GA,point,,2794.333333
144,2020-06-14,3 wk ahead cum death,2020-07-04,13,GA,point,,3057.333333
168,2020-06-14,4 wk ahead cum death,2020-07-11,13,GA,point,,3386.333333
192,2020-06-14,1 wk ahead inc death,2020-06-20,37,NC,point,,179.66666669999998
216,2020-06-14,2 wk ahead inc death,2020-06-27,37,NC,point,,243.66666669999998
240,2020-06-14,3 wk ahead inc death,2020-07-04,37,NC,point,,376.0
264,2020-06-14,4 wk ahead inc death,2020-07-11,37,NC,point,,516.3333333
288,2020-06-14,1 wk ahead cum death,2020-06-20,37,NC,point,,1269.666667
312,2020-06-14,2 wk ahead cum death,2020-06-27,37,NC,point,,1513.333333
336,2020-06-14,3 wk ahead cum death,2020-07-04,37,NC,point,,1889.3333329999998
360,2020-06-14,4 wk ahead cum death,2020-07-11,37,NC,point,,2405.666667
0,2020-06-21,1 wk ahead inc death,2020-06-27,13,GA,point,,218.0
24,2020-06-21,2 wk ahead inc death,2020-07-04,13,GA,point,,263.0
48,2020-06-21,3 wk ahead inc death,2020-07-11,13,GA,point,,329.0
72,2020-06-21,4 wk ahead inc death,2020-07-18,13,GA,point,,407.0
96,2020-06-21,1 wk ahead cum death,2020-06-27,13,GA,point,,2794.333333
120,2020-06-21,2 wk ahead cum death,2020-07-04,13,GA,point,,3057.333333
144,2020-06-21,3 wk ahead cum death,2020-07-11,13,GA,point,,3386.333333
168,2020-06-21,4 wk ahead cum death,2020-07-18,13,GA,point,,3793.333333
192,2020-06-21,1 wk ahead inc death,2020-06-27,37,NC,point,,243.66666669999998
216,2020-06-21,2 wk ahead inc death,2020-07-04,37,NC,point,,376.0
240,2020-06-21,3 wk ahead inc death,2020-07-11,37,NC,point,,516.3333333
264,2020-06-21,4 wk ahead inc death,2020-07-18,37,NC,point,,699.0
288,2020-06-21,1 wk ahead cum death,2020-06-27,37,NC,point,,1513.333333
312,2020-06-21,2 wk ahead cum death,2020-07-04,37,NC,point,,1889.3333329999998
336,2020-06-21,3 wk ahead cum death,2020-07-11,37,NC,point,,2405.666667
360,2020-06-21,4 wk ahead cum death,2020-07-18,37,NC,point,,3104.666667
