,forecast_date,target,target_end_date,location,type,quantile,value
0,2020-03-15,1 day ahead cum death,2020-03-16,US,point,,72
1,2020-03-15,1 day ahead inc death,2020-03-16,US,point,,12
2,2020-03-15,1 wk ahead cum death,2020-03-21,US,point,,203
3,2020-03-15,1 wk ahead inc death,2020-03-21,US,point,,39
4,2020-03-15,2 day ahead cum death,2020-03-17,US,point,,88
5,2020-03-15,2 day ahead inc death,2020-03-17,US,point,,16
6,2020-03-15,3 day ahead cum death,2020-03-18,US,point,,108
7,2020-03-15,3 day ahead inc death,2020-03-18,US,point,,19
8,2020-03-15,4 day ahead cum death,2020-03-19,US,point,,133
9,2020-03-15,4 day ahead inc death,2020-03-19,US,point,,24
10,2020-03-15,5 day ahead cum death,2020-03-20,US,point,,164
11,2020-03-15,5 day ahead inc death,2020-03-20,US,point,,31
12,2020-03-15,6 day ahead cum death,2020-03-21,US,point,,203
13,2020-03-15,6 day ahead inc death,2020-03-21,US,point,,39
14,2020-03-15,7 day ahead cum death,2020-03-22,US,point,,252
15,2020-03-15,7 day ahead inc death,2020-03-22,US,point,,49
0,2020-03-22,1 day ahead cum death,2020-03-23,US,point,,557
1,2020-03-22,1 day ahead inc death,2020-03-23,US,point,,130
2,2020-03-22,1 wk ahead cum death,2020-03-28,US,point,,2736
3,2020-03-22,1 wk ahead inc death,2020-03-28,US,point,,793
4,2020-03-22,2 day ahead cum death,2020-03-24,US,point,,745
5,2020-03-22,2 day ahead inc death,2020-03-24,US,point,,189
6,2020-03-22,3 day ahead cum death,2020-03-25,US,point,,1013
7,2020-03-22,3 day ahead inc death,2020-03-25,US,point,,268
8,2020-03-22,4 day ahead cum death,2020-03-26,US,point,,1397
9,2020-03-22,4 day ahead inc death,2020-03-26,US,point,,385
10,2020-03-22,5 day ahead cum death,2020-03-27,US,point,,1947
11,2020-03-22,5 day ahead inc death,2020-03-27,US,point,,552
12,2020-03-22,6 day ahead cum death,2020-03-28,US,point,,2736
13,2020-03-22,6 day ahead inc death,2020-03-28,US,point,,793
14,2020-03-22,7 day ahead cum death,2020-03-29,US,point,,3876
15,2020-03-22,7 day ahead inc death,2020-03-29,US,point,,1142
0,2020-03-29,1 day ahead cum death,2020-03-30,US,point,,3212
1,2020-03-29,1 day ahead inc death,2020-03-30,US,point,,647
2,2020-03-29,1 wk ahead cum death,2020-04-04,US,point,,10401
3,2020-03-29,1 wk ahead inc death,2020-04-04,US,point,,2090
4,2020-03-29,2 day ahead cum death,2020-03-31,US,point,,4033
5,2020-03-29,2 day ahead inc death,2020-03-31,US,point,,827
6,2020-03-29,3 day ahead cum death,2020-04-01,US,point,,5087
7,2020-03-29,3 day ahead inc death,2020-04-01,US,point,,1058
8,2020-03-29,4 day ahead cum death,2020-04-02,US,point,,6440
9,2020-03-29,4 day ahead inc death,2020-04-02,US,point,,1356
10,2020-03-29,5 day ahead cum death,2020-04-03,US,point,,8175
11,2020-03-29,5 day ahead inc death,2020-04-03,US,point,,1713
12,2020-03-29,6 day ahead cum death,2020-04-04,US,point,,10401
13,2020-03-29,6 day ahead inc death,2020-04-04,US,point,,2090
14,2020-03-29,7 day ahead cum death,2020-04-05,US,point,,13204
15,2020-03-29,7 day ahead inc death,2020-04-05,US,point,,2510
0,2020-04-05,1 day ahead cum death,2020-04-06,US,point,,11143
1,2020-04-05,1 day ahead inc death,2020-04-06,US,point,,1654
2,2020-04-05,1 wk ahead cum death,2020-04-11,US,point,,24309
3,2020-04-05,1 wk ahead inc death,2020-04-11,US,point,,3486
4,2020-04-05,2 day ahead cum death,2020-04-07,US,point,,13032
5,2020-04-05,2 day ahead inc death,2020-04-07,US,point,,1905
6,2020-04-05,3 day ahead cum death,2020-04-08,US,point,,15248
7,2020-04-05,3 day ahead inc death,2020-04-08,US,point,,2216
8,2020-04-05,4 day ahead cum death,2020-04-09,US,point,,17824
9,2020-04-05,4 day ahead inc death,2020-04-09,US,point,,2576
10,2020-04-05,5 day ahead cum death,2020-04-10,US,point,,20823
11,2020-04-05,5 day ahead inc death,2020-04-10,US,point,,2997
12,2020-04-05,6 day ahead cum death,2020-04-11,US,point,,24309
13,2020-04-05,6 day ahead inc death,2020-04-11,US,point,,3486
14,2020-04-05,7 day ahead cum death,2020-04-12,US,point,,28365
15,2020-04-05,7 day ahead inc death,2020-04-12,US,point,,4055
0,2020-04-12,1 day ahead cum death,2020-04-13,US,point,,24400
1,2020-04-12,1 day ahead inc death,2020-04-13,US,point,,2371
2,2020-04-12,1 wk ahead cum death,2020-04-18,US,point,,38773
3,2020-04-12,1 wk ahead inc death,2020-04-18,US,point,,3313
4,2020-04-12,2 day ahead cum death,2020-04-14,US,point,,26876
5,2020-04-12,2 day ahead inc death,2020-04-14,US,point,,2501
6,2020-04-12,3 day ahead cum death,2020-04-15,US,point,,29507
7,2020-04-12,3 day ahead inc death,2020-04-15,US,point,,2673
8,2020-04-12,4 day ahead cum death,2020-04-16,US,point,,32380
9,2020-04-12,4 day ahead inc death,2020-04-16,US,point,,2871
10,2020-04-12,5 day ahead cum death,2020-04-17,US,point,,35459
11,2020-04-12,5 day ahead inc death,2020-04-17,US,point,,3083
12,2020-04-12,6 day ahead cum death,2020-04-18,US,point,,38773
13,2020-04-12,6 day ahead inc death,2020-04-18,US,point,,3313
14,2020-04-12,7 day ahead cum death,2020-04-19,US,point,,42333
15,2020-04-12,7 day ahead inc death,2020-04-19,US,point,,3558
0,2020-04-19,1 day ahead cum death,2020-04-20,US,point,,44265
1,2020-04-19,1 day ahead inc death,2020-04-20,US,point,,3604
2,2020-04-19,1 wk ahead cum death,2020-04-25,US,point,,66597
3,2020-04-19,1 wk ahead inc death,2020-04-25,US,point,,5095
4,2020-04-19,2 day ahead cum death,2020-04-21,US,point,,48133
5,2020-04-19,2 day ahead inc death,2020-04-21,US,point,,3854
6,2020-04-19,3 day ahead cum death,2020-04-22,US,point,,52282
7,2020-04-19,3 day ahead inc death,2020-04-22,US,point,,4108
8,2020-04-19,4 day ahead cum death,2020-04-23,US,point,,56729
9,2020-04-19,4 day ahead inc death,2020-04-23,US,point,,4414
10,2020-04-19,5 day ahead cum death,2020-04-24,US,point,,61490
11,2020-04-19,5 day ahead inc death,2020-04-24,US,point,,4744
12,2020-04-19,6 day ahead cum death,2020-04-25,US,point,,66597
13,2020-04-19,6 day ahead inc death,2020-04-25,US,point,,5095
14,2020-04-19,7 day ahead cum death,2020-04-26,US,point,,72084
15,2020-04-19,7 day ahead inc death,2020-04-26,US,point,,5475
0,2020-04-26,1 day ahead cum death,2020-04-27,US,point,,56923
1,2020-04-26,1 day ahead inc death,2020-04-27,US,point,,2042
2,2020-04-26,1 wk ahead cum death,2020-05-02,US,point,,66837
3,2020-04-26,1 wk ahead inc death,2020-05-02,US,point,,1908
