,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-04-26,1 day ahead cum death,2020-04-27,1,Alabama,point,,230.0
3,2020-04-26,1 day ahead cum death,2020-04-27,4,Arizona,point,,303.0
6,2020-04-26,1 day ahead cum death,2020-04-27,5,Arkansas,point,,57.0
9,2020-04-26,1 day ahead cum death,2020-04-27,6,California,point,,1873.0
12,2020-04-26,1 day ahead cum death,2020-04-27,8,Colorado,point,,726.0
15,2020-04-26,1 day ahead cum death,2020-04-27,9,Connecticut,point,,2010.0
18,2020-04-26,1 day ahead cum death,2020-04-27,10,Delaware,point,,138.0
21,2020-04-26,1 day ahead cum death,2020-04-27,11,District of Columbia,point,,195.0
24,2020-04-26,1 day ahead cum death,2020-04-27,12,Florida,point,,1171.0
27,2020-04-26,1 day ahead cum death,2020-04-27,13,Georgia,point,,959.0
30,2020-04-26,1 day ahead cum death,2020-04-27,16,Idaho,point,,62.0
33,2020-04-26,1 day ahead cum death,2020-04-27,17,Illinois,point,,2083.0
36,2020-04-26,1 day ahead cum death,2020-04-27,18,Indiana,point,,855.0
39,2020-04-26,1 day ahead cum death,2020-04-27,19,Iowa,point,,135.0
42,2020-04-26,1 day ahead cum death,2020-04-27,20,Kansas,point,,127.0
45,2020-04-26,1 day ahead cum death,2020-04-27,21,Kentucky,point,,221.0
48,2020-04-26,1 day ahead cum death,2020-04-27,22,Louisiana,point,,1801.0
51,2020-04-26,1 day ahead cum death,2020-04-27,23,Maine,point,,53.0
54,2020-04-26,1 day ahead cum death,2020-04-27,24,Maryland,point,,894.0
57,2020-04-26,1 day ahead cum death,2020-04-27,25,Massachusetts,point,,3096.0
60,2020-04-26,1 day ahead cum death,2020-04-27,26,Michigan,point,,3454.0
63,2020-04-26,1 day ahead cum death,2020-04-27,27,Minnesota,point,,284.0
66,2020-04-26,1 day ahead cum death,2020-04-27,28,Mississippi,point,,234.0
69,2020-04-26,1 day ahead cum death,2020-04-27,29,Missouri,point,,304.0
72,2020-04-26,1 day ahead cum death,2020-04-27,30,Montana,point,,15.0
75,2020-04-26,1 day ahead cum death,2020-04-27,31,Nebraska,point,,62.0
78,2020-04-26,1 day ahead cum death,2020-04-27,32,Nevada,point,,232.0
81,2020-04-26,1 day ahead cum death,2020-04-27,33,New Hampshire,point,,67.0
84,2020-04-26,1 day ahead cum death,2020-04-27,34,New Jersey,point,,6320.0
87,2020-04-26,1 day ahead cum death,2020-04-27,35,New Mexico,point,,107.0
90,2020-04-26,1 day ahead cum death,2020-04-27,36,New York,point,,17924.0
93,2020-04-26,1 day ahead cum death,2020-04-27,37,North Carolina,point,,329.0
96,2020-04-26,1 day ahead cum death,2020-04-27,38,North Dakota,point,,19.0
99,2020-04-26,1 day ahead cum death,2020-04-27,39,Ohio,point,,773.0
102,2020-04-26,1 day ahead cum death,2020-04-27,40,Oklahoma,point,,206.0
105,2020-04-26,1 day ahead cum death,2020-04-27,41,Oregon,point,,97.0
108,2020-04-26,1 day ahead cum death,2020-04-27,42,Pennsylvania,point,,2016.0
111,2020-04-26,1 day ahead cum death,2020-04-27,44,Rhode Island,point,,250.0
114,2020-04-26,1 day ahead cum death,2020-04-27,45,South Carolina,point,,195.0
117,2020-04-26,1 day ahead cum death,2020-04-27,46,South Dakota,point,,23.0
120,2020-04-26,1 day ahead cum death,2020-04-27,47,Tennessee,point,,230.0
123,2020-04-26,1 day ahead cum death,2020-04-27,48,Texas,point,,785.0
126,2020-04-26,1 day ahead cum death,2020-04-27,49,Utah,point,,59.0
129,2020-04-26,1 day ahead cum death,2020-04-27,50,Vermont,point,,47.0
132,2020-04-26,1 day ahead cum death,2020-04-27,51,Virginia,point,,484.0
135,2020-04-26,1 day ahead cum death,2020-04-27,53,Washington,point,,806.0
138,2020-04-26,1 day ahead cum death,2020-04-27,54,West Virginia,point,,35.0
141,2020-04-26,1 day ahead cum death,2020-04-27,55,Wisconsin,point,,290.0
144,2020-04-26,1 day ahead cum death,2020-04-27,56,Wyoming,point,,8.0
147,2020-04-26,2 day ahead cum death,2020-04-28,1,Alabama,point,,239.0
150,2020-04-26,2 day ahead cum death,2020-04-28,4,Arizona,point,,326.0
153,2020-04-26,2 day ahead cum death,2020-04-28,5,Arkansas,point,,63.0
156,2020-04-26,2 day ahead cum death,2020-04-28,6,California,point,,2016.0
159,2020-04-26,2 day ahead cum death,2020-04-28,8,Colorado,point,,770.0
162,2020-04-26,2 day ahead cum death,2020-04-28,9,Connecticut,point,,2089.0
165,2020-04-26,2 day ahead cum death,2020-04-28,10,Delaware,point,,155.0
168,2020-04-26,2 day ahead cum death,2020-04-28,11,District of Columbia,point,,211.0
171,2020-04-26,2 day ahead cum death,2020-04-28,12,Florida,point,,1261.0
174,2020-04-26,2 day ahead cum death,2020-04-28,13,Georgia,point,,1005.0
177,2020-04-26,2 day ahead cum death,2020-04-28,16,Idaho,point,,68.0
180,2020-04-26,2 day ahead cum death,2020-04-28,17,Illinois,point,,2215.0
183,2020-04-26,2 day ahead cum death,2020-04-28,18,Indiana,point,,895.0
186,2020-04-26,2 day ahead cum death,2020-04-28,19,Iowa,point,,151.0
189,2020-04-26,2 day ahead cum death,2020-04-28,20,Kansas,point,,134.0
192,2020-04-26,2 day ahead cum death,2020-04-28,21,Kentucky,point,,229.0
195,2020-04-26,2 day ahead cum death,2020-04-28,22,Louisiana,point,,1919.0
198,2020-04-26,2 day ahead cum death,2020-04-28,23,Maine,point,,55.0
201,2020-04-26,2 day ahead cum death,2020-04-28,24,Maryland,point,,958.0
204,2020-04-26,2 day ahead cum death,2020-04-28,25,Massachusetts,point,,3283.0
207,2020-04-26,2 day ahead cum death,2020-04-28,26,Michigan,point,,3583.0
210,2020-04-26,2 day ahead cum death,2020-04-28,27,Minnesota,point,,294.0
213,2020-04-26,2 day ahead cum death,2020-04-28,28,Mississippi,point,,239.0
216,2020-04-26,2 day ahead cum death,2020-04-28,29,Missouri,point,,323.0
219,2020-04-26,2 day ahead cum death,2020-04-28,30,Montana,point,,16.0
222,2020-04-26,2 day ahead cum death,2020-04-28,31,Nebraska,point,,69.0
225,2020-04-26,2 day ahead cum death,2020-04-28,32,Nevada,point,,256.0
228,2020-04-26,2 day ahead cum death,2020-04-28,33,New Hampshire,point,,74.0
231,2020-04-26,2 day ahead cum death,2020-04-28,34,New Jersey,point,,6678.0
234,2020-04-26,2 day ahead cum death,2020-04-28,35,New Mexico,point,,114.0
237,2020-04-26,2 day ahead cum death,2020-04-28,36,New York,point,,18810.0
240,2020-04-26,2 day ahead cum death,2020-04-28,37,North Carolina,point,,347.0
243,2020-04-26,2 day ahead cum death,2020-04-28,38,North Dakota,point,,21.0
246,2020-04-26,2 day ahead cum death,2020-04-28,39,Ohio,point,,816.0
249,2020-04-26,2 day ahead cum death,2020-04-28,40,Oklahoma,point,,215.0
252,2020-04-26,2 day ahead cum death,2020-04-28,41,Oregon,point,,103.0
255,2020-04-26,2 day ahead cum death,2020-04-28,42,Pennsylvania,point,,2150.0
258,2020-04-26,2 day ahead cum death,2020-04-28,44,Rhode Island,point,,273.0
261,2020-04-26,2 day ahead cum death,2020-04-28,45,South Carolina,point,,213.0
264,2020-04-26,2 day ahead cum death,2020-04-28,46,South Dakota,point,,34.0
267,2020-04-26,2 day ahead cum death,2020-04-28,47,Tennessee,point,,267.0
270,2020-04-26,2 day ahead cum death,2020-04-28,48,Texas,point,,884.0
273,2020-04-26,2 day ahead cum death,2020-04-28,49,Utah,point,,75.0
276,2020-04-26,2 day ahead cum death,2020-04-28,50,Vermont,point,,48.0
279,2020-04-26,2 day ahead cum death,2020-04-28,51,Virginia,point,,517.0
282,2020-04-26,2 day ahead cum death,2020-04-28,53,Washington,point,,851.0
285,2020-04-26,2 day ahead cum death,2020-04-28,54,West Virginia,point,,37.0
288,2020-04-26,2 day ahead cum death,2020-04-28,55,Wisconsin,point,,305.0
291,2020-04-26,2 day ahead cum death,2020-04-28,56,Wyoming,point,,8.0
294,2020-04-26,3 day ahead cum death,2020-04-29,1,Alabama,point,,248.0
297,2020-04-26,3 day ahead cum death,2020-04-29,4,Arizona,point,,348.0
300,2020-04-26,3 day ahead cum death,2020-04-29,5,Arkansas,point,,69.0
303,2020-04-26,3 day ahead cum death,2020-04-29,6,California,point,,2146.0
306,2020-04-26,3 day ahead cum death,2020-04-29,8,Colorado,point,,810.0
309,2020-04-26,3 day ahead cum death,2020-04-29,9,Connecticut,point,,2163.0
312,2020-04-26,3 day ahead cum death,2020-04-29,10,Delaware,point,,171.0
315,2020-04-26,3 day ahead cum death,2020-04-29,11,District of Columbia,point,,226.0
318,2020-04-26,3 day ahead cum death,2020-04-29,12,Florida,point,,1342.0
321,2020-04-26,3 day ahead cum death,2020-04-29,13,Georgia,point,,1047.0
324,2020-04-26,3 day ahead cum death,2020-04-29,16,Idaho,point,,73.0
327,2020-04-26,3 day ahead cum death,2020-04-29,17,Illinois,point,,2341.0
330,2020-04-26,3 day ahead cum death,2020-04-29,18,Indiana,point,,932.0
333,2020-04-26,3 day ahead cum death,2020-04-29,19,Iowa,point,,166.0
336,2020-04-26,3 day ahead cum death,2020-04-29,20,Kansas,point,,141.0
339,2020-04-26,3 day ahead cum death,2020-04-29,21,Kentucky,point,,238.0
342,2020-04-26,3 day ahead cum death,2020-04-29,22,Louisiana,point,,2024.0
345,2020-04-26,3 day ahead cum death,2020-04-29,23,Maine,point,,57.0
348,2020-04-26,3 day ahead cum death,2020-04-29,24,Maryland,point,,1017.0
351,2020-04-26,3 day ahead cum death,2020-04-29,25,Massachusetts,point,,3460.0
354,2020-04-26,3 day ahead cum death,2020-04-29,26,Michigan,point,,3703.0
357,2020-04-26,3 day ahead cum death,2020-04-29,27,Minnesota,point,,305.0
360,2020-04-26,3 day ahead cum death,2020-04-29,28,Mississippi,point,,245.0
363,2020-04-26,3 day ahead cum death,2020-04-29,29,Missouri,point,,341.0
366,2020-04-26,3 day ahead cum death,2020-04-29,30,Montana,point,,16.0
369,2020-04-26,3 day ahead cum death,2020-04-29,31,Nebraska,point,,75.0
372,2020-04-26,3 day ahead cum death,2020-04-29,32,Nevada,point,,279.0
375,2020-04-26,3 day ahead cum death,2020-04-29,33,New Hampshire,point,,79.0
378,2020-04-26,3 day ahead cum death,2020-04-29,34,New Jersey,point,,7013.0
381,2020-04-26,3 day ahead cum death,2020-04-29,35,New Mexico,point,,121.0
384,2020-04-26,3 day ahead cum death,2020-04-29,36,New York,point,,19630.0
387,2020-04-26,3 day ahead cum death,2020-04-29,37,North Carolina,point,,364.0
390,2020-04-26,3 day ahead cum death,2020-04-29,38,North Dakota,point,,23.0
393,2020-04-26,3 day ahead cum death,2020-04-29,39,Ohio,point,,856.0
396,2020-04-26,3 day ahead cum death,2020-04-29,40,Oklahoma,point,,224.0
399,2020-04-26,3 day ahead cum death,2020-04-29,41,Oregon,point,,107.0
402,2020-04-26,3 day ahead cum death,2020-04-29,42,Pennsylvania,point,,2275.0
405,2020-04-26,3 day ahead cum death,2020-04-29,44,Rhode Island,point,,295.0
408,2020-04-26,3 day ahead cum death,2020-04-29,45,South Carolina,point,,230.0
411,2020-04-26,3 day ahead cum death,2020-04-29,46,South Dakota,point,,44.0
414,2020-04-26,3 day ahead cum death,2020-04-29,47,Tennessee,point,,302.0
417,2020-04-26,3 day ahead cum death,2020-04-29,48,Texas,point,,975.0
420,2020-04-26,3 day ahead cum death,2020-04-29,49,Utah,point,,90.0
423,2020-04-26,3 day ahead cum death,2020-04-29,50,Vermont,point,,49.0
426,2020-04-26,3 day ahead cum death,2020-04-29,51,Virginia,point,,549.0
429,2020-04-26,3 day ahead cum death,2020-04-29,53,Washington,point,,891.0
432,2020-04-26,3 day ahead cum death,2020-04-29,54,West Virginia,point,,38.0
435,2020-04-26,3 day ahead cum death,2020-04-29,55,Wisconsin,point,,318.0
438,2020-04-26,3 day ahead cum death,2020-04-29,56,Wyoming,point,,9.0
441,2020-04-26,4 day ahead cum death,2020-04-30,1,Alabama,point,,256.0
444,2020-04-26,4 day ahead cum death,2020-04-30,4,Arizona,point,,368.0
447,2020-04-26,4 day ahead cum death,2020-04-30,5,Arkansas,point,,74.0
450,2020-04-26,4 day ahead cum death,2020-04-30,6,California,point,,2264.0
453,2020-04-26,4 day ahead cum death,2020-04-30,8,Colorado,point,,848.0
456,2020-04-26,4 day ahead cum death,2020-04-30,9,Connecticut,point,,2233.0
459,2020-04-26,4 day ahead cum death,2020-04-30,10,Delaware,point,,186.0
462,2020-04-26,4 day ahead cum death,2020-04-30,11,District of Columbia,point,,240.0
465,2020-04-26,4 day ahead cum death,2020-04-30,12,Florida,point,,1415.0
468,2020-04-26,4 day ahead cum death,2020-04-30,13,Georgia,point,,1086.0
471,2020-04-26,4 day ahead cum death,2020-04-30,16,Idaho,point,,77.0
474,2020-04-26,4 day ahead cum death,2020-04-30,17,Illinois,point,,2460.0
477,2020-04-26,4 day ahead cum death,2020-04-30,18,Indiana,point,,967.0
480,2020-04-26,4 day ahead cum death,2020-04-30,19,Iowa,point,,180.0
483,2020-04-26,4 day ahead cum death,2020-04-30,20,Kansas,point,,148.0
486,2020-04-26,4 day ahead cum death,2020-04-30,21,Kentucky,point,,245.0
489,2020-04-26,4 day ahead cum death,2020-04-30,22,Louisiana,point,,2120.0
492,2020-04-26,4 day ahead cum death,2020-04-30,23,Maine,point,,59.0
495,2020-04-26,4 day ahead cum death,2020-04-30,24,Maryland,point,,1073.0
498,2020-04-26,4 day ahead cum death,2020-04-30,25,Massachusetts,point,,3627.0
501,2020-04-26,4 day ahead cum death,2020-04-30,26,Michigan,point,,3813.0
504,2020-04-26,4 day ahead cum death,2020-04-30,27,Minnesota,point,,314.0
507,2020-04-26,4 day ahead cum death,2020-04-30,28,Mississippi,point,,250.0
510,2020-04-26,4 day ahead cum death,2020-04-30,29,Missouri,point,,358.0
513,2020-04-26,4 day ahead cum death,2020-04-30,30,Montana,point,,17.0
516,2020-04-26,4 day ahead cum death,2020-04-30,31,Nebraska,point,,81.0
519,2020-04-26,4 day ahead cum death,2020-04-30,32,Nevada,point,,299.0
522,2020-04-26,4 day ahead cum death,2020-04-30,33,New Hampshire,point,,84.0
525,2020-04-26,4 day ahead cum death,2020-04-30,34,New Jersey,point,,7328.0
528,2020-04-26,4 day ahead cum death,2020-04-30,35,New Mexico,point,,127.0
531,2020-04-26,4 day ahead cum death,2020-04-30,36,New York,point,,20389.0
534,2020-04-26,4 day ahead cum death,2020-04-30,37,North Carolina,point,,378.0
537,2020-04-26,4 day ahead cum death,2020-04-30,38,North Dakota,point,,24.0
540,2020-04-26,4 day ahead cum death,2020-04-30,39,Ohio,point,,893.0
543,2020-04-26,4 day ahead cum death,2020-04-30,40,Oklahoma,point,,232.0
546,2020-04-26,4 day ahead cum death,2020-04-30,41,Oregon,point,,112.0
549,2020-04-26,4 day ahead cum death,2020-04-30,42,Pennsylvania,point,,2392.0
552,2020-04-26,4 day ahead cum death,2020-04-30,44,Rhode Island,point,,316.0
555,2020-04-26,4 day ahead cum death,2020-04-30,45,South Carolina,point,,245.0
558,2020-04-26,4 day ahead cum death,2020-04-30,46,South Dakota,point,,54.0
561,2020-04-26,4 day ahead cum death,2020-04-30,47,Tennessee,point,,334.0
564,2020-04-26,4 day ahead cum death,2020-04-30,48,Texas,point,,1058.0
567,2020-04-26,4 day ahead cum death,2020-04-30,49,Utah,point,,104.0
570,2020-04-26,4 day ahead cum death,2020-04-30,50,Vermont,point,,49.0
573,2020-04-26,4 day ahead cum death,2020-04-30,51,Virginia,point,,579.0
576,2020-04-26,4 day ahead cum death,2020-04-30,53,Washington,point,,928.0
579,2020-04-26,4 day ahead cum death,2020-04-30,54,West Virginia,point,,39.0
582,2020-04-26,4 day ahead cum death,2020-04-30,55,Wisconsin,point,,330.0
585,2020-04-26,4 day ahead cum death,2020-04-30,56,Wyoming,point,,9.0
588,2020-04-26,5 day ahead cum death,2020-05-01,1,Alabama,point,,263.0
591,2020-04-26,5 day ahead cum death,2020-05-01,4,Arizona,point,,386.0
594,2020-04-26,5 day ahead cum death,2020-05-01,5,Arkansas,point,,79.0
597,2020-04-26,5 day ahead cum death,2020-05-01,6,California,point,,2372.0
600,2020-04-26,5 day ahead cum death,2020-05-01,8,Colorado,point,,883.0
603,2020-04-26,5 day ahead cum death,2020-05-01,9,Connecticut,point,,2299.0
606,2020-04-26,5 day ahead cum death,2020-05-01,10,Delaware,point,,201.0
609,2020-04-26,5 day ahead cum death,2020-05-01,11,District of Columbia,point,,254.0
612,2020-04-26,5 day ahead cum death,2020-05-01,12,Florida,point,,1481.0
615,2020-04-26,5 day ahead cum death,2020-05-01,13,Georgia,point,,1120.0
618,2020-04-26,5 day ahead cum death,2020-05-01,16,Idaho,point,,80.0
621,2020-04-26,5 day ahead cum death,2020-05-01,17,Illinois,point,,2574.0
624,2020-04-26,5 day ahead cum death,2020-05-01,18,Indiana,point,,999.0
627,2020-04-26,5 day ahead cum death,2020-05-01,19,Iowa,point,,193.0
630,2020-04-26,5 day ahead cum death,2020-05-01,20,Kansas,point,,154.0
633,2020-04-26,5 day ahead cum death,2020-05-01,21,Kentucky,point,,252.0
636,2020-04-26,5 day ahead cum death,2020-05-01,22,Louisiana,point,,2206.0
639,2020-04-26,5 day ahead cum death,2020-05-01,23,Maine,point,,60.0
642,2020-04-26,5 day ahead cum death,2020-05-01,24,Maryland,point,,1126.0
645,2020-04-26,5 day ahead cum death,2020-05-01,25,Massachusetts,point,,3785.0
648,2020-04-26,5 day ahead cum death,2020-05-01,26,Michigan,point,,3914.0
651,2020-04-26,5 day ahead cum death,2020-05-01,27,Minnesota,point,,323.0
654,2020-04-26,5 day ahead cum death,2020-05-01,28,Mississippi,point,,254.0
657,2020-04-26,5 day ahead cum death,2020-05-01,29,Missouri,point,,373.0
660,2020-04-26,5 day ahead cum death,2020-05-01,30,Montana,point,,17.0
663,2020-04-26,5 day ahead cum death,2020-05-01,31,Nebraska,point,,87.0
666,2020-04-26,5 day ahead cum death,2020-05-01,32,Nevada,point,,318.0
669,2020-04-26,5 day ahead cum death,2020-05-01,33,New Hampshire,point,,89.0
672,2020-04-26,5 day ahead cum death,2020-05-01,34,New Jersey,point,,7624.0
675,2020-04-26,5 day ahead cum death,2020-05-01,35,New Mexico,point,,133.0
678,2020-04-26,5 day ahead cum death,2020-05-01,36,New York,point,,21093.0
681,2020-04-26,5 day ahead cum death,2020-05-01,37,North Carolina,point,,391.0
684,2020-04-26,5 day ahead cum death,2020-05-01,38,North Dakota,point,,26.0
687,2020-04-26,5 day ahead cum death,2020-05-01,39,Ohio,point,,929.0
690,2020-04-26,5 day ahead cum death,2020-05-01,40,Oklahoma,point,,239.0
693,2020-04-26,5 day ahead cum death,2020-05-01,41,Oregon,point,,116.0
696,2020-04-26,5 day ahead cum death,2020-05-01,42,Pennsylvania,point,,2499.0
699,2020-04-26,5 day ahead cum death,2020-05-01,44,Rhode Island,point,,336.0
702,2020-04-26,5 day ahead cum death,2020-05-01,45,South Carolina,point,,258.0
705,2020-04-26,5 day ahead cum death,2020-05-01,46,South Dakota,point,,63.0
708,2020-04-26,5 day ahead cum death,2020-05-01,47,Tennessee,point,,364.0
711,2020-04-26,5 day ahead cum death,2020-05-01,48,Texas,point,,1134.0
714,2020-04-26,5 day ahead cum death,2020-05-01,49,Utah,point,,116.0
717,2020-04-26,5 day ahead cum death,2020-05-01,50,Vermont,point,,50.0
720,2020-04-26,5 day ahead cum death,2020-05-01,51,Virginia,point,,607.0
723,2020-04-26,5 day ahead cum death,2020-05-01,53,Washington,point,,961.0
726,2020-04-26,5 day ahead cum death,2020-05-01,54,West Virginia,point,,40.0
729,2020-04-26,5 day ahead cum death,2020-05-01,55,Wisconsin,point,,342.0
732,2020-04-26,5 day ahead cum death,2020-05-01,56,Wyoming,point,,10.0
735,2020-04-26,6 day ahead cum death,2020-05-02,1,Alabama,point,,270.0
738,2020-04-26,6 day ahead cum death,2020-05-02,4,Arizona,point,,403.0
741,2020-04-26,6 day ahead cum death,2020-05-02,5,Arkansas,point,,83.0
744,2020-04-26,6 day ahead cum death,2020-05-02,6,California,point,,2471.0
747,2020-04-26,6 day ahead cum death,2020-05-02,8,Colorado,point,,915.0
750,2020-04-26,6 day ahead cum death,2020-05-02,9,Connecticut,point,,2361.0
753,2020-04-26,6 day ahead cum death,2020-05-02,10,Delaware,point,,215.0
756,2020-04-26,6 day ahead cum death,2020-05-02,11,District of Columbia,point,,266.0
