,forecast_date,target,target_end_date,location,type,quantile,value
1587,2020-04-24,1 day ahead inc death,2020-04-25,US,point,,2163.0
1588,2020-04-24,2 day ahead inc death,2020-04-26,US,point,,2265.0
1589,2020-04-24,3 day ahead inc death,2020-04-27,US,point,,2419.0
1590,2020-04-24,4 day ahead inc death,2020-04-28,US,point,,2605.0
1591,2020-04-24,5 day ahead inc death,2020-04-29,US,point,,2814.0
1592,2020-04-24,6 day ahead inc death,2020-04-30,US,point,,3049.0
1593,2020-04-24,7 day ahead inc death,2020-05-01,US,point,,3314.0
1594,2020-04-24,8 day ahead inc death,2020-05-02,US,point,,3642.0
1595,2020-04-24,9 day ahead inc death,2020-05-03,US,point,,4028.0
1596,2020-04-24,10 day ahead inc death,2020-05-04,US,point,,4462.0
1597,2020-04-24,11 day ahead inc death,2020-05-05,US,point,,4955.0
1598,2020-04-24,12 day ahead inc death,2020-05-06,US,point,,5474.0
1599,2020-04-24,13 day ahead inc death,2020-05-07,US,point,,6049.0
1600,2020-04-24,14 day ahead inc death,2020-05-08,US,point,,6666.0
1601,2020-04-24,15 day ahead inc death,2020-05-09,US,point,,7292.0
1602,2020-04-24,16 day ahead inc death,2020-05-10,US,point,,7919.0
1603,2020-04-24,17 day ahead inc death,2020-05-11,US,point,,8560.0
1604,2020-04-24,18 day ahead inc death,2020-05-12,US,point,,9209.0
1605,2020-04-24,19 day ahead inc death,2020-05-13,US,point,,10043.0
1606,2020-04-24,20 day ahead inc death,2020-05-14,US,point,,11031.0
1607,2020-04-24,21 day ahead inc death,2020-05-15,US,point,,12035.0
1608,2020-04-24,22 day ahead inc death,2020-05-16,US,point,,13125.0
1609,2020-04-24,1 day ahead cum death,2020-04-25,US,point,,35349.0
1610,2020-04-24,2 day ahead cum death,2020-04-26,US,point,,37706.0
1611,2020-04-24,3 day ahead cum death,2020-04-27,US,point,,40160.0
1612,2020-04-24,4 day ahead cum death,2020-04-28,US,point,,42827.0
1613,2020-04-24,5 day ahead cum death,2020-04-29,US,point,,45536.0
1614,2020-04-24,6 day ahead cum death,2020-04-30,US,point,,48729.0
1615,2020-04-24,7 day ahead cum death,2020-05-01,US,point,,52226.0
1616,2020-04-24,8 day ahead cum death,2020-05-02,US,point,,55828.0
1617,2020-04-24,9 day ahead cum death,2020-05-03,US,point,,59818.0
1618,2020-04-24,10 day ahead cum death,2020-05-04,US,point,,64425.0
1619,2020-04-24,11 day ahead cum death,2020-05-05,US,point,,69673.0
1620,2020-04-24,12 day ahead cum death,2020-05-06,US,point,,75334.0
1621,2020-04-24,13 day ahead cum death,2020-05-07,US,point,,81418.0
1622,2020-04-24,14 day ahead cum death,2020-05-08,US,point,,87962.0
1623,2020-04-24,15 day ahead cum death,2020-05-09,US,point,,95218.0
1624,2020-04-24,16 day ahead cum death,2020-05-10,US,point,,103105.0
1625,2020-04-24,17 day ahead cum death,2020-05-11,US,point,,111886.0
1626,2020-04-24,18 day ahead cum death,2020-05-12,US,point,,121279.0
1627,2020-04-24,19 day ahead cum death,2020-05-13,US,point,,131450.0
1628,2020-04-24,20 day ahead cum death,2020-05-14,US,point,,142669.0
1629,2020-04-24,21 day ahead cum death,2020-05-15,US,point,,154732.0
1630,2020-04-24,22 day ahead cum death,2020-05-16,US,point,,167896.0
1631,2020-04-24,1 day ahead inc hosp,2020-04-25,US,point,,28406.0
1632,2020-04-24,2 day ahead inc hosp,2020-04-26,US,point,,30860.0
1633,2020-04-24,3 day ahead inc hosp,2020-04-27,US,point,,33778.0
1634,2020-04-24,4 day ahead inc hosp,2020-04-28,US,point,,37116.0
1635,2020-04-24,5 day ahead inc hosp,2020-04-29,US,point,,41067.0
