,forecast_date,target,target_end_date,location,location_name,type,quantile,value
93840,2020-06-18,1 day ahead cum death,2020-06-19,2,Alaska,point,,10.690613
93841,2020-06-18,2 day ahead cum death,2020-06-20,2,Alaska,point,,10.745023
93842,2020-06-18,3 day ahead cum death,2020-06-21,2,Alaska,point,,10.799191
93843,2020-06-18,4 day ahead cum death,2020-06-22,2,Alaska,point,,10.8534775
93844,2020-06-18,5 day ahead cum death,2020-06-23,2,Alaska,point,,10.90788
93845,2020-06-18,6 day ahead cum death,2020-06-24,2,Alaska,point,,10.962395
93846,2020-06-18,7 day ahead cum death,2020-06-25,2,Alaska,point,,11.017021000000002
93847,2020-06-18,8 day ahead cum death,2020-06-26,2,Alaska,point,,11.071756
93848,2020-06-18,9 day ahead cum death,2020-06-27,2,Alaska,point,,11.126597
93849,2020-06-18,10 day ahead cum death,2020-06-28,2,Alaska,point,,11.181542
93850,2020-06-18,11 day ahead cum death,2020-06-29,2,Alaska,point,,11.236589
93851,2020-06-18,12 day ahead cum death,2020-06-30,2,Alaska,point,,11.291736
93852,2020-06-18,13 day ahead cum death,2020-07-01,2,Alaska,point,,11.346979
93853,2020-06-18,14 day ahead cum death,2020-07-02,2,Alaska,point,,11.402317
93854,2020-06-18,15 day ahead cum death,2020-07-03,2,Alaska,point,,11.4577465
93855,2020-06-18,16 day ahead cum death,2020-07-04,2,Alaska,point,,11.5132675
93856,2020-06-18,17 day ahead cum death,2020-07-05,2,Alaska,point,,11.568874
93857,2020-06-18,18 day ahead cum death,2020-07-06,2,Alaska,point,,11.624566
93858,2020-06-18,19 day ahead cum death,2020-07-07,2,Alaska,point,,11.68034
93859,2020-06-18,20 day ahead cum death,2020-07-08,2,Alaska,point,,11.736195
93860,2020-06-18,21 day ahead cum death,2020-07-09,2,Alaska,point,,11.792126
93861,2020-06-18,22 day ahead cum death,2020-07-10,2,Alaska,point,,11.848131
93862,2020-06-18,23 day ahead cum death,2020-07-11,2,Alaska,point,,11.90421
93863,2020-06-18,24 day ahead cum death,2020-07-12,2,Alaska,point,,11.960358
93864,2020-06-18,25 day ahead cum death,2020-07-13,2,Alaska,point,,12.016573
93865,2020-06-18,26 day ahead cum death,2020-07-14,2,Alaska,point,,12.072852
93866,2020-06-18,27 day ahead cum death,2020-07-15,2,Alaska,point,,12.129194
93867,2020-06-18,28 day ahead cum death,2020-07-16,2,Alaska,point,,12.185595
93868,2020-06-18,29 day ahead cum death,2020-07-17,2,Alaska,point,,12.242052
93869,2020-06-18,30 day ahead cum death,2020-07-18,2,Alaska,point,,12.298563
93870,2020-06-18,31 day ahead cum death,2020-07-19,2,Alaska,point,,12.355126
93871,2020-06-18,32 day ahead cum death,2020-07-20,2,Alaska,point,,12.411738
93872,2020-06-18,33 day ahead cum death,2020-07-21,2,Alaska,point,,12.468395
93873,2020-06-18,34 day ahead cum death,2020-07-22,2,Alaska,point,,12.525097
93874,2020-06-18,35 day ahead cum death,2020-07-23,2,Alaska,point,,12.58184
93875,2020-06-18,36 day ahead cum death,2020-07-24,2,Alaska,point,,12.638619
93876,2020-06-18,37 day ahead cum death,2020-07-25,2,Alaska,point,,12.695435
93877,2020-06-18,38 day ahead cum death,2020-07-26,2,Alaska,point,,12.752282
93878,2020-06-18,39 day ahead cum death,2020-07-27,2,Alaska,point,,12.80916
