,location,target,type,quantile,forecast_date,target_end_date,value
0,01,1 wk ahead cum death,point,,2020-04-13,2020-04-18,55.800809050176994
1,05,1 wk ahead cum death,point,,2020-04-13,2020-04-18,31.04027694509584
2,04,1 wk ahead cum death,point,,2020-04-13,2020-04-18,456.7467878597768
3,06,1 wk ahead cum death,point,,2020-04-13,2020-04-18,1391.3357292568342
4,08,1 wk ahead cum death,point,,2020-04-13,2020-04-18,463.7898642567103
5,09,1 wk ahead cum death,point,,2020-04-13,2020-04-18,743.9887055768927
6,10,1 wk ahead cum death,point,,2020-04-13,2020-04-18,52.44791292745573
7,12,1 wk ahead cum death,point,,2020-04-13,2020-04-18,1742.501099687429
8,19,1 wk ahead cum death,point,,2020-04-13,2020-04-18,74.83413013263674
9,16,1 wk ahead cum death,point,,2020-04-13,2020-04-18,60.88207402746362
10,17,1 wk ahead cum death,point,,2020-04-13,2020-04-18,923.5859415387033
11,18,1 wk ahead cum death,point,,2020-04-13,2020-04-18,221.55990677005158
12,20,1 wk ahead cum death,point,,2020-04-13,2020-04-18,107.58222664423731
13,25,1 wk ahead cum death,point,,2020-04-13,2020-04-18,1144.1172961757688
14,24,1 wk ahead cum death,point,,2020-04-13,2020-04-18,611.1509409867302
15,23,1 wk ahead cum death,point,,2020-04-13,2020-04-18,39.69373504552618
16,26,1 wk ahead cum death,point,,2020-04-13,2020-04-18,2489.365022845708
17,27,1 wk ahead cum death,point,,2020-04-13,2020-04-18,259.75134972143167
18,29,1 wk ahead cum death,point,,2020-04-13,2020-04-18,175.03718223914672
19,30,1 wk ahead cum death,point,,2020-04-13,2020-04-18,35.758349482552546
20,37,1 wk ahead cum death,point,,2020-04-13,2020-04-18,275.5657264508691
21,38,1 wk ahead cum death,point,,2020-04-13,2020-04-18,13.882764842783107
22,31,1 wk ahead cum death,point,,2020-04-13,2020-04-18,39.34016811181185
23,33,1 wk ahead cum death,point,,2020-04-13,2020-04-18,130.43877168482703
24,34,1 wk ahead cum death,point,,2020-04-13,2020-04-18,896.1276813323027
25,35,1 wk ahead cum death,point,,2020-04-13,2020-04-18,68.57273407712734
26,32,1 wk ahead cum death,point,,2020-04-13,2020-04-18,315.08937494179975
27,36,1 wk ahead cum death,point,,2020-04-13,2020-04-18,13773.02014318523
28,39,1 wk ahead cum death,point,,2020-04-13,2020-04-18,393.46766078056123
29,40,1 wk ahead cum death,point,,2020-04-13,2020-04-18,79.4739594779317
30,41,1 wk ahead cum death,point,,2020-04-13,2020-04-18,196.15944131065484
31,42,1 wk ahead cum death,point,,2020-04-13,2020-04-18,432.6950225046948
32,44,1 wk ahead cum death,point,,2020-04-13,2020-04-18,31.205756484451857
33,45,1 wk ahead cum death,point,,2020-04-13,2020-04-18,118.68365101444248
34,46,1 wk ahead cum death,point,,2020-04-13,2020-04-18,11.082346272411597
35,47,1 wk ahead cum death,point,,2020-04-13,2020-04-18,168.5041147310689
36,48,1 wk ahead cum death,point,,2020-04-13,2020-04-18,1379.1279785947218
37,49,1 wk ahead cum death,point,,2020-04-13,2020-04-18,175.17714337178262
38,51,1 wk ahead cum death,point,,2020-04-13,2020-04-18,498.44913608267984
39,50,1 wk ahead cum death,point,,2020-04-13,2020-04-18,16.49864732705435
40,53,1 wk ahead cum death,point,,2020-04-13,2020-04-18,726.7236209815269
41,55,1 wk ahead cum death,point,,2020-04-13,2020-04-18,151.84021849991498
42,54,1 wk ahead cum death,point,,2020-04-13,2020-04-18,10.391257468312526
43,56,1 wk ahead cum death,point,,2020-04-13,2020-04-18,11.654660286650298
44,US,1 wk ahead cum death,point,,2020-04-13,2020-04-18,37129.24069815
45,01,1 wk ahead inc death,point,,2020-04-13,2020-04-18,16.955729623424066
46,05,1 wk ahead inc death,point,,2020-04-13,2020-04-18,9.68137772873012
47,04,1 wk ahead inc death,point,,2020-04-13,2020-04-18,135.20029118367665
48,06,1 wk ahead inc death,point,,2020-04-13,2020-04-18,398.6727981698154
49,08,1 wk ahead inc death,point,,2020-04-13,2020-04-18,124.93579456173107
50,09,1 wk ahead inc death,point,,2020-04-13,2020-04-18,204.53307366992985
51,10,1 wk ahead inc death,point,,2020-04-13,2020-04-18,15.568635165744455
52,12,1 wk ahead inc death,point,,2020-04-13,2020-04-18,516.9014456778586
53,19,1 wk ahead inc death,point,,2020-04-13,2020-04-18,22.801911619132557
54,16,1 wk ahead inc death,point,,2020-04-13,2020-04-18,17.161930801817388
55,17,1 wk ahead inc death,point,,2020-04-13,2020-04-18,272.5817754393304
56,18,1 wk ahead inc death,point,,2020-04-13,2020-04-18,65.61696465239329
57,20,1 wk ahead inc death,point,,2020-04-13,2020-04-18,32.10844419954977
58,25,1 wk ahead inc death,point,,2020-04-13,2020-04-18,309.8842775985069
59,24,1 wk ahead inc death,point,,2020-04-13,2020-04-18,182.6574859558147
60,23,1 wk ahead inc death,point,,2020-04-13,2020-04-18,12.000117210584653
61,26,1 wk ahead inc death,point,,2020-04-13,2020-04-18,616.5702814729698
62,27,1 wk ahead inc death,point,,2020-04-13,2020-04-18,78.13305802153481
