,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-04-13,1 day ahead cum death,2020-04-14,01,Alabama,point,,45.824147927692344
1,2020-04-13,1 day ahead cum death,2020-04-14,05,Arkansas,point,,25.841528831175843
2,2020-04-13,1 day ahead cum death,2020-04-14,04,Arizona,point,,379.4205226721434
3,2020-04-13,1 day ahead cum death,2020-04-14,06,California,point,,1152.5753680412822
4,2020-04-13,1 day ahead cum death,2020-04-14,08,Colorado,point,,394.2321575457964
5,2020-04-13,1 day ahead cum death,2020-04-14,09,Connecticut,point,,636.6505001146958
6,2020-04-13,1 day ahead cum death,2020-04-14,10,Delaware,point,,43.83259917758932
7,2020-04-13,1 day ahead cum death,2020-04-14,12,Florida,point,,1453.1831541640406
8,2020-04-13,1 day ahead cum death,2020-04-14,19,Iowa,point,,62.86006636341071
9,2020-04-13,1 day ahead cum death,2020-04-14,16,Idaho,point,,49.61868274794689
10,2020-04-13,1 day ahead cum death,2020-04-14,17,Illinois,point,,761.780916574924
11,2020-04-13,1 day ahead cum death,2020-04-14,18,Indiana,point,,186.39614497948529
12,2020-04-13,1 day ahead cum death,2020-04-14,20,Kansas,point,,87.65004328297209
13,2020-04-13,1 day ahead cum death,2020-04-14,25,Massachusetts,point,,953.5242201786343
14,2020-04-13,1 day ahead cum death,2020-04-14,24,Maryland,point,,513.085585507695
15,2020-04-13,1 day ahead cum death,2020-04-14,23,Maine,point,,33.15842163681099
16,2020-04-13,1 day ahead cum death,2020-04-14,26,Michigan,point,,2134.629682655081
17,2020-04-13,1 day ahead cum death,2020-04-14,27,Minnesota,point,,212.15241956238967
18,2020-04-13,1 day ahead cum death,2020-04-14,29,Missouri,point,,144.90138627855754
19,2020-04-13,1 day ahead cum death,2020-04-14,30,Montana,point,,29.440057451618692
20,2020-04-13,1 day ahead cum death,2020-04-14,37,North Carolina,point,,228.64746549761173
21,2020-04-13,1 day ahead cum death,2020-04-14,38,North Dakota,point,,11.21623678724234
22,2020-04-13,1 day ahead cum death,2020-04-14,31,Nebraska,point,,32.71560090503635
23,2020-04-13,1 day ahead cum death,2020-04-14,33,New Hampshire,point,,109.66980104424923
24,2020-04-13,1 day ahead cum death,2020-04-14,34,New Jersey,point,,740.8874022824731
25,2020-04-13,1 day ahead cum death,2020-04-14,35,New Mexico,point,,56.80199906997139
26,2020-04-13,1 day ahead cum death,2020-04-14,32,Nevada,point,,270.0120153673706
27,2020-04-13,1 day ahead cum death,2020-04-14,36,New York,point,,11914.833077065747
28,2020-04-13,1 day ahead cum death,2020-04-14,39,Ohio,point,,328.73646421737675
29,2020-04-13,1 day ahead cum death,2020-04-14,40,Oklahoma,point,,65.92320771412074
30,2020-04-13,1 day ahead cum death,2020-04-14,41,Oregon,point,,163.8996900099996
31,2020-04-13,1 day ahead cum death,2020-04-14,42,Pennsylvania,point,,361.0391209735469
32,2020-04-13,1 day ahead cum death,2020-04-14,44,Rhode Island,point,,25.78278306546745
33,2020-04-13,1 day ahead cum death,2020-04-14,45,South Carolina,point,,98.1571250752925
34,2020-04-13,1 day ahead cum death,2020-04-14,46,South Dakota,point,,8.860679433638962
35,2020-04-13,1 day ahead cum death,2020-04-14,47,Tennessee,point,,139.46484900112677
36,2020-04-13,1 day ahead cum death,2020-04-14,48,Texas,point,,1139.3533459413445
37,2020-04-13,1 day ahead cum death,2020-04-14,49,Utah,point,,146.92075260800772
38,2020-04-13,1 day ahead cum death,2020-04-14,51,Virginia,point,,417.97346807751154
39,2020-04-13,1 day ahead cum death,2020-04-14,50,Vermont,point,,13.298124014940829
40,2020-04-13,1 day ahead cum death,2020-04-14,53,Washington,point,,603.6821225259353
41,2020-04-13,1 day ahead cum death,2020-04-14,55,Wisconsin,point,,124.83214410431023
42,2020-04-13,1 day ahead cum death,2020-04-14,54,West Virginia,point,,8.292355049745776
43,2020-04-13,1 day ahead cum death,2020-04-14,56,Wyoming,point,,9.699986586042943
44,2020-04-13,1 day ahead cum death,2020-04-14,US,US,point,,31564.33110355
45,2020-04-13,1 day ahead inc death,2020-04-14,01,Alabama,point,,2.4234939257993053
46,2020-04-13,1 day ahead inc death,2020-04-14,05,Arkansas,point,,1.3898333529028282
47,2020-04-13,1 day ahead inc death,2020-04-14,04,Arizona,point,,19.292473256514928
48,2020-04-13,1 day ahead inc death,2020-04-14,06,California,point,,57.6523927601083
49,2020-04-13,1 day ahead inc death,2020-04-14,08,Colorado,point,,18.333529542664674
50,2020-04-13,1 day ahead inc death,2020-04-14,09,Connecticut,point,,29.162830324826608
51,2020-04-13,1 day ahead inc death,2020-04-14,10,Delaware,point,,2.270305080489674
52,2020-04-13,1 day ahead inc death,2020-04-14,12,Florida,point,,74.48074322286101
53,2020-04-13,1 day ahead inc death,2020-04-14,19,Iowa,point,,3.302192725905786
54,2020-04-13,1 day ahead inc death,2020-04-14,16,Idaho,point,,2.538957043859184
55,2020-04-13,1 day ahead inc death,2020-04-14,17,Illinois,point,,39.86985293271324
56,2020-04-13,1 day ahead inc death,2020-04-14,18,Indiana,point,,9.346737017514695
57,2020-04-13,1 day ahead inc death,2020-04-14,20,Kansas,point,,4.5895326444122375
58,2020-04-13,1 day ahead inc death,2020-04-14,25,Massachusetts,point,,45.0106802619227
59,2020-04-13,1 day ahead inc death,2020-04-14,24,Maryland,point,,26.20162288396086
60,2020-04-13,1 day ahead inc death,2020-04-14,23,Maine,point,,1.723836993184568
61,2020-04-13,1 day ahead inc death,2020-04-14,26,Michigan,point,,91.66474010405271
62,2020-04-13,1 day ahead inc death,2020-04-14,27,Minnesota,point,,11.514988052563035
63,2020-04-13,1 day ahead inc death,2020-04-14,29,Missouri,point,,7.447978535169933
64,2020-04-13,1 day ahead inc death,2020-04-14,30,Montana,point,,1.5726480401894867
65,2020-04-13,1 day ahead inc death,2020-04-14,37,North Carolina,point,,12.401781738831987
66,2020-04-13,1 day ahead inc death,2020-04-14,38,North Dakota,point,,0.6196631712357612
67,2020-04-13,1 day ahead inc death,2020-04-14,31,Nebraska,point,,1.7575216216815552
68,2020-04-13,1 day ahead inc death,2020-04-14,33,New Hampshire,point,,5.457055051989162
69,2020-04-13,1 day ahead inc death,2020-04-14,34,New Jersey,point,,39.375112290374155
70,2020-04-13,1 day ahead inc death,2020-04-14,35,New Mexico,point,,3.0401369060377204
71,2020-04-13,1 day ahead inc death,2020-04-14,32,Nevada,point,,12.768239183759375
72,2020-04-13,1 day ahead inc death,2020-04-14,36,New York,point,,469.3425809606968
73,2020-04-13,1 day ahead inc death,2020-04-14,39,Ohio,point,,17.128296766461045
74,2020-04-13,1 day ahead inc death,2020-04-14,40,Oklahoma,point,,3.1698410873694933
75,2020-04-13,1 day ahead inc death,2020-04-14,41,Oregon,point,,8.664967048610151
76,2020-04-13,1 day ahead inc death,2020-04-14,42,Pennsylvania,point,,19.185200008268307
77,2020-04-13,1 day ahead inc death,2020-04-14,44,Rhode Island,point,,1.3755148482910249
78,2020-04-13,1 day ahead inc death,2020-04-14,45,South Carolina,point,,5.161732420201278
79,2020-04-13,1 day ahead inc death,2020-04-14,46,South Dakota,point,,0.5104560374817169
80,2020-04-13,1 day ahead inc death,2020-04-14,47,Tennessee,point,,7.632313814698371
81,2020-04-13,1 day ahead inc death,2020-04-14,48,Texas,point,,58.22449046198749
82,2020-04-13,1 day ahead inc death,2020-04-14,49,Utah,point,,7.353099498130027
83,2020-04-13,1 day ahead inc death,2020-04-14,51,Virginia,point,,21.259623607448574
84,2020-04-13,1 day ahead inc death,2020-04-14,50,Vermont,point,,0.7780033328895358
85,2020-04-13,1 day ahead inc death,2020-04-14,53,Washington,point,,29.929371210011002
86,2020-04-13,1 day ahead inc death,2020-04-14,55,Wisconsin,point,,6.367348675597867
87,2020-04-13,1 day ahead inc death,2020-04-14,54,West Virginia,point,,0.4579448613117607
88,2020-04-13,1 day ahead inc death,2020-04-14,56,Wyoming,point,,0.4766808700971911
89,2020-04-13,1 day ahead inc death,2020-04-14,US,US,point,,1407.284609
90,2020-04-13,1 wk ahead cum death,2020-04-18,01,Alabama,point,,55.800809050176994
91,2020-04-13,1 wk ahead cum death,2020-04-18,05,Arkansas,point,,31.04027694509584
92,2020-04-13,1 wk ahead cum death,2020-04-18,04,Arizona,point,,456.7467878597768
93,2020-04-13,1 wk ahead cum death,2020-04-18,06,California,point,,1391.3357292568342
94,2020-04-13,1 wk ahead cum death,2020-04-18,08,Colorado,point,,463.7898642567103
95,2020-04-13,1 wk ahead cum death,2020-04-18,09,Connecticut,point,,743.9887055768927
96,2020-04-13,1 wk ahead cum death,2020-04-18,10,Delaware,point,,52.44791292745573
97,2020-04-13,1 wk ahead cum death,2020-04-18,12,Florida,point,,1742.501099687429
98,2020-04-13,1 wk ahead cum death,2020-04-18,19,Iowa,point,,74.83413013263674
99,2020-04-13,1 wk ahead cum death,2020-04-18,16,Idaho,point,,60.88207402746362
100,2020-04-13,1 wk ahead cum death,2020-04-18,17,Illinois,point,,923.5859415387033
101,2020-04-13,1 wk ahead cum death,2020-04-18,18,Indiana,point,,221.55990677005158
102,2020-04-13,1 wk ahead cum death,2020-04-18,20,Kansas,point,,107.58222664423731
103,2020-04-13,1 wk ahead cum death,2020-04-18,25,Massachusetts,point,,1144.1172961757688
104,2020-04-13,1 wk ahead cum death,2020-04-18,24,Maryland,point,,611.1509409867302
105,2020-04-13,1 wk ahead cum death,2020-04-18,23,Maine,point,,39.69373504552618
106,2020-04-13,1 wk ahead cum death,2020-04-18,26,Michigan,point,,2489.365022845708
107,2020-04-13,1 wk ahead cum death,2020-04-18,27,Minnesota,point,,259.75134972143167
108,2020-04-13,1 wk ahead cum death,2020-04-18,29,Missouri,point,,175.03718223914672
109,2020-04-13,1 wk ahead cum death,2020-04-18,30,Montana,point,,35.758349482552546
110,2020-04-13,1 wk ahead cum death,2020-04-18,37,North Carolina,point,,275.5657264508691
111,2020-04-13,1 wk ahead cum death,2020-04-18,38,North Dakota,point,,13.882764842783107
112,2020-04-13,1 wk ahead cum death,2020-04-18,31,Nebraska,point,,39.34016811181185
113,2020-04-13,1 wk ahead cum death,2020-04-18,33,New Hampshire,point,,130.43877168482703
114,2020-04-13,1 wk ahead cum death,2020-04-18,34,New Jersey,point,,896.1276813323027
115,2020-04-13,1 wk ahead cum death,2020-04-18,35,New Mexico,point,,68.57273407712734
116,2020-04-13,1 wk ahead cum death,2020-04-18,32,Nevada,point,,315.08937494179975
117,2020-04-13,1 wk ahead cum death,2020-04-18,36,New York,point,,13773.02014318523
118,2020-04-13,1 wk ahead cum death,2020-04-18,39,Ohio,point,,393.46766078056123
119,2020-04-13,1 wk ahead cum death,2020-04-18,40,Oklahoma,point,,79.4739594779317
120,2020-04-13,1 wk ahead cum death,2020-04-18,41,Oregon,point,,196.15944131065484
121,2020-04-13,1 wk ahead cum death,2020-04-18,42,Pennsylvania,point,,432.6950225046948
122,2020-04-13,1 wk ahead cum death,2020-04-18,44,Rhode Island,point,,31.205756484451857
123,2020-04-13,1 wk ahead cum death,2020-04-18,45,South Carolina,point,,118.68365101444248
124,2020-04-13,1 wk ahead cum death,2020-04-18,46,South Dakota,point,,11.082346272411597
125,2020-04-13,1 wk ahead cum death,2020-04-18,47,Tennessee,point,,168.5041147310689
126,2020-04-13,1 wk ahead cum death,2020-04-18,48,Texas,point,,1379.1279785947218
127,2020-04-13,1 wk ahead cum death,2020-04-18,49,Utah,point,,175.17714337178262
128,2020-04-13,1 wk ahead cum death,2020-04-18,51,Virginia,point,,498.44913608267984
129,2020-04-13,1 wk ahead cum death,2020-04-18,50,Vermont,point,,16.49864732705435
130,2020-04-13,1 wk ahead cum death,2020-04-18,53,Washington,point,,726.7236209815269
131,2020-04-13,1 wk ahead cum death,2020-04-18,55,Wisconsin,point,,151.84021849991498
132,2020-04-13,1 wk ahead cum death,2020-04-18,54,West Virginia,point,,10.391257468312526
133,2020-04-13,1 wk ahead cum death,2020-04-18,56,Wyoming,point,,11.654660286650298
134,2020-04-13,1 wk ahead cum death,2020-04-18,US,US,point,,37129.24069815
135,2020-04-13,1 wk ahead inc death,2020-04-18,01,Alabama,point,,16.955729623424066
136,2020-04-13,1 wk ahead inc death,2020-04-18,05,Arkansas,point,,9.68137772873012
137,2020-04-13,1 wk ahead inc death,2020-04-18,04,Arizona,point,,135.20029118367665
138,2020-04-13,1 wk ahead inc death,2020-04-18,06,California,point,,398.6727981698154
139,2020-04-13,1 wk ahead inc death,2020-04-18,08,Colorado,point,,124.93579456173107
140,2020-04-13,1 wk ahead inc death,2020-04-18,09,Connecticut,point,,204.53307366992985
141,2020-04-13,1 wk ahead inc death,2020-04-18,10,Delaware,point,,15.568635165744455
142,2020-04-13,1 wk ahead inc death,2020-04-18,12,Florida,point,,516.9014456778586
143,2020-04-13,1 wk ahead inc death,2020-04-18,19,Iowa,point,,22.801911619132557
144,2020-04-13,1 wk ahead inc death,2020-04-18,16,Idaho,point,,17.161930801817388
145,2020-04-13,1 wk ahead inc death,2020-04-18,17,Illinois,point,,272.5817754393304
146,2020-04-13,1 wk ahead inc death,2020-04-18,18,Indiana,point,,65.61696465239329
147,2020-04-13,1 wk ahead inc death,2020-04-18,20,Kansas,point,,32.10844419954977
148,2020-04-13,1 wk ahead inc death,2020-04-18,25,Massachusetts,point,,309.8842775985069
149,2020-04-13,1 wk ahead inc death,2020-04-18,24,Maryland,point,,182.6574859558147
150,2020-04-13,1 wk ahead inc death,2020-04-18,23,Maine,point,,12.000117210584653
151,2020-04-13,1 wk ahead inc death,2020-04-18,26,Michigan,point,,616.5702814729698
152,2020-04-13,1 wk ahead inc death,2020-04-18,27,Minnesota,point,,78.13305802153481
153,2020-04-13,1 wk ahead inc death,2020-04-18,29,Missouri,point,,51.393314465276184
154,2020-04-13,1 wk ahead inc death,2020-04-18,30,Montana,point,,11.25528486300881
155,2020-04-13,1 wk ahead inc death,2020-04-18,37,North Carolina,point,,86.1168588012549
156,2020-04-13,1 wk ahead inc death,2020-04-18,38,North Dakota,point,,4.361977213623925
