,forecast_date,target,location,location_name,target_end_date,type,quantile,value
0,2020-06-10,1 day ahead cum death,US,US,2020-06-11,point,,102894.8083028083
1,2020-06-10,2 day ahead cum death,US,US,2020-06-12,point,,103361.84149184151
2,2020-06-10,3 day ahead cum death,US,US,2020-06-13,point,,103817.30554630556
3,2020-06-10,4 day ahead cum death,US,US,2020-06-14,point,,104261.65031265034
4,2020-06-10,5 day ahead cum death,US,US,2020-06-15,point,,104695.50664150664
5,2020-06-10,6 day ahead cum death,US,US,2020-06-16,point,,105119.48444148443
6,2020-06-10,7 day ahead cum death,US,US,2020-06-17,point,,105534.36807636806
7,2020-06-10,8 day ahead cum death,US,US,2020-06-18,point,,105941.0725940726
8,2020-06-10,9 day ahead cum death,US,US,2020-06-19,point,,106339.93857993858
9,2020-06-10,10 day ahead cum death,US,US,2020-06-20,point,,106731.7028897029
10,2020-06-10,11 day ahead cum death,US,US,2020-06-21,point,,107117.14948014947
11,2020-06-10,12 day ahead cum death,US,US,2020-06-22,point,,107496.69130869133
12,2020-06-10,13 day ahead cum death,US,US,2020-06-23,point,,107871.08073408074
13,2020-06-10,14 day ahead cum death,US,US,2020-06-24,point,,108240.74814074814
14,2020-06-10,15 day ahead cum death,US,US,2020-06-25,point,,108606.32375032378
15,2020-06-10,16 day ahead cum death,US,US,2020-06-26,point,,108968.3705923706
16,2020-06-10,17 day ahead cum death,US,US,2020-06-27,point,,109327.54082954084
17,2020-06-10,18 day ahead cum death,US,US,2020-06-28,point,,109683.98986198986
18,2020-06-10,19 day ahead cum death,US,US,2020-06-29,point,,110038.19595219595
19,2020-06-10,20 day ahead cum death,US,US,2020-06-30,point,,110390.45436045436
20,2020-06-10,21 day ahead cum death,US,US,2020-07-01,point,,110741.17401117401
21,2020-06-10,22 day ahead cum death,US,US,2020-07-02,point,,111090.78710178712
22,2020-06-10,23 day ahead cum death,US,US,2020-07-03,point,,111439.40293040292
23,2020-06-10,24 day ahead cum death,US,US,2020-07-04,point,,111787.68191068193
24,2020-06-10,25 day ahead cum death,US,US,2020-07-05,point,,112135.89066489069
25,2020-06-10,26 day ahead cum death,US,US,2020-07-06,point,,112484.06116106117
26,2020-06-10,27 day ahead cum death,US,US,2020-07-07,point,,112833.0930920931
27,2020-06-10,28 day ahead cum death,US,US,2020-07-08,point,,113183.03644503644
28,2020-06-10,29 day ahead cum death,US,US,2020-07-09,point,,113534.74118474119
29,2020-06-10,30 day ahead cum death,US,US,2020-07-10,point,,113888.37617937617
30,2020-06-10,31 day ahead cum death,US,US,2020-07-11,point,,114244.7261997262
31,2020-06-10,32 day ahead cum death,US,US,2020-07-12,point,,114604.39242239244
32,2020-06-10,33 day ahead cum death,US,US,2020-07-13,point,,114968.33655233655
