,Unnamed: 0,forecast_date,target,target_end_date,location,type,quantile,value
0,0,2020-06-07,1 day ahead cum death,2020-06-08,2,point,,10.05636825
24,24,2020-06-07,1 day ahead inc death,2020-06-08,2,point,,0.056368246
48,48,2020-06-07,1 wk ahead cum death,2020-06-13,2,point,,10.43402369
72,72,2020-06-07,1 wk ahead inc death,2020-06-13,2,point,,0.434023692
96,96,2020-06-07,10 day ahead cum death,2020-06-17,2,point,,10.80592679
120,120,2020-06-07,10 day ahead inc death,2020-06-17,2,point,,0.096316706
144,144,2020-06-07,11 day ahead cum death,2020-06-18,2,point,,10.90780517
168,168,2020-06-07,11 day ahead inc death,2020-06-18,2,point,,0.101878379
192,192,2020-06-07,12 day ahead cum death,2020-06-19,2,point,,11.01414304
216,216,2020-06-07,12 day ahead inc death,2020-06-19,2,point,,0.106337876
240,240,2020-06-07,13 day ahead cum death,2020-06-20,2,point,,11.12452672
264,264,2020-06-07,13 day ahead inc death,2020-06-20,2,point,,0.110383678
288,288,2020-06-07,14 day ahead cum death,2020-06-21,2,point,,11.24058207
312,312,2020-06-07,14 day ahead inc death,2020-06-21,2,point,,0.11605535
336,336,2020-06-07,15 day ahead cum death,2020-06-22,2,point,,11.35807043
360,360,2020-06-07,15 day ahead inc death,2020-06-22,2,point,,0.117488358
384,384,2020-06-07,16 day ahead cum death,2020-06-23,2,point,,11.47627186
408,408,2020-06-07,16 day ahead inc death,2020-06-23,2,point,,0.118201434
432,432,2020-06-07,17 day ahead cum death,2020-06-24,2,point,,11.59417152
456,456,2020-06-07,17 day ahead inc death,2020-06-24,2,point,,0.11789966
480,480,2020-06-07,18 day ahead cum death,2020-06-25,2,point,,11.71143024
504,504,2020-06-07,18 day ahead inc death,2020-06-25,2,point,,0.117258718
528,528,2020-06-07,19 day ahead cum death,2020-06-26,2,point,,11.82721453
552,552,2020-06-07,19 day ahead inc death,2020-06-26,2,point,,0.11578429
576,576,2020-06-07,2 day ahead cum death,2020-06-09,2,point,,10.11953211
600,600,2020-06-07,2 day ahead inc death,2020-06-09,2,point,,0.06316386
624,624,2020-06-07,2 wk ahead cum death,2020-06-20,2,point,,11.12452672
648,648,2020-06-07,2 wk ahead inc death,2020-06-20,2,point,,0.690503028
672,672,2020-06-07,20 day ahead cum death,2020-06-27,2,point,,11.94071314
696,696,2020-06-07,20 day ahead inc death,2020-06-27,2,point,,0.113498609
720,720,2020-06-07,21 day ahead cum death,2020-06-28,2,point,,12.05196546
744,744,2020-06-07,21 day ahead inc death,2020-06-28,2,point,,0.111252317
768,768,2020-06-07,22 day ahead cum death,2020-06-29,2,point,,12.1603335
792,792,2020-06-07,22 day ahead inc death,2020-06-29,2,point,,0.108368048
816,816,2020-06-07,23 day ahead cum death,2020-06-30,2,point,,12.26563688
840,840,2020-06-07,23 day ahead inc death,2020-06-30,2,point,,0.105303378
864,864,2020-06-07,24 day ahead cum death,2020-07-01,2,point,,12.36768886
888,888,2020-06-07,24 day ahead inc death,2020-07-01,2,point,,0.102051974
912,912,2020-06-07,25 day ahead cum death,2020-07-02,2,point,,12.46593293
936,936,2020-06-07,25 day ahead inc death,2020-07-02,2,point,,0.098244078
960,960,2020-06-07,26 day ahead cum death,2020-07-03,2,point,,12.56004941
984,984,2020-06-07,26 day ahead inc death,2020-07-03,2,point,,0.09411648
1008,1008,2020-06-07,27 day ahead cum death,2020-07-04,2,point,,12.6498646
1032,1032,2020-06-07,27 day ahead inc death,2020-07-04,2,point,,0.08981518699999999
1056,1056,2020-06-07,3 day ahead cum death,2020-06-10,2,point,,10.19036753
1080,1080,2020-06-07,3 day ahead inc death,2020-06-10,2,point,,0.070835423
1104,1104,2020-06-07,3 wk ahead cum death,2020-06-27,2,point,,11.94071314
1128,1128,2020-06-07,3 wk ahead inc death,2020-06-27,2,point,,0.8161864190000001
1152,1152,2020-06-07,4 day ahead cum death,2020-06-11,2,point,,10.26460432
