,forecast_date,target,target_end_date,location,type,quantile,value
23,2020-05-18,0 day ahead cum death,2020-05-18,US,point,,90447.5
47,2020-05-18,1 day ahead cum death,2020-05-19,US,point,,91763.0
71,2020-05-18,2 day ahead cum death,2020-05-20,US,point,,93063.5
95,2020-05-18,3 day ahead cum death,2020-05-21,US,point,,94359.5
119,2020-05-18,4 day ahead cum death,2020-05-22,US,point,,95660.5
143,2020-05-18,5 day ahead cum death,2020-05-23,US,point,,96943.5
167,2020-05-18,6 day ahead cum death,2020-05-24,US,point,,98223.5
191,2020-05-18,7 day ahead cum death,2020-05-25,US,point,,99494.0
215,2020-05-18,8 day ahead cum death,2020-05-26,US,point,,100757.0
239,2020-05-18,9 day ahead cum death,2020-05-27,US,point,,102023.5
263,2020-05-18,10 day ahead cum death,2020-05-28,US,point,,103292.5
287,2020-05-18,11 day ahead cum death,2020-05-29,US,point,,104545.0
311,2020-05-18,12 day ahead cum death,2020-05-30,US,point,,105802.0
335,2020-05-18,13 day ahead cum death,2020-05-31,US,point,,107052.5
359,2020-05-18,14 day ahead cum death,2020-06-01,US,point,,108292.5
383,2020-05-18,15 day ahead cum death,2020-06-02,US,point,,109547.5
407,2020-05-18,16 day ahead cum death,2020-06-03,US,point,,110775.5
431,2020-05-18,17 day ahead cum death,2020-06-04,US,point,,112015.5
455,2020-05-18,18 day ahead cum death,2020-06-05,US,point,,113270.0
479,2020-05-18,19 day ahead cum death,2020-06-06,US,point,,114498.0
503,2020-05-18,20 day ahead cum death,2020-06-07,US,point,,115715.0
527,2020-05-18,21 day ahead cum death,2020-06-08,US,point,,116956.5
551,2020-05-18,22 day ahead cum death,2020-06-09,US,point,,118178.0
575,2020-05-18,23 day ahead cum death,2020-06-10,US,point,,119408.0
599,2020-05-18,24 day ahead cum death,2020-06-11,US,point,,120631.5
623,2020-05-18,25 day ahead cum death,2020-06-12,US,point,,121865.5
647,2020-05-18,26 day ahead cum death,2020-06-13,US,point,,123098.5
671,2020-05-18,27 day ahead cum death,2020-06-14,US,point,,124328.5
695,2020-05-18,28 day ahead cum death,2020-06-15,US,point,,125561.0
