,target_end_date,country,quantile,value,location,forecast_date,type,state,target
12,2020-05-25,US,,595,1,2020-05-25,point,AL,0 day ahead cum death
36,2020-05-26,US,,608,1,2020-05-25,point,AL,1 day ahead cum death
60,2020-05-27,US,,619,1,2020-05-25,point,AL,2 day ahead cum death
84,2020-05-28,US,,627,1,2020-05-25,point,AL,3 day ahead cum death
108,2020-05-29,US,,635,1,2020-05-25,point,AL,4 day ahead cum death
144,2020-05-30,US,,643,1,2020-05-25,point,AL,5 day ahead cum death
145,2020-05-30,US,,643,1,2020-05-25,point,AL,1 wk ahead cum death
180,2020-05-31,US,,650,1,2020-05-25,point,AL,6 day ahead cum death
204,2020-06-01,US,,657,1,2020-05-25,point,AL,7 day ahead cum death
228,2020-06-02,US,,663,1,2020-05-25,point,AL,8 day ahead cum death
252,2020-06-03,US,,670,1,2020-05-25,point,AL,9 day ahead cum death
276,2020-06-04,US,,676,1,2020-05-25,point,AL,10 day ahead cum death
300,2020-06-05,US,,682,1,2020-05-25,point,AL,11 day ahead cum death
336,2020-06-06,US,,688,1,2020-05-25,point,AL,12 day ahead cum death
337,2020-06-06,US,,688,1,2020-05-25,point,AL,2 wk ahead cum death
372,2020-06-07,US,,694,1,2020-05-25,point,AL,13 day ahead cum death
396,2020-06-08,US,,700,1,2020-05-25,point,AL,14 day ahead cum death
420,2020-06-09,US,,705,1,2020-05-25,point,AL,15 day ahead cum death
444,2020-06-10,US,,711,1,2020-05-25,point,AL,16 day ahead cum death
468,2020-06-11,US,,716,1,2020-05-25,point,AL,17 day ahead cum death
492,2020-06-12,US,,722,1,2020-05-25,point,AL,18 day ahead cum death
528,2020-06-13,US,,727,1,2020-05-25,point,AL,19 day ahead cum death
529,2020-06-13,US,,727,1,2020-05-25,point,AL,3 wk ahead cum death
564,2020-06-14,US,,732,1,2020-05-25,point,AL,20 day ahead cum death
588,2020-06-15,US,,737,1,2020-05-25,point,AL,21 day ahead cum death
612,2020-06-16,US,,742,1,2020-05-25,point,AL,22 day ahead cum death
636,2020-06-17,US,,747,1,2020-05-25,point,AL,23 day ahead cum death
660,2020-06-18,US,,752,1,2020-05-25,point,AL,24 day ahead cum death
684,2020-06-19,US,,757,1,2020-05-25,point,AL,25 day ahead cum death
720,2020-06-20,US,,762,1,2020-05-25,point,AL,26 day ahead cum death
721,2020-06-20,US,,762,1,2020-05-25,point,AL,4 wk ahead cum death
756,2020-06-21,US,,766,1,2020-05-25,point,AL,27 day ahead cum death
780,2020-06-22,US,,771,1,2020-05-25,point,AL,28 day ahead cum death
804,2020-06-23,US,,775,1,2020-05-25,point,AL,29 day ahead cum death
828,2020-06-24,US,,780,1,2020-05-25,point,AL,30 day ahead cum death
852,2020-06-25,US,,784,1,2020-05-25,point,AL,31 day ahead cum death
876,2020-06-26,US,,788,1,2020-05-25,point,AL,32 day ahead cum death
912,2020-06-27,US,,792,1,2020-05-25,point,AL,33 day ahead cum death
913,2020-06-27,US,,792,1,2020-05-25,point,AL,5 wk ahead cum death
948,2020-06-28,US,,796,1,2020-05-25,point,AL,34 day ahead cum death
972,2020-06-29,US,,800,1,2020-05-25,point,AL,35 day ahead cum death
996,2020-06-30,US,,804,1,2020-05-25,point,AL,36 day ahead cum death
1020,2020-07-01,US,,808,1,2020-05-25,point,AL,37 day ahead cum death
1044,2020-07-02,US,,812,1,2020-05-25,point,AL,38 day ahead cum death
1068,2020-07-03,US,,816,1,2020-05-25,point,AL,39 day ahead cum death
1104,2020-07-04,US,,819,1,2020-05-25,point,AL,40 day ahead cum death
1105,2020-07-04,US,,819,1,2020-05-25,point,AL,6 wk ahead cum death
1140,2020-07-05,US,,823,1,2020-05-25,point,AL,41 day ahead cum death
1164,2020-07-06,US,,827,1,2020-05-25,point,AL,42 day ahead cum death
1188,2020-07-07,US,,830,1,2020-05-25,point,AL,43 day ahead cum death
1212,2020-07-08,US,,834,1,2020-05-25,point,AL,44 day ahead cum death
1236,2020-07-09,US,,837,1,2020-05-25,point,AL,45 day ahead cum death
1260,2020-07-10,US,,840,1,2020-05-25,point,AL,46 day ahead cum death
