,Unnamed: 0,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,0.0,2020-05-17,1 day ahead cum death,2020-05-18,1,AL,point,,504.0
1,24.0,2020-05-17,2 day ahead cum death,2020-05-19,1,AL,point,,523.0
2,48.0,2020-05-17,3 day ahead cum death,2020-05-20,1,AL,point,,543.0
3,72.0,2020-05-17,4 day ahead cum death,2020-05-21,1,AL,point,,562.0
4,96.0,2020-05-17,5 day ahead cum death,2020-05-22,1,AL,point,,581.0
5,120.0,2020-05-17,6 day ahead cum death,2020-05-23,1,AL,point,,600.0
6,144.0,2020-05-17,7 day ahead cum death,2020-05-24,1,AL,point,,620.0
7,168.0,2020-05-17,8 day ahead cum death,2020-05-25,1,AL,point,,639.0
8,192.0,2020-05-17,9 day ahead cum death,2020-05-26,1,AL,point,,658.0
9,216.0,2020-05-17,10 day ahead cum death,2020-05-27,1,AL,point,,677.0
10,240.0,2020-05-17,11 day ahead cum death,2020-05-28,1,AL,point,,696.0
11,264.0,2020-05-17,12 day ahead cum death,2020-05-29,1,AL,point,,715.0
12,288.0,2020-05-17,13 day ahead cum death,2020-05-30,1,AL,point,,734.0
13,312.0,2020-05-17,14 day ahead cum death,2020-05-31,1,AL,point,,753.0
14,336.0,2020-05-17,15 day ahead cum death,2020-06-01,1,AL,point,,771.0
15,360.0,2020-05-17,16 day ahead cum death,2020-06-02,1,AL,point,,789.0
16,384.0,2020-05-17,17 day ahead cum death,2020-06-03,1,AL,point,,808.0
17,408.0,2020-05-17,18 day ahead cum death,2020-06-04,1,AL,point,,826.0
18,432.0,2020-05-17,19 day ahead cum death,2020-06-05,1,AL,point,,844.0
19,456.0,2020-05-17,20 day ahead cum death,2020-06-06,1,AL,point,,861.0
20,480.0,2020-05-17,21 day ahead cum death,2020-06-07,1,AL,point,,879.0
21,504.0,2020-05-17,22 day ahead cum death,2020-06-08,1,AL,point,,896.0
22,528.0,2020-05-17,23 day ahead cum death,2020-06-09,1,AL,point,,913.0
23,552.0,2020-05-17,24 day ahead cum death,2020-06-10,1,AL,point,,930.0
24,576.0,2020-05-17,25 day ahead cum death,2020-06-11,1,AL,point,,947.0
25,600.0,2020-05-17,26 day ahead cum death,2020-06-12,1,AL,point,,963.0
26,624.0,2020-05-17,27 day ahead cum death,2020-06-13,1,AL,point,,981.0
27,648.0,2020-05-17,28 day ahead cum death,2020-06-14,1,AL,point,,998.0
28,672.0,2020-05-17,29 day ahead cum death,2020-06-15,1,AL,point,,1015.0
29,696.0,2020-05-17,30 day ahead cum death,2020-06-16,1,AL,point,,1033.0
30,720.0,2020-05-17,31 day ahead cum death,2020-06-17,1,AL,point,,1049.0
31,744.0,2020-05-17,1 day ahead inc death,2020-05-18,1,AL,point,,19.0
32,768.0,2020-05-17,2 day ahead inc death,2020-05-19,1,AL,point,,19.0
33,792.0,2020-05-17,3 day ahead inc death,2020-05-20,1,AL,point,,19.0
34,816.0,2020-05-17,4 day ahead inc death,2020-05-21,1,AL,point,,19.0
35,840.0,2020-05-17,5 day ahead inc death,2020-05-22,1,AL,point,,19.0
36,864.0,2020-05-17,6 day ahead inc death,2020-05-23,1,AL,point,,19.0
37,888.0,2020-05-17,7 day ahead inc death,2020-05-24,1,AL,point,,19.0
38,912.0,2020-05-17,8 day ahead inc death,2020-05-25,1,AL,point,,19.0
39,936.0,2020-05-17,9 day ahead inc death,2020-05-26,1,AL,point,,19.0
40,960.0,2020-05-17,10 day ahead inc death,2020-05-27,1,AL,point,,19.0
41,984.0,2020-05-17,11 day ahead inc death,2020-05-28,1,AL,point,,19.0
42,1008.0,2020-05-17,12 day ahead inc death,2020-05-29,1,AL,point,,19.0
43,1032.0,2020-05-17,13 day ahead inc death,2020-05-30,1,AL,point,,19.0
44,1056.0,2020-05-17,14 day ahead inc death,2020-05-31,1,AL,point,,19.0
45,1080.0,2020-05-17,15 day ahead inc death,2020-06-01,1,AL,point,,19.0
46,1104.0,2020-05-17,16 day ahead inc death,2020-06-02,1,AL,point,,18.0
47,1128.0,2020-05-17,17 day ahead inc death,2020-06-03,1,AL,point,,18.0
48,1152.0,2020-05-17,18 day ahead inc death,2020-06-04,1,AL,point,,18.0
49,1176.0,2020-05-17,19 day ahead inc death,2020-06-05,1,AL,point,,18.0
50,1200.0,2020-05-17,20 day ahead inc death,2020-06-06,1,AL,point,,18.0
51,1224.0,2020-05-17,21 day ahead inc death,2020-06-07,1,AL,point,,18.0
52,1248.0,2020-05-17,22 day ahead inc death,2020-06-08,1,AL,point,,17.0
53,1272.0,2020-05-17,23 day ahead inc death,2020-06-09,1,AL,point,,17.0
54,1296.0,2020-05-17,24 day ahead inc death,2020-06-10,1,AL,point,,17.0
55,1320.0,2020-05-17,25 day ahead inc death,2020-06-11,1,AL,point,,17.0
56,1344.0,2020-05-17,26 day ahead inc death,2020-06-12,1,AL,point,,17.0
57,1368.0,2020-05-17,27 day ahead inc death,2020-06-13,1,AL,point,,16.0
58,1392.0,2020-05-17,28 day ahead inc death,2020-06-14,1,AL,point,,16.0
59,1416.0,2020-05-17,29 day ahead inc death,2020-06-15,1,AL,point,,16.0
60,1440.0,2020-05-17,30 day ahead inc death,2020-06-16,1,AL,point,,16.0
61,1464.0,2020-05-17,31 day ahead inc death,2020-06-17,1,AL,point,,15.0
62,1488.0,2020-05-17,1 day ahead cum death,2020-05-18,2,AK,point,,10.0
63,1512.0,2020-05-17,2 day ahead cum death,2020-05-19,2,AK,point,,10.0
64,1536.0,2020-05-17,3 day ahead cum death,2020-05-20,2,AK,point,,11.0
65,1560.0,2020-05-17,4 day ahead cum death,2020-05-21,2,AK,point,,11.0
66,1584.0,2020-05-17,5 day ahead cum death,2020-05-22,2,AK,point,,11.0
67,1608.0,2020-05-17,6 day ahead cum death,2020-05-23,2,AK,point,,11.0
68,1632.0,2020-05-17,7 day ahead cum death,2020-05-24,2,AK,point,,11.0
69,1656.0,2020-05-17,8 day ahead cum death,2020-05-25,2,AK,point,,12.0
70,1680.0,2020-05-17,9 day ahead cum death,2020-05-26,2,AK,point,,12.0
71,1704.0,2020-05-17,10 day ahead cum death,2020-05-27,2,AK,point,,12.0
72,1728.0,2020-05-17,11 day ahead cum death,2020-05-28,2,AK,point,,12.0
73,1752.0,2020-05-17,12 day ahead cum death,2020-05-29,2,AK,point,,12.0
74,1776.0,2020-05-17,13 day ahead cum death,2020-05-30,2,AK,point,,13.0
75,1800.0,2020-05-17,14 day ahead cum death,2020-05-31,2,AK,point,,13.0
76,1824.0,2020-05-17,15 day ahead cum death,2020-06-01,2,AK,point,,13.0
77,1848.0,2020-05-17,16 day ahead cum death,2020-06-02,2,AK,point,,13.0
78,1872.0,2020-05-17,17 day ahead cum death,2020-06-03,2,AK,point,,13.0
79,1896.0,2020-05-17,18 day ahead cum death,2020-06-04,2,AK,point,,14.0
80,1920.0,2020-05-17,19 day ahead cum death,2020-06-05,2,AK,point,,14.0
81,1944.0,2020-05-17,20 day ahead cum death,2020-06-06,2,AK,point,,14.0
82,1968.0,2020-05-17,21 day ahead cum death,2020-06-07,2,AK,point,,14.0
83,1992.0,2020-05-17,22 day ahead cum death,2020-06-08,2,AK,point,,14.0
84,2016.0,2020-05-17,23 day ahead cum death,2020-06-09,2,AK,point,,15.0
85,2040.0,2020-05-17,24 day ahead cum death,2020-06-10,2,AK,point,,15.0
86,2064.0,2020-05-17,25 day ahead cum death,2020-06-11,2,AK,point,,15.0
87,2088.0,2020-05-17,26 day ahead cum death,2020-06-12,2,AK,point,,15.0
88,2112.0,2020-05-17,27 day ahead cum death,2020-06-13,2,AK,point,,16.0
89,2136.0,2020-05-17,28 day ahead cum death,2020-06-14,2,AK,point,,16.0
90,2160.0,2020-05-17,29 day ahead cum death,2020-06-15,2,AK,point,,16.0
91,2184.0,2020-05-17,30 day ahead cum death,2020-06-16,2,AK,point,,16.0
92,2208.0,2020-05-17,31 day ahead cum death,2020-06-17,2,AK,point,,16.0
93,2232.0,2020-05-17,1 day ahead inc death,2020-05-18,2,AK,point,,0.0
94,2256.0,2020-05-17,2 day ahead inc death,2020-05-19,2,AK,point,,0.0
95,2280.0,2020-05-17,3 day ahead inc death,2020-05-20,2,AK,point,,0.0
96,2304.0,2020-05-17,4 day ahead inc death,2020-05-21,2,AK,point,,0.0
97,2328.0,2020-05-17,5 day ahead inc death,2020-05-22,2,AK,point,,0.0
98,2352.0,2020-05-17,6 day ahead inc death,2020-05-23,2,AK,point,,0.0
99,2376.0,2020-05-17,7 day ahead inc death,2020-05-24,2,AK,point,,0.0
100,2400.0,2020-05-17,8 day ahead inc death,2020-05-25,2,AK,point,,0.0
101,2424.0,2020-05-17,9 day ahead inc death,2020-05-26,2,AK,point,,0.0
