,location_name,type,quantile,value,forecast_date,target_end_date,target,location
2300,US,point,,66622.81163010697,2020-05-01,2020-05-02,1 day ahead cum death,US
2301,US,point,,68269.95896794912,2020-05-01,2020-05-03,2 day ahead cum death,US
2302,US,point,,69878.77684653793,2020-05-01,2020-05-04,3 day ahead cum death,US
2303,US,point,,71448.78102934154,2020-05-01,2020-05-05,4 day ahead cum death,US
2304,US,point,,72979.64631619409,2020-05-01,2020-05-06,5 day ahead cum death,US
2305,US,point,,74471.18700295383,2020-05-01,2020-05-07,6 day ahead cum death,US
2306,US,point,,75923.34403310751,2020-05-01,2020-05-08,7 day ahead cum death,US
2307,US,point,,77336.17303521899,2020-05-01,2020-05-09,1 wk ahead cum death,US
2308,US,point,,78709.83319326006,2020-05-01,2020-05-10,9 day ahead cum death,US
2309,US,point,,80044.57689975807,2020-05-01,2020-05-11,10 day ahead cum death,US
2310,US,point,,81340.73926602796,2020-05-01,2020-05-12,11 day ahead cum death,US
2311,US,point,,82598.72281747246,2020-05-01,2020-05-13,12 day ahead cum death,US
2312,US,point,,83819.00446575331,2020-05-01,2020-05-14,13 day ahead cum death,US
2313,US,point,,85002.11667865231,2020-05-01,2020-05-15,14 day ahead cum death,US
2314,US,point,,86148.63769098173,2020-05-01,2020-05-16,2 wk ahead cum death,US
2315,US,point,,87259.18578777982,2020-05-01,2020-05-17,16 day ahead cum death,US
2316,US,point,,88334.41401584056,2020-05-01,2020-05-18,17 day ahead cum death,US
2317,US,point,,89375.00529701148,2020-05-01,2020-05-19,18 day ahead cum death,US
2318,US,point,,90381.6679181752,2020-05-01,2020-05-20,19 day ahead cum death,US
2319,US,point,,91355.13137423503,2020-05-01,2020-05-21,20 day ahead cum death,US
2320,US,point,,92296.14013568107,2020-05-01,2020-05-22,21 day ahead cum death,US
2321,US,point,,93205.44919377351,2020-05-01,2020-05-23,3 wk ahead cum death,US
2322,US,point,,94083.83558030818,2020-05-01,2020-05-24,23 day ahead cum death,US
2323,US,point,,94932.08050949348,2020-05-01,2020-05-25,24 day ahead cum death,US
2324,US,point,,95750.96585050227,2020-05-01,2020-05-26,25 day ahead cum death,US
2325,US,point,,96541.2722448465,2020-05-01,2020-05-27,26 day ahead cum death,US
2326,US,point,,97303.77739451207,2020-05-01,2020-05-28,27 day ahead cum death,US
2327,US,point,,98039.25450951443,2020-05-01,2020-05-29,28 day ahead cum death,US
2328,US,point,,98748.47090418887,2020-05-01,2020-05-30,4 wk ahead cum death,US
2329,US,point,,99432.18673214994,2020-05-01,2020-05-31,30 day ahead cum death,US
2330,US,point,,100091.1538504386,2020-05-01,2020-06-01,31 day ahead cum death,US
2331,US,point,,100726.11480393307,2020-05-01,2020-06-02,32 day ahead cum death,US
2332,US,point,,101337.8019216232,2020-05-01,2020-06-03,33 day ahead cum death,US
2333,US,point,,101926.93059598397,2020-05-01,2020-06-04,34 day ahead cum death,US
2334,US,point,,102494.2077139827,2020-05-01,2020-06-05,35 day ahead cum death,US
2335,US,point,,103040.33849172725,2020-05-01,2020-06-06,5 wk ahead cum death,US
2336,US,point,,103566.0121352882,2020-05-01,2020-06-07,37 day ahead cum death,US
2337,US,point,,104071.90165849804,2020-05-01,2020-06-08,38 day ahead cum death,US
2338,US,point,,104558.66386378928,2020-05-01,2020-06-09,39 day ahead cum death,US
2339,US,point,,105026.93935811725,2020-05-01,2020-06-10,40 day ahead cum death,US
2340,US,point,,105477.35260094356,2020-05-01,2020-06-11,41 day ahead cum death,US
2341,US,point,,105910.51198145039,2020-05-01,2020-06-12,42 day ahead cum death,US
2342,US,point,,106327.00992233683,2020-05-01,2020-06-13,6 wk ahead cum death,US
2343,US,point,,106727.42300772047,2020-05-01,2020-06-14,44 day ahead cum death,US
2344,US,point,,107112.31213283053,2020-05-01,2020-06-15,45 day ahead cum death,US
2345,US,point,,107482.22267333033,2020-05-01,2020-06-16,46 day ahead cum death,US
2346,US,point,,107837.68467225287,2020-05-01,2020-06-17,47 day ahead cum death,US
2347,US,point,,108179.2130426674,2020-05-01,2020-06-18,48 day ahead cum death,US
2348,US,point,,108507.3077843257,2020-05-01,2020-06-19,49 day ahead cum death,US
2349,US,point,,108822.45421265467,2020-05-01,2020-06-20,7 wk ahead cum death,US
2350,US,point,,109125.12100455009,2020-05-01,2020-06-21,51 day ahead cum death,US
2351,US,point,,109415.7527964479,2020-05-01,2020-06-22,52 day ahead cum death,US
2352,US,point,,109694.79858510203,2020-05-01,2020-06-23,53 day ahead cum death,US
2353,US,point,,109962.69536867958,2020-05-01,2020-06-24,54 day ahead cum death,US
2354,US,point,,110219.86484171354,2020-05-01,2020-06-25,55 day ahead cum death,US
2355,US,point,,110466.71387725671,2020-05-01,2020-06-26,56 day ahead cum death,US
2356,US,point,,110703.63499643203,2020-05-01,2020-06-27,8 wk ahead cum death,US
2357,US,point,,110931.00682557057,2020-05-01,2020-06-28,58 day ahead cum death,US
2358,US,point,,111149.19454113294,2020-05-01,2020-06-29,59 day ahead cum death,US
2359,US,point,,111358.55030261676,2020-05-01,2020-06-30,60 day ahead cum death,US
2360,US,point,,111559.41367365587,2020-05-01,2020-07-01,61 day ahead cum death,US
2361,US,point,,111752.11203152216,2020-05-01,2020-07-02,62 day ahead cum death,US
2362,US,point,,111936.96096524363,2020-05-01,2020-07-03,63 day ahead cum death,US
2363,US,point,,112114.26466255511,2020-05-01,2020-07-04,9 wk ahead cum death,US
2364,US,point,,112284.31628589971,2020-05-01,2020-07-05,65 day ahead cum death,US
2365,US,point,,112447.39833770074,2020-05-01,2020-07-06,66 day ahead cum death,US
