,location,target,type,quantile,forecast_date,target_end_date,value
230,17,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5640.5
231,17,1 wk ahead inc death,point,,2020-05-18,2020-05-23,963.84
232,17,2 wk ahead cum death,point,,2020-05-18,2020-05-30,6651.035
233,17,2 wk ahead inc death,point,,2020-05-18,2020-05-30,1010.535
234,17,3 wk ahead cum death,point,,2020-05-18,2020-06-06,7688.045
235,17,3 wk ahead inc death,point,,2020-05-18,2020-06-06,1037.01
236,17,4 wk ahead cum death,point,,2020-05-18,2020-06-13,8764.075
237,17,4 wk ahead inc death,point,,2020-05-18,2020-06-13,1076.03
238,17,5 wk ahead cum death,point,,2020-05-18,2020-06-20,9908.14
239,17,5 wk ahead inc death,point,,2020-05-18,2020-06-20,1144.065
