,Unnamed: 0,forecast_date,target,target_end_date,location,location_name,type,quantile,value
1794,1795,2020-05-05,1 day ahead cum death,2020-05-06,17,Illinois,point,,3163.585
1795,1796,2020-05-05,1 day ahead inc death,2020-05-06,17,Illinois,point,,101.055
1796,1797,2020-05-05,2 day ahead cum death,2020-05-07,17,Illinois,point,,3262.86
1797,1798,2020-05-05,2 day ahead inc death,2020-05-07,17,Illinois,point,,99.275
1798,1799,2020-05-05,3 day ahead cum death,2020-05-08,17,Illinois,point,,3362.99
1799,1800,2020-05-05,3 day ahead inc death,2020-05-08,17,Illinois,point,,100.13
1800,1801,2020-05-05,4 day ahead cum death,2020-05-09,17,Illinois,point,,3463.485
1801,1802,2020-05-05,4 day ahead inc death,2020-05-09,17,Illinois,point,,100.495
1802,1803,2020-05-05,5 day ahead cum death,2020-05-10,17,Illinois,point,,3566.885
1803,1804,2020-05-05,5 day ahead inc death,2020-05-10,17,Illinois,point,,103.4
1804,1805,2020-05-05,6 day ahead cum death,2020-05-11,17,Illinois,point,,3669.065
1805,1806,2020-05-05,6 day ahead inc death,2020-05-11,17,Illinois,point,,102.18
1806,1807,2020-05-05,7 day ahead cum death,2020-05-12,17,Illinois,point,,3772.98
1807,1808,2020-05-05,7 day ahead inc death,2020-05-12,17,Illinois,point,,103.915
1808,1809,2020-05-05,8 day ahead cum death,2020-05-13,17,Illinois,point,,3878.38
1809,1810,2020-05-05,8 day ahead inc death,2020-05-13,17,Illinois,point,,105.4
1810,1811,2020-05-05,9 day ahead cum death,2020-05-14,17,Illinois,point,,3982.92
1811,1812,2020-05-05,9 day ahead inc death,2020-05-14,17,Illinois,point,,104.54
1812,1813,2020-05-05,10 day ahead cum death,2020-05-15,17,Illinois,point,,4090.07
1813,1814,2020-05-05,10 day ahead inc death,2020-05-15,17,Illinois,point,,107.15
1814,1815,2020-05-05,11 day ahead cum death,2020-05-16,17,Illinois,point,,4197.4
1815,1816,2020-05-05,11 day ahead inc death,2020-05-16,17,Illinois,point,,107.33
1816,1817,2020-05-05,12 day ahead cum death,2020-05-17,17,Illinois,point,,4305.585
1817,1818,2020-05-05,12 day ahead inc death,2020-05-17,17,Illinois,point,,108.185
1818,1819,2020-05-05,13 day ahead cum death,2020-05-18,17,Illinois,point,,4415.615
1819,1820,2020-05-05,13 day ahead inc death,2020-05-18,17,Illinois,point,,110.03
