,quantile,value,type,location,target,forecast_date,target_end_date
12,,13,point,2,1 wk ahead cum death,2020-04-26,2020-05-02
36,,14,point,2,2 wk ahead cum death,2020-04-26,2020-05-09
60,,15,point,2,3 wk ahead cum death,2020-04-26,2020-05-16
84,,16,point,2,4 wk ahead cum death,2020-04-26,2020-05-23
108,,324,point,1,1 wk ahead cum death,2020-04-26,2020-05-02
132,,419,point,1,2 wk ahead cum death,2020-04-26,2020-05-09
156,,516,point,1,3 wk ahead cum death,2020-04-26,2020-05-16
180,,619,point,1,4 wk ahead cum death,2020-04-26,2020-05-23
204,,88,point,5,1 wk ahead cum death,2020-04-26,2020-05-02
228,,134,point,5,2 wk ahead cum death,2020-04-26,2020-05-09
252,,209,point,5,3 wk ahead cum death,2020-04-26,2020-05-16
276,,326,point,5,4 wk ahead cum death,2020-04-26,2020-05-23
300,,390,point,4,1 wk ahead cum death,2020-04-26,2020-05-02
324,,501,point,4,2 wk ahead cum death,2020-04-26,2020-05-09
348,,665,point,4,3 wk ahead cum death,2020-04-26,2020-05-16
372,,803,point,4,4 wk ahead cum death,2020-04-26,2020-05-23
396,,2491,point,6,1 wk ahead cum death,2020-04-26,2020-05-02
420,,3389,point,6,2 wk ahead cum death,2020-04-26,2020-05-09
444,,4379,point,6,3 wk ahead cum death,2020-04-26,2020-05-16
468,,5454,point,6,4 wk ahead cum death,2020-04-26,2020-05-23
492,,965,point,8,1 wk ahead cum death,2020-04-26,2020-05-02
516,,1334,point,8,2 wk ahead cum death,2020-04-26,2020-05-09
540,,1834,point,8,3 wk ahead cum death,2020-04-26,2020-05-16
564,,2377,point,8,4 wk ahead cum death,2020-04-26,2020-05-23
588,,2927,point,9,1 wk ahead cum death,2020-04-26,2020-05-02
612,,4003,point,9,2 wk ahead cum death,2020-04-26,2020-05-09
636,,5209,point,9,3 wk ahead cum death,2020-04-26,2020-05-16
660,,6234,point,9,4 wk ahead cum death,2020-04-26,2020-05-23
684,,253,point,11,1 wk ahead cum death,2020-04-26,2020-05-02
708,,356,point,11,2 wk ahead cum death,2020-04-26,2020-05-09
732,,467,point,11,3 wk ahead cum death,2020-04-26,2020-05-16
756,,581,point,11,4 wk ahead cum death,2020-04-26,2020-05-23
780,,189,point,10,1 wk ahead cum death,2020-04-26,2020-05-02
804,,277,point,10,2 wk ahead cum death,2020-04-26,2020-05-09
828,,387,point,10,3 wk ahead cum death,2020-04-26,2020-05-16
852,,503,point,10,4 wk ahead cum death,2020-04-26,2020-05-23
876,,1438,point,12,1 wk ahead cum death,2020-04-26,2020-05-02
900,,1742,point,12,2 wk ahead cum death,2020-04-26,2020-05-09
924,,2062,point,12,3 wk ahead cum death,2020-04-26,2020-05-16
948,,2279,point,12,4 wk ahead cum death,2020-04-26,2020-05-23
972,,1382,point,13,1 wk ahead cum death,2020-04-26,2020-05-02
996,,1760,point,13,2 wk ahead cum death,2020-04-26,2020-05-09
1020,,2200,point,13,3 wk ahead cum death,2020-04-26,2020-05-16
1044,,2638,point,13,4 wk ahead cum death,2020-04-26,2020-05-23
1068,,17,point,15,1 wk ahead cum death,2020-04-26,2020-05-02
1092,,20,point,15,2 wk ahead cum death,2020-04-26,2020-05-09
1116,,22,point,15,3 wk ahead cum death,2020-04-26,2020-05-16
1140,,24,point,15,4 wk ahead cum death,2020-04-26,2020-05-23
1164,,244,point,19,1 wk ahead cum death,2020-04-26,2020-05-02
1188,,474,point,19,2 wk ahead cum death,2020-04-26,2020-05-09
1212,,970,point,19,3 wk ahead cum death,2020-04-26,2020-05-16
1236,,1932,point,19,4 wk ahead cum death,2020-04-26,2020-05-23
1260,,75,point,16,1 wk ahead cum death,2020-04-26,2020-05-02
1284,,89,point,16,2 wk ahead cum death,2020-04-26,2020-05-09
1308,,100,point,16,3 wk ahead cum death,2020-04-26,2020-05-16
1332,,109,point,16,4 wk ahead cum death,2020-04-26,2020-05-23
1356,,3030,point,17,1 wk ahead cum death,2020-04-26,2020-05-02
1380,,4202,point,17,2 wk ahead cum death,2020-04-26,2020-05-09
1404,,5698,point,17,3 wk ahead cum death,2020-04-26,2020-05-16
1428,,7165,point,17,4 wk ahead cum death,2020-04-26,2020-05-23
1452,,1125,point,18,1 wk ahead cum death,2020-04-26,2020-05-02
1476,,1407,point,18,2 wk ahead cum death,2020-04-26,2020-05-09
1500,,1706,point,18,3 wk ahead cum death,2020-04-26,2020-05-16
1524,,1940,point,18,4 wk ahead cum death,2020-04-26,2020-05-23
1548,,227,point,20,1 wk ahead cum death,2020-04-26,2020-05-02
1572,,366,point,20,2 wk ahead cum death,2020-04-26,2020-05-09
1596,,611,point,20,3 wk ahead cum death,2020-04-26,2020-05-16
1620,,1043,point,20,4 wk ahead cum death,2020-04-26,2020-05-23
1644,,347,point,21,1 wk ahead cum death,2020-04-26,2020-05-02
1668,,504,point,21,2 wk ahead cum death,2020-04-26,2020-05-09
1692,,733,point,21,3 wk ahead cum death,2020-04-26,2020-05-16
1716,,1055,point,21,4 wk ahead cum death,2020-04-26,2020-05-23
1740,,1979,point,22,1 wk ahead cum death,2020-04-26,2020-05-02
1764,,2193,point,22,2 wk ahead cum death,2020-04-26,2020-05-09
1788,,2371,point,22,3 wk ahead cum death,2020-04-26,2020-05-16
1812,,2474,point,22,4 wk ahead cum death,2020-04-26,2020-05-23
1836,,4490,point,25,1 wk ahead cum death,2020-04-26,2020-05-02
1860,,6603,point,25,2 wk ahead cum death,2020-04-26,2020-05-09
1884,,9219,point,25,3 wk ahead cum death,2020-04-26,2020-05-16
1908,,11912,point,25,4 wk ahead cum death,2020-04-26,2020-05-23
1932,,1459,point,24,1 wk ahead cum death,2020-04-26,2020-05-02
1956,,2164,point,24,2 wk ahead cum death,2020-04-26,2020-05-09
1980,,3006,point,24,3 wk ahead cum death,2020-04-26,2020-05-16
2004,,3963,point,24,4 wk ahead cum death,2020-04-26,2020-05-23
2028,,64,point,23,1 wk ahead cum death,2020-04-26,2020-05-02
2052,,80,point,23,2 wk ahead cum death,2020-04-26,2020-05-09
2076,,98,point,23,3 wk ahead cum death,2020-04-26,2020-05-16
2100,,113,point,23,4 wk ahead cum death,2020-04-26,2020-05-23
2124,,4130,point,26,1 wk ahead cum death,2020-04-26,2020-05-02
2148,,4890,point,26,2 wk ahead cum death,2020-04-26,2020-05-09
2172,,5514,point,26,3 wk ahead cum death,2020-04-26,2020-05-16
2196,,5973,point,26,4 wk ahead cum death,2020-04-26,2020-05-23
2220,,377,point,27,1 wk ahead cum death,2020-04-26,2020-05-02
2244,,576,point,27,2 wk ahead cum death,2020-04-26,2020-05-09
2268,,854,point,27,3 wk ahead cum death,2020-04-26,2020-05-16
2292,,1171,point,27,4 wk ahead cum death,2020-04-26,2020-05-23
2316,,397,point,29,1 wk ahead cum death,2020-04-26,2020-05-02
2340,,489,point,29,2 wk ahead cum death,2020-04-26,2020-05-09
2364,,577,point,29,3 wk ahead cum death,2020-04-26,2020-05-16
2388,,651,point,29,4 wk ahead cum death,2020-04-26,2020-05-23
2412,,358,point,28,1 wk ahead cum death,2020-04-26,2020-05-02
2436,,494,point,28,2 wk ahead cum death,2020-04-26,2020-05-09
2460,,676,point,28,3 wk ahead cum death,2020-04-26,2020-05-16
2484,,877,point,28,4 wk ahead cum death,2020-04-26,2020-05-23
2508,,16,point,30,1 wk ahead cum death,2020-04-26,2020-05-02
2532,,19,point,30,2 wk ahead cum death,2020-04-26,2020-05-09
2556,,21,point,30,3 wk ahead cum death,2020-04-26,2020-05-16
2580,,23,point,30,4 wk ahead cum death,2020-04-26,2020-05-23
2604,,506,point,37,1 wk ahead cum death,2020-04-26,2020-05-02
2628,,716,point,37,2 wk ahead cum death,2020-04-26,2020-05-09
2652,,975,point,37,3 wk ahead cum death,2020-04-26,2020-05-16
2676,,1248,point,37,4 wk ahead cum death,2020-04-26,2020-05-23
2700,,27,point,38,1 wk ahead cum death,2020-04-26,2020-05-02
2724,,43,point,38,2 wk ahead cum death,2020-04-26,2020-05-09
2748,,67,point,38,3 wk ahead cum death,2020-04-26,2020-05-16
2772,,99,point,38,4 wk ahead cum death,2020-04-26,2020-05-23
2796,,115,point,31,1 wk ahead cum death,2020-04-26,2020-05-02
2820,,242,point,31,2 wk ahead cum death,2020-04-26,2020-05-09
2844,,511,point,31,3 wk ahead cum death,2020-04-26,2020-05-16
2868,,1109,point,31,4 wk ahead cum death,2020-04-26,2020-05-23
2892,,86,point,33,1 wk ahead cum death,2020-04-26,2020-05-02
2916,,114,point,33,2 wk ahead cum death,2020-04-26,2020-05-09
2940,,148,point,33,3 wk ahead cum death,2020-04-26,2020-05-16
2964,,181,point,33,4 wk ahead cum death,2020-04-26,2020-05-23
2988,,8422,point,34,1 wk ahead cum death,2020-04-26,2020-05-02
3012,,10533,point,34,2 wk ahead cum death,2020-04-26,2020-05-09
3036,,12632,point,34,3 wk ahead cum death,2020-04-26,2020-05-16
3060,,14265,point,34,4 wk ahead cum death,2020-04-26,2020-05-23
3084,,149,point,35,1 wk ahead cum death,2020-04-26,2020-05-02
3108,,222,point,35,2 wk ahead cum death,2020-04-26,2020-05-09
3132,,310,point,35,3 wk ahead cum death,2020-04-26,2020-05-16
3156,,409,point,35,4 wk ahead cum death,2020-04-26,2020-05-23
3180,,271,point,32,1 wk ahead cum death,2020-04-26,2020-05-02
3204,,322,point,32,2 wk ahead cum death,2020-04-26,2020-05-09
3228,,374,point,32,3 wk ahead cum death,2020-04-26,2020-05-16
3252,,409,point,32,4 wk ahead cum death,2020-04-26,2020-05-23
3276,,28258,point,36,1 wk ahead cum death,2020-04-26,2020-05-02
3300,,31995,point,36,2 wk ahead cum death,2020-04-26,2020-05-09
3324,,34858,point,36,3 wk ahead cum death,2020-04-26,2020-05-16
3348,,37154,point,36,4 wk ahead cum death,2020-04-26,2020-05-23
3372,,1250,point,39,1 wk ahead cum death,2020-04-26,2020-05-02
3396,,1899,point,39,2 wk ahead cum death,2020-04-26,2020-05-09
3420,,2838,point,39,3 wk ahead cum death,2020-04-26,2020-05-16
3444,,3988,point,39,4 wk ahead cum death,2020-04-26,2020-05-23
3468,,253,point,40,1 wk ahead cum death,2020-04-26,2020-05-02
3492,,304,point,40,2 wk ahead cum death,2020-04-26,2020-05-09
3516,,358,point,40,3 wk ahead cum death,2020-04-26,2020-05-16
3540,,400,point,40,4 wk ahead cum death,2020-04-26,2020-05-23
3564,,120,point,41,1 wk ahead cum death,2020-04-26,2020-05-02
3588,,144,point,41,2 wk ahead cum death,2020-04-26,2020-05-09
3612,,165,point,41,3 wk ahead cum death,2020-04-26,2020-05-16
3636,,183,point,41,4 wk ahead cum death,2020-04-26,2020-05-23
3660,,2892,point,42,1 wk ahead cum death,2020-04-26,2020-05-02
3684,,3823,point,42,2 wk ahead cum death,2020-04-26,2020-05-09
3708,,4790,point,42,3 wk ahead cum death,2020-04-26,2020-05-16
3732,,5676,point,42,4 wk ahead cum death,2020-04-26,2020-05-23
3756,,427,point,44,1 wk ahead cum death,2020-04-26,2020-05-02
3780,,673,point,44,2 wk ahead cum death,2020-04-26,2020-05-09
3804,,984,point,44,3 wk ahead cum death,2020-04-26,2020-05-16
3828,,1363,point,44,4 wk ahead cum death,2020-04-26,2020-05-23
3852,,224,point,45,1 wk ahead cum death,2020-04-26,2020-05-02
3876,,276,point,45,2 wk ahead cum death,2020-04-26,2020-05-09
3900,,323,point,45,3 wk ahead cum death,2020-04-26,2020-05-16
3924,,362,point,45,4 wk ahead cum death,2020-04-26,2020-05-23
3948,,18,point,46,1 wk ahead cum death,2020-04-26,2020-05-02
3972,,26,point,46,2 wk ahead cum death,2020-04-26,2020-05-09
3996,,37,point,46,3 wk ahead cum death,2020-04-26,2020-05-16
4020,,51,point,46,4 wk ahead cum death,2020-04-26,2020-05-23
4044,,257,point,47,1 wk ahead cum death,2020-04-26,2020-05-02
4068,,329,point,47,2 wk ahead cum death,2020-04-26,2020-05-09
4092,,433,point,47,3 wk ahead cum death,2020-04-26,2020-05-16
4116,,535,point,47,4 wk ahead cum death,2020-04-26,2020-05-23
4140,,956,point,48,1 wk ahead cum death,2020-04-26,2020-05-02
4164,,1204,point,48,2 wk ahead cum death,2020-04-26,2020-05-09
4188,,1462,point,48,3 wk ahead cum death,2020-04-26,2020-05-16
4212,,1684,point,48,4 wk ahead cum death,2020-04-26,2020-05-23
4236,,57,point,49,1 wk ahead cum death,2020-04-26,2020-05-02
4260,,77,point,49,2 wk ahead cum death,2020-04-26,2020-05-09
4284,,100,point,49,3 wk ahead cum death,2020-04-26,2020-05-16
4308,,123,point,49,4 wk ahead cum death,2020-04-26,2020-05-23
4332,,748,point,51,1 wk ahead cum death,2020-04-26,2020-05-02
4356,,1109,point,51,2 wk ahead cum death,2020-04-26,2020-05-09
4380,,1582,point,51,3 wk ahead cum death,2020-04-26,2020-05-16
4404,,2215,point,51,4 wk ahead cum death,2020-04-26,2020-05-23
4428,,54,point,50,1 wk ahead cum death,2020-04-26,2020-05-02
4452,,60,point,50,2 wk ahead cum death,2020-04-26,2020-05-09
4476,,65,point,50,3 wk ahead cum death,2020-04-26,2020-05-16
4500,,68,point,50,4 wk ahead cum death,2020-04-26,2020-05-23
4524,,876,point,53,1 wk ahead cum death,2020-04-26,2020-05-02
4548,,971,point,53,2 wk ahead cum death,2020-04-26,2020-05-09
4572,,1043,point,53,3 wk ahead cum death,2020-04-26,2020-05-16
4596,,1088,point,53,4 wk ahead cum death,2020-04-26,2020-05-23
4620,,396,point,55,1 wk ahead cum death,2020-04-26,2020-05-02
4644,,491,point,55,2 wk ahead cum death,2020-04-26,2020-05-09
4668,,599,point,55,3 wk ahead cum death,2020-04-26,2020-05-16
4692,,676,point,55,4 wk ahead cum death,2020-04-26,2020-05-23
4716,,52,point,54,1 wk ahead cum death,2020-04-26,2020-05-02
4740,,73,point,54,2 wk ahead cum death,2020-04-26,2020-05-09
4764,,98,point,54,3 wk ahead cum death,2020-04-26,2020-05-16
4788,,123,point,54,4 wk ahead cum death,2020-04-26,2020-05-23
4812,,11,point,56,1 wk ahead cum death,2020-04-26,2020-05-02
4836,,15,point,56,2 wk ahead cum death,2020-04-26,2020-05-09
4860,,19,point,56,3 wk ahead cum death,2020-04-26,2020-05-16
4884,,24,point,56,4 wk ahead cum death,2020-04-26,2020-05-23
12,,10,point,2,1 wk ahead cum death,2020-05-03,2020-05-09
36,,10,point,2,2 wk ahead cum death,2020-05-03,2020-05-16
60,,10,point,2,3 wk ahead cum death,2020-05-03,2020-05-23
84,,10,point,2,4 wk ahead cum death,2020-05-03,2020-05-30
108,,353,point,1,1 wk ahead cum death,2020-05-03,2020-05-09
132,,421,point,1,2 wk ahead cum death,2020-05-03,2020-05-16
156,,494,point,1,3 wk ahead cum death,2020-05-03,2020-05-23
180,,565,point,1,4 wk ahead cum death,2020-05-03,2020-05-30
204,,91,point,5,1 wk ahead cum death,2020-05-03,2020-05-09
228,,119,point,5,2 wk ahead cum death,2020-05-03,2020-05-16
252,,157,point,5,3 wk ahead cum death,2020-05-03,2020-05-23
