,location,forecast_date,quantile,value,target,target_end_date,type
0,1,2020-07-20,0.01,46,1 wk ahead inc death,2020-07-25,quantile
1,1,2020-07-20,0.025,67,1 wk ahead inc death,2020-07-25,quantile
2,1,2020-07-20,0.05,83,1 wk ahead inc death,2020-07-25,quantile
3,1,2020-07-20,0.1,104,1 wk ahead inc death,2020-07-25,quantile
4,1,2020-07-20,0.15,117,1 wk ahead inc death,2020-07-25,quantile
5,1,2020-07-20,0.2,128,1 wk ahead inc death,2020-07-25,quantile
6,1,2020-07-20,0.25,137,1 wk ahead inc death,2020-07-25,quantile
7,1,2020-07-20,0.3,143,1 wk ahead inc death,2020-07-25,quantile
8,1,2020-07-20,0.35,153,1 wk ahead inc death,2020-07-25,quantile
9,1,2020-07-20,0.4,159,1 wk ahead inc death,2020-07-25,quantile
10,1,2020-07-20,0.45,165,1 wk ahead inc death,2020-07-25,quantile
11,1,2020-07-20,0.5,172,1 wk ahead inc death,2020-07-25,quantile
12,1,2020-07-20,0.55,179,1 wk ahead inc death,2020-07-25,quantile
13,1,2020-07-20,0.6,186,1 wk ahead inc death,2020-07-25,quantile
14,1,2020-07-20,0.65,192,1 wk ahead inc death,2020-07-25,quantile
15,1,2020-07-20,0.7,200,1 wk ahead inc death,2020-07-25,quantile
16,1,2020-07-20,0.75,207,1 wk ahead inc death,2020-07-25,quantile
17,1,2020-07-20,0.8,216,1 wk ahead inc death,2020-07-25,quantile
18,1,2020-07-20,0.85,224,1 wk ahead inc death,2020-07-25,quantile
19,1,2020-07-20,0.9,238,1 wk ahead inc death,2020-07-25,quantile
20,1,2020-07-20,0.95,262,1 wk ahead inc death,2020-07-25,quantile
21,1,2020-07-20,0.975,274,1 wk ahead inc death,2020-07-25,quantile
22,1,2020-07-20,0.99,297,1 wk ahead inc death,2020-07-25,quantile
23,2,2020-07-20,0.01,0,1 wk ahead inc death,2020-07-25,quantile
24,2,2020-07-20,0.025,0,1 wk ahead inc death,2020-07-25,quantile
25,2,2020-07-20,0.05,0,1 wk ahead inc death,2020-07-25,quantile
26,2,2020-07-20,0.1,0,1 wk ahead inc death,2020-07-25,quantile
27,2,2020-07-20,0.15,0,1 wk ahead inc death,2020-07-25,quantile
28,2,2020-07-20,0.2,0,1 wk ahead inc death,2020-07-25,quantile
29,2,2020-07-20,0.25,1,1 wk ahead inc death,2020-07-25,quantile
30,2,2020-07-20,0.3,1,1 wk ahead inc death,2020-07-25,quantile
31,2,2020-07-20,0.35,1,1 wk ahead inc death,2020-07-25,quantile
32,2,2020-07-20,0.4,1,1 wk ahead inc death,2020-07-25,quantile
33,2,2020-07-20,0.45,1,1 wk ahead inc death,2020-07-25,quantile
34,2,2020-07-20,0.5,1,1 wk ahead inc death,2020-07-25,quantile
35,2,2020-07-20,0.55,1,1 wk ahead inc death,2020-07-25,quantile
36,2,2020-07-20,0.6,2,1 wk ahead inc death,2020-07-25,quantile
37,2,2020-07-20,0.65,2,1 wk ahead inc death,2020-07-25,quantile
38,2,2020-07-20,0.7,2,1 wk ahead inc death,2020-07-25,quantile
39,2,2020-07-20,0.75,2,1 wk ahead inc death,2020-07-25,quantile
40,2,2020-07-20,0.8,2,1 wk ahead inc death,2020-07-25,quantile
41,2,2020-07-20,0.85,2,1 wk ahead inc death,2020-07-25,quantile
42,2,2020-07-20,0.9,2,1 wk ahead inc death,2020-07-25,quantile
43,2,2020-07-20,0.95,3,1 wk ahead inc death,2020-07-25,quantile
44,2,2020-07-20,0.975,3,1 wk ahead inc death,2020-07-25,quantile
45,2,2020-07-20,0.99,3,1 wk ahead inc death,2020-07-25,quantile
46,4,2020-07-20,0.01,300,1 wk ahead inc death,2020-07-25,quantile
47,4,2020-07-20,0.025,342,1 wk ahead inc death,2020-07-25,quantile
48,4,2020-07-20,0.05,375,1 wk ahead inc death,2020-07-25,quantile
49,4,2020-07-20,0.1,413,1 wk ahead inc death,2020-07-25,quantile
50,4,2020-07-20,0.15,440,1 wk ahead inc death,2020-07-25,quantile
51,4,2020-07-20,0.2,468,1 wk ahead inc death,2020-07-25,quantile
52,4,2020-07-20,0.25,488,1 wk ahead inc death,2020-07-25,quantile
53,4,2020-07-20,0.3,504,1 wk ahead inc death,2020-07-25,quantile
54,4,2020-07-20,0.35,524,1 wk ahead inc death,2020-07-25,quantile
55,4,2020-07-20,0.4,542,1 wk ahead inc death,2020-07-25,quantile
56,4,2020-07-20,0.45,559,1 wk ahead inc death,2020-07-25,quantile
57,4,2020-07-20,0.5,573,1 wk ahead inc death,2020-07-25,quantile
58,4,2020-07-20,0.55,587,1 wk ahead inc death,2020-07-25,quantile
59,4,2020-07-20,0.6,602,1 wk ahead inc death,2020-07-25,quantile
60,4,2020-07-20,0.65,615,1 wk ahead inc death,2020-07-25,quantile
61,4,2020-07-20,0.7,631,1 wk ahead inc death,2020-07-25,quantile
62,4,2020-07-20,0.75,652,1 wk ahead inc death,2020-07-25,quantile
63,4,2020-07-20,0.8,667,1 wk ahead inc death,2020-07-25,quantile
64,4,2020-07-20,0.85,691,1 wk ahead inc death,2020-07-25,quantile
65,4,2020-07-20,0.9,734,1 wk ahead inc death,2020-07-25,quantile
66,4,2020-07-20,0.95,780,1 wk ahead inc death,2020-07-25,quantile
67,4,2020-07-20,0.975,816,1 wk ahead inc death,2020-07-25,quantile
68,4,2020-07-20,0.99,865,1 wk ahead inc death,2020-07-25,quantile
69,5,2020-07-20,0.01,26,1 wk ahead inc death,2020-07-25,quantile
70,5,2020-07-20,0.025,28,1 wk ahead inc death,2020-07-25,quantile
71,5,2020-07-20,0.05,29,1 wk ahead inc death,2020-07-25,quantile
72,5,2020-07-20,0.1,31,1 wk ahead inc death,2020-07-25,quantile
73,5,2020-07-20,0.15,32,1 wk ahead inc death,2020-07-25,quantile
74,5,2020-07-20,0.2,33,1 wk ahead inc death,2020-07-25,quantile
75,5,2020-07-20,0.25,34,1 wk ahead inc death,2020-07-25,quantile
76,5,2020-07-20,0.3,35,1 wk ahead inc death,2020-07-25,quantile
77,5,2020-07-20,0.35,36,1 wk ahead inc death,2020-07-25,quantile
78,5,2020-07-20,0.4,37,1 wk ahead inc death,2020-07-25,quantile
79,5,2020-07-20,0.45,37,1 wk ahead inc death,2020-07-25,quantile
80,5,2020-07-20,0.5,38,1 wk ahead inc death,2020-07-25,quantile
81,5,2020-07-20,0.55,39,1 wk ahead inc death,2020-07-25,quantile
82,5,2020-07-20,0.6,40,1 wk ahead inc death,2020-07-25,quantile
83,5,2020-07-20,0.65,40,1 wk ahead inc death,2020-07-25,quantile
84,5,2020-07-20,0.7,41,1 wk ahead inc death,2020-07-25,quantile
85,5,2020-07-20,0.75,42,1 wk ahead inc death,2020-07-25,quantile
86,5,2020-07-20,0.8,42,1 wk ahead inc death,2020-07-25,quantile
87,5,2020-07-20,0.85,44,1 wk ahead inc death,2020-07-25,quantile
88,5,2020-07-20,0.9,45,1 wk ahead inc death,2020-07-25,quantile
89,5,2020-07-20,0.95,47,1 wk ahead inc death,2020-07-25,quantile
90,5,2020-07-20,0.975,49,1 wk ahead inc death,2020-07-25,quantile
91,5,2020-07-20,0.99,51,1 wk ahead inc death,2020-07-25,quantile
92,6,2020-07-20,0.01,404,1 wk ahead inc death,2020-07-25,quantile
93,6,2020-07-20,0.025,450,1 wk ahead inc death,2020-07-25,quantile
94,6,2020-07-20,0.05,495,1 wk ahead inc death,2020-07-25,quantile
95,6,2020-07-20,0.1,537,1 wk ahead inc death,2020-07-25,quantile
96,6,2020-07-20,0.15,566,1 wk ahead inc death,2020-07-25,quantile
97,6,2020-07-20,0.2,580,1 wk ahead inc death,2020-07-25,quantile
98,6,2020-07-20,0.25,600,1 wk ahead inc death,2020-07-25,quantile
99,6,2020-07-20,0.3,614,1 wk ahead inc death,2020-07-25,quantile
100,6,2020-07-20,0.35,634,1 wk ahead inc death,2020-07-25,quantile
101,6,2020-07-20,0.4,649,1 wk ahead inc death,2020-07-25,quantile
102,6,2020-07-20,0.45,662,1 wk ahead inc death,2020-07-25,quantile
103,6,2020-07-20,0.5,676,1 wk ahead inc death,2020-07-25,quantile
104,6,2020-07-20,0.55,691,1 wk ahead inc death,2020-07-25,quantile
105,6,2020-07-20,0.6,708,1 wk ahead inc death,2020-07-25,quantile
106,6,2020-07-20,0.65,720,1 wk ahead inc death,2020-07-25,quantile
107,6,2020-07-20,0.7,731,1 wk ahead inc death,2020-07-25,quantile
108,6,2020-07-20,0.75,746,1 wk ahead inc death,2020-07-25,quantile
109,6,2020-07-20,0.8,766,1 wk ahead inc death,2020-07-25,quantile
110,6,2020-07-20,0.85,790,1 wk ahead inc death,2020-07-25,quantile
111,6,2020-07-20,0.9,813,1 wk ahead inc death,2020-07-25,quantile
112,6,2020-07-20,0.95,848,1 wk ahead inc death,2020-07-25,quantile
113,6,2020-07-20,0.975,875,1 wk ahead inc death,2020-07-25,quantile
114,6,2020-07-20,0.99,917,1 wk ahead inc death,2020-07-25,quantile
115,8,2020-07-20,0.01,3,1 wk ahead inc death,2020-07-25,quantile
116,8,2020-07-20,0.025,8,1 wk ahead inc death,2020-07-25,quantile
117,8,2020-07-20,0.05,11,1 wk ahead inc death,2020-07-25,quantile
118,8,2020-07-20,0.1,14,1 wk ahead inc death,2020-07-25,quantile
119,8,2020-07-20,0.15,17,1 wk ahead inc death,2020-07-25,quantile
120,8,2020-07-20,0.2,19,1 wk ahead inc death,2020-07-25,quantile
121,8,2020-07-20,0.25,20,1 wk ahead inc death,2020-07-25,quantile
122,8,2020-07-20,0.3,22,1 wk ahead inc death,2020-07-25,quantile
123,8,2020-07-20,0.35,23,1 wk ahead inc death,2020-07-25,quantile
124,8,2020-07-20,0.4,25,1 wk ahead inc death,2020-07-25,quantile
125,8,2020-07-20,0.45,26,1 wk ahead inc death,2020-07-25,quantile
126,8,2020-07-20,0.5,28,1 wk ahead inc death,2020-07-25,quantile
127,8,2020-07-20,0.55,29,1 wk ahead inc death,2020-07-25,quantile
128,8,2020-07-20,0.6,31,1 wk ahead inc death,2020-07-25,quantile
129,8,2020-07-20,0.65,32,1 wk ahead inc death,2020-07-25,quantile
130,8,2020-07-20,0.7,34,1 wk ahead inc death,2020-07-25,quantile
131,8,2020-07-20,0.75,35,1 wk ahead inc death,2020-07-25,quantile
132,8,2020-07-20,0.8,37,1 wk ahead inc death,2020-07-25,quantile
133,8,2020-07-20,0.85,39,1 wk ahead inc death,2020-07-25,quantile
134,8,2020-07-20,0.9,41,1 wk ahead inc death,2020-07-25,quantile
135,8,2020-07-20,0.95,45,1 wk ahead inc death,2020-07-25,quantile
136,8,2020-07-20,0.975,48,1 wk ahead inc death,2020-07-25,quantile
137,8,2020-07-20,0.99,52,1 wk ahead inc death,2020-07-25,quantile
138,9,2020-07-20,0.01,5,1 wk ahead inc death,2020-07-25,quantile
139,9,2020-07-20,0.025,11,1 wk ahead inc death,2020-07-25,quantile
140,9,2020-07-20,0.05,15,1 wk ahead inc death,2020-07-25,quantile
141,9,2020-07-20,0.1,20,1 wk ahead inc death,2020-07-25,quantile
142,9,2020-07-20,0.15,23,1 wk ahead inc death,2020-07-25,quantile
143,9,2020-07-20,0.2,25,1 wk ahead inc death,2020-07-25,quantile
144,9,2020-07-20,0.25,28,1 wk ahead inc death,2020-07-25,quantile
145,9,2020-07-20,0.3,30,1 wk ahead inc death,2020-07-25,quantile
146,9,2020-07-20,0.35,31,1 wk ahead inc death,2020-07-25,quantile
147,9,2020-07-20,0.4,33,1 wk ahead inc death,2020-07-25,quantile
148,9,2020-07-20,0.45,35,1 wk ahead inc death,2020-07-25,quantile
149,9,2020-07-20,0.5,36,1 wk ahead inc death,2020-07-25,quantile
150,9,2020-07-20,0.55,38,1 wk ahead inc death,2020-07-25,quantile
151,9,2020-07-20,0.6,40,1 wk ahead inc death,2020-07-25,quantile
152,9,2020-07-20,0.65,41,1 wk ahead inc death,2020-07-25,quantile
153,9,2020-07-20,0.7,43,1 wk ahead inc death,2020-07-25,quantile
154,9,2020-07-20,0.75,45,1 wk ahead inc death,2020-07-25,quantile
155,9,2020-07-20,0.8,47,1 wk ahead inc death,2020-07-25,quantile
156,9,2020-07-20,0.85,49,1 wk ahead inc death,2020-07-25,quantile
157,9,2020-07-20,0.9,53,1 wk ahead inc death,2020-07-25,quantile
158,9,2020-07-20,0.95,58,1 wk ahead inc death,2020-07-25,quantile
159,9,2020-07-20,0.975,63,1 wk ahead inc death,2020-07-25,quantile
160,9,2020-07-20,0.99,69,1 wk ahead inc death,2020-07-25,quantile
161,10,2020-07-20,0.01,1,1 wk ahead inc death,2020-07-25,quantile
162,10,2020-07-20,0.025,2,1 wk ahead inc death,2020-07-25,quantile
163,10,2020-07-20,0.05,2,1 wk ahead inc death,2020-07-25,quantile
164,10,2020-07-20,0.1,3,1 wk ahead inc death,2020-07-25,quantile
165,10,2020-07-20,0.15,3,1 wk ahead inc death,2020-07-25,quantile
166,10,2020-07-20,0.2,4,1 wk ahead inc death,2020-07-25,quantile
167,10,2020-07-20,0.25,4,1 wk ahead inc death,2020-07-25,quantile
168,10,2020-07-20,0.3,4,1 wk ahead inc death,2020-07-25,quantile
169,10,2020-07-20,0.35,4,1 wk ahead inc death,2020-07-25,quantile
170,10,2020-07-20,0.4,5,1 wk ahead inc death,2020-07-25,quantile
171,10,2020-07-20,0.45,5,1 wk ahead inc death,2020-07-25,quantile
172,10,2020-07-20,0.5,5,1 wk ahead inc death,2020-07-25,quantile
173,10,2020-07-20,0.55,5,1 wk ahead inc death,2020-07-25,quantile
174,10,2020-07-20,0.6,5,1 wk ahead inc death,2020-07-25,quantile
175,10,2020-07-20,0.65,6,1 wk ahead inc death,2020-07-25,quantile
176,10,2020-07-20,0.7,6,1 wk ahead inc death,2020-07-25,quantile
177,10,2020-07-20,0.75,6,1 wk ahead inc death,2020-07-25,quantile
178,10,2020-07-20,0.8,6,1 wk ahead inc death,2020-07-25,quantile
179,10,2020-07-20,0.85,7,1 wk ahead inc death,2020-07-25,quantile
180,10,2020-07-20,0.9,7,1 wk ahead inc death,2020-07-25,quantile
181,10,2020-07-20,0.95,7,1 wk ahead inc death,2020-07-25,quantile
182,10,2020-07-20,0.975,8,1 wk ahead inc death,2020-07-25,quantile
183,10,2020-07-20,0.99,8,1 wk ahead inc death,2020-07-25,quantile
184,11,2020-07-20,0.01,6,1 wk ahead inc death,2020-07-25,quantile
185,11,2020-07-20,0.025,6,1 wk ahead inc death,2020-07-25,quantile
186,11,2020-07-20,0.05,7,1 wk ahead inc death,2020-07-25,quantile
187,11,2020-07-20,0.1,7,1 wk ahead inc death,2020-07-25,quantile
188,11,2020-07-20,0.15,8,1 wk ahead inc death,2020-07-25,quantile
189,11,2020-07-20,0.2,8,1 wk ahead inc death,2020-07-25,quantile
190,11,2020-07-20,0.25,9,1 wk ahead inc death,2020-07-25,quantile
191,11,2020-07-20,0.3,9,1 wk ahead inc death,2020-07-25,quantile
192,11,2020-07-20,0.35,9,1 wk ahead inc death,2020-07-25,quantile
193,11,2020-07-20,0.4,9,1 wk ahead inc death,2020-07-25,quantile
194,11,2020-07-20,0.45,10,1 wk ahead inc death,2020-07-25,quantile
195,11,2020-07-20,0.5,10,1 wk ahead inc death,2020-07-25,quantile
196,11,2020-07-20,0.55,10,1 wk ahead inc death,2020-07-25,quantile
197,11,2020-07-20,0.6,10,1 wk ahead inc death,2020-07-25,quantile
198,11,2020-07-20,0.65,11,1 wk ahead inc death,2020-07-25,quantile
199,11,2020-07-20,0.7,11,1 wk ahead inc death,2020-07-25,quantile
200,11,2020-07-20,0.75,11,1 wk ahead inc death,2020-07-25,quantile
201,11,2020-07-20,0.8,11,1 wk ahead inc death,2020-07-25,quantile
202,11,2020-07-20,0.85,12,1 wk ahead inc death,2020-07-25,quantile
203,11,2020-07-20,0.9,12,1 wk ahead inc death,2020-07-25,quantile
204,11,2020-07-20,0.95,13,1 wk ahead inc death,2020-07-25,quantile
205,11,2020-07-20,0.975,14,1 wk ahead inc death,2020-07-25,quantile
206,11,2020-07-20,0.99,14,1 wk ahead inc death,2020-07-25,quantile
207,12,2020-07-20,0.01,316,1 wk ahead inc death,2020-07-25,quantile
208,12,2020-07-20,0.025,392,1 wk ahead inc death,2020-07-25,quantile
209,12,2020-07-20,0.05,437,1 wk ahead inc death,2020-07-25,quantile
210,12,2020-07-20,0.1,491,1 wk ahead inc death,2020-07-25,quantile
211,12,2020-07-20,0.15,527,1 wk ahead inc death,2020-07-25,quantile
212,12,2020-07-20,0.2,564,1 wk ahead inc death,2020-07-25,quantile
213,12,2020-07-20,0.25,593,1 wk ahead inc death,2020-07-25,quantile
214,12,2020-07-20,0.3,623,1 wk ahead inc death,2020-07-25,quantile
215,12,2020-07-20,0.35,652,1 wk ahead inc death,2020-07-25,quantile
216,12,2020-07-20,0.4,675,1 wk ahead inc death,2020-07-25,quantile
