,forecast_date,target,target_end_date,location,type,quantile,value
0,2020-06-16,1 day ahead cum death,2020-06-17,US,point,,117394
1,2020-06-16,2 day ahead cum death,2020-06-18,US,point,,118003
2,2020-06-16,3 day ahead cum death,2020-06-19,US,point,,118598
3,2020-06-16,4 day ahead cum death,2020-06-20,US,point,,119180
4,2020-06-16,5 day ahead cum death,2020-06-21,US,point,,119751
5,2020-06-16,6 day ahead cum death,2020-06-22,US,point,,120309
6,2020-06-16,7 day ahead cum death,2020-06-23,US,point,,120855
7,2020-06-16,8 day ahead cum death,2020-06-24,US,point,,121390
8,2020-06-16,9 day ahead cum death,2020-06-25,US,point,,121914
9,2020-06-16,10 day ahead cum death,2020-06-26,US,point,,122427
10,2020-06-16,11 day ahead cum death,2020-06-27,US,point,,122928
11,2020-06-16,12 day ahead cum death,2020-06-28,US,point,,123420
12,2020-06-16,13 day ahead cum death,2020-06-29,US,point,,123900
13,2020-06-16,14 day ahead cum death,2020-06-30,US,point,,124371
14,2020-06-16,1 day ahead cum death,2020-06-17,US,quantile,0.01,117293
15,2020-06-16,2 day ahead cum death,2020-06-18,US,quantile,0.01,117879
16,2020-06-16,3 day ahead cum death,2020-06-19,US,quantile,0.01,118451
17,2020-06-16,4 day ahead cum death,2020-06-20,US,quantile,0.01,119003
18,2020-06-16,5 day ahead cum death,2020-06-21,US,quantile,0.01,119539
19,2020-06-16,6 day ahead cum death,2020-06-22,US,quantile,0.01,120052
20,2020-06-16,7 day ahead cum death,2020-06-23,US,quantile,0.01,120555
21,2020-06-16,8 day ahead cum death,2020-06-24,US,quantile,0.01,121041
22,2020-06-16,9 day ahead cum death,2020-06-25,US,quantile,0.01,121511
23,2020-06-16,10 day ahead cum death,2020-06-26,US,quantile,0.01,121965
24,2020-06-16,11 day ahead cum death,2020-06-27,US,quantile,0.01,122402
25,2020-06-16,12 day ahead cum death,2020-06-28,US,quantile,0.01,122823
26,2020-06-16,13 day ahead cum death,2020-06-29,US,quantile,0.01,123228
27,2020-06-16,14 day ahead cum death,2020-06-30,US,quantile,0.01,123615
28,2020-06-16,1 day ahead cum death,2020-06-17,US,quantile,0.025,117318
29,2020-06-16,2 day ahead cum death,2020-06-18,US,quantile,0.025,117909
30,2020-06-16,3 day ahead cum death,2020-06-19,US,quantile,0.025,118485
31,2020-06-16,4 day ahead cum death,2020-06-20,US,quantile,0.025,119046
32,2020-06-16,5 day ahead cum death,2020-06-21,US,quantile,0.025,119591
33,2020-06-16,6 day ahead cum death,2020-06-22,US,quantile,0.025,120120
34,2020-06-16,7 day ahead cum death,2020-06-23,US,quantile,0.025,120634
35,2020-06-16,8 day ahead cum death,2020-06-24,US,quantile,0.025,121140
36,2020-06-16,9 day ahead cum death,2020-06-25,US,quantile,0.025,121624
37,2020-06-16,10 day ahead cum death,2020-06-26,US,quantile,0.025,122093
38,2020-06-16,11 day ahead cum death,2020-06-27,US,quantile,0.025,122548
39,2020-06-16,12 day ahead cum death,2020-06-28,US,quantile,0.025,122987
40,2020-06-16,13 day ahead cum death,2020-06-29,US,quantile,0.025,123411
41,2020-06-16,14 day ahead cum death,2020-06-30,US,quantile,0.025,123820
42,2020-06-16,1 day ahead cum death,2020-06-17,US,quantile,0.05,117333
43,2020-06-16,2 day ahead cum death,2020-06-18,US,quantile,0.05,117929
44,2020-06-16,3 day ahead cum death,2020-06-19,US,quantile,0.05,118511
45,2020-06-16,4 day ahead cum death,2020-06-20,US,quantile,0.05,119078
46,2020-06-16,5 day ahead cum death,2020-06-21,US,quantile,0.05,119630
47,2020-06-16,6 day ahead cum death,2020-06-22,US,quantile,0.05,120171
48,2020-06-16,7 day ahead cum death,2020-06-23,US,quantile,0.05,120694
49,2020-06-16,8 day ahead cum death,2020-06-24,US,quantile,0.05,121204
50,2020-06-16,9 day ahead cum death,2020-06-25,US,quantile,0.05,121701
51,2020-06-16,10 day ahead cum death,2020-06-26,US,quantile,0.05,122183
52,2020-06-16,11 day ahead cum death,2020-06-27,US,quantile,0.05,122652
53,2020-06-16,12 day ahead cum death,2020-06-28,US,quantile,0.05,123105
54,2020-06-16,13 day ahead cum death,2020-06-29,US,quantile,0.05,123544
55,2020-06-16,14 day ahead cum death,2020-06-30,US,quantile,0.05,123970
56,2020-06-16,1 day ahead cum death,2020-06-17,US,quantile,0.1,117351
57,2020-06-16,2 day ahead cum death,2020-06-18,US,quantile,0.1,117951
58,2020-06-16,3 day ahead cum death,2020-06-19,US,quantile,0.1,118536
59,2020-06-16,4 day ahead cum death,2020-06-20,US,quantile,0.1,119108
60,2020-06-16,5 day ahead cum death,2020-06-21,US,quantile,0.1,119665
61,2020-06-16,6 day ahead cum death,2020-06-22,US,quantile,0.1,120210
62,2020-06-16,7 day ahead cum death,2020-06-23,US,quantile,0.1,120741
63,2020-06-16,8 day ahead cum death,2020-06-24,US,quantile,0.1,121258
64,2020-06-16,9 day ahead cum death,2020-06-25,US,quantile,0.1,121763
65,2020-06-16,10 day ahead cum death,2020-06-26,US,quantile,0.1,122255
66,2020-06-16,11 day ahead cum death,2020-06-27,US,quantile,0.1,122736
67,2020-06-16,12 day ahead cum death,2020-06-28,US,quantile,0.1,123203
68,2020-06-16,13 day ahead cum death,2020-06-29,US,quantile,0.1,123656
69,2020-06-16,14 day ahead cum death,2020-06-30,US,quantile,0.1,124098
70,2020-06-16,1 day ahead cum death,2020-06-17,US,quantile,0.15,117359
71,2020-06-16,2 day ahead cum death,2020-06-18,US,quantile,0.15,117961
72,2020-06-16,3 day ahead cum death,2020-06-19,US,quantile,0.15,118548
73,2020-06-16,4 day ahead cum death,2020-06-20,US,quantile,0.15,119122
74,2020-06-16,5 day ahead cum death,2020-06-21,US,quantile,0.15,119683
75,2020-06-16,6 day ahead cum death,2020-06-22,US,quantile,0.15,120230
76,2020-06-16,7 day ahead cum death,2020-06-23,US,quantile,0.15,120764
77,2020-06-16,8 day ahead cum death,2020-06-24,US,quantile,0.15,121286
78,2020-06-16,9 day ahead cum death,2020-06-25,US,quantile,0.15,121795
79,2020-06-16,10 day ahead cum death,2020-06-26,US,quantile,0.15,122291
80,2020-06-16,11 day ahead cum death,2020-06-27,US,quantile,0.15,122775
81,2020-06-16,12 day ahead cum death,2020-06-28,US,quantile,0.15,123248
82,2020-06-16,13 day ahead cum death,2020-06-29,US,quantile,0.15,123708
83,2020-06-16,14 day ahead cum death,2020-06-30,US,quantile,0.15,124158
84,2020-06-16,1 day ahead cum death,2020-06-17,US,quantile,0.2,117365
85,2020-06-16,2 day ahead cum death,2020-06-18,US,quantile,0.2,117967
86,2020-06-16,3 day ahead cum death,2020-06-19,US,quantile,0.2,118556
87,2020-06-16,4 day ahead cum death,2020-06-20,US,quantile,0.2,119132
88,2020-06-16,5 day ahead cum death,2020-06-21,US,quantile,0.2,119694
89,2020-06-16,6 day ahead cum death,2020-06-22,US,quantile,0.2,120244
90,2020-06-16,7 day ahead cum death,2020-06-23,US,quantile,0.2,120781
91,2020-06-16,8 day ahead cum death,2020-06-24,US,quantile,0.2,121305
92,2020-06-16,9 day ahead cum death,2020-06-25,US,quantile,0.2,121817
93,2020-06-16,10 day ahead cum death,2020-06-26,US,quantile,0.2,122318
94,2020-06-16,11 day ahead cum death,2020-06-27,US,quantile,0.2,122807
95,2020-06-16,12 day ahead cum death,2020-06-28,US,quantile,0.2,123284
