,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,point,,2239.0
1,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.01,1684.5
2,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.025,1706.25
3,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.05,1729.0
4,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.1,1812.0
5,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.15,1865.0
6,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.2,1954.0
7,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.25,2005.0
8,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.3,2055.0
9,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.35,2150.0
10,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.4,2192.0
11,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.45,2245.0
12,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.5,2345.0
13,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.55,2369.0
14,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.6,2386.0
15,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.65,2418.5
16,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.7,2456.0
17,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.75,2470.0
18,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.8,2478.0
19,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.85,2516.5
20,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.9,2555.0
21,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.95,2627.5
22,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.975,2663.75
23,2020-05-31,1 wk ahead cum death,2020-06-06,13,GA,quantile,0.99,2685.5
24,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,point,,2482.0
25,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.01,1856.1
26,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.025,1895.25
27,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.05,1924.5
28,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.1,2029.0
29,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.15,2113.5
30,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.2,2176.0
31,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.25,2260.0
32,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.3,2325.0
33,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.35,2433.0
34,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.4,2486.0
35,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.45,2542.0
36,2020-05-31,2 wk ahead cum death,2020-06-13,13,GA,quantile,0.5,2580.0
