,forecast_date,target,target_end_date,location,type,quantile,value
0,2020-03-15,1 day ahead cum death,2020-03-16,US,point,,73
1,2020-03-15,1 day ahead inc death,2020-03-16,US,point,,13
2,2020-03-15,1 wk ahead cum death,2020-03-21,US,point,,203
3,2020-03-15,1 wk ahead inc death,2020-03-21,US,point,,39
4,2020-03-15,2 day ahead cum death,2020-03-17,US,point,,88
5,2020-03-15,2 day ahead inc death,2020-03-17,US,point,,16
6,2020-03-15,3 day ahead cum death,2020-03-18,US,point,,108
7,2020-03-15,3 day ahead inc death,2020-03-18,US,point,,20
8,2020-03-15,4 day ahead cum death,2020-03-19,US,point,,133
9,2020-03-15,4 day ahead inc death,2020-03-19,US,point,,25
10,2020-03-15,5 day ahead cum death,2020-03-20,US,point,,164
11,2020-03-15,5 day ahead inc death,2020-03-20,US,point,,31
12,2020-03-15,6 day ahead cum death,2020-03-21,US,point,,203
13,2020-03-15,6 day ahead inc death,2020-03-21,US,point,,39
14,2020-03-15,7 day ahead cum death,2020-03-22,US,point,,252
15,2020-03-15,7 day ahead inc death,2020-03-22,US,point,,49
16,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.01,62
17,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.025,64
18,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.05,65
19,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.1,66
20,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.15,67
21,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.2,68
22,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.25,69
23,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.3,70
24,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.35,71
25,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.4,71
26,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.45,72
27,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.5,73
28,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.55,73
29,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.6,74
30,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.65,75
31,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.7,76
32,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.75,77
33,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.8,78
34,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.85,79
35,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.9,81
36,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.95,85
37,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.975,88
38,2020-03-15,1 day ahead cum death,2020-03-16,US,quantile,0.99,94
39,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.01,2
40,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.025,4
41,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.05,5
42,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.1,6
43,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.15,7
44,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.2,8
45,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.25,9
46,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.3,10
47,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.35,11
48,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.4,11
49,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.45,12
50,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.5,13
51,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.55,13
52,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.6,14
53,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.65,15
54,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.7,16
55,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.75,17
56,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.8,18
57,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.85,19
58,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.9,21
59,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.95,25
60,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.975,28
61,2020-03-15,1 day ahead inc death,2020-03-16,US,quantile,0.99,34
62,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.01,98
63,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.025,109
64,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.05,120
65,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.1,134
66,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.15,145
67,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.2,154
68,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.25,163
69,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.3,171
70,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.35,179
71,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.4,187
72,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.45,195
73,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.5,203
74,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.55,212
75,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.6,221
76,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.65,231
77,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.7,243
78,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.75,257
79,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.8,274
80,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.85,298
81,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.9,330
82,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.95,394
83,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.975,463
84,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.99,561
85,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.01,8
86,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.025,11
87,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.05,14
88,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.1,18
89,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.15,21
90,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.2,23
91,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.25,26
92,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.3,29
93,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.35,31
94,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.4,34
95,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.45,36
96,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.5,39
97,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.55,42
98,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.6,45
99,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.65,49
100,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.7,53
101,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.75,58
102,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.8,64
103,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.85,72
104,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.9,85
105,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.95,106
106,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.975,130
107,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.99,164
108,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.01,67
109,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.025,70
110,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.05,72
111,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.1,76
112,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.15,78
113,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.2,80
114,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.25,81
115,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.3,83
116,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.35,84
117,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.4,86
118,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.45,87
119,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.5,88
120,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.55,90
121,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.6,91
122,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.65,93
123,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.7,95
124,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.75,97
125,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.8,99
126,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.85,102
127,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.9,106
128,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.95,115
129,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.975,124
130,2020-03-15,2 day ahead cum death,2020-03-17,US,quantile,0.99,138
131,2020-03-15,2 day ahead inc death,2020-03-17,US,quantile,0.01,3
132,2020-03-15,2 day ahead inc death,2020-03-17,US,quantile,0.025,5
