,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,point,,107
1,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.01,68
2,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.025,70
3,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.05,74
4,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.1,79
5,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.15,83
6,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.2,87
7,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.25,93
8,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.3,98
9,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.35,101
10,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.4,103
11,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.45,105
12,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.5,107
13,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.55,109
14,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.6,111
15,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.65,113
16,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.7,115
17,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.75,117
18,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.8,119
19,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.85,121
20,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.9,125
21,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.95,130
22,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.975,135
23,2020-05-08,1 day ahead inc death,2020-05-09,25,Massachusetts,quantile,0.99,140
24,2020-05-08,1 wk ahead inc death,2020-05-16,25,Massachusetts,point,,653
25,2020-05-08,1 wk ahead inc death,2020-05-16,25,Massachusetts,quantile,0.01,477
26,2020-05-08,1 wk ahead inc death,2020-05-16,25,Massachusetts,quantile,0.025,500
