,Unnamed: 0,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,1,2020-05-05,1 day ahead cum death,2020-05-06,17,Illinois,quantile,0.01,2798.0
1,2,2020-05-05,1 day ahead inc death,2020-05-06,17,Illinois,quantile,0.01,56.96
2,3,2020-05-05,2 day ahead cum death,2020-05-07,17,Illinois,quantile,0.01,2884.9
3,4,2020-05-05,2 day ahead inc death,2020-05-07,17,Illinois,quantile,0.01,55.97
4,5,2020-05-05,3 day ahead cum death,2020-05-08,17,Illinois,quantile,0.01,2977.93
5,6,2020-05-05,3 day ahead inc death,2020-05-08,17,Illinois,quantile,0.01,58.99
6,7,2020-05-05,4 day ahead cum death,2020-05-09,17,Illinois,quantile,0.01,3081.92
7,8,2020-05-05,4 day ahead inc death,2020-05-09,17,Illinois,quantile,0.01,52.94
8,9,2020-05-05,5 day ahead cum death,2020-05-10,17,Illinois,quantile,0.01,3189.75
9,10,2020-05-05,5 day ahead inc death,2020-05-10,17,Illinois,quantile,0.01,47.97
10,11,2020-05-05,6 day ahead cum death,2020-05-11,17,Illinois,quantile,0.01,3275.32
11,12,2020-05-05,6 day ahead inc death,2020-05-11,17,Illinois,quantile,0.01,55.96
12,13,2020-05-05,7 day ahead cum death,2020-05-12,17,Illinois,quantile,0.01,3352.65
13,14,2020-05-05,7 day ahead inc death,2020-05-12,17,Illinois,quantile,0.01,52.99
14,15,2020-05-05,8 day ahead cum death,2020-05-13,17,Illinois,quantile,0.01,3467.72
15,16,2020-05-05,8 day ahead inc death,2020-05-13,17,Illinois,quantile,0.01,53.97
16,17,2020-05-05,9 day ahead cum death,2020-05-14,17,Illinois,quantile,0.01,3531.88
17,18,2020-05-05,9 day ahead inc death,2020-05-14,17,Illinois,quantile,0.01,53.98
18,19,2020-05-05,10 day ahead cum death,2020-05-15,17,Illinois,quantile,0.01,3643.83
19,20,2020-05-05,10 day ahead inc death,2020-05-15,17,Illinois,quantile,0.01,62.98
20,21,2020-05-05,11 day ahead cum death,2020-05-16,17,Illinois,quantile,0.01,3732.73
21,22,2020-05-05,11 day ahead inc death,2020-05-16,17,Illinois,quantile,0.01,62.97
22,23,2020-05-05,12 day ahead cum death,2020-05-17,17,Illinois,quantile,0.01,3856.46
23,24,2020-05-05,12 day ahead inc death,2020-05-17,17,Illinois,quantile,0.01,63.86
24,25,2020-05-05,13 day ahead cum death,2020-05-18,17,Illinois,quantile,0.01,3954.77
25,26,2020-05-05,13 day ahead inc death,2020-05-18,17,Illinois,quantile,0.01,50.0
26,27,2020-05-05,14 day ahead cum death,2020-05-19,17,Illinois,quantile,0.01,4072.73
