,forecast_date,target,target_end_date,location,type,quantile,value
0,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.01,26250.0
1,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.025,29250.0
2,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.05,31750.0
3,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.1,34250.0
4,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.15,36250.0
5,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.2,37750.0
6,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.25,39250.0
7,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.3,40750.0
8,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.35,42250.0
9,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.4,43750.0
10,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.45,45750.0
11,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.5,47750.0
12,2020-04-13,3 wk ahead cum death,2020-05-02,US,point,,47750.0
13,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.55,49250.0
14,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.6,51250.0
15,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.65,53250.0
16,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.7,55250.0
17,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.75,57750.0
18,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.8,61250.0
19,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.85,65750.0
20,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.9,71750.0
21,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.95,89250.0
22,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.975,108750.0
23,2020-04-13,3 wk ahead cum death,2020-05-02,US,quantile,0.99,133750.0
24,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.01,34250.0
25,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.025,37250.0
26,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.05,41250.0
27,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.1,45250.0
28,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.15,48750.0
29,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.2,51250.0
30,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.25,54250.0
31,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.3,57250.0
32,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.35,60250.0
33,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.4,63750.0
34,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.45,68250.0
35,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.5,73250.0
36,2020-04-13,7 wk ahead cum death,2020-05-30,US,point,,73250.0
37,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.55,78250.0
38,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.6,82750.0
39,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.65,88250.0
40,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.7,94250.0
41,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.75,101750.0
42,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.8,110250.0
43,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.85,122250.0
44,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.9,143250.0
45,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.95,177250.0
46,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.975,207750.0
47,2020-04-13,7 wk ahead cum death,2020-05-30,US,quantile,0.99,250250.0
0,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.01,45250.0
1,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.025,46750.0
2,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.05,48250.0
3,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.1,50750.0
4,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.15,52250.0
5,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.2,54250.0
6,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.25,55750.0
7,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.3,57250.0
8,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.35,58750.0
9,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.4,60250.0
10,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.45,62250.0
11,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.5,64750.0
12,2020-04-20,3 wk ahead cum death,2020-05-09,US,point,,64750.0
13,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.55,67250.0
14,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.6,69750.0
15,2020-04-20,3 wk ahead cum death,2020-05-09,US,quantile,0.65,72750.0
