,forecast_date,target,target_end_date,location,type,quantile,value
0,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.01,99
1,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.025,110
2,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.05,122
3,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.1,135
4,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.15,143
5,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.2,150
6,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.25,157
7,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.3,161
8,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.35,167
9,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.4,172
10,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.45,178
11,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.5,184
12,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.55,189
13,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.6,194
14,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.65,202
15,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.7,209
16,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.75,217
17,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.8,227
18,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.85,238
19,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.9,252
20,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.95,277
21,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.975,310
22,2020-06-15,1 wk ahead inc death,2020-06-20,04,quantile,0.99,347
23,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.01,63
24,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.025,84
25,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.05,97
26,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.1,116
27,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.15,132
28,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.2,144
29,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.25,157
30,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.3,168
31,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.35,178
32,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.4,188
33,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.45,200
34,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.5,212
35,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.55,224
36,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.6,237
37,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.65,250
38,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.7,266
39,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.75,288
40,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.8,309
41,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.85,335
42,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.9,377
43,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.95,460
44,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.975,549
45,2020-06-15,2 wk ahead inc death,2020-06-27,04,quantile,0.99,680
46,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.01,46
47,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.025,61
48,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.05,78
49,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.1,101
50,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.15,122
51,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.2,140
52,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.25,158
53,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.3,174
54,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.35,191
55,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.4,209
56,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.45,229
57,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.5,242
58,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.55,263
59,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.6,279
60,2020-06-15,3 wk ahead inc death,2020-07-04,04,quantile,0.65,300
