location,target,type,quantile,forecast_date,target_end_date,value
1,1 wk ahead cum death,point,,2020-05-18,2020-05-23,659
2,1 wk ahead cum death,point,,2020-05-18,2020-05-23,12
4,1 wk ahead cum death,point,,2020-05-18,2020-05-23,844
5,1 wk ahead cum death,point,,2020-05-18,2020-05-23,139
6,1 wk ahead cum death,point,,2020-05-18,2020-05-23,4020
8,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1447
9,1 wk ahead cum death,point,,2020-05-18,2020-05-23,3737
10,1 wk ahead cum death,point,,2020-05-18,2020-05-23,366
11,1 wk ahead cum death,point,,2020-05-18,2020-05-23,468
12,1 wk ahead cum death,point,,2020-05-18,2020-05-23,2397
13,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1919
15,1 wk ahead cum death,point,,2020-05-18,2020-05-23,21
16,1 wk ahead cum death,point,,2020-05-18,2020-05-23,92
17,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5392
18,1 wk ahead cum death,point,,2020-05-18,2020-05-23,2178
19,1 wk ahead cum death,point,,2020-05-18,2020-05-23,494
20,1 wk ahead cum death,point,,2020-05-18,2020-05-23,261
21,1 wk ahead cum death,point,,2020-05-18,2020-05-23,404
22,1 wk ahead cum death,point,,2020-05-18,2020-05-23,2812
23,1 wk ahead cum death,point,,2020-05-18,2020-05-23,84
24,1 wk ahead cum death,point,,2020-05-18,2020-05-23,2418
25,1 wk ahead cum death,point,,2020-05-18,2020-05-23,6893
26,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5380
27,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1041
28,1 wk ahead cum death,point,,2020-05-18,2020-05-23,671
29,1 wk ahead cum death,point,,2020-05-18,2020-05-23,757
30,1 wk ahead cum death,point,,2020-05-18,2020-05-23,19
31,1 wk ahead cum death,point,,2020-05-18,2020-05-23,209
32,1 wk ahead cum death,point,,2020-05-18,2020-05-23,409
33,1 wk ahead cum death,point,,2020-05-18,2020-05-23,218
34,1 wk ahead cum death,point,,2020-05-18,2020-05-23,12043
35,1 wk ahead cum death,point,,2020-05-18,2020-05-23,324
36,1 wk ahead cum death,point,,2020-05-18,2020-05-23,30957
37,1 wk ahead cum death,point,,2020-05-18,2020-05-23,907
38,1 wk ahead cum death,point,,2020-05-18,2020-05-23,59
39,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1881
40,1 wk ahead cum death,point,,2020-05-18,2020-05-23,334
41,1 wk ahead cum death,point,,2020-05-18,2020-05-23,170
42,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5287
44,1 wk ahead cum death,point,,2020-05-18,2020-05-23,621
45,1 wk ahead cum death,point,,2020-05-18,2020-05-23,461
46,1 wk ahead cum death,point,,2020-05-18,2020-05-23,76
47,1 wk ahead cum death,point,,2020-05-18,2020-05-23,438
48,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1768
49,1 wk ahead cum death,point,,2020-05-18,2020-05-23,138
50,1 wk ahead cum death,point,,2020-05-18,2020-05-23,61
51,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1302
53,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1148
54,1 wk ahead cum death,point,,2020-05-18,2020-05-23,79
55,1 wk ahead cum death,point,,2020-05-18,2020-05-23,563
56,1 wk ahead cum death,point,,2020-05-18,2020-05-23,14
1,2 wk ahead cum death,point,,2020-05-18,2020-05-30,803
2,2 wk ahead cum death,point,,2020-05-18,2020-05-30,15
4,2 wk ahead cum death,point,,2020-05-18,2020-05-30,1006
5,2 wk ahead cum death,point,,2020-05-18,2020-05-30,170
6,2 wk ahead cum death,point,,2020-05-18,2020-05-30,4752
8,2 wk ahead cum death,point,,2020-05-18,2020-05-30,1673
9,2 wk ahead cum death,point,,2020-05-18,2020-05-30,4066
10,2 wk ahead cum death,point,,2020-05-18,2020-05-30,442
11,2 wk ahead cum death,point,,2020-05-18,2020-05-30,540
12,2 wk ahead cum death,point,,2020-05-18,2020-05-30,2772
13,2 wk ahead cum death,point,,2020-05-18,2020-05-30,2174
15,2 wk ahead cum death,point,,2020-05-18,2020-05-30,25
16,2 wk ahead cum death,point,,2020-05-18,2020-05-30,106
17,2 wk ahead cum death,point,,2020-05-18,2020-05-30,6430
18,2 wk ahead cum death,point,,2020-05-18,2020-05-30,2508
19,2 wk ahead cum death,point,,2020-05-18,2020-05-30,625
20,2 wk ahead cum death,point,,2020-05-18,2020-05-30,310
21,2 wk ahead cum death,point,,2020-05-18,2020-05-30,457
22,2 wk ahead cum death,point,,2020-05-18,2020-05-30,3076
23,2 wk ahead cum death,point,,2020-05-18,2020-05-30,98
24,2 wk ahead cum death,point,,2020-05-18,2020-05-30,2790
25,2 wk ahead cum death,point,,2020-05-18,2020-05-30,7871
26,2 wk ahead cum death,point,,2020-05-18,2020-05-30,5857
27,2 wk ahead cum death,point,,2020-05-18,2020-05-30,1332
28,2 wk ahead cum death,point,,2020-05-18,2020-05-30,817
29,2 wk ahead cum death,point,,2020-05-18,2020-05-30,887
30,2 wk ahead cum death,point,,2020-05-18,2020-05-30,22
31,2 wk ahead cum death,point,,2020-05-18,2020-05-30,273
32,2 wk ahead cum death,point,,2020-05-18,2020-05-30,461
33,2 wk ahead cum death,point,,2020-05-18,2020-05-30,259
34,2 wk ahead cum death,point,,2020-05-18,2020-05-30,13341
35,2 wk ahead cum death,point,,2020-05-18,2020-05-30,383
36,2 wk ahead cum death,point,,2020-05-18,2020-05-30,33004
37,2 wk ahead cum death,point,,2020-05-18,2020-05-30,1124
38,2 wk ahead cum death,point,,2020-05-18,2020-05-30,73
39,2 wk ahead cum death,point,,2020-05-18,2020-05-30,2098
40,2 wk ahead cum death,point,,2020-05-18,2020-05-30,374
41,2 wk ahead cum death,point,,2020-05-18,2020-05-30,203
42,2 wk ahead cum death,point,,2020-05-18,2020-05-30,5918
44,2 wk ahead cum death,point,,2020-05-18,2020-05-30,728
45,2 wk ahead cum death,point,,2020-05-18,2020-05-30,523
46,2 wk ahead cum death,point,,2020-05-18,2020-05-30,101
47,2 wk ahead cum death,point,,2020-05-18,2020-05-30,542
48,2 wk ahead cum death,point,,2020-05-18,2020-05-30,2159
49,2 wk ahead cum death,point,,2020-05-18,2020-05-30,182
50,2 wk ahead cum death,point,,2020-05-18,2020-05-30,66
51,2 wk ahead cum death,point,,2020-05-18,2020-05-30,1570
53,2 wk ahead cum death,point,,2020-05-18,2020-05-30,1268
54,2 wk ahead cum death,point,,2020-05-18,2020-05-30,90
55,2 wk ahead cum death,point,,2020-05-18,2020-05-30,677
56,2 wk ahead cum death,point,,2020-05-18,2020-05-30,18
1,3 wk ahead cum death,point,,2020-05-18,2020-06-06,905
2,3 wk ahead cum death,point,,2020-05-18,2020-06-06,16
4,3 wk ahead cum death,point,,2020-05-18,2020-06-06,1139
5,3 wk ahead cum death,point,,2020-05-18,2020-06-06,189
6,3 wk ahead cum death,point,,2020-05-18,2020-06-06,5349
8,3 wk ahead cum death,point,,2020-05-18,2020-06-06,1856
9,3 wk ahead cum death,point,,2020-05-18,2020-06-06,4336
10,3 wk ahead cum death,point,,2020-05-18,2020-06-06,504
11,3 wk ahead cum death,point,,2020-05-18,2020-06-06,591
12,3 wk ahead cum death,point,,2020-05-18,2020-06-06,3067
13,3 wk ahead cum death,point,,2020-05-18,2020-06-06,2346
15,3 wk ahead cum death,point,,2020-05-18,2020-06-06,27
16,3 wk ahead cum death,point,,2020-05-18,2020-06-06,115
17,3 wk ahead cum death,point,,2020-05-18,2020-06-06,7154
18,3 wk ahead cum death,point,,2020-05-18,2020-06-06,2721
19,3 wk ahead cum death,point,,2020-05-18,2020-06-06,723
20,3 wk ahead cum death,point,,2020-05-18,2020-06-06,340
21,3 wk ahead cum death,point,,2020-05-18,2020-06-06,490
22,3 wk ahead cum death,point,,2020-05-18,2020-06-06,3256
23,3 wk ahead cum death,point,,2020-05-18,2020-06-06,109
24,3 wk ahead cum death,point,,2020-05-18,2020-06-06,3058
25,3 wk ahead cum death,point,,2020-05-18,2020-06-06,8594
26,3 wk ahead cum death,point,,2020-05-18,2020-06-06,6246
27,3 wk ahead cum death,point,,2020-05-18,2020-06-06,1556
28,3 wk ahead cum death,point,,2020-05-18,2020-06-06,945
29,3 wk ahead cum death,point,,2020-05-18,2020-06-06,981
30,3 wk ahead cum death,point,,2020-05-18,2020-06-06,23
31,3 wk ahead cum death,point,,2020-05-18,2020-06-06,312
32,3 wk ahead cum death,point,,2020-05-18,2020-06-06,501
33,3 wk ahead cum death,point,,2020-05-18,2020-06-06,287
34,3 wk ahead cum death,point,,2020-05-18,2020-06-06,14173
35,3 wk ahead cum death,point,,2020-05-18,2020-06-06,429
36,3 wk ahead cum death,point,,2020-05-18,2020-06-06,34266
37,3 wk ahead cum death,point,,2020-05-18,2020-06-06,1299
38,3 wk ahead cum death,point,,2020-05-18,2020-06-06,83
39,3 wk ahead cum death,point,,2020-05-18,2020-06-06,2247
40,3 wk ahead cum death,point,,2020-05-18,2020-06-06,405
41,3 wk ahead cum death,point,,2020-05-18,2020-06-06,228
42,3 wk ahead cum death,point,,2020-05-18,2020-06-06,6334
44,3 wk ahead cum death,point,,2020-05-18,2020-06-06,805
45,3 wk ahead cum death,point,,2020-05-18,2020-06-06,565
46,3 wk ahead cum death,point,,2020-05-18,2020-06-06,115
47,3 wk ahead cum death,point,,2020-05-18,2020-06-06,606
48,3 wk ahead cum death,point,,2020-05-18,2020-06-06,2461
49,3 wk ahead cum death,point,,2020-05-18,2020-06-06,209
50,3 wk ahead cum death,point,,2020-05-18,2020-06-06,69
51,3 wk ahead cum death,point,,2020-05-18,2020-06-06,1783
53,3 wk ahead cum death,point,,2020-05-18,2020-06-06,1349
54,3 wk ahead cum death,point,,2020-05-18,2020-06-06,99
55,3 wk ahead cum death,point,,2020-05-18,2020-06-06,781
56,3 wk ahead cum death,point,,2020-05-18,2020-06-06,21
1,4 wk ahead cum death,point,,2020-05-18,2020-06-13,973
2,4 wk ahead cum death,point,,2020-05-18,2020-06-13,17
4,4 wk ahead cum death,point,,2020-05-18,2020-06-13,1246
5,4 wk ahead cum death,point,,2020-05-18,2020-06-13,200
