location,target,type,quantile,forecast_date,target_end_date,value
24001,1 wk ahead inc case,point,,2020-07-05,2020-07-11,9.43
24001,2 wk ahead inc case,point,,2020-07-05,2020-07-18,10.63
24001,3 wk ahead inc case,point,,2020-07-05,2020-07-25,10.24
24001,4 wk ahead inc case,point,,2020-07-05,2020-08-01,9.84
24001,5 wk ahead inc case,point,,2020-07-05,2020-08-08,9.44
24001,6 wk ahead inc case,point,,2020-07-05,2020-08-15,9.05
24001,7 wk ahead inc case,point,,2020-07-05,2020-08-22,8.66
24001,8 wk ahead inc case,point,,2020-07-05,2020-08-29,8.28
24003,1 wk ahead inc case,point,,2020-07-05,2020-07-11,211.66
24003,2 wk ahead inc case,point,,2020-07-05,2020-07-18,213.78
24003,3 wk ahead inc case,point,,2020-07-05,2020-07-25,181.5
24003,4 wk ahead inc case,point,,2020-07-05,2020-08-01,153.17
24003,5 wk ahead inc case,point,,2020-07-05,2020-08-08,128.76
24003,6 wk ahead inc case,point,,2020-07-05,2020-08-15,108.02
24003,7 wk ahead inc case,point,,2020-07-05,2020-08-22,90.56
24003,8 wk ahead inc case,point,,2020-07-05,2020-08-29,75.94
24005,1 wk ahead inc case,point,,2020-07-05,2020-07-11,642.36
24005,2 wk ahead inc case,point,,2020-07-05,2020-07-18,768.83
24005,3 wk ahead inc case,point,,2020-07-05,2020-07-25,788.58
24005,4 wk ahead inc case,point,,2020-07-05,2020-08-01,806.94
24005,5 wk ahead inc case,point,,2020-07-05,2020-08-08,823.77
24005,6 wk ahead inc case,point,,2020-07-05,2020-08-15,838.91
24005,7 wk ahead inc case,point,,2020-07-05,2020-08-22,852.23
24005,8 wk ahead inc case,point,,2020-07-05,2020-08-29,863.61
24009,1 wk ahead inc case,point,,2020-07-05,2020-07-11,19.46
24009,2 wk ahead inc case,point,,2020-07-05,2020-07-18,20.93
24009,3 wk ahead inc case,point,,2020-07-05,2020-07-25,19.06
24009,4 wk ahead inc case,point,,2020-07-05,2020-08-01,17.26
