forecast_date,target,target_end_date,location,type,quantile,value
2020-08-09,1 wk ahead inc death,2020-08-15,01,point,,157.679
2020-08-09,1 wk ahead cum death,2020-08-15,01,point,,1912.6789999999999
2020-08-09,1 wk ahead inc case,2020-08-15,01,point,,10429.088
2020-08-09,2 wk ahead inc death,2020-08-22,01,point,,157.195
2020-08-09,2 wk ahead cum death,2020-08-22,01,point,,2063.529
2020-08-09,2 wk ahead inc case,2020-08-22,01,point,,10087.484
2020-08-09,3 wk ahead inc death,2020-08-29,01,point,,155.715
2020-08-09,3 wk ahead cum death,2020-08-29,01,point,,2211.8579999999997
2020-08-09,3 wk ahead inc case,2020-08-29,01,point,,9929.902
2020-08-09,4 wk ahead inc death,2020-09-05,01,point,,162.594
2020-08-09,4 wk ahead cum death,2020-09-05,01,point,,2378.0370000000003
2020-08-09,4 wk ahead inc case,2020-09-05,01,point,,9674.841
2020-08-09,1 wk ahead inc case,2020-08-15,01001,point,,101.35600000000001
2020-08-09,2 wk ahead inc case,2020-08-22,01001,point,,103.22399999999999
2020-08-09,3 wk ahead inc case,2020-08-29,01001,point,,103.671
2020-08-09,4 wk ahead inc case,2020-09-05,01001,point,,108.441
2020-08-09,1 wk ahead inc case,2020-08-15,01003,point,,450.353
2020-08-09,2 wk ahead inc case,2020-08-22,01003,point,,361.13199999999995
2020-08-09,3 wk ahead inc case,2020-08-29,01003,point,,412.88800000000003
2020-08-09,4 wk ahead inc case,2020-09-05,01003,point,,431.374
2020-08-09,1 wk ahead inc case,2020-08-15,01005,point,,18.053
2020-08-09,2 wk ahead inc case,2020-08-22,01005,point,,12.998
2020-08-09,3 wk ahead inc case,2020-08-29,01005,point,,13.689
2020-08-09,4 wk ahead inc case,2020-09-05,01005,point,,16.085
2020-08-09,1 wk ahead inc case,2020-08-15,01007,point,,64.535
2020-08-09,2 wk ahead inc case,2020-08-22,01007,point,,64.641
2020-08-09,3 wk ahead inc case,2020-08-29,01007,point,,65.663
2020-08-09,4 wk ahead inc case,2020-09-05,01007,point,,66.793
2020-08-09,1 wk ahead inc case,2020-08-15,01009,point,,86.414
2020-08-09,2 wk ahead inc case,2020-08-22,01009,point,,80.584
2020-08-09,3 wk ahead inc case,2020-08-29,01009,point,,78.361
2020-08-09,4 wk ahead inc case,2020-09-05,01009,point,,67.104
2020-08-09,1 wk ahead inc case,2020-08-15,01011,point,,27.014
2020-08-09,2 wk ahead inc case,2020-08-22,01011,point,,25.935
2020-08-09,3 wk ahead inc case,2020-08-29,01011,point,,25.765
2020-08-09,4 wk ahead inc case,2020-09-05,01011,point,,27.076
2020-08-09,1 wk ahead inc case,2020-08-15,01013,point,,17.319000000000003
2020-08-09,2 wk ahead inc case,2020-08-22,01013,point,,17.245
2020-08-09,3 wk ahead inc case,2020-08-29,01013,point,,15.468
2020-08-09,4 wk ahead inc case,2020-09-05,01013,point,,21.574
2020-08-09,1 wk ahead inc case,2020-08-15,01015,point,,327.457
2020-08-09,2 wk ahead inc case,2020-08-22,01015,point,,308.015
2020-08-09,3 wk ahead inc case,2020-08-29,01015,point,,284.078
2020-08-09,4 wk ahead inc case,2020-09-05,01015,point,,304.225
2020-08-09,1 wk ahead inc case,2020-08-15,01017,point,,33.84
2020-08-09,2 wk ahead inc case,2020-08-22,01017,point,,31.291
2020-08-09,3 wk ahead inc case,2020-08-29,01017,point,,36.955999999999996
2020-08-09,4 wk ahead inc case,2020-09-05,01017,point,,32.913000000000004
2020-08-09,1 wk ahead inc case,2020-08-15,01019,point,,47.825
2020-08-09,2 wk ahead inc case,2020-08-22,01019,point,,46.625
2020-08-09,3 wk ahead inc case,2020-08-29,01019,point,,45.525
2020-08-09,4 wk ahead inc case,2020-09-05,01019,point,,41.747
2020-08-09,1 wk ahead inc case,2020-08-15,01021,point,,113.335
2020-08-09,2 wk ahead inc case,2020-08-22,01021,point,,127.816
2020-08-09,3 wk ahead inc case,2020-08-29,01021,point,,123.27
2020-08-09,4 wk ahead inc case,2020-09-05,01021,point,,114.461
2020-08-09,1 wk ahead inc case,2020-08-15,01023,point,,9.927999999999999
2020-08-09,2 wk ahead inc case,2020-08-22,01023,point,,10.284
2020-08-09,3 wk ahead inc case,2020-08-29,01023,point,,8.994
2020-08-09,4 wk ahead inc case,2020-09-05,01023,point,,7.4239999999999995
2020-08-09,1 wk ahead inc case,2020-08-15,01025,point,,180.178
2020-08-09,2 wk ahead inc case,2020-08-22,01025,point,,179.324
2020-08-09,3 wk ahead inc case,2020-08-29,01025,point,,168.035
2020-08-09,4 wk ahead inc case,2020-09-05,01025,point,,181.485
2020-08-09,1 wk ahead inc case,2020-08-15,01027,point,,53.06399999999999
2020-08-09,2 wk ahead inc case,2020-08-22,01027,point,,50.58
2020-08-09,3 wk ahead inc case,2020-08-29,01027,point,,51.958999999999996
2020-08-09,4 wk ahead inc case,2020-09-05,01027,point,,52.073
2020-08-09,1 wk ahead inc case,2020-08-15,01029,point,,14.344000000000001
2020-08-09,2 wk ahead inc case,2020-08-22,01029,point,,17.015
2020-08-09,3 wk ahead inc case,2020-08-29,01029,point,,15.514000000000001
2020-08-09,4 wk ahead inc case,2020-09-05,01029,point,,18.02
2020-08-09,1 wk ahead inc case,2020-08-15,01031,point,,57.148
2020-08-09,2 wk ahead inc case,2020-08-22,01031,point,,51.394
