forecast_date,target,target_end_date,location,type,quantile,value
2021-02-01,1 wk ahead cum death,2021-02-06,01,point,,8088
2021-02-01,1 wk ahead cum death,2021-02-06,02,point,,269
2021-02-01,1 wk ahead cum death,2021-02-06,04,point,,13866
2021-02-01,1 wk ahead cum death,2021-02-06,05,point,,5059
2021-02-01,1 wk ahead cum death,2021-02-06,06,point,,43838
2021-02-01,1 wk ahead cum death,2021-02-06,08,point,,5742
2021-02-01,1 wk ahead cum death,2021-02-06,09,point,,7241
2021-02-01,1 wk ahead cum death,2021-02-06,10,point,,1113
2021-02-01,1 wk ahead cum death,2021-02-06,11,point,,936
2021-02-01,1 wk ahead cum death,2021-02-06,12,point,,27366
2021-02-01,1 wk ahead cum death,2021-02-06,13,point,,15026
2021-02-01,1 wk ahead cum death,2021-02-06,15,point,,418
2021-02-01,1 wk ahead cum death,2021-02-06,16,point,,1767
2021-02-01,1 wk ahead cum death,2021-02-06,17,point,,21666
2021-02-01,1 wk ahead cum death,2021-02-06,18,point,,10219
2021-02-01,1 wk ahead cum death,2021-02-06,19,point,,4856
2021-02-01,1 wk ahead cum death,2021-02-06,20,point,,3914
2021-02-01,1 wk ahead cum death,2021-02-06,21,point,,3962
2021-02-01,1 wk ahead cum death,2021-02-06,22,point,,9072
2021-02-01,1 wk ahead cum death,2021-02-06,23,point,,632
2021-02-01,1 wk ahead cum death,2021-02-06,24,point,,7335
2021-02-01,1 wk ahead cum death,2021-02-06,25,point,,14926
2021-02-01,1 wk ahead cum death,2021-02-06,26,point,,15839
2021-02-01,1 wk ahead cum death,2021-02-06,27,point,,6367
2021-02-01,1 wk ahead cum death,2021-02-06,28,point,,6225
2021-02-01,1 wk ahead cum death,2021-02-06,29,point,,7219
2021-02-01,1 wk ahead cum death,2021-02-06,30,point,,1278
2021-02-01,1 wk ahead cum death,2021-02-06,31,point,,1956
2021-02-01,1 wk ahead cum death,2021-02-06,32,point,,4460
2021-02-01,1 wk ahead cum death,2021-02-06,33,point,,1095
2021-02-01,1 wk ahead cum death,2021-02-06,34,point,,21917
2021-02-01,1 wk ahead cum death,2021-02-06,35,point,,3395
2021-02-01,1 wk ahead cum death,2021-02-06,36,point,,44624
2021-02-01,1 wk ahead cum death,2021-02-06,37,point,,9846
2021-02-01,1 wk ahead cum death,2021-02-06,38,point,,1461
2021-02-01,1 wk ahead cum death,2021-02-06,39,point,,11498
2021-02-01,1 wk ahead cum death,2021-02-06,40,point,,3717
2021-02-01,1 wk ahead cum death,2021-02-06,41,point,,2027
2021-02-01,1 wk ahead cum death,2021-02-06,42,point,,22522
2021-02-01,1 wk ahead cum death,2021-02-06,44,point,,2216
2021-02-01,1 wk ahead cum death,2021-02-06,45,point,,7393
2021-02-01,1 wk ahead cum death,2021-02-06,46,point,,1813
2021-02-01,1 wk ahead cum death,2021-02-06,47,point,,10011
2021-02-01,1 wk ahead cum death,2021-02-06,48,point,,38832
2021-02-01,1 wk ahead cum death,2021-02-06,49,point,,1727
2021-02-01,1 wk ahead cum death,2021-02-06,50,point,,181
2021-02-01,1 wk ahead cum death,2021-02-06,51,point,,6776
2021-02-01,1 wk ahead cum death,2021-02-06,53,point,,4441
2021-02-01,1 wk ahead cum death,2021-02-06,54,point,,2125
2021-02-01,1 wk ahead cum death,2021-02-06,55,point,,6606
2021-02-01,1 wk ahead cum death,2021-02-06,56,point,,621
2021-02-01,1 wk ahead cum death,2021-02-06,72,point,,1816
2021-02-01,1 wk ahead cum death,2021-02-06,60,point,,0
2021-02-01,1 wk ahead cum death,2021-02-06,66,point,,131
2021-02-01,1 wk ahead cum death,2021-02-06,69,point,,2
2021-02-01,1 wk ahead cum death,2021-02-06,78,point,,24
2021-02-01,2 wk ahead cum death,2021-02-13,01,point,,8695
2021-02-01,2 wk ahead cum death,2021-02-13,02,point,,276
2021-02-01,2 wk ahead cum death,2021-02-13,04,point,,14594
2021-02-01,2 wk ahead cum death,2021-02-13,05,point,,5259
2021-02-01,2 wk ahead cum death,2021-02-13,06,point,,46627
2021-02-01,2 wk ahead cum death,2021-02-13,08,point,,5855
2021-02-01,2 wk ahead cum death,2021-02-13,09,point,,7442
2021-02-01,2 wk ahead cum death,2021-02-13,10,point,,1141
2021-02-01,2 wk ahead cum death,2021-02-13,11,point,,963
2021-02-01,2 wk ahead cum death,2021-02-13,12,point,,28350
2021-02-01,2 wk ahead cum death,2021-02-13,13,point,,15866
2021-02-01,2 wk ahead cum death,2021-02-13,15,point,,433
2021-02-01,2 wk ahead cum death,2021-02-13,16,point,,1808
2021-02-01,2 wk ahead cum death,2021-02-13,17,point,,22111
2021-02-01,2 wk ahead cum death,2021-02-13,18,point,,10449
2021-02-01,2 wk ahead cum death,2021-02-13,19,point,,4974
2021-02-01,2 wk ahead cum death,2021-02-13,20,point,,4060
2021-02-01,2 wk ahead cum death,2021-02-13,21,point,,4217
2021-02-01,2 wk ahead cum death,2021-02-13,22,point,,9324
2021-02-01,2 wk ahead cum death,2021-02-13,23,point,,674
2021-02-01,2 wk ahead cum death,2021-02-13,24,point,,7559
2021-02-01,2 wk ahead cum death,2021-02-13,25,point,,15298
2021-02-01,2 wk ahead cum death,2021-02-13,26,point,,16138
2021-02-01,2 wk ahead cum death,2021-02-13,27,point,,6469
2021-02-01,2 wk ahead cum death,2021-02-13,28,point,,6423
2021-02-01,2 wk ahead cum death,2021-02-13,29,point,,7405
2021-02-01,2 wk ahead cum death,2021-02-13,30,point,,1322
2021-02-01,2 wk ahead cum death,2021-02-13,31,point,,1994
2021-02-01,2 wk ahead cum death,2021-02-13,32,point,,4653
2021-02-01,2 wk ahead cum death,2021-02-13,33,point,,1146
2021-02-01,2 wk ahead cum death,2021-02-13,34,point,,22383
2021-02-01,2 wk ahead cum death,2021-02-13,35,point,,3517
2021-02-01,2 wk ahead cum death,2021-02-13,36,point,,45737
2021-02-01,2 wk ahead cum death,2021-02-13,37,point,,10404
2021-02-01,2 wk ahead cum death,2021-02-13,38,point,,1473
2021-02-01,2 wk ahead cum death,2021-02-13,39,point,,11853
2021-02-01,2 wk ahead cum death,2021-02-13,40,point,,3918
2021-02-01,2 wk ahead cum death,2021-02-13,41,point,,2095
2021-02-01,2 wk ahead cum death,2021-02-13,42,point,,23452
2021-02-01,2 wk ahead cum death,2021-02-13,44,point,,2282
2021-02-01,2 wk ahead cum death,2021-02-13,45,point,,7773
2021-02-01,2 wk ahead cum death,2021-02-13,46,point,,1854
2021-02-01,2 wk ahead cum death,2021-02-13,47,point,,10408
2021-02-01,2 wk ahead cum death,2021-02-13,48,point,,40775
2021-02-01,2 wk ahead cum death,2021-02-13,49,point,,1790
2021-02-01,2 wk ahead cum death,2021-02-13,50,point,,190
2021-02-01,2 wk ahead cum death,2021-02-13,51,point,,7118
2021-02-01,2 wk ahead cum death,2021-02-13,53,point,,4600
2021-02-01,2 wk ahead cum death,2021-02-13,54,point,,2229
2021-02-01,2 wk ahead cum death,2021-02-13,55,point,,6772
2021-02-01,2 wk ahead cum death,2021-02-13,56,point,,645
2021-02-01,2 wk ahead cum death,2021-02-13,72,point,,1868
2021-02-01,2 wk ahead cum death,2021-02-13,60,point,,0
2021-02-01,2 wk ahead cum death,2021-02-13,66,point,,132
2021-02-01,2 wk ahead cum death,2021-02-13,69,point,,2
2021-02-01,2 wk ahead cum death,2021-02-13,78,point,,24
2021-02-01,3 wk ahead cum death,2021-02-20,01,point,,9195
2021-02-01,3 wk ahead cum death,2021-02-20,02,point,,282
2021-02-01,3 wk ahead cum death,2021-02-20,04,point,,15254
2021-02-01,3 wk ahead cum death,2021-02-20,05,point,,5438
2021-02-01,3 wk ahead cum death,2021-02-20,06,point,,49045
2021-02-01,3 wk ahead cum death,2021-02-20,08,point,,5961
2021-02-01,3 wk ahead cum death,2021-02-20,09,point,,7634
2021-02-01,3 wk ahead cum death,2021-02-20,10,point,,1170
2021-02-01,3 wk ahead cum death,2021-02-20,11,point,,990
2021-02-01,3 wk ahead cum death,2021-02-20,12,point,,29260
2021-02-01,3 wk ahead cum death,2021-02-20,13,point,,16667
2021-02-01,3 wk ahead cum death,2021-02-20,15,point,,447
2021-02-01,3 wk ahead cum death,2021-02-20,16,point,,1845
2021-02-01,3 wk ahead cum death,2021-02-20,17,point,,22534
2021-02-01,3 wk ahead cum death,2021-02-20,18,point,,10655
2021-02-01,3 wk ahead cum death,2021-02-20,19,point,,5079
2021-02-01,3 wk ahead cum death,2021-02-20,20,point,,4190
2021-02-01,3 wk ahead cum death,2021-02-20,21,point,,4462
2021-02-01,3 wk ahead cum death,2021-02-20,22,point,,9552
2021-02-01,3 wk ahead cum death,2021-02-20,23,point,,715
2021-02-01,3 wk ahead cum death,2021-02-20,24,point,,7765
2021-02-01,3 wk ahead cum death,2021-02-20,25,point,,15643
2021-02-01,3 wk ahead cum death,2021-02-20,26,point,,16394
2021-02-01,3 wk ahead cum death,2021-02-20,27,point,,6561
2021-02-01,3 wk ahead cum death,2021-02-20,28,point,,6593
2021-02-01,3 wk ahead cum death,2021-02-20,29,point,,7573
2021-02-01,3 wk ahead cum death,2021-02-20,30,point,,1372
2021-02-01,3 wk ahead cum death,2021-02-20,31,point,,2028
2021-02-01,3 wk ahead cum death,2021-02-20,32,point,,4825
2021-02-01,3 wk ahead cum death,2021-02-20,33,point,,1193
2021-02-01,3 wk ahead cum death,2021-02-20,34,point,,22819
2021-02-01,3 wk ahead cum death,2021-02-20,35,point,,3628
2021-02-01,3 wk ahead cum death,2021-02-20,36,point,,46790
2021-02-01,3 wk ahead cum death,2021-02-20,37,point,,10925
2021-02-01,3 wk ahead cum death,2021-02-20,38,point,,1484
2021-02-01,3 wk ahead cum death,2021-02-20,39,point,,12176
2021-02-01,3 wk ahead cum death,2021-02-20,40,point,,4098
2021-02-01,3 wk ahead cum death,2021-02-20,41,point,,2155
2021-02-01,3 wk ahead cum death,2021-02-20,42,point,,24319
2021-02-01,3 wk ahead cum death,2021-02-20,44,point,,2342
2021-02-01,3 wk ahead cum death,2021-02-20,45,point,,8134
2021-02-01,3 wk ahead cum death,2021-02-20,46,point,,1887
2021-02-01,3 wk ahead cum death,2021-02-20,47,point,,10735
2021-02-01,3 wk ahead cum death,2021-02-20,48,point,,42601
2021-02-01,3 wk ahead cum death,2021-02-20,49,point,,1846
2021-02-01,3 wk ahead cum death,2021-02-20,50,point,,201
2021-02-01,3 wk ahead cum death,2021-02-20,51,point,,7451
2021-02-01,3 wk ahead cum death,2021-02-20,53,point,,4749
2021-02-01,3 wk ahead cum death,2021-02-20,54,point,,2320
2021-02-01,3 wk ahead cum death,2021-02-20,55,point,,6924
2021-02-01,3 wk ahead cum death,2021-02-20,56,point,,668
2021-02-01,3 wk ahead cum death,2021-02-20,72,point,,1911
2021-02-01,3 wk ahead cum death,2021-02-20,60,point,,0
2021-02-01,3 wk ahead cum death,2021-02-20,66,point,,134
2021-02-01,3 wk ahead cum death,2021-02-20,69,point,,2
2021-02-01,3 wk ahead cum death,2021-02-20,78,point,,25
2021-02-01,4 wk ahead cum death,2021-02-27,01,point,,9660
2021-02-01,4 wk ahead cum death,2021-02-27,02,point,,288
2021-02-01,4 wk ahead cum death,2021-02-27,04,point,,15822
2021-02-01,4 wk ahead cum death,2021-02-27,05,point,,5590
2021-02-01,4 wk ahead cum death,2021-02-27,06,point,,51078
2021-02-01,4 wk ahead cum death,2021-02-27,08,point,,6051
2021-02-01,4 wk ahead cum death,2021-02-27,09,point,,7817
2021-02-01,4 wk ahead cum death,2021-02-27,10,point,,1196
2021-02-01,4 wk ahead cum death,2021-02-27,11,point,,1015
2021-02-01,4 wk ahead cum death,2021-02-27,12,point,,30097
2021-02-01,4 wk ahead cum death,2021-02-27,13,point,,17414
2021-02-01,4 wk ahead cum death,2021-02-27,15,point,,460
2021-02-01,4 wk ahead cum death,2021-02-27,16,point,,1877
2021-02-01,4 wk ahead cum death,2021-02-27,17,point,,22911
2021-02-01,4 wk ahead cum death,2021-02-27,18,point,,10830
2021-02-01,4 wk ahead cum death,2021-02-27,19,point,,5175
2021-02-01,4 wk ahead cum death,2021-02-27,20,point,,4305
2021-02-01,4 wk ahead cum death,2021-02-27,21,point,,4689
2021-02-01,4 wk ahead cum death,2021-02-27,22,point,,9755
2021-02-01,4 wk ahead cum death,2021-02-27,23,point,,753
2021-02-01,4 wk ahead cum death,2021-02-27,24,point,,7954
2021-02-01,4 wk ahead cum death,2021-02-27,25,point,,15959
2021-02-01,4 wk ahead cum death,2021-02-27,26,point,,16627
2021-02-01,4 wk ahead cum death,2021-02-27,27,point,,6643
2021-02-01,4 wk ahead cum death,2021-02-27,28,point,,6746
2021-02-01,4 wk ahead cum death,2021-02-27,29,point,,7720
2021-02-01,4 wk ahead cum death,2021-02-27,30,point,,1420
2021-02-01,4 wk ahead cum death,2021-02-27,31,point,,2062
2021-02-01,4 wk ahead cum death,2021-02-27,32,point,,4981
2021-02-01,4 wk ahead cum death,2021-02-27,33,point,,1237
2021-02-01,4 wk ahead cum death,2021-02-27,34,point,,23233
2021-02-01,4 wk ahead cum death,2021-02-27,35,point,,3731
2021-02-01,4 wk ahead cum death,2021-02-27,36,point,,47761
2021-02-01,4 wk ahead cum death,2021-02-27,37,point,,11420
2021-02-01,4 wk ahead cum death,2021-02-27,38,point,,1494
2021-02-01,4 wk ahead cum death,2021-02-27,39,point,,12461
