forecast_date,target,target_end_date,location,type,quantile,value
2020-07-05,1 wk ahead cum death,2020-07-11,US,point,,134759.0
2020-07-05,2 wk ahead cum death,2020-07-18,US,point,,140166.0
2020-07-05,3 wk ahead cum death,2020-07-25,US,point,,149125.0
2020-07-05,4 wk ahead cum death,2020-08-01,US,point,,162233.0
2020-07-05,5 wk ahead cum death,2020-08-08,US,point,,175489.0
2020-07-05,6 wk ahead cum death,2020-08-15,US,point,,187741.0
2020-07-05,7 wk ahead cum death,2020-08-22,US,point,,198967.0
2020-07-05,8 wk ahead cum death,2020-08-29,US,point,,209335.0
2020-07-05,1 wk ahead inc case,2020-07-11,US,point,,458708.0
2020-07-05,2 wk ahead inc case,2020-07-18,US,point,,552408.0
2020-07-05,3 wk ahead inc case,2020-07-25,US,point,,568974.0
2020-07-05,4 wk ahead inc case,2020-08-01,US,point,,560051.0
2020-07-05,5 wk ahead inc case,2020-08-08,US,point,,547161.0
2020-07-05,6 wk ahead inc case,2020-08-15,US,point,,534552.0
2020-07-05,7 wk ahead inc case,2020-08-22,US,point,,522264.0
2020-07-05,8 wk ahead inc case,2020-08-29,US,point,,510254.0
2020-07-12,1 wk ahead cum death,2020-07-18,US,point,,140327.0
2020-07-12,2 wk ahead cum death,2020-07-25,US,point,,148716.0
2020-07-12,3 wk ahead cum death,2020-08-01,US,point,,158943.0
2020-07-12,4 wk ahead cum death,2020-08-08,US,point,,168710.0
2020-07-12,5 wk ahead cum death,2020-08-15,US,point,,177623.0
2020-07-12,6 wk ahead cum death,2020-08-22,US,point,,185729.0
2020-07-12,7 wk ahead cum death,2020-08-29,US,point,,193159.0
2020-07-12,8 wk ahead cum death,2020-09-05,US,point,,200005.0
2020-07-12,1 wk ahead inc case,2020-07-18,US,point,,450933.0
2020-07-12,2 wk ahead inc case,2020-07-25,US,point,,446139.0
2020-07-12,3 wk ahead inc case,2020-08-01,US,point,,430973.0
2020-07-12,4 wk ahead inc case,2020-08-08,US,point,,414596.0
2020-07-12,5 wk ahead inc case,2020-08-15,US,point,,398926.0
2020-07-12,6 wk ahead inc case,2020-08-22,US,point,,383844.0
2020-07-12,7 wk ahead inc case,2020-08-29,US,point,,369332.0
2020-07-12,8 wk ahead inc case,2020-09-05,US,point,,355369.0
2020-07-19,1 wk ahead cum death,2020-07-25,US,point,,146757.0
2020-07-19,2 wk ahead cum death,2020-08-01,US,point,,153720.0
2020-07-19,3 wk ahead cum death,2020-08-08,US,point,,160351.0
2020-07-19,4 wk ahead cum death,2020-08-15,US,point,,166132.0
2020-07-19,5 wk ahead cum death,2020-08-22,US,point,,171110.0
