forecast_date,location,target,type,target_end_date,quantile,value
2020-07-05,01,1 wk ahead cum death,point,2020-07-11,,1178.2047409496006
2020-07-05,01,2 wk ahead cum death,point,2020-07-18,,1356.5781729014705
2020-07-05,01,3 wk ahead cum death,point,2020-07-25,,1550.4288240321291
2020-07-05,01,4 wk ahead cum death,point,2020-08-01,,1758.5144389736329
2020-07-05,01,5 wk ahead cum death,point,2020-08-08,,1979.1637688239275
2020-07-05,01,6 wk ahead cum death,point,2020-08-15,,2209.756472431871
2020-07-05,02,1 wk ahead cum death,point,2020-07-11,,35.66781781652122
2020-07-05,02,2 wk ahead cum death,point,2020-07-18,,62.82443388793757
2020-07-05,02,3 wk ahead cum death,point,2020-07-25,,96.4483699967133
2020-07-05,02,4 wk ahead cum death,point,2020-08-01,,137.37156719994871
2020-07-05,02,5 wk ahead cum death,point,2020-08-08,,186.12648259258808
2020-07-05,02,6 wk ahead cum death,point,2020-08-15,,242.79641839761783
2020-07-05,04,1 wk ahead cum death,point,2020-07-11,,2590.3877069130826
2020-07-05,04,2 wk ahead cum death,point,2020-07-18,,3585.8340896765526
2020-07-05,04,3 wk ahead cum death,point,2020-07-25,,4823.199552433125
2020-07-05,04,4 wk ahead cum death,point,2020-08-01,,6290.149662078589
2020-07-05,04,5 wk ahead cum death,point,2020-08-08,,7938.636337330989
2020-07-05,04,6 wk ahead cum death,point,2020-08-15,,9689.910617610412
2020-07-05,05,1 wk ahead cum death,point,2020-07-11,,369.22155579551514
2020-07-05,05,2 wk ahead cum death,point,2020-07-18,,470.604239202492
2020-07-05,05,3 wk ahead cum death,point,2020-07-25,,592.5569236990519
2020-07-05,05,4 wk ahead cum death,point,2020-08-01,,737.1092065173162
2020-07-05,05,5 wk ahead cum death,point,2020-08-08,,905.5475961507616
2020-07-05,05,6 wk ahead cum death,point,2020-08-15,,1138.7958284645301
2020-07-05,06,1 wk ahead cum death,point,2020-07-11,,7656.7741431652685
2020-07-05,06,2 wk ahead cum death,point,2020-07-18,,9406.345294692352
2020-07-05,06,3 wk ahead cum death,point,2020-07-25,,12367.827761712775
2020-07-05,06,4 wk ahead cum death,point,2020-08-01,,16309.784113862745
2020-07-05,06,5 wk ahead cum death,point,2020-08-08,,21278.087148630424
2020-07-05,06,6 wk ahead cum death,point,2020-08-15,,27272.49240025868
2020-07-05,08,1 wk ahead cum death,point,2020-07-11,,1751.0843942620866
2020-07-05,08,2 wk ahead cum death,point,2020-07-18,,1790.0722050869947
2020-07-05,08,3 wk ahead cum death,point,2020-07-25,,1822.8857373080928
2020-07-05,08,4 wk ahead cum death,point,2020-08-01,,1850.5105680316985
2020-07-05,08,5 wk ahead cum death,point,2020-08-08,,1873.8429790115304
2020-07-05,08,6 wk ahead cum death,point,2020-08-15,,1893.552861460419
2020-07-05,09,1 wk ahead cum death,point,2020-07-11,,4352.1230849797375
2020-07-05,09,2 wk ahead cum death,point,2020-07-18,,4363.748430916288
2020-07-05,09,3 wk ahead cum death,point,2020-07-25,,4371.614796517228
2020-07-05,09,4 wk ahead cum death,point,2020-08-01,,4376.942806920195
2020-07-05,09,5 wk ahead cum death,point,2020-08-08,,4380.546981438761
2020-07-05,09,6 wk ahead cum death,point,2020-08-15,,4382.973910548421
