value,target,target_end_date,type,quantile,forecast_date,location
247.27926826477028,1 wk ahead inc case,2020-11-28,point,,2020-11-18,19067
432.9280071258545,2 wk ahead inc case,2020-12-05,point,,2020-11-18,19067
919.978172302246,1 wk ahead inc case,2020-11-28,point,,2020-11-18,1003
1727.2077178955078,2 wk ahead inc case,2020-12-05,point,,2020-11-18,1003
169.58048534393308,1 wk ahead inc case,2020-11-28,point,,2020-11-18,5015
321.7168512344361,2 wk ahead inc case,2020-12-05,point,,2020-11-18,5015
22.67572689056395,1 wk ahead inc case,2020-11-28,point,,2020-11-18,41037
39.058438777923584,2 wk ahead inc case,2020-12-05,point,,2020-11-18,41037
108.83077049255371,1 wk ahead inc case,2020-11-28,point,,2020-11-18,5003
201.90298175811768,2 wk ahead inc case,2020-12-05,point,,2020-11-18,5003
2618.591415405281,1 wk ahead inc case,2020-11-28,point,,2020-11-18,34029
4974.470642089844,2 wk ahead inc case,2020-12-05,point,,2020-11-18,34029
1306.6714706420896,1 wk ahead inc case,2020-11-28,point,,2020-11-18,12001
2530.9269943237305,2 wk ahead inc case,2020-12-05,point,,2020-11-18,12001
1792.288833618164,1 wk ahead inc case,2020-11-28,point,,2020-11-18,42133
3261.484970092772,2 wk ahead inc case,2020-12-05,point,,2020-11-18,42133
120.57343769073486,1 wk ahead inc case,2020-11-28,point,,2020-11-18,45067
237.3626470565796,2 wk ahead inc case,2020-12-05,point,,2020-11-18,45067
62.737351417541504,1 wk ahead inc case,2020-11-28,point,,2020-11-18,13317
111.54104280471802,2 wk ahead inc case,2020-12-05,point,,2020-11-18,13317
2008.9701995849591,1 wk ahead inc case,2020-11-28,point,,2020-11-18,36067
3604.167144775391,2 wk ahead inc case,2020-12-05,point,,2020-11-18,36067
325.35228919982916,1 wk ahead inc case,2020-11-28,point,,2020-11-18,26061
595.6951732635497,2 wk ahead inc case,2020-12-05,point,,2020-11-18,26061
398.3996276855469,1 wk ahead inc case,2020-11-28,point,,2020-11-18,23031
724.727840423584,2 wk ahead inc case,2020-12-05,point,,2020-11-18,23031
86.24316501617432,1 wk ahead inc case,2020-11-28,point,,2020-11-18,27071
150.2587156295776,2 wk ahead inc case,2020-12-05,point,,2020-11-18,27071
35.47551369667053,1 wk ahead inc case,2020-11-28,point,,2020-11-18,51075
67.70161318778986,2 wk ahead inc case,2020-12-05,point,,2020-11-18,51075
46.107399702072144,1 wk ahead inc case,2020-11-28,point,,2020-11-18,28021
88.42531132698059,2 wk ahead inc case,2020-12-05,point,,2020-11-18,28021
24.392677783966064,1 wk ahead inc case,2020-11-28,point,,2020-11-18,20065
43.83040475845337,2 wk ahead inc case,2020-12-05,point,,2020-11-18,20065
107.2228775024414,1 wk ahead inc case,2020-11-28,point,,2020-11-18,36073
188.7277460098268,2 wk ahead inc case,2020-12-05,point,,2020-11-18,36073
