forecast_date,target,target_end_date,location,type,quantile,value
2020-08-10,1 wk ahead inc death,2020-08-15,US,point,,7735.5
2020-08-10,1 wk ahead cum death,2020-08-15,US,point,,170158.5006
2020-08-10,2 wk ahead inc death,2020-08-22,US,point,,7146.28
2020-08-10,2 wk ahead cum death,2020-08-22,US,point,,177304.7789
2020-08-10,3 wk ahead inc death,2020-08-29,US,point,,6146.26
2020-08-10,3 wk ahead cum death,2020-08-29,US,point,,183451.0406
2020-08-10,4 wk ahead inc death,2020-09-05,US,point,,6190.58
2020-08-10,4 wk ahead cum death,2020-09-05,US,point,,189641.6181
2020-08-10,1 wk ahead inc death,2020-08-15,01,point,,125.89
2020-08-10,1 wk ahead cum death,2020-08-15,01,point,,1880.892
2020-08-10,2 wk ahead inc death,2020-08-22,01,point,,141.16
2020-08-10,2 wk ahead cum death,2020-08-22,01,point,,2022.0561
2020-08-10,3 wk ahead inc death,2020-08-29,01,point,,157.61
2020-08-10,3 wk ahead cum death,2020-08-29,01,point,,2179.6614
2020-08-10,4 wk ahead inc death,2020-09-05,01,point,,158.5
2020-08-10,4 wk ahead cum death,2020-09-05,01,point,,2338.1574
2020-08-10,1 wk ahead inc death,2020-08-15,02,point,,2.42
2020-08-10,1 wk ahead cum death,2020-08-15,02,point,,28.4213
2020-08-10,2 wk ahead inc death,2020-08-22,02,point,,2.38
2020-08-10,2 wk ahead cum death,2020-08-22,02,point,,30.8043
2020-08-10,3 wk ahead inc death,2020-08-29,02,point,,2.64
2020-08-10,3 wk ahead cum death,2020-08-29,02,point,,33.4467
2020-08-10,4 wk ahead inc death,2020-09-05,02,point,,2.66
2020-08-10,4 wk ahead cum death,2020-09-05,02,point,,36.1109
2020-08-10,1 wk ahead inc death,2020-08-15,05,point,,67.29
2020-08-10,1 wk ahead cum death,2020-08-15,05,point,,602.2926
2020-08-10,2 wk ahead inc death,2020-08-22,05,point,,65.34
2020-08-10,2 wk ahead cum death,2020-08-22,05,point,,667.6293
2020-08-10,3 wk ahead inc death,2020-08-29,05,point,,60.47
2020-08-10,3 wk ahead cum death,2020-08-29,05,point,,728.1022
2020-08-10,4 wk ahead inc death,2020-09-05,05,point,,59.77
2020-08-10,4 wk ahead cum death,2020-09-05,05,point,,787.8681
2020-08-10,1 wk ahead inc death,2020-08-15,06,point,,790.3
2020-08-10,1 wk ahead cum death,2020-08-15,06,point,,11097.3033
2020-08-10,2 wk ahead inc death,2020-08-22,06,point,,747.82
2020-08-10,2 wk ahead cum death,2020-08-22,06,point,,11845.1229
2020-08-10,3 wk ahead inc death,2020-08-29,06,point,,834.47
2020-08-10,3 wk ahead cum death,2020-08-29,06,point,,12679.5959
2020-08-10,4 wk ahead inc death,2020-09-05,06,point,,1005.63
2020-08-10,4 wk ahead cum death,2020-09-05,06,point,,13685.2219
2020-08-10,1 wk ahead inc death,2020-08-15,08,point,,33.68
2020-08-10,1 wk ahead cum death,2020-08-15,08,point,,1890.6762
2020-08-10,2 wk ahead inc death,2020-08-22,08,point,,38.77
2020-08-10,2 wk ahead cum death,2020-08-22,08,point,,1929.4511
2020-08-10,3 wk ahead inc death,2020-08-29,08,point,,33.97
2020-08-10,3 wk ahead cum death,2020-08-29,08,point,,1963.4252
2020-08-10,4 wk ahead inc death,2020-09-05,08,point,,34.18
2020-08-10,4 wk ahead cum death,2020-09-05,08,point,,1997.6027
2020-08-10,1 wk ahead inc death,2020-08-15,09,point,,22.7
2020-08-10,1 wk ahead cum death,2020-08-15,09,point,,4463.7027
2020-08-10,2 wk ahead inc death,2020-08-22,09,point,,26.33
2020-08-10,2 wk ahead cum death,2020-08-22,09,point,,4490.0353
2020-08-10,3 wk ahead inc death,2020-08-29,09,point,,27.66
2020-08-10,3 wk ahead cum death,2020-08-29,09,point,,4517.6921
2020-08-10,4 wk ahead inc death,2020-09-05,09,point,,34.83
2020-08-10,4 wk ahead cum death,2020-09-05,09,point,,4552.5172
2020-08-10,1 wk ahead inc death,2020-08-15,10,point,,33.86
2020-08-10,1 wk ahead cum death,2020-08-15,10,point,,623.8618
2020-08-10,2 wk ahead inc death,2020-08-22,10,point,,10.95
2020-08-10,2 wk ahead cum death,2020-08-22,10,point,,634.8138
2020-08-10,3 wk ahead inc death,2020-08-29,10,point,,43.14
2020-08-10,3 wk ahead cum death,2020-08-29,10,point,,677.9563
2020-08-10,4 wk ahead inc death,2020-09-05,10,point,,16.01
2020-08-10,4 wk ahead cum death,2020-09-05,10,point,,693.9637
2020-08-10,1 wk ahead inc death,2020-08-15,11,point,,4.65
2020-08-10,1 wk ahead cum death,2020-08-15,11,point,,594.6455
2020-08-10,2 wk ahead inc death,2020-08-22,11,point,,5.92
2020-08-10,2 wk ahead cum death,2020-08-22,11,point,,600.5681
2020-08-10,3 wk ahead inc death,2020-08-29,11,point,,5.16
2020-08-10,3 wk ahead cum death,2020-08-29,11,point,,605.7316
2020-08-10,4 wk ahead inc death,2020-09-05,11,point,,7.48
2020-08-10,4 wk ahead cum death,2020-09-05,11,point,,613.2101
2020-08-10,1 wk ahead inc death,2020-08-15,12,point,,590.62
2020-08-10,1 wk ahead cum death,2020-08-15,12,point,,8699.6228
2020-08-10,2 wk ahead inc death,2020-08-22,12,point,,672.61
2020-08-10,2 wk ahead cum death,2020-08-22,12,point,,9372.2353
2020-08-10,3 wk ahead inc death,2020-08-29,12,point,,860.17
2020-08-10,3 wk ahead cum death,2020-08-29,12,point,,10232.4036
2020-08-10,4 wk ahead inc death,2020-09-05,12,point,,829.31
2020-08-10,4 wk ahead cum death,2020-09-05,12,point,,11061.7098
2020-08-10,1 wk ahead inc death,2020-08-15,13,point,,339.65
2020-08-10,1 wk ahead cum death,2020-08-15,13,point,,4525.6542
2020-08-10,2 wk ahead inc death,2020-08-22,13,point,,265.92
2020-08-10,2 wk ahead cum death,2020-08-22,13,point,,4791.5784
2020-08-10,3 wk ahead inc death,2020-08-29,13,point,,246.06
2020-08-10,3 wk ahead cum death,2020-08-29,13,point,,5037.6397
2020-08-10,4 wk ahead inc death,2020-09-05,13,point,,306.99
2020-08-10,4 wk ahead cum death,2020-09-05,13,point,,5344.6294
2020-08-10,1 wk ahead inc death,2020-08-15,16,point,,38.78
2020-08-10,1 wk ahead cum death,2020-08-15,16,point,,273.7836
2020-08-10,2 wk ahead inc death,2020-08-22,16,point,,46.55
2020-08-10,2 wk ahead cum death,2020-08-22,16,point,,320.3384
2020-08-10,3 wk ahead inc death,2020-08-29,16,point,,35.73
2020-08-10,3 wk ahead cum death,2020-08-29,16,point,,356.068
2020-08-10,4 wk ahead inc death,2020-09-05,16,point,,41.38
2020-08-10,4 wk ahead cum death,2020-09-05,16,point,,397.4502
2020-08-10,1 wk ahead inc death,2020-08-15,18,point,,80.84
2020-08-10,1 wk ahead cum death,2020-08-15,18,point,,3116.8409
2020-08-10,2 wk ahead inc death,2020-08-22,18,point,,90.76
2020-08-10,2 wk ahead cum death,2020-08-22,18,point,,3207.6052
2020-08-10,3 wk ahead inc death,2020-08-29,18,point,,101.69
2020-08-10,3 wk ahead cum death,2020-08-29,18,point,,3309.2999
2020-08-10,4 wk ahead inc death,2020-09-05,18,point,,121.3
2020-08-10,4 wk ahead cum death,2020-09-05,18,point,,3430.5955
2020-08-10,1 wk ahead inc death,2020-08-15,19,point,,47.15
2020-08-10,1 wk ahead cum death,2020-08-15,19,point,,974.1455
2020-08-10,2 wk ahead inc death,2020-08-22,19,point,,47.09
2020-08-10,2 wk ahead cum death,2020-08-22,19,point,,1021.2331
2020-08-10,3 wk ahead inc death,2020-08-29,19,point,,46.93
2020-08-10,3 wk ahead cum death,2020-08-29,19,point,,1068.1659
2020-08-10,4 wk ahead inc death,2020-09-05,19,point,,42.91
2020-08-10,4 wk ahead cum death,2020-09-05,19,point,,1111.0722
2020-08-10,1 wk ahead inc death,2020-08-15,20,point,,31.22
2020-08-10,1 wk ahead cum death,2020-08-15,20,point,,411.2188
2020-08-10,2 wk ahead inc death,2020-08-22,20,point,,29.89
2020-08-10,2 wk ahead cum death,2020-08-22,20,point,,441.1095
2020-08-10,3 wk ahead inc death,2020-08-29,20,point,,54.14
2020-08-10,3 wk ahead cum death,2020-08-29,20,point,,495.2509
2020-08-10,4 wk ahead inc death,2020-09-05,20,point,,75.34
2020-08-10,4 wk ahead cum death,2020-09-05,20,point,,570.5938
2020-08-10,1 wk ahead inc death,2020-08-15,21,point,,43.58
2020-08-10,1 wk ahead cum death,2020-08-15,21,point,,815.5834
2020-08-10,2 wk ahead inc death,2020-08-22,21,point,,50.76
2020-08-10,2 wk ahead cum death,2020-08-22,21,point,,866.3451
2020-08-10,3 wk ahead inc death,2020-08-29,21,point,,61.44
2020-08-10,3 wk ahead cum death,2020-08-29,21,point,,927.7846
2020-08-10,4 wk ahead inc death,2020-09-05,21,point,,64.29
2020-08-10,4 wk ahead cum death,2020-09-05,21,point,,992.0754
2020-08-10,1 wk ahead inc death,2020-08-15,22,point,,244.35
2020-08-10,1 wk ahead cum death,2020-08-15,22,point,,4451.3505
2020-08-10,2 wk ahead inc death,2020-08-22,22,point,,237.21
2020-08-10,2 wk ahead cum death,2020-08-22,22,point,,4688.5635
2020-08-10,3 wk ahead inc death,2020-08-29,22,point,,248.93
2020-08-10,3 wk ahead cum death,2020-08-29,22,point,,4937.4973
2020-08-10,4 wk ahead inc death,2020-09-05,22,point,,249.81
2020-08-10,4 wk ahead cum death,2020-09-05,22,point,,5187.3122
2020-08-10,1 wk ahead inc death,2020-08-15,23,point,,2.76
2020-08-10,1 wk ahead cum death,2020-08-15,23,point,,127.7597
2020-08-10,2 wk ahead inc death,2020-08-22,23,point,,3.14
2020-08-10,2 wk ahead cum death,2020-08-22,23,point,,130.9023
2020-08-10,3 wk ahead inc death,2020-08-29,23,point,,3.73
2020-08-10,3 wk ahead cum death,2020-08-29,23,point,,134.6316
2020-08-10,4 wk ahead inc death,2020-09-05,23,point,,3.84
2020-08-10,4 wk ahead cum death,2020-09-05,23,point,,138.4726
2020-08-10,1 wk ahead inc death,2020-08-15,30,point,,13.4
2020-08-10,1 wk ahead cum death,2020-08-15,30,point,,88.4031
2020-08-10,2 wk ahead inc death,2020-08-22,30,point,,14.47
2020-08-10,2 wk ahead cum death,2020-08-22,30,point,,102.8736
2020-08-10,3 wk ahead inc death,2020-08-29,30,point,,14.51
2020-08-10,3 wk ahead cum death,2020-08-29,30,point,,117.3793
2020-08-10,4 wk ahead inc death,2020-09-05,30,point,,14.82
2020-08-10,4 wk ahead cum death,2020-09-05,30,point,,132.1969
2020-08-10,1 wk ahead inc death,2020-08-15,32,point,,101.45
2020-08-10,1 wk ahead cum death,2020-08-15,32,point,,1050.4461
2020-08-10,2 wk ahead inc death,2020-08-22,32,point,,90.36
2020-08-10,2 wk ahead cum death,2020-08-22,32,point,,1140.8015
2020-08-10,3 wk ahead inc death,2020-08-29,32,point,,85.62
2020-08-10,3 wk ahead cum death,2020-08-29,32,point,,1226.423
2020-08-10,4 wk ahead inc death,2020-09-05,32,point,,73.87
2020-08-10,4 wk ahead cum death,2020-09-05,32,point,,1300.2976
2020-08-10,1 wk ahead inc death,2020-08-15,33,point,,12.31
2020-08-10,1 wk ahead cum death,2020-08-15,33,point,,431.3114
2020-08-10,2 wk ahead inc death,2020-08-22,33,point,,10.65
2020-08-10,2 wk ahead cum death,2020-08-22,33,point,,441.9646
2020-08-10,3 wk ahead inc death,2020-08-29,33,point,,10.98
2020-08-10,3 wk ahead cum death,2020-08-29,33,point,,452.9401
2020-08-10,4 wk ahead inc death,2020-09-05,33,point,,11.95
2020-08-10,4 wk ahead cum death,2020-09-05,33,point,,464.8895
2020-08-10,1 wk ahead inc death,2020-08-15,34,point,,166.39
2020-08-10,1 wk ahead cum death,2020-08-15,34,point,,16035.3927
2020-08-10,2 wk ahead inc death,2020-08-22,34,point,,193.2
2020-08-10,2 wk ahead cum death,2020-08-22,34,point,,16228.5934
2020-08-10,3 wk ahead inc death,2020-08-29,34,point,,160.5
2020-08-10,3 wk ahead cum death,2020-08-29,34,point,,16389.0885
2020-08-10,4 wk ahead inc death,2020-09-05,34,point,,68.06
2020-08-10,4 wk ahead cum death,2020-09-05,34,point,,16457.1435
2020-08-10,1 wk ahead inc death,2020-08-15,35,point,,27.82
2020-08-10,1 wk ahead cum death,2020-08-15,35,point,,708.8202
2020-08-10,2 wk ahead inc death,2020-08-22,35,point,,18.85
2020-08-10,2 wk ahead cum death,2020-08-22,35,point,,727.6681
2020-08-10,3 wk ahead inc death,2020-08-29,35,point,,21.98
2020-08-10,3 wk ahead cum death,2020-08-29,35,point,,749.6517
2020-08-10,4 wk ahead inc death,2020-09-05,35,point,,26.48
2020-08-10,4 wk ahead cum death,2020-09-05,35,point,,776.1286
2020-08-10,1 wk ahead inc death,2020-08-15,36,point,,165.86
2020-08-10,1 wk ahead cum death,2020-08-15,36,point,,32933.8585
2020-08-10,2 wk ahead inc death,2020-08-22,36,point,,64.58
2020-08-10,2 wk ahead cum death,2020-08-22,36,point,,32998.4338
2020-08-10,3 wk ahead inc death,2020-08-29,36,point,,35.89
2020-08-10,3 wk ahead cum death,2020-08-29,36,point,,33034.3255
2020-08-10,4 wk ahead inc death,2020-09-05,36,point,,29.78
2020-08-10,4 wk ahead cum death,2020-09-05,36,point,,33064.1014
2020-08-10,1 wk ahead inc death,2020-08-15,38,point,,8.45
2020-08-10,1 wk ahead cum death,2020-08-15,38,point,,120.4519
2020-08-10,2 wk ahead inc death,2020-08-22,38,point,,10.68
2020-08-10,2 wk ahead cum death,2020-08-22,38,point,,131.1357
2020-08-10,3 wk ahead inc death,2020-08-29,38,point,,8.78
2020-08-10,3 wk ahead cum death,2020-08-29,38,point,,139.9201
2020-08-10,4 wk ahead inc death,2020-09-05,38,point,,10.16
2020-08-10,4 wk ahead cum death,2020-09-05,38,point,,150.078
2020-08-10,1 wk ahead inc death,2020-08-15,39,point,,171.93
2020-08-10,1 wk ahead cum death,2020-08-15,39,point,,3839.9328
2020-08-10,2 wk ahead inc death,2020-08-22,39,point,,210.48
2020-08-10,2 wk ahead cum death,2020-08-22,39,point,,4050.4173
2020-08-10,3 wk ahead inc death,2020-08-29,39,point,,182.84
2020-08-10,3 wk ahead cum death,2020-08-29,39,point,,4233.2569
2020-08-10,4 wk ahead inc death,2020-09-05,39,point,,204.91
2020-08-10,4 wk ahead cum death,2020-09-05,39,point,,4438.1637
2020-08-10,1 wk ahead inc death,2020-08-15,40,point,,48.84
2020-08-10,1 wk ahead cum death,2020-08-15,40,point,,651.8395
2020-08-10,2 wk ahead inc death,2020-08-22,40,point,,45.45
2020-08-10,2 wk ahead cum death,2020-08-22,40,point,,697.2874
2020-08-10,3 wk ahead inc death,2020-08-29,40,point,,41.37
2020-08-10,3 wk ahead cum death,2020-08-29,40,point,,738.6542
2020-08-10,4 wk ahead inc death,2020-09-05,40,point,,37.63
2020-08-10,4 wk ahead cum death,2020-09-05,40,point,,776.2862
2020-08-10,1 wk ahead inc death,2020-08-15,41,point,,33.4
2020-08-10,1 wk ahead cum death,2020-08-15,41,point,,388.3961
2020-08-10,2 wk ahead inc death,2020-08-22,41,point,,32.42
2020-08-10,2 wk ahead cum death,2020-08-22,41,point,,420.8114
2020-08-10,3 wk ahead inc death,2020-08-29,41,point,,42.3
2020-08-10,3 wk ahead cum death,2020-08-29,41,point,,463.1137
2020-08-10,4 wk ahead inc death,2020-09-05,41,point,,41.09
2020-08-10,4 wk ahead cum death,2020-09-05,41,point,,504.2045
2020-08-10,1 wk ahead inc death,2020-08-15,24,point,,64.69
2020-08-10,1 wk ahead cum death,2020-08-15,24,point,,3641.6914
2020-08-10,2 wk ahead inc death,2020-08-22,24,point,,74.02
2020-08-10,2 wk ahead cum death,2020-08-22,24,point,,3715.7094
2020-08-10,3 wk ahead inc death,2020-08-29,24,point,,71.2
2020-08-10,3 wk ahead cum death,2020-08-29,24,point,,3786.9074
2020-08-10,4 wk ahead inc death,2020-09-05,24,point,,71.27
2020-08-10,4 wk ahead cum death,2020-09-05,24,point,,3858.1746
2020-08-10,1 wk ahead inc death,2020-08-15,25,point,,111.0
2020-08-10,1 wk ahead cum death,2020-08-15,25,point,,8832.0019
2020-08-10,2 wk ahead inc death,2020-08-22,25,point,,119.84
2020-08-10,2 wk ahead cum death,2020-08-22,25,point,,8951.8389
2020-08-10,3 wk ahead inc death,2020-08-29,25,point,,118.43
2020-08-10,3 wk ahead cum death,2020-08-29,25,point,,9070.2657
2020-08-10,4 wk ahead inc death,2020-09-05,25,point,,123.6
2020-08-10,4 wk ahead cum death,2020-09-05,25,point,,9193.869
2020-08-10,1 wk ahead inc death,2020-08-15,26,point,,65.2
2020-08-10,1 wk ahead cum death,2020-08-15,26,point,,6585.2
2020-08-10,2 wk ahead inc death,2020-08-22,26,point,,121.13
2020-08-10,2 wk ahead cum death,2020-08-22,26,point,,6706.333
2020-08-10,3 wk ahead inc death,2020-08-29,26,point,,113.39
2020-08-10,3 wk ahead cum death,2020-08-29,26,point,,6819.7237
2020-08-10,4 wk ahead inc death,2020-09-05,26,point,,88.9
2020-08-10,4 wk ahead cum death,2020-09-05,26,point,,6908.6242
2020-08-10,1 wk ahead inc death,2020-08-15,27,point,,47.36
2020-08-10,1 wk ahead cum death,2020-08-15,27,point,,1736.3564
2020-08-10,2 wk ahead inc death,2020-08-22,27,point,,56.61
2020-08-10,2 wk ahead cum death,2020-08-22,27,point,,1792.963
2020-08-10,3 wk ahead inc death,2020-08-29,27,point,,77.86
2020-08-10,3 wk ahead cum death,2020-08-29,27,point,,1870.8195
2020-08-10,4 wk ahead inc death,2020-09-05,27,point,,83.55
2020-08-10,4 wk ahead cum death,2020-09-05,27,point,,1954.3716
