,location,forecast_date,target_end_date,target,type,quantile,value
0,2,2020-05-25,2020-05-26,1 day ahead inc death,point,,0.0
1,2,2020-05-25,2020-05-27,2 day ahead inc death,point,,0.0
2,2,2020-05-25,2020-05-28,3 day ahead inc death,point,,0.0
3,2,2020-05-25,2020-05-29,4 day ahead inc death,point,,0.0
4,2,2020-05-25,2020-05-30,5 day ahead inc death,point,,0.0
5,2,2020-05-25,2020-05-31,6 day ahead inc death,point,,0.0
6,2,2020-05-25,2020-06-01,7 day ahead inc death,point,,0.0
7,2,2020-05-25,2020-06-02,8 day ahead inc death,point,,0.0
8,2,2020-05-25,2020-06-03,9 day ahead inc death,point,,0.0
9,2,2020-05-25,2020-06-04,10 day ahead inc death,point,,0.0
10,2,2020-05-25,2020-06-05,11 day ahead inc death,point,,0.0
11,2,2020-05-25,2020-06-06,12 day ahead inc death,point,,0.0
12,2,2020-05-25,2020-06-07,13 day ahead inc death,point,,0.0
13,2,2020-05-25,2020-06-08,14 day ahead inc death,point,,0.0
14,2,2020-05-25,2020-06-09,15 day ahead inc death,point,,0.0
15,2,2020-05-25,2020-06-10,16 day ahead inc death,point,,0.0
16,2,2020-05-25,2020-06-11,17 day ahead inc death,point,,0.0
17,2,2020-05-25,2020-06-12,18 day ahead inc death,point,,0.0
18,2,2020-05-25,2020-06-13,19 day ahead inc death,point,,0.0
19,2,2020-05-25,2020-06-14,20 day ahead inc death,point,,0.0
20,2,2020-05-25,2020-06-15,21 day ahead inc death,point,,0.0
21,2,2020-05-25,2020-06-16,22 day ahead inc death,point,,0.0
22,2,2020-05-25,2020-06-17,23 day ahead inc death,point,,0.0
23,2,2020-05-25,2020-06-18,24 day ahead inc death,point,,0.0
24,2,2020-05-25,2020-06-19,25 day ahead inc death,point,,0.0
25,2,2020-05-25,2020-06-20,26 day ahead inc death,point,,0.0
26,2,2020-05-25,2020-06-21,27 day ahead inc death,point,,0.0
27,2,2020-05-25,2020-06-22,28 day ahead inc death,point,,0.0
28,2,2020-05-25,2020-06-23,29 day ahead inc death,point,,0.0
29,2,2020-05-25,2020-06-24,30 day ahead inc death,point,,0.0
30,2,2020-05-25,2020-06-25,31 day ahead inc death,point,,0.0
31,2,2020-05-25,2020-06-26,32 day ahead inc death,point,,0.0
32,2,2020-05-25,2020-06-27,33 day ahead inc death,point,,0.0
33,2,2020-05-25,2020-06-28,34 day ahead inc death,point,,0.0
34,2,2020-05-25,2020-06-29,35 day ahead inc death,point,,0.0
35,2,2020-05-25,2020-06-30,36 day ahead inc death,point,,0.0
36,2,2020-05-25,2020-07-01,37 day ahead inc death,point,,0.0
37,2,2020-05-25,2020-07-02,38 day ahead inc death,point,,0.0
38,2,2020-05-25,2020-07-03,39 day ahead inc death,point,,0.0
39,2,2020-05-25,2020-07-04,40 day ahead inc death,point,,0.0
40,2,2020-05-25,2020-07-05,41 day ahead inc death,point,,0.0
41,2,2020-05-25,2020-07-06,42 day ahead inc death,point,,0.0
42,2,2020-05-25,2020-07-07,43 day ahead inc death,point,,0.0
43,2,2020-05-25,2020-07-08,44 day ahead inc death,point,,0.0
44,2,2020-05-25,2020-07-09,45 day ahead inc death,point,,0.0
45,2,2020-05-25,2020-07-10,46 day ahead inc death,point,,0.0
46,2,2020-05-25,2020-07-11,47 day ahead inc death,point,,0.0
47,2,2020-05-25,2020-07-12,48 day ahead inc death,point,,0.0
48,2,2020-05-25,2020-07-13,49 day ahead inc death,point,,0.0
49,2,2020-05-25,2020-07-14,50 day ahead inc death,point,,0.0
50,2,2020-05-25,2020-07-15,51 day ahead inc death,point,,0.0
51,2,2020-05-25,2020-07-16,52 day ahead inc death,point,,0.0
52,2,2020-05-25,2020-07-17,53 day ahead inc death,point,,0.0
53,2,2020-05-25,2020-07-18,54 day ahead inc death,point,,0.0
54,2,2020-05-25,2020-07-19,55 day ahead inc death,point,,0.0
55,2,2020-05-25,2020-07-20,56 day ahead inc death,point,,0.0
56,2,2020-05-25,2020-07-21,57 day ahead inc death,point,,0.0
57,2,2020-05-25,2020-07-22,58 day ahead inc death,point,,0.0
58,2,2020-05-25,2020-07-23,59 day ahead inc death,point,,0.0
59,2,2020-05-25,2020-07-24,60 day ahead inc death,point,,0.0
60,2,2020-05-25,2020-07-25,61 day ahead inc death,point,,0.0
61,2,2020-05-25,2020-07-26,62 day ahead inc death,point,,0.0
62,2,2020-05-25,2020-07-27,63 day ahead inc death,point,,0.0
63,2,2020-05-25,2020-07-28,64 day ahead inc death,point,,0.0
64,2,2020-05-25,2020-07-29,65 day ahead inc death,point,,0.0
65,2,2020-05-25,2020-07-30,66 day ahead inc death,point,,0.0
66,2,2020-05-25,2020-07-31,67 day ahead inc death,point,,0.0
67,2,2020-05-25,2020-08-01,68 day ahead inc death,point,,0.0
68,2,2020-05-25,2020-08-02,69 day ahead inc death,point,,0.0
69,2,2020-05-25,2020-08-03,70 day ahead inc death,point,,0.0
70,2,2020-05-25,2020-08-04,71 day ahead inc death,point,,0.0
71,2,2020-05-25,2020-08-05,72 day ahead inc death,point,,0.0
72,2,2020-05-25,2020-08-06,73 day ahead inc death,point,,0.0
73,2,2020-05-25,2020-08-07,74 day ahead inc death,point,,0.0
74,2,2020-05-25,2020-08-08,75 day ahead inc death,point,,0.0
75,2,2020-05-25,2020-08-09,76 day ahead inc death,point,,0.0
76,2,2020-05-25,2020-08-10,77 day ahead inc death,point,,0.0
77,2,2020-05-25,2020-08-11,78 day ahead inc death,point,,0.0
78,2,2020-05-25,2020-08-12,79 day ahead inc death,point,,0.0
79,2,2020-05-25,2020-08-13,80 day ahead inc death,point,,0.0
80,2,2020-05-25,2020-08-14,81 day ahead inc death,point,,0.0
81,2,2020-05-25,2020-08-15,82 day ahead inc death,point,,0.0
82,2,2020-05-25,2020-08-16,83 day ahead inc death,point,,0.0
83,2,2020-05-25,2020-08-17,84 day ahead inc death,point,,0.0
84,2,2020-05-25,2020-08-18,85 day ahead inc death,point,,0.0
85,2,2020-05-25,2020-08-19,86 day ahead inc death,point,,0.0
86,2,2020-05-25,2020-08-20,87 day ahead inc death,point,,0.0
87,2,2020-05-25,2020-08-21,88 day ahead inc death,point,,0.0
88,2,2020-05-25,2020-08-22,89 day ahead inc death,point,,0.0
89,2,2020-05-25,2020-08-23,90 day ahead inc death,point,,0.0
90,2,2020-05-25,2020-08-24,91 day ahead inc death,point,,0.0
91,2,2020-05-25,2020-08-25,92 day ahead inc death,point,,0.0
92,2,2020-05-25,2020-08-26,93 day ahead inc death,point,,0.0
93,2,2020-05-25,2020-08-27,94 day ahead inc death,point,,0.0
94,2,2020-05-25,2020-08-28,95 day ahead inc death,point,,0.0
95,2,2020-05-25,2020-08-29,96 day ahead inc death,point,,0.0
96,2,2020-05-25,2020-08-30,97 day ahead inc death,point,,0.0
97,2,2020-05-25,2020-08-31,98 day ahead inc death,point,,0.0
98,2,2020-05-25,2020-09-01,99 day ahead inc death,point,,0.0
99,2,2020-05-25,2020-09-02,100 day ahead inc death,point,,0.0
100,2,2020-05-25,2020-09-03,101 day ahead inc death,point,,0.0
101,2,2020-05-25,2020-09-04,102 day ahead inc death,point,,0.0
102,2,2020-05-25,2020-09-05,103 day ahead inc death,point,,0.0
103,2,2020-05-25,2020-09-06,104 day ahead inc death,point,,0.0
104,2,2020-05-25,2020-09-07,105 day ahead inc death,point,,0.0
105,2,2020-05-25,2020-09-08,106 day ahead inc death,point,,0.0
106,2,2020-05-25,2020-09-09,107 day ahead inc death,point,,0.0
