forecast_date,target,target_end_date,location,type,quantile,value
2021-02-22,1 wk ahead cum death,2021-02-27,01,point,,9967.19
2021-02-22,1 wk ahead inc case,2021-02-27,01,point,,6073.55
2021-02-22,1 wk ahead inc death,2021-02-27,01,point,,375.19
2021-02-22,2 wk ahead cum death,2021-03-06,01,point,,10305.05
2021-02-22,2 wk ahead inc case,2021-03-06,01,point,,12059.13
2021-02-22,2 wk ahead inc death,2021-03-06,01,point,,713.05
2021-02-22,3 wk ahead cum death,2021-03-13,01,point,,10635.79
2021-02-22,3 wk ahead inc case,2021-03-13,01,point,,18094.53
2021-02-22,3 wk ahead inc death,2021-03-13,01,point,,1043.79
2021-02-22,4 wk ahead cum death,2021-03-20,01,point,,10962.04
2021-02-22,4 wk ahead inc case,2021-03-20,01,point,,24317.11
2021-02-22,4 wk ahead inc death,2021-03-20,01,point,,1370.04
2021-02-22,1 wk ahead inc case,2021-02-27,01001,point,,99.88
2021-02-22,2 wk ahead inc case,2021-03-06,01001,point,,201.28
2021-02-22,3 wk ahead inc case,2021-03-13,01001,point,,301.85
2021-02-22,4 wk ahead inc case,2021-03-20,01001,point,,401.56
2021-02-22,1 wk ahead inc case,2021-02-27,01003,point,,329.81
2021-02-22,2 wk ahead inc case,2021-03-06,01003,point,,653.49
2021-02-22,3 wk ahead inc case,2021-03-13,01003,point,,989.55
2021-02-22,4 wk ahead inc case,2021-03-20,01003,point,,1338.78
2021-02-22,1 wk ahead inc case,2021-02-27,01005,point,,29.41
2021-02-22,2 wk ahead inc case,2021-03-06,01005,point,,58.28
2021-02-22,3 wk ahead inc case,2021-03-13,01005,point,,88.43
2021-02-22,4 wk ahead inc case,2021-03-20,01005,point,,120.09
2021-02-22,1 wk ahead inc case,2021-02-27,01007,point,,24.72
2021-02-22,2 wk ahead inc case,2021-03-06,01007,point,,51.1
2021-02-22,3 wk ahead inc case,2021-03-13,01007,point,,78.53
2021-02-22,4 wk ahead inc case,2021-03-20,01007,point,,108.43
2021-02-22,1 wk ahead inc case,2021-02-27,01009,point,,74.76
2021-02-22,2 wk ahead inc case,2021-03-06,01009,point,,145.59
2021-02-22,3 wk ahead inc case,2021-03-13,01009,point,,212.6
2021-02-22,4 wk ahead inc case,2021-03-20,01009,point,,279.51
2021-02-22,1 wk ahead inc case,2021-02-27,01011,point,,13.51
2021-02-22,2 wk ahead inc case,2021-03-06,01011,point,,28.93
2021-02-22,3 wk ahead inc case,2021-03-13,01011,point,,45.77
2021-02-22,4 wk ahead inc case,2021-03-20,01011,point,,64.21
2021-02-22,1 wk ahead inc case,2021-02-27,01013,point,,33.93
2021-02-22,2 wk ahead inc case,2021-03-06,01013,point,,66.04
2021-02-22,3 wk ahead inc case,2021-03-13,01013,point,,98.02
2021-02-22,4 wk ahead inc case,2021-03-20,01013,point,,131.41
2021-02-22,1 wk ahead inc case,2021-02-27,01015,point,,237.52
2021-02-22,2 wk ahead inc case,2021-03-06,01015,point,,455.09
2021-02-22,3 wk ahead inc case,2021-03-13,01015,point,,657.7
2021-02-22,4 wk ahead inc case,2021-03-20,01015,point,,852.65
2021-02-22,1 wk ahead inc case,2021-02-27,01017,point,,46.47
2021-02-22,2 wk ahead inc case,2021-03-06,01017,point,,94.84
2021-02-22,3 wk ahead inc case,2021-03-13,01017,point,,146.32
2021-02-22,4 wk ahead inc case,2021-03-20,01017,point,,203.0
2021-02-22,1 wk ahead inc case,2021-02-27,01019,point,,8.79
2021-02-22,2 wk ahead inc case,2021-03-06,01019,point,,17.69
2021-02-22,3 wk ahead inc case,2021-03-13,01019,point,,27.19
2021-02-22,4 wk ahead inc case,2021-03-20,01019,point,,37.72
2021-02-22,1 wk ahead inc case,2021-02-27,01021,point,,54.53
2021-02-22,2 wk ahead inc case,2021-03-06,01021,point,,106.32
2021-02-22,3 wk ahead inc case,2021-03-13,01021,point,,157.07
2021-02-22,4 wk ahead inc case,2021-03-20,01021,point,,207.74
2021-02-22,1 wk ahead inc case,2021-02-27,01023,point,,5.68
2021-02-22,2 wk ahead inc case,2021-03-06,01023,point,,12.43
2021-02-22,3 wk ahead inc case,2021-03-13,01023,point,,21.07
2021-02-22,4 wk ahead inc case,2021-03-20,01023,point,,31.58
2021-02-22,1 wk ahead inc case,2021-02-27,01025,point,,31.45
2021-02-22,2 wk ahead inc case,2021-03-06,01025,point,,63.86
2021-02-22,3 wk ahead inc case,2021-03-13,01025,point,,102.76
2021-02-22,4 wk ahead inc case,2021-03-20,01025,point,,147.44
2021-02-22,1 wk ahead inc case,2021-02-27,01027,point,,25.67
2021-02-22,2 wk ahead inc case,2021-03-06,01027,point,,50.86
2021-02-22,3 wk ahead inc case,2021-03-13,01027,point,,75.66
2021-02-22,4 wk ahead inc case,2021-03-20,01027,point,,100.37
2021-02-22,1 wk ahead inc case,2021-02-27,01029,point,,19.04
2021-02-22,2 wk ahead inc case,2021-03-06,01029,point,,39.92
2021-02-22,3 wk ahead inc case,2021-03-13,01029,point,,60.5
2021-02-22,4 wk ahead inc case,2021-03-20,01029,point,,82.6
2021-02-22,1 wk ahead inc case,2021-02-27,01031,point,,62.16
2021-02-22,2 wk ahead inc case,2021-03-06,01031,point,,126.12
2021-02-22,3 wk ahead inc case,2021-03-13,01031,point,,192.97
2021-02-22,4 wk ahead inc case,2021-03-20,01031,point,,264.37
2021-02-22,1 wk ahead inc case,2021-02-27,01033,point,,44.57
2021-02-22,2 wk ahead inc case,2021-03-06,01033,point,,87.01
2021-02-22,3 wk ahead inc case,2021-03-13,01033,point,,129.41
2021-02-22,4 wk ahead inc case,2021-03-20,01033,point,,171.55
2021-02-22,1 wk ahead inc case,2021-02-27,01035,point,,12.04
2021-02-22,2 wk ahead inc case,2021-03-06,01035,point,,23.72
2021-02-22,3 wk ahead inc case,2021-03-13,01035,point,,37.01
2021-02-22,4 wk ahead inc case,2021-03-20,01035,point,,51.76
2021-02-22,1 wk ahead inc case,2021-02-27,01037,point,,22.7
2021-02-22,2 wk ahead inc case,2021-03-06,01037,point,,45.49
2021-02-22,3 wk ahead inc case,2021-03-13,01037,point,,68.6
2021-02-22,4 wk ahead inc case,2021-03-20,01037,point,,94.27
2021-02-22,1 wk ahead inc case,2021-02-27,01039,point,,67.31
2021-02-22,2 wk ahead inc case,2021-03-06,01039,point,,133.72
2021-02-22,3 wk ahead inc case,2021-03-13,01039,point,,200.45
2021-02-22,4 wk ahead inc case,2021-03-20,01039,point,,269.79
2021-02-22,1 wk ahead inc case,2021-02-27,01041,point,,28.84
2021-02-22,2 wk ahead inc case,2021-03-06,01041,point,,57.13
2021-02-22,3 wk ahead inc case,2021-03-13,01041,point,,88.35
2021-02-22,4 wk ahead inc case,2021-03-20,01041,point,,121.18
2021-02-22,1 wk ahead inc case,2021-02-27,01043,point,,36.07
2021-02-22,2 wk ahead inc case,2021-03-06,01043,point,,72.79
2021-02-22,3 wk ahead inc case,2021-03-13,01043,point,,110.85
2021-02-22,4 wk ahead inc case,2021-03-20,01043,point,,152.27
2021-02-22,1 wk ahead inc case,2021-02-27,01045,point,,80.1
2021-02-22,2 wk ahead inc case,2021-03-06,01045,point,,157.35
2021-02-22,3 wk ahead inc case,2021-03-13,01045,point,,234.62
2021-02-22,4 wk ahead inc case,2021-03-20,01045,point,,315.14
2021-02-22,1 wk ahead inc case,2021-02-27,01047,point,,45.87
2021-02-22,2 wk ahead inc case,2021-03-06,01047,point,,88.5
2021-02-22,3 wk ahead inc case,2021-03-13,01047,point,,132.02
2021-02-22,4 wk ahead inc case,2021-03-20,01047,point,,176.54
2021-02-22,1 wk ahead inc case,2021-02-27,01049,point,,59.66
2021-02-22,2 wk ahead inc case,2021-03-06,01049,point,,119.29
2021-02-22,3 wk ahead inc case,2021-03-13,01049,point,,182.09
2021-02-22,4 wk ahead inc case,2021-03-20,01049,point,,247.56
2021-02-22,1 wk ahead inc case,2021-02-27,01051,point,,149.42
2021-02-22,2 wk ahead inc case,2021-03-06,01051,point,,294.33
2021-02-22,3 wk ahead inc case,2021-03-13,01051,point,,437.33
2021-02-22,4 wk ahead inc case,2021-03-20,01051,point,,582.47
2021-02-22,1 wk ahead inc case,2021-02-27,01053,point,,36.16
2021-02-22,2 wk ahead inc case,2021-03-06,01053,point,,71.49
2021-02-22,3 wk ahead inc case,2021-03-13,01053,point,,106.6
2021-02-22,4 wk ahead inc case,2021-03-20,01053,point,,142.08
2021-02-22,1 wk ahead inc case,2021-02-27,01055,point,,105.67
2021-02-22,2 wk ahead inc case,2021-03-06,01055,point,,209.5
2021-02-22,3 wk ahead inc case,2021-03-13,01055,point,,315.15
2021-02-22,4 wk ahead inc case,2021-03-20,01055,point,,423.19
2021-02-22,1 wk ahead inc case,2021-02-27,01057,point,,36.83
2021-02-22,2 wk ahead inc case,2021-03-06,01057,point,,69.46
2021-02-22,3 wk ahead inc case,2021-03-13,01057,point,,99.04
2021-02-22,4 wk ahead inc case,2021-03-20,01057,point,,127.7
2021-02-22,1 wk ahead inc case,2021-02-27,01059,point,,15.1
2021-02-22,2 wk ahead inc case,2021-03-06,01059,point,,32.33
2021-02-22,3 wk ahead inc case,2021-03-13,01059,point,,52.1
2021-02-22,4 wk ahead inc case,2021-03-20,01059,point,,74.51
2021-02-22,1 wk ahead inc case,2021-02-27,01061,point,,24.11
2021-02-22,2 wk ahead inc case,2021-03-06,01061,point,,47.65
2021-02-22,3 wk ahead inc case,2021-03-13,01061,point,,72.27
2021-02-22,4 wk ahead inc case,2021-03-20,01061,point,,98.63
2021-02-22,1 wk ahead inc case,2021-02-27,01063,point,,12.77
2021-02-22,2 wk ahead inc case,2021-03-06,01063,point,,25.34
2021-02-22,3 wk ahead inc case,2021-03-13,01063,point,,38.17
2021-02-22,4 wk ahead inc case,2021-03-20,01063,point,,50.88
2021-02-22,1 wk ahead inc case,2021-02-27,01065,point,,39.41
2021-02-22,2 wk ahead inc case,2021-03-06,01065,point,,77.93
2021-02-22,3 wk ahead inc case,2021-03-13,01065,point,,115.85
2021-02-22,4 wk ahead inc case,2021-03-20,01065,point,,154.48
2021-02-22,1 wk ahead inc case,2021-02-27,01067,point,,26.57
2021-02-22,2 wk ahead inc case,2021-03-06,01067,point,,53.72
2021-02-22,3 wk ahead inc case,2021-03-13,01067,point,,83.52
2021-02-22,4 wk ahead inc case,2021-03-20,01067,point,,116.8
2021-02-22,1 wk ahead inc case,2021-02-27,01069,point,,112.98
2021-02-22,2 wk ahead inc case,2021-03-06,01069,point,,229.47
2021-02-22,3 wk ahead inc case,2021-03-13,01069,point,,357.47
2021-02-22,4 wk ahead inc case,2021-03-20,01069,point,,495.72
2021-02-22,1 wk ahead inc case,2021-02-27,01071,point,,30.36
2021-02-22,2 wk ahead inc case,2021-03-06,01071,point,,64.66
2021-02-22,3 wk ahead inc case,2021-03-13,01071,point,,97.83
2021-02-22,4 wk ahead inc case,2021-03-20,01071,point,,132.05
2021-02-22,1 wk ahead inc case,2021-02-27,01073,point,,651.31
2021-02-22,2 wk ahead inc case,2021-03-06,01073,point,,1280.38
2021-02-22,3 wk ahead inc case,2021-03-13,01073,point,,1906.92
2021-02-22,4 wk ahead inc case,2021-03-20,01073,point,,2542.17
2021-02-22,1 wk ahead inc case,2021-02-27,01075,point,,17.48
2021-02-22,2 wk ahead inc case,2021-03-06,01075,point,,36.36
2021-02-22,3 wk ahead inc case,2021-03-13,01075,point,,56.2
2021-02-22,4 wk ahead inc case,2021-03-20,01075,point,,78.03
2021-02-22,1 wk ahead inc case,2021-02-27,01077,point,,57.92
2021-02-22,2 wk ahead inc case,2021-03-06,01077,point,,112.95
2021-02-22,3 wk ahead inc case,2021-03-13,01077,point,,165.88
2021-02-22,4 wk ahead inc case,2021-03-20,01077,point,,220.02
2021-02-22,1 wk ahead inc case,2021-02-27,01079,point,,21.05
2021-02-22,2 wk ahead inc case,2021-03-06,01079,point,,41.72
2021-02-22,3 wk ahead inc case,2021-03-13,01079,point,,62.98
2021-02-22,4 wk ahead inc case,2021-03-20,01079,point,,85.77
2021-02-22,1 wk ahead inc case,2021-02-27,01081,point,,206.1
2021-02-22,2 wk ahead inc case,2021-03-06,01081,point,,415.27
2021-02-22,3 wk ahead inc case,2021-03-13,01081,point,,637.66
2021-02-22,4 wk ahead inc case,2021-03-20,01081,point,,873.34
2021-02-22,1 wk ahead inc case,2021-02-27,01083,point,,94.79
2021-02-22,2 wk ahead inc case,2021-03-06,01083,point,,182.16
2021-02-22,3 wk ahead inc case,2021-03-13,01083,point,,264.35
2021-02-22,4 wk ahead inc case,2021-03-20,01083,point,,345.92
2021-02-22,1 wk ahead inc case,2021-02-27,01085,point,,11.29
2021-02-22,2 wk ahead inc case,2021-03-06,01085,point,,23.53
2021-02-22,3 wk ahead inc case,2021-03-13,01085,point,,37.71
2021-02-22,4 wk ahead inc case,2021-03-20,01085,point,,53.87
2021-02-22,1 wk ahead inc case,2021-02-27,01087,point,,21.79
2021-02-22,2 wk ahead inc case,2021-03-06,01087,point,,43.0
2021-02-22,3 wk ahead inc case,2021-03-13,01087,point,,64.94
2021-02-22,4 wk ahead inc case,2021-03-20,01087,point,,86.33
2021-02-22,1 wk ahead inc case,2021-02-27,01089,point,,417.81
2021-02-22,2 wk ahead inc case,2021-03-06,01089,point,,807.23
2021-02-22,3 wk ahead inc case,2021-03-13,01089,point,,1170.06
2021-02-22,4 wk ahead inc case,2021-03-20,01089,point,,1519.43
2021-02-22,1 wk ahead inc case,2021-02-27,01091,point,,118.62
2021-02-22,2 wk ahead inc case,2021-03-06,01091,point,,248.55
