,Unnamed: 0,forecast_date,target,target_end_date,location,type,quantile,value
0,0.0,2020-03-15,1 day ahead cum death,2020-03-16,US,point,,73
1,1.0,2020-03-15,1 day ahead inc death,2020-03-16,US,point,,13
2,2.0,2020-03-15,1 wk ahead cum death,2020-03-21,US,point,,203
3,3.0,2020-03-15,1 wk ahead inc death,2020-03-21,US,point,,39
4,4.0,2020-03-15,2 day ahead cum death,2020-03-17,US,point,,88
5,5.0,2020-03-15,2 day ahead inc death,2020-03-17,US,point,,16
6,6.0,2020-03-15,3 day ahead cum death,2020-03-18,US,point,,108
7,7.0,2020-03-15,3 day ahead inc death,2020-03-18,US,point,,20
8,8.0,2020-03-15,4 day ahead cum death,2020-03-19,US,point,,133
9,9.0,2020-03-15,4 day ahead inc death,2020-03-19,US,point,,25
10,10.0,2020-03-15,5 day ahead cum death,2020-03-20,US,point,,164
11,11.0,2020-03-15,5 day ahead inc death,2020-03-20,US,point,,31
12,12.0,2020-03-15,6 day ahead cum death,2020-03-21,US,point,,203
13,13.0,2020-03-15,6 day ahead inc death,2020-03-21,US,point,,39
14,14.0,2020-03-15,7 day ahead cum death,2020-03-22,US,point,,252
15,15.0,2020-03-15,7 day ahead inc death,2020-03-22,US,point,,49
16,0.0,2020-03-22,1 day ahead cum death,2020-03-23,US,point,,546
17,1.0,2020-03-22,1 day ahead inc death,2020-03-23,US,point,,119
18,2.0,2020-03-22,1 wk ahead cum death,2020-03-28,US,point,,2380
19,3.0,2020-03-22,1 wk ahead inc death,2020-03-28,US,point,,645
20,4.0,2020-03-22,2 day ahead cum death,2020-03-24,US,point,,714
21,5.0,2020-03-22,2 day ahead inc death,2020-03-24,US,point,,169
22,6.0,2020-03-22,3 day ahead cum death,2020-03-25,US,point,,949
23,7.0,2020-03-22,3 day ahead inc death,2020-03-25,US,point,,235
24,8.0,2020-03-22,4 day ahead cum death,2020-03-26,US,point,,1277
25,9.0,2020-03-22,4 day ahead inc death,2020-03-26,US,point,,329
26,10.0,2020-03-22,5 day ahead cum death,2020-03-27,US,point,,1737
27,11.0,2020-03-22,5 day ahead inc death,2020-03-27,US,point,,460
28,12.0,2020-03-22,6 day ahead cum death,2020-03-28,US,point,,2380
29,13.0,2020-03-22,6 day ahead inc death,2020-03-28,US,point,,645
30,14.0,2020-03-22,7 day ahead cum death,2020-03-29,US,point,,3283
31,15.0,2020-03-22,7 day ahead inc death,2020-03-29,US,point,,905
32,0.0,2020-03-29,1 day ahead cum death,2020-03-30,US,point,,3227
33,1.0,2020-03-29,1 day ahead inc death,2020-03-30,US,point,,662
34,2.0,2020-03-29,1 wk ahead cum death,2020-04-04,US,point,,10701
35,3.0,2020-03-29,1 wk ahead inc death,2020-04-04,US,point,,2135
36,4.0,2020-03-29,2 day ahead cum death,2020-03-31,US,point,,4069
37,5.0,2020-03-29,2 day ahead inc death,2020-03-31,US,point,,848
38,6.0,2020-03-29,3 day ahead cum death,2020-04-01,US,point,,5155
39,7.0,2020-03-29,3 day ahead inc death,2020-04-01,US,point,,1090
