location,quantile,target,value,type,forecast_date,target_end_date
US,,1 wk ahead inc death,3305.617999999969,point,2020-08-31,2020-09-05
US,,1 wk ahead inc case,258612.77299999984,point,2020-08-31,2020-09-05
US,,1 wk ahead cum death,185164.03549999977,point,2020-08-31,2020-09-05
US,,2 wk ahead inc death,3603.488499999967,point,2020-08-31,2020-09-12
US,,2 wk ahead inc case,267474.4120000001,point,2020-08-31,2020-09-12
US,,2 wk ahead cum death,188768.6159999996,point,2020-08-31,2020-09-12
US,,3 wk ahead inc death,3902.543499999965,point,2020-08-31,2020-09-19
US,,3 wk ahead inc case,278924.48299999983,point,2020-08-31,2020-09-19
US,,3 wk ahead cum death,192652.205,point,2020-08-31,2020-09-19
US,,4 wk ahead inc death,4057.6904999999706,point,2020-08-31,2020-09-26
US,,4 wk ahead inc case,290805.9634999996,point,2020-08-31,2020-09-26
US,,4 wk ahead cum death,196698.1685000001,point,2020-08-31,2020-09-26
01,,1 wk ahead inc death,69.3895,point,2020-08-31,2020-09-05
01,,1 wk ahead inc case,7091.1799999999985,point,2020-08-31,2020-09-05
01,,1 wk ahead cum death,2189.427,point,2020-08-31,2020-09-05
02,,1 wk ahead inc death,1.9655,point,2020-08-31,2020-09-05
02,,1 wk ahead inc case,535.8645000000001,point,2020-08-31,2020-09-05
02,,1 wk ahead cum death,39.32600000000001,point,2020-08-31,2020-09-05
04,,1 wk ahead inc death,34.99,point,2020-08-31,2020-09-05
04,,1 wk ahead inc case,2781.2225000000008,point,2020-08-31,2020-09-05
04,,1 wk ahead cum death,5019.19,point,2020-08-31,2020-09-05
05,,1 wk ahead inc death,20.825499999999987,point,2020-08-31,2020-09-05
05,,1 wk ahead inc case,4427.3895,point,2020-08-31,2020-09-05
05,,1 wk ahead cum death,780.4124999999997,point,2020-08-31,2020-09-05
06,,1 wk ahead inc death,344.345,point,2020-08-31,2020-09-05
06,,1 wk ahead inc case,33134.047,point,2020-08-31,2020-09-05
06,,1 wk ahead cum death,13214.044000000002,point,2020-08-31,2020-09-05
08,,1 wk ahead inc death,41.72449999999998,point,2020-08-31,2020-09-05
08,,1 wk ahead inc case,1866.7795,point,2020-08-31,2020-09-05
08,,1 wk ahead cum death,1986.544,point,2020-08-31,2020-09-05
09,,1 wk ahead inc death,25.342,point,2020-08-31,2020-09-05
09,,1 wk ahead inc case,558.31,point,2020-08-31,2020-09-05
09,,1 wk ahead cum death,4495.1010000000015,point,2020-08-31,2020-09-05
10,,1 wk ahead inc death,5.1865000000000006,point,2020-08-31,2020-09-05
10,,1 wk ahead inc case,266.087,point,2020-08-31,2020-09-05
10,,1 wk ahead cum death,610.0975000000002,point,2020-08-31,2020-09-05
11,,1 wk ahead inc death,8.1635,point,2020-08-31,2020-09-05
11,,1 wk ahead inc case,202.3155,point,2020-08-31,2020-09-05
11,,1 wk ahead cum death,614.7735,point,2020-08-31,2020-09-05
12,,1 wk ahead inc death,144.61100000000005,point,2020-08-31,2020-09-05
12,,1 wk ahead inc case,19167.93,point,2020-08-31,2020-09-05
12,,1 wk ahead cum death,11127.484999999995,point,2020-08-31,2020-09-05
13,,1 wk ahead inc death,155.0825,point,2020-08-31,2020-09-05
13,,1 wk ahead inc case,13010.335000000005,point,2020-08-31,2020-09-05
13,,1 wk ahead cum death,5656.131500000001,point,2020-08-31,2020-09-05
15,,1 wk ahead inc death,7.981,point,2020-08-31,2020-09-05
15,,1 wk ahead inc case,1604.5845,point,2020-08-31,2020-09-05
15,,1 wk ahead cum death,68.568,point,2020-08-31,2020-09-05
16,,1 wk ahead inc death,9.881999999999987,point,2020-08-31,2020-09-05
16,,1 wk ahead inc case,2411.1525,point,2020-08-31,2020-09-05
16,,1 wk ahead cum death,364.755,point,2020-08-31,2020-09-05
17,,1 wk ahead inc death,247.35600000000008,point,2020-08-31,2020-09-05
17,,1 wk ahead inc case,11098.8015,point,2020-08-31,2020-09-05
17,,1 wk ahead cum death,8497.8975,point,2020-08-31,2020-09-05
18,,1 wk ahead inc death,130.3605,point,2020-08-31,2020-09-05
18,,1 wk ahead inc case,5578.901,point,2020-08-31,2020-09-05
18,,1 wk ahead cum death,3431.2424999999994,point,2020-08-31,2020-09-05
19,,1 wk ahead inc death,65.72599999999997,point,2020-08-31,2020-09-05
19,,1 wk ahead inc case,7943.251999999998,point,2020-08-31,2020-09-05
19,,1 wk ahead cum death,1184.1279999999992,point,2020-08-31,2020-09-05
20,,1 wk ahead inc death,28.19749999999998,point,2020-08-31,2020-09-05
20,,1 wk ahead inc case,4697.684,point,2020-08-31,2020-09-05
20,,1 wk ahead cum death,477.9309999999999,point,2020-08-31,2020-09-05
21,,1 wk ahead inc death,47.40949999999998,point,2020-08-31,2020-09-05
21,,1 wk ahead inc case,4490.2350000000015,point,2020-08-31,2020-09-05
21,,1 wk ahead cum death,974.2019999999997,point,2020-08-31,2020-09-05
22,,1 wk ahead inc death,67.96799999999999,point,2020-08-31,2020-09-05
22,,1 wk ahead inc case,2593.5265000000004,point,2020-08-31,2020-09-05
22,,1 wk ahead cum death,4984.653500000001,point,2020-08-31,2020-09-05
23,,1 wk ahead inc death,1.712,point,2020-08-31,2020-09-05
23,,1 wk ahead inc case,184.7935,point,2020-08-31,2020-09-05
23,,1 wk ahead cum death,133.99450000000002,point,2020-08-31,2020-09-05
24,,1 wk ahead inc death,59.783,point,2020-08-31,2020-09-05
24,,1 wk ahead inc case,2735.6025,point,2020-08-31,2020-09-05
24,,1 wk ahead cum death,3797.372,point,2020-08-31,2020-09-05
25,,1 wk ahead inc death,67.0315,point,2020-08-31,2020-09-05
25,,1 wk ahead inc case,1222.5365,point,2020-08-31,2020-09-05
25,,1 wk ahead cum death,9102.8275,point,2020-08-31,2020-09-05
26,,1 wk ahead inc death,166.35000000000005,point,2020-08-31,2020-09-05
26,,1 wk ahead inc case,4053.719,point,2020-08-31,2020-09-05
26,,1 wk ahead cum death,6907.5155,point,2020-08-31,2020-09-05
27,,1 wk ahead inc death,72.63600000000002,point,2020-08-31,2020-09-05
27,,1 wk ahead inc case,4390.4755,point,2020-08-31,2020-09-05
27,,1 wk ahead cum death,1943.9009999999994,point,2020-08-31,2020-09-05
28,,1 wk ahead inc death,62.644499999999994,point,2020-08-31,2020-09-05
