forecast_date,target,target_end_date,location,type,quantile,value
2020-12-06,1 day ahead inc hosp,2020-12-07,01,point,,238.373048624243
2020-12-06,2 day ahead inc hosp,2020-12-08,01,point,,241.38575081388802
2020-12-06,3 day ahead inc hosp,2020-12-09,01,point,,248.40629379499802
2020-12-06,4 day ahead inc hosp,2020-12-10,01,point,,251.529037179476
2020-12-06,5 day ahead inc hosp,2020-12-11,01,point,,260.99900587552
2020-12-06,6 day ahead inc hosp,2020-12-12,01,point,,265.212966323846
2020-12-06,7 day ahead inc hosp,2020-12-13,01,point,,271.021663654953
2020-12-06,8 day ahead inc hosp,2020-12-14,01,point,,276.534189757702
2020-12-06,9 day ahead inc hosp,2020-12-15,01,point,,280.397859233143
2020-12-06,10 day ahead inc hosp,2020-12-16,01,point,,285.98494021058997
2020-12-06,11 day ahead inc hosp,2020-12-17,01,point,,291.79387508885
2020-12-06,12 day ahead inc hosp,2020-12-18,01,point,,298.185528200134
2020-12-06,13 day ahead inc hosp,2020-12-19,01,point,,307.548001512553
2020-12-06,14 day ahead inc hosp,2020-12-20,01,point,,315.23342963556
2020-12-06,15 day ahead inc hosp,2020-12-21,01,point,,323.494061803161
2020-12-06,16 day ahead inc hosp,2020-12-22,01,point,,328.28317697997
2020-12-06,17 day ahead inc hosp,2020-12-23,01,point,,339.351742710058
2020-12-06,18 day ahead inc hosp,2020-12-24,01,point,,341.212149989874
2020-12-06,19 day ahead inc hosp,2020-12-25,01,point,,346.456081888936
2020-12-06,20 day ahead inc hosp,2020-12-26,01,point,,346.647834657612
2020-12-06,21 day ahead inc hosp,2020-12-27,01,point,,350.631015288769
2020-12-06,22 day ahead inc hosp,2020-12-28,01,point,,352.0637762845961
2020-12-06,23 day ahead inc hosp,2020-12-29,01,point,,355.041324989199
2020-12-06,24 day ahead inc hosp,2020-12-30,01,point,,352.55360612020104
2020-12-06,25 day ahead inc hosp,2020-12-31,01,point,,354.77158099425696
2020-12-06,26 day ahead inc hosp,2021-01-01,01,point,,357.80903994778396
2020-12-06,27 day ahead inc hosp,2021-01-02,01,point,,356.522556907463
2020-12-06,28 day ahead inc hosp,2021-01-03,01,point,,353.7009686319281
2020-12-06,1 day ahead inc hosp,2020-12-07,02,point,,20.5361589018962
2020-12-06,2 day ahead inc hosp,2020-12-08,02,point,,21.2597419111903
2020-12-06,3 day ahead inc hosp,2020-12-09,02,point,,21.4897628157216
2020-12-06,4 day ahead inc hosp,2020-12-10,02,point,,21.5980862249506
2020-12-06,5 day ahead inc hosp,2020-12-11,02,point,,22.3176593339186
2020-12-06,6 day ahead inc hosp,2020-12-12,02,point,,22.5509325527523
2020-12-06,7 day ahead inc hosp,2020-12-13,02,point,,22.903038794123802
2020-12-06,8 day ahead inc hosp,2020-12-14,02,point,,23.117627233476
2020-12-06,9 day ahead inc hosp,2020-12-15,02,point,,23.368025591370802
2020-12-06,10 day ahead inc hosp,2020-12-16,02,point,,23.501999919482998
2020-12-06,11 day ahead inc hosp,2020-12-17,02,point,,23.944870618368398
2020-12-06,12 day ahead inc hosp,2020-12-18,02,point,,24.081111225245103
2020-12-06,13 day ahead inc hosp,2020-12-19,02,point,,24.265028883008103
2020-12-06,14 day ahead inc hosp,2020-12-20,02,point,,24.3973009021652
2020-12-06,15 day ahead inc hosp,2020-12-21,02,point,,24.6127358308359
2020-12-06,16 day ahead inc hosp,2020-12-22,02,point,,24.4315408576737
2020-12-06,17 day ahead inc hosp,2020-12-23,02,point,,24.3926692522017
2020-12-06,18 day ahead inc hosp,2020-12-24,02,point,,24.370379313771892
2020-12-06,19 day ahead inc hosp,2020-12-25,02,point,,24.5315236088862
2020-12-06,20 day ahead inc hosp,2020-12-26,02,point,,24.542291375142398
2020-12-06,21 day ahead inc hosp,2020-12-27,02,point,,24.2586458269234
2020-12-06,22 day ahead inc hosp,2020-12-28,02,point,,24.552050773384
2020-12-06,23 day ahead inc hosp,2020-12-29,02,point,,24.293335260455198
2020-12-06,24 day ahead inc hosp,2020-12-30,02,point,,24.75989313485001
2020-12-06,25 day ahead inc hosp,2020-12-31,02,point,,25.075459776877302
2020-12-06,26 day ahead inc hosp,2021-01-01,02,point,,24.9725752945651
2020-12-06,27 day ahead inc hosp,2021-01-02,02,point,,25.9036844220077
2020-12-06,28 day ahead inc hosp,2021-01-03,02,point,,25.8769884422621
