forecast_date,target,target_end_date,location,type,quantile,value
2020-10-25,1 wk ahead inc case,2020-10-31,1001,point,,70.0
2020-10-25,1 wk ahead inc case,2020-10-31,1003,point,,224.0
2020-10-25,1 wk ahead inc case,2020-10-31,1009,point,,100.5
2020-10-25,1 wk ahead inc case,2020-10-31,1015,point,,268.0
2020-10-25,1 wk ahead inc case,2020-10-31,1017,point,,52.0
2020-10-25,1 wk ahead inc case,2020-10-31,1021,point,,78.0
2020-10-25,1 wk ahead inc case,2020-10-31,1031,point,,116.0
2020-10-25,1 wk ahead inc case,2020-10-31,1033,point,,104.0
2020-10-25,1 wk ahead inc case,2020-10-31,1039,point,,88.0
2020-10-25,1 wk ahead inc case,2020-10-31,1043,point,,182.5
2020-10-25,1 wk ahead inc case,2020-10-31,1045,point,,84.5
2020-10-25,1 wk ahead inc case,2020-10-31,1047,point,,21.0
2020-10-25,1 wk ahead inc case,2020-10-31,1049,point,,310.0
2020-10-25,1 wk ahead inc case,2020-10-31,1051,point,,128.0
2020-10-25,1 wk ahead inc case,2020-10-31,1053,point,,29.0
2020-10-25,1 wk ahead inc case,2020-10-31,1055,point,,233.0
2020-10-25,1 wk ahead inc case,2020-10-31,1059,point,,82.0
2020-10-25,1 wk ahead inc case,2020-10-31,1069,point,,225.0
2020-10-25,1 wk ahead inc case,2020-10-31,1071,point,,178.0
2020-10-25,1 wk ahead inc case,2020-10-31,1073,point,,889.5
2020-10-25,1 wk ahead inc case,2020-10-31,1077,point,,169.0
2020-10-25,1 wk ahead inc case,2020-10-31,1079,point,,67.0
2020-10-25,1 wk ahead inc case,2020-10-31,1081,point,,138.0
2020-10-25,1 wk ahead inc case,2020-10-31,1083,point,,190.0
2020-10-25,1 wk ahead inc case,2020-10-31,1089,point,,382.0
2020-10-25,1 wk ahead inc case,2020-10-31,1093,point,,35.0
2020-10-25,1 wk ahead inc case,2020-10-31,1095,point,,136.0
2020-10-25,1 wk ahead inc case,2020-10-31,1097,point,,1101.5
2020-10-25,1 wk ahead inc case,2020-10-31,1101,point,,418.5
2020-10-25,1 wk ahead inc case,2020-10-31,1103,point,,242.0
2020-10-25,1 wk ahead inc case,2020-10-31,1109,point,,33.5
2020-10-25,1 wk ahead inc case,2020-10-31,1113,point,,44.0
2020-10-25,1 wk ahead inc case,2020-10-31,1115,point,,176.5
2020-10-25,1 wk ahead inc case,2020-10-31,1117,point,,347.5
2020-10-25,1 wk ahead inc case,2020-10-31,1121,point,,128.0
2020-10-25,1 wk ahead inc case,2020-10-31,1123,point,,48.0
2020-10-25,1 wk ahead inc case,2020-10-31,1125,point,,379.5
2020-10-25,1 wk ahead inc case,2020-10-31,1127,point,,126.0
2020-10-25,1 wk ahead inc case,2020-10-31,2020,point,,901.5
2020-10-25,1 wk ahead inc case,2020-10-31,2090,point,,240.0
2020-10-25,1 wk ahead inc case,2020-10-31,2110,point,,35.0
2020-10-25,1 wk ahead inc case,2020-10-31,2170,point,,156.0
2020-10-25,1 wk ahead inc case,2020-10-31,4001,point,,74.0
2020-10-25,1 wk ahead inc case,2020-10-31,4003,point,,63.5
2020-10-25,1 wk ahead inc case,2020-10-31,4005,point,,254.0
2020-10-25,1 wk ahead inc case,2020-10-31,4007,point,,152.0
2020-10-25,1 wk ahead inc case,2020-10-31,4009,point,,90.0
2020-10-25,1 wk ahead inc case,2020-10-31,4013,point,,3799.5
2020-10-25,1 wk ahead inc case,2020-10-31,4015,point,,77.0
2020-10-25,1 wk ahead inc case,2020-10-31,4017,point,,156.5
2020-10-25,1 wk ahead inc case,2020-10-31,4019,point,,464.5
2020-10-25,1 wk ahead inc case,2020-10-31,4021,point,,343.0
2020-10-25,1 wk ahead inc case,2020-10-31,4023,point,,34.0
2020-10-25,1 wk ahead inc case,2020-10-31,4025,point,,99.5
2020-10-25,1 wk ahead inc case,2020-10-31,4027,point,,226.0
2020-10-25,1 wk ahead inc case,2020-10-31,5005,point,,103.0
2020-10-25,1 wk ahead inc case,2020-10-31,5007,point,,420.0
2020-10-25,1 wk ahead inc case,2020-10-31,5009,point,,76.0
2020-10-25,1 wk ahead inc case,2020-10-31,5031,point,,418.5
2020-10-25,1 wk ahead inc case,2020-10-31,5033,point,,161.5
2020-10-25,1 wk ahead inc case,2020-10-31,5035,point,,113.0
2020-10-25,1 wk ahead inc case,2020-10-31,5045,point,,208.0
2020-10-25,1 wk ahead inc case,2020-10-31,5051,point,,156.0
2020-10-25,1 wk ahead inc case,2020-10-31,5055,point,,179.5
2020-10-25,1 wk ahead inc case,2020-10-31,5059,point,,79.5
2020-10-25,1 wk ahead inc case,2020-10-31,5063,point,,82.0
2020-10-25,1 wk ahead inc case,2020-10-31,5069,point,,200.0
2020-10-25,1 wk ahead inc case,2020-10-31,5085,point,,142.0
2020-10-25,1 wk ahead inc case,2020-10-31,5091,point,,174.0
2020-10-25,1 wk ahead inc case,2020-10-31,5093,point,,164.0
2020-10-25,1 wk ahead inc case,2020-10-31,5115,point,,162.0
2020-10-25,1 wk ahead inc case,2020-10-31,5119,point,,684.5
2020-10-25,1 wk ahead inc case,2020-10-31,5125,point,,200.0
2020-10-25,1 wk ahead inc case,2020-10-31,5131,point,,279.5
2020-10-25,1 wk ahead inc case,2020-10-31,5139,point,,56.0
2020-10-25,1 wk ahead inc case,2020-10-31,5143,point,,459.5
2020-10-25,1 wk ahead inc case,2020-10-31,5145,point,,180.0
2020-10-25,1 wk ahead inc case,2020-10-31,6001,point,,590.0
2020-10-25,1 wk ahead inc case,2020-10-31,6005,point,,7.0
2020-10-25,1 wk ahead inc case,2020-10-31,6007,point,,58.5
2020-10-25,1 wk ahead inc case,2020-10-31,6009,point,,7.0
2020-10-25,1 wk ahead inc case,2020-10-31,6013,point,,454.5
2020-10-25,1 wk ahead inc case,2020-10-31,6017,point,,48.0
2020-10-25,1 wk ahead inc case,2020-10-31,6019,point,,708.5
2020-10-25,1 wk ahead inc case,2020-10-31,6023,point,,19.0
2020-10-25,1 wk ahead inc case,2020-10-31,6025,point,,195.0
2020-10-25,1 wk ahead inc case,2020-10-31,6029,point,,466.0
2020-10-25,1 wk ahead inc case,2020-10-31,6031,point,,90.5
2020-10-25,1 wk ahead inc case,2020-10-31,6033,point,,37.5
2020-10-25,1 wk ahead inc case,2020-10-31,6035,point,,7.0
2020-10-25,1 wk ahead inc case,2020-10-31,6037,point,,7922.0
2020-10-25,1 wk ahead inc case,2020-10-31,6039,point,,105.5
2020-10-25,1 wk ahead inc case,2020-10-31,6041,point,,94.0
2020-10-25,1 wk ahead inc case,2020-10-31,6045,point,,47.5
2020-10-25,1 wk ahead inc case,2020-10-31,6047,point,,147.0
2020-10-25,1 wk ahead inc case,2020-10-31,6053,point,,368.5
2020-10-25,1 wk ahead inc case,2020-10-31,6055,point,,70.0
2020-10-25,1 wk ahead inc case,2020-10-31,6057,point,,22.0
2020-10-25,1 wk ahead inc case,2020-10-31,6059,point,,1442.0
2020-10-25,1 wk ahead inc case,2020-10-31,6061,point,,160.5
2020-10-25,1 wk ahead inc case,2020-10-31,6065,point,,1876.0
2020-10-25,1 wk ahead inc case,2020-10-31,6067,point,,803.5
2020-10-25,1 wk ahead inc case,2020-10-31,6069,point,,26.0
2020-10-25,1 wk ahead inc case,2020-10-31,6071,point,,2107.0
2020-10-25,1 wk ahead inc case,2020-10-31,6073,point,,2077.5
2020-10-25,1 wk ahead inc case,2020-10-31,6077,point,,354.5
2020-10-25,1 wk ahead inc case,2020-10-31,6079,point,,132.0
2020-10-25,1 wk ahead inc case,2020-10-31,6081,point,,270.0
2020-10-25,1 wk ahead inc case,2020-10-31,6083,point,,169.0
2020-10-25,1 wk ahead inc case,2020-10-31,6085,point,,758.5
2020-10-25,1 wk ahead inc case,2020-10-31,6087,point,,93.0
2020-10-25,1 wk ahead inc case,2020-10-31,6089,point,,235.0
2020-10-25,1 wk ahead inc case,2020-10-31,6093,point,,7.0
2020-10-25,1 wk ahead inc case,2020-10-31,6095,point,,234.0
2020-10-25,1 wk ahead inc case,2020-10-31,6097,point,,446.0
2020-10-25,1 wk ahead inc case,2020-10-31,6099,point,,552.5
2020-10-25,1 wk ahead inc case,2020-10-31,6101,point,,35.5
2020-10-25,1 wk ahead inc case,2020-10-31,6103,point,,104.0
2020-10-25,1 wk ahead inc case,2020-10-31,6107,point,,325.5
2020-10-25,1 wk ahead inc case,2020-10-31,6109,point,,13.5
2020-10-25,1 wk ahead inc case,2020-10-31,6111,point,,352.0
2020-10-25,1 wk ahead inc case,2020-10-31,6113,point,,106.0
2020-10-25,1 wk ahead inc case,2020-10-31,6115,point,,35.0
2020-10-25,1 wk ahead inc case,2020-10-31,8001,point,,1320.0
2020-10-25,1 wk ahead inc case,2020-10-31,8005,point,,840.5
2020-10-25,1 wk ahead inc case,2020-10-31,8013,point,,248.0
2020-10-25,1 wk ahead inc case,2020-10-31,8014,point,,77.5
2020-10-25,1 wk ahead inc case,2020-10-31,8029,point,,4.0
2020-10-25,1 wk ahead inc case,2020-10-31,8031,point,,1289.5
2020-10-25,1 wk ahead inc case,2020-10-31,8035,point,,304.5
2020-10-25,1 wk ahead inc case,2020-10-31,8037,point,,50.0
2020-10-25,1 wk ahead inc case,2020-10-31,8041,point,,1081.5
2020-10-25,1 wk ahead inc case,2020-10-31,8043,point,,241.5
2020-10-25,1 wk ahead inc case,2020-10-31,8045,point,,58.0
2020-10-25,1 wk ahead inc case,2020-10-31,8059,point,,740.5
2020-10-25,1 wk ahead inc case,2020-10-31,8067,point,,25.0
2020-10-25,1 wk ahead inc case,2020-10-31,8069,point,,449.5
2020-10-25,1 wk ahead inc case,2020-10-31,8077,point,,278.0
2020-10-25,1 wk ahead inc case,2020-10-31,8085,point,,24.0
2020-10-25,1 wk ahead inc case,2020-10-31,8101,point,,256.5
2020-10-25,1 wk ahead inc case,2020-10-31,8117,point,,64.5
2020-10-25,1 wk ahead inc case,2020-10-31,8123,point,,355.0
2020-10-25,1 wk ahead inc case,2020-10-31,9001,point,,674.5
2020-10-25,1 wk ahead inc case,2020-10-31,9003,point,,698.0
2020-10-25,1 wk ahead inc case,2020-10-31,9005,point,,87.0
2020-10-25,1 wk ahead inc case,2020-10-31,9007,point,,90.5
2020-10-25,1 wk ahead inc case,2020-10-31,9009,point,,528.5
2020-10-25,1 wk ahead inc case,2020-10-31,9011,point,,383.0
2020-10-25,1 wk ahead inc case,2020-10-31,9013,point,,87.0
2020-10-25,1 wk ahead inc case,2020-10-31,9015,point,,93.0
2020-10-25,1 wk ahead inc case,2020-10-31,10001,point,,111.5
2020-10-25,1 wk ahead inc case,2020-10-31,10003,point,,581.0
2020-10-25,1 wk ahead inc case,2020-10-31,10005,point,,288.5
2020-10-25,1 wk ahead inc case,2020-10-31,11001,point,,389.0
2020-10-25,1 wk ahead inc case,2020-10-31,12001,point,,470.0
2020-10-25,1 wk ahead inc case,2020-10-31,12005,point,,170.0
2020-10-25,1 wk ahead inc case,2020-10-31,12009,point,,547.5
2020-10-25,1 wk ahead inc case,2020-10-31,12011,point,,1822.0
2020-10-25,1 wk ahead inc case,2020-10-31,12015,point,,120.0
2020-10-25,1 wk ahead inc case,2020-10-31,12017,point,,103.0
2020-10-25,1 wk ahead inc case,2020-10-31,12019,point,,222.0
2020-10-25,1 wk ahead inc case,2020-10-31,12021,point,,409.5
2020-10-25,1 wk ahead inc case,2020-10-31,12023,point,,99.5
2020-10-25,1 wk ahead inc case,2020-10-31,12027,point,,28.0
2020-10-25,1 wk ahead inc case,2020-10-31,12031,point,,1079.5
2020-10-25,1 wk ahead inc case,2020-10-31,12033,point,,306.0
2020-10-25,1 wk ahead inc case,2020-10-31,12035,point,,95.0
2020-10-25,1 wk ahead inc case,2020-10-31,12039,point,,42.0
2020-10-25,1 wk ahead inc case,2020-10-31,12051,point,,35.0
2020-10-25,1 wk ahead inc case,2020-10-31,12053,point,,158.0
2020-10-25,1 wk ahead inc case,2020-10-31,12055,point,,102.0
2020-10-25,1 wk ahead inc case,2020-10-31,12057,point,,1351.5
2020-10-25,1 wk ahead inc case,2020-10-31,12061,point,,127.0
2020-10-25,1 wk ahead inc case,2020-10-31,12063,point,,63.0
2020-10-25,1 wk ahead inc case,2020-10-31,12069,point,,276.5
2020-10-25,1 wk ahead inc case,2020-10-31,12071,point,,658.0
2020-10-25,1 wk ahead inc case,2020-10-31,12073,point,,318.5
2020-10-25,1 wk ahead inc case,2020-10-31,12075,point,,21.0
2020-10-25,1 wk ahead inc case,2020-10-31,12081,point,,402.5
2020-10-25,1 wk ahead inc case,2020-10-31,12083,point,,264.0
2020-10-25,1 wk ahead inc case,2020-10-31,12085,point,,96.0
2020-10-25,1 wk ahead inc case,2020-10-31,12086,point,,3122.0
2020-10-25,1 wk ahead inc case,2020-10-31,12089,point,,84.5
2020-10-25,1 wk ahead inc case,2020-10-31,12091,point,,339.0
2020-10-25,1 wk ahead inc case,2020-10-31,12093,point,,37.0
2020-10-25,1 wk ahead inc case,2020-10-31,12095,point,,1417.5
2020-10-25,1 wk ahead inc case,2020-10-31,12097,point,,368.5
2020-10-25,1 wk ahead inc case,2020-10-31,12099,point,,1150.5
2020-10-25,1 wk ahead inc case,2020-10-31,12101,point,,362.5
2020-10-25,1 wk ahead inc case,2020-10-31,12103,point,,907.5
2020-10-25,1 wk ahead inc case,2020-10-31,12105,point,,701.0
2020-10-25,1 wk ahead inc case,2020-10-31,12107,point,,69.0
2020-10-25,1 wk ahead inc case,2020-10-31,12109,point,,269.5
2020-10-25,1 wk ahead inc case,2020-10-31,12111,point,,237.0
2020-10-25,1 wk ahead inc case,2020-10-31,12113,point,,150.5
2020-10-25,1 wk ahead inc case,2020-10-31,12115,point,,364.0
2020-10-25,1 wk ahead inc case,2020-10-31,12117,point,,283.0
2020-10-25,1 wk ahead inc case,2020-10-31,12119,point,,120.5
2020-10-25,1 wk ahead inc case,2020-10-31,12121,point,,62.0
2020-10-25,1 wk ahead inc case,2020-10-31,12127,point,,448.0
2020-10-25,1 wk ahead inc case,2020-10-31,12129,point,,47.0
2020-10-25,1 wk ahead inc case,2020-10-31,12131,point,,112.5
2020-10-25,1 wk ahead inc case,2020-10-31,13009,point,,49.0
2020-10-25,1 wk ahead inc case,2020-10-31,13013,point,,112.0
2020-10-25,1 wk ahead inc case,2020-10-31,13015,point,,242.5
2020-10-25,1 wk ahead inc case,2020-10-31,13021,point,,148.0
2020-10-25,1 wk ahead inc case,2020-10-31,13029,point,,42.0
2020-10-25,1 wk ahead inc case,2020-10-31,13031,point,,75.0
2020-10-25,1 wk ahead inc case,2020-10-31,13039,point,,29.0
2020-10-25,1 wk ahead inc case,2020-10-31,13045,point,,233.5
2020-10-25,1 wk ahead inc case,2020-10-31,13047,point,,62.5
2020-10-25,1 wk ahead inc case,2020-10-31,13051,point,,238.5
2020-10-25,1 wk ahead inc case,2020-10-31,13057,point,,306.5
2020-10-25,1 wk ahead inc case,2020-10-31,13059,point,,217.5
2020-10-25,1 wk ahead inc case,2020-10-31,13063,point,,304.0
2020-10-25,1 wk ahead inc case,2020-10-31,13067,point,,618.0
2020-10-25,1 wk ahead inc case,2020-10-31,13069,point,,65.0
2020-10-25,1 wk ahead inc case,2020-10-31,13071,point,,84.0
2020-10-25,1 wk ahead inc case,2020-10-31,13073,point,,198.0
2020-10-25,1 wk ahead inc case,2020-10-31,13077,point,,147.0
2020-10-25,1 wk ahead inc case,2020-10-31,13089,point,,645.0
2020-10-25,1 wk ahead inc case,2020-10-31,13095,point,,56.0
2020-10-25,1 wk ahead inc case,2020-10-31,13097,point,,147.5
2020-10-25,1 wk ahead inc case,2020-10-31,13103,point,,95.5
2020-10-25,1 wk ahead inc case,2020-10-31,13113,point,,78.0
2020-10-25,1 wk ahead inc case,2020-10-31,13115,point,,242.0
2020-10-25,1 wk ahead inc case,2020-10-31,13117,point,,178.5
2020-10-25,1 wk ahead inc case,2020-10-31,13121,point,,940.0
2020-10-25,1 wk ahead inc case,2020-10-31,13123,point,,61.0
2020-10-25,1 wk ahead inc case,2020-10-31,13127,point,,74.5
2020-10-25,1 wk ahead inc case,2020-10-31,13129,point,,194.5
2020-10-25,1 wk ahead inc case,2020-10-31,13135,point,,895.5
2020-10-25,1 wk ahead inc case,2020-10-31,13137,point,,53.0
2020-10-25,1 wk ahead inc case,2020-10-31,13139,point,,317.0
2020-10-25,1 wk ahead inc case,2020-10-31,13143,point,,70.0
2020-10-25,1 wk ahead inc case,2020-10-31,13145,point,,21.0
2020-10-25,1 wk ahead inc case,2020-10-31,13151,point,,278.5
2020-10-25,1 wk ahead inc case,2020-10-31,13153,point,,150.0
2020-10-25,1 wk ahead inc case,2020-10-31,13157,point,,104.5
2020-10-25,1 wk ahead inc case,2020-10-31,13175,point,,108.0
2020-10-25,1 wk ahead inc case,2020-10-31,13177,point,,20.0
2020-10-25,1 wk ahead inc case,2020-10-31,13179,point,,42.0
2020-10-25,1 wk ahead inc case,2020-10-31,13185,point,,210.0
2020-10-25,1 wk ahead inc case,2020-10-31,13187,point,,35.0
2020-10-25,1 wk ahead inc case,2020-10-31,13195,point,,28.0
2020-10-25,1 wk ahead inc case,2020-10-31,13213,point,,61.0
2020-10-25,1 wk ahead inc case,2020-10-31,13215,point,,99.5
2020-10-25,1 wk ahead inc case,2020-10-31,13217,point,,97.0
2020-10-25,1 wk ahead inc case,2020-10-31,13219,point,,42.0
