forecast_date,target,target_end_date,location,type,quantile,value
2021-04-19,1 wk ahead inc death,2021-04-24,01,point,,56.512235029795
2021-04-19,1 wk ahead inc death,2021-04-24,02,point,,2.7977971492800404
2021-04-19,1 wk ahead inc death,2021-04-24,04,point,,66.0205467643806
2021-04-19,1 wk ahead inc death,2021-04-24,05,point,,22.6812697012283
2021-04-19,1 wk ahead inc death,2021-04-24,06,point,,502.735213487145
2021-04-19,1 wk ahead inc death,2021-04-24,08,point,,41.991837632397896
2021-04-19,1 wk ahead inc death,2021-04-24,09,point,,51.5747722509681
2021-04-19,1 wk ahead inc death,2021-04-24,10,point,,20.3195345604795
2021-04-19,1 wk ahead inc death,2021-04-24,12,point,,389.171637338957
2021-04-19,1 wk ahead inc death,2021-04-24,13,point,,213.13570399874803
2021-04-19,1 wk ahead inc death,2021-04-24,15,point,,4.4848979812343694
2021-04-19,1 wk ahead inc death,2021-04-24,16,point,,19.1895388941928
2021-04-19,1 wk ahead inc death,2021-04-24,17,point,,161.587778221906
2021-04-19,1 wk ahead inc death,2021-04-24,18,point,,77.166669802027
2021-04-19,1 wk ahead inc death,2021-04-24,19,point,,28.7051751918845
2021-04-19,1 wk ahead inc death,2021-04-24,20,point,,15.999774617664098
2021-04-19,1 wk ahead inc death,2021-04-24,21,point,,75.3043438870814
2021-04-19,1 wk ahead inc death,2021-04-24,22,point,,53.873424015138205
2021-04-19,1 wk ahead inc death,2021-04-24,23,point,,14.088320443746
2021-04-19,1 wk ahead inc death,2021-04-24,24,point,,100.978611736942
2021-04-19,1 wk ahead inc death,2021-04-24,25,point,,89.808795355644
2021-04-19,1 wk ahead inc death,2021-04-24,26,point,,431.8933195916111
2021-04-19,1 wk ahead inc death,2021-04-24,27,point,,74.74213089097309
2021-04-19,1 wk ahead inc death,2021-04-24,28,point,,36.997446484958
2021-04-19,1 wk ahead inc death,2021-04-24,29,point,,69.8582140019328
2021-04-19,1 wk ahead inc death,2021-04-24,30,point,,15.514899173947699
2021-04-19,1 wk ahead inc death,2021-04-24,31,point,,16.7992870545536
2021-04-19,1 wk ahead inc death,2021-04-24,32,point,,33.006789786074
2021-04-19,1 wk ahead inc death,2021-04-24,33,point,,13.9799315926701
2021-04-19,1 wk ahead inc death,2021-04-24,34,point,,223.997183266974
2021-04-19,1 wk ahead inc death,2021-04-24,35,point,,23.443368389828105
2021-04-19,1 wk ahead inc death,2021-04-24,36,point,,405.359803422274
2021-04-19,1 wk ahead inc death,2021-04-24,37,point,,125.23299232916
2021-04-19,1 wk ahead inc death,2021-04-24,38,point,,5.98104916721969
2021-04-19,1 wk ahead inc death,2021-04-24,39,point,,48.26947843730579
2021-04-19,1 wk ahead inc death,2021-04-24,40,point,,54.0844731363964
2021-04-19,1 wk ahead inc death,2021-04-24,41,point,,31.750632651069303
2021-04-19,1 wk ahead inc death,2021-04-24,42,point,,258.606553462456
2021-04-19,1 wk ahead inc death,2021-04-24,44,point,,13.1942889665846
2021-04-19,1 wk ahead inc death,2021-04-24,45,point,,62.0890710389454
2021-04-19,1 wk ahead inc death,2021-04-24,46,point,,8.23780861596753
2021-04-19,1 wk ahead inc death,2021-04-24,47,point,,57.9711561043351
2021-04-19,1 wk ahead inc death,2021-04-24,48,point,,352.72309089133597
2021-04-19,1 wk ahead inc death,2021-04-24,49,point,,12.797064651335301
2021-04-19,1 wk ahead inc death,2021-04-24,50,point,,6.58431982523713
2021-04-19,1 wk ahead inc death,2021-04-24,51,point,,101.120661793044
2021-04-19,1 wk ahead inc death,2021-04-24,53,point,,62.541047979694994
2021-04-19,1 wk ahead inc death,2021-04-24,54,point,,37.7543642805663
2021-04-19,1 wk ahead inc death,2021-04-24,55,point,,40.3486089990647
2021-04-19,1 wk ahead inc death,2021-04-24,56,point,,2.32143014724591
