forecast_date,target,target_end_date,location,type,quantile,value
2020-07-20,1 wk ahead inc case,2020-07-25,1,point,,17678.3
2020-07-20,2 wk ahead inc case,2020-08-01,1,point,,21382.6
2020-07-20,3 wk ahead inc case,2020-08-08,1,point,,25709.1
2020-07-20,4 wk ahead inc case,2020-08-15,1,point,,30689.2
2020-07-20,5 wk ahead inc case,2020-08-22,1,point,,36320.0
2020-07-20,1 wk ahead inc death,2020-07-25,1,point,,114.0
2020-07-20,2 wk ahead inc death,2020-08-01,1,point,,105.1
2020-07-20,3 wk ahead inc death,2020-08-08,1,point,,96.8
2020-07-20,4 wk ahead inc death,2020-08-15,1,point,,89.2
2020-07-20,5 wk ahead inc death,2020-08-22,1,point,,82.2
2020-07-20,1 wk ahead inc case,2020-07-25,2,point,,732.1
2020-07-20,2 wk ahead inc case,2020-08-01,2,point,,976.4
2020-07-20,3 wk ahead inc case,2020-08-08,2,point,,1299.5
2020-07-20,4 wk ahead inc case,2020-08-15,2,point,,1725.0
2020-07-20,5 wk ahead inc case,2020-08-22,2,point,,2281.8
2020-07-20,1 wk ahead inc death,2020-07-25,2,point,,1.3
2020-07-20,2 wk ahead inc death,2020-08-01,2,point,,1.4
2020-07-20,3 wk ahead inc death,2020-08-08,2,point,,1.5
2020-07-20,4 wk ahead inc death,2020-08-15,2,point,,1.6
2020-07-20,5 wk ahead inc death,2020-08-22,2,point,,1.8
2020-07-20,1 wk ahead inc case,2020-07-25,4,point,,22619.4
2020-07-20,2 wk ahead inc case,2020-08-01,4,point,,22161.1
2020-07-20,3 wk ahead inc case,2020-08-08,4,point,,21641.2
2020-07-20,4 wk ahead inc case,2020-08-15,4,point,,21065.1
2020-07-20,5 wk ahead inc case,2020-08-22,4,point,,20439.7
2020-07-20,1 wk ahead inc death,2020-07-25,4,point,,545.1
2020-07-20,2 wk ahead inc death,2020-08-01,4,point,,558.4
2020-07-20,3 wk ahead inc death,2020-08-08,4,point,,569.1
2020-07-20,4 wk ahead inc death,2020-08-15,4,point,,577.3
2020-07-20,5 wk ahead inc death,2020-08-22,4,point,,583.1
2020-07-20,1 wk ahead inc case,2020-07-25,5,point,,7394.3
2020-07-20,2 wk ahead inc case,2020-08-01,5,point,,8515.4
2020-07-20,3 wk ahead inc case,2020-08-08,5,point,,9770.4
