location,forecast_date,target_end_date,value,target,type,quantile
01,2020-08-09,2020-08-15,8475.423179323228,1 wk ahead inc case,point,
01,2020-08-09,2020-08-15,130.62242011686536,1 wk ahead inc death,point,
01,2020-08-09,2020-08-22,7482.1089731454185,2 wk ahead inc case,point,
01,2020-08-09,2020-08-22,114.29561238420334,2 wk ahead inc death,point,
01,2020-08-09,2020-08-29,6662.158041693997,3 wk ahead inc case,point,
01,2020-08-09,2020-08-29,99.12074717356722,3 wk ahead inc death,point,
01,2020-08-09,2020-09-05,5950.627406241509,4 wk ahead inc case,point,
01,2020-08-09,2020-09-05,92.20075283903664,4 wk ahead inc death,point,
01001,2020-08-09,2020-08-15,194.56710201046002,1 wk ahead inc case,point,
01001,2020-08-09,2020-08-22,137.82824756421982,2 wk ahead inc case,point,
01001,2020-08-09,2020-08-29,140.19738354605317,3 wk ahead inc case,point,
01001,2020-08-09,2020-09-05,148.51611826825228,4 wk ahead inc case,point,
01003,2020-08-09,2020-08-15,313.9691329429573,1 wk ahead inc case,point,
01003,2020-08-09,2020-08-22,275.24450527838417,2 wk ahead inc case,point,
01003,2020-08-09,2020-08-29,239.65026727887852,3 wk ahead inc case,point,
01003,2020-08-09,2020-09-05,264.431726259279,4 wk ahead inc case,point,
01005,2020-08-09,2020-08-15,14.151427161566346,1 wk ahead inc case,point,
01005,2020-08-09,2020-08-22,15.585065227577267,2 wk ahead inc case,point,
01005,2020-08-09,2020-08-29,15.548355851165145,3 wk ahead inc case,point,
01005,2020-08-09,2020-09-05,12.309422675297597,4 wk ahead inc case,point,
01007,2020-08-09,2020-08-15,59.39611536789443,1 wk ahead inc case,point,
01007,2020-08-09,2020-08-22,55.74476497557802,2 wk ahead inc case,point,
01007,2020-08-09,2020-08-29,54.7730190394112,3 wk ahead inc case,point,
01007,2020-08-09,2020-09-05,55.9330173079023,4 wk ahead inc case,point,
01009,2020-08-09,2020-08-15,76.25097330824678,1 wk ahead inc case,point,
01009,2020-08-09,2020-08-22,66.77898373384255,2 wk ahead inc case,point,
01009,2020-08-09,2020-08-29,60.264918317855454,3 wk ahead inc case,point,
01009,2020-08-09,2020-09-05,66.55716604237878,4 wk ahead inc case,point,
01011,2020-08-09,2020-08-15,25.114103332085467,1 wk ahead inc case,point,
01011,2020-08-09,2020-08-22,29.52441335482552,2 wk ahead inc case,point,
01011,2020-08-09,2020-08-29,31.95116824903735,3 wk ahead inc case,point,
01011,2020-08-09,2020-09-05,33.34717960955055,4 wk ahead inc case,point,
01013,2020-08-09,2020-08-15,21.450767221833967,1 wk ahead inc case,point,
01013,2020-08-09,2020-08-22,19.84738481015569,2 wk ahead inc case,point,
01013,2020-08-09,2020-08-29,20.7901371122992,3 wk ahead inc case,point,
01013,2020-08-09,2020-09-05,20.850675325903076,4 wk ahead inc case,point,
01015,2020-08-09,2020-08-15,232.89906152728904,1 wk ahead inc case,point,
01015,2020-08-09,2020-08-22,213.80966884260937,2 wk ahead inc case,point,
01015,2020-08-09,2020-08-29,193.75976212514752,3 wk ahead inc case,point,
01015,2020-08-09,2020-09-05,202.76172680279538,4 wk ahead inc case,point,
01017,2020-08-09,2020-08-15,21.463067412972133,1 wk ahead inc case,point,
01017,2020-08-09,2020-08-22,23.043456933022746,2 wk ahead inc case,point,
01017,2020-08-09,2020-08-29,24.35693380768011,3 wk ahead inc case,point,
01017,2020-08-09,2020-09-05,25.90312967498995,4 wk ahead inc case,point,
