,location,target,type,quantile,forecast_date,target_end_date,value
2346,2,1 wk ahead cum death,point,,2020-06-18,2020-06-27,11.126597
2347,1,1 wk ahead cum death,point,,2020-06-18,2020-06-27,1010.5274
2348,5,1 wk ahead cum death,point,,2020-06-18,2020-06-27,232.72083
2349,4,1 wk ahead cum death,point,,2020-06-18,2020-06-27,1489.2120000000002
2350,6,1 wk ahead cum death,point,,2020-06-18,2020-06-27,6438.941
2351,8,1 wk ahead cum death,point,,2020-06-18,2020-06-27,1710.4675
2352,9,1 wk ahead cum death,point,,2020-06-18,2020-06-27,4376.0566
2353,11,1 wk ahead cum death,point,,2020-06-18,2020-06-27,535.56104
2354,10,1 wk ahead cum death,point,,2020-06-18,2020-06-27,468.9862
2355,12,1 wk ahead cum death,point,,2020-06-18,2020-06-27,3700.101
2356,13,1 wk ahead cum death,point,,2020-06-18,2020-06-27,2790.1033
2357,15,1 wk ahead cum death,point,,2020-06-18,2020-06-27,18.446869
2358,19,1 wk ahead cum death,point,,2020-06-18,2020-06-27,780.2956
2359,16,1 wk ahead cum death,point,,2020-06-18,2020-06-27,97.39991
2360,17,1 wk ahead cum death,point,,2020-06-18,2020-06-27,6945.0986
2361,18,1 wk ahead cum death,point,,2020-06-18,2020-06-27,2700.1116
2362,20,1 wk ahead cum death,point,,2020-06-18,2020-06-27,275.73697000000004
2363,21,1 wk ahead cum death,point,,2020-06-18,2020-06-27,675.74023
2364,22,1 wk ahead cum death,point,,2020-06-18,2020-06-27,3233.2217
2365,25,1 wk ahead cum death,point,,2020-06-18,2020-06-27,8006.7876
2366,24,1 wk ahead cum death,point,,2020-06-18,2020-06-27,3368.2021
2367,23,1 wk ahead cum death,point,,2020-06-18,2020-06-27,123.253456
2368,26,1 wk ahead cum death,point,,2020-06-18,2020-06-27,6626.4897
2369,27,1 wk ahead cum death,point,,2020-06-18,2020-06-27,1596.0598
2370,29,1 wk ahead cum death,point,,2020-06-18,2020-06-27,1111.2855
2371,28,1 wk ahead cum death,point,,2020-06-18,2020-06-27,1148.3428
2372,30,1 wk ahead cum death,point,,2020-06-18,2020-06-27,20.942373
2373,37,1 wk ahead cum death,point,,2020-06-18,2020-06-27,1375.711
2374,38,1 wk ahead cum death,point,,2020-06-18,2020-06-27,94.63526
2375,31,1 wk ahead cum death,point,,2020-06-18,2020-06-27,275.60532
2376,33,1 wk ahead cum death,point,,2020-06-18,2020-06-27,400.30884
2377,34,1 wk ahead cum death,point,,2020-06-18,2020-06-27,12990.889
2378,35,1 wk ahead cum death,point,,2020-06-18,2020-06-27,505.9894
2379,32,1 wk ahead cum death,point,,2020-06-18,2020-06-27,525.1722
2380,36,1 wk ahead cum death,point,,2020-06-18,2020-06-27,30782.877
2381,39,1 wk ahead cum death,point,,2020-06-18,2020-06-27,3035.8984
2382,40,1 wk ahead cum death,point,,2020-06-18,2020-06-27,420.68796
2383,41,1 wk ahead cum death,point,,2020-06-18,2020-06-27,200.89066
2384,42,1 wk ahead cum death,point,,2020-06-18,2020-06-27,6665.611999999999
