,forecast_date,target,target_end_date,location,location_name,type,quantile,value
0,2020-04-22,42 day ahead cum death,2020-06-03,37,North Carolina,point,,746.0
23,2020-04-22,42 day ahead cum death,2020-06-03,41,Oregon,point,,171.0
46,2020-04-22,42 day ahead cum death,2020-06-03,20,Kansas,point,,339.0
69,2020-04-22,42 day ahead cum death,2020-06-03,23,Maine,point,,93.0
92,2020-04-22,42 day ahead cum death,2020-06-03,16,Idaho,point,,86.0
115,2020-04-22,42 day ahead cum death,2020-06-03,5,Arkansas,point,,157.0
138,2020-04-22,42 day ahead cum death,2020-06-03,26,Michigan,point,,5725.0
161,2020-04-22,42 day ahead cum death,2020-06-03,36,New York,point,,37934.0
184,2020-04-22,42 day ahead cum death,2020-06-03,4,Arizona,point,,493.0
207,2020-04-22,42 day ahead cum death,2020-06-03,25,Massachusetts,point,,7369.0
230,2020-04-22,42 day ahead cum death,2020-06-03,8,Colorado,point,,1285.0
253,2020-04-22,42 day ahead cum death,2020-06-03,21,Kentucky,point,,471.0
276,2020-04-22,42 day ahead cum death,2020-06-03,56,Wyoming,point,,4.0
299,2020-04-22,42 day ahead cum death,2020-06-03,30,Montana,point,,10.0
322,2020-04-22,42 day ahead cum death,2020-06-03,47,Tennessee,point,,435.0
345,2020-04-22,42 day ahead cum death,2020-06-03,12,Florida,point,,2059.0
368,2020-04-22,42 day ahead cum death,2020-06-03,27,Minnesota,point,,598.0
391,2020-04-22,42 day ahead cum death,2020-06-03,6,California,point,,3446.0
414,2020-04-22,42 day ahead cum death,2020-06-03,39,Ohio,point,,2360.0
437,2020-04-22,42 day ahead cum death,2020-06-03,10,Delaware,point,,440.0
460,2020-04-22,42 day ahead cum death,2020-06-03,22,Louisiana,point,,2072.0
483,2020-04-22,42 day ahead cum death,2020-06-03,15,Hawaii,point,,21.0
506,2020-04-22,42 day ahead cum death,2020-06-03,55,Wisconsin,point,,675.0
529,2020-04-22,42 day ahead cum death,2020-06-03,29,Missouri,point,,586.0
552,2020-04-22,42 day ahead cum death,2020-06-03,32,Nevada,point,,418.0
575,2020-04-22,42 day ahead cum death,2020-06-03,11,District of Columbia,point,,416.0
598,2020-04-22,42 day ahead cum death,2020-06-03,28,Mississippi,point,,683.0
621,2020-04-22,42 day ahead cum death,2020-06-03,46,South Dakota,point,,111.0
644,2020-04-22,42 day ahead cum death,2020-06-03,34,New Jersey,point,,11926.0
667,2020-04-22,42 day ahead cum death,2020-06-03,24,Maryland,point,,2565.0
690,2020-04-22,42 day ahead cum death,2020-06-03,17,Illinois,point,,5637.0
713,2020-04-22,42 day ahead cum death,2020-06-03,45,South Carolina,point,,322.0
736,2020-04-22,42 day ahead cum death,2020-06-03,48,Texas,point,,1296.0
759,2020-04-22,42 day ahead cum death,2020-06-03,18,Indiana,point,,1840.0
782,2020-04-22,42 day ahead cum death,2020-06-03,50,Vermont,point,,64.0
805,2020-04-22,42 day ahead cum death,2020-06-03,13,Georgia,point,,1291.0
828,2020-04-22,42 day ahead cum death,2020-06-03,31,Nebraska,point,,329.0
851,2020-04-22,42 day ahead cum death,2020-06-03,44,Rhode Island,point,,896.0
874,2020-04-22,42 day ahead cum death,2020-06-03,49,Utah,point,,50.0
897,2020-04-22,42 day ahead cum death,2020-06-03,42,Pennsylvania,point,,4149.0
920,2020-04-22,42 day ahead cum death,2020-06-03,51,Virginia,point,,1738.0
943,2020-04-22,42 day ahead cum death,2020-06-03,9,Connecticut,point,,5487.0
966,2020-04-22,42 day ahead cum death,2020-06-03,33,New Hampshire,point,,155.0
989,2020-04-22,42 day ahead cum death,2020-06-03,2,Alaska,point,,16.0
1012,2020-04-22,42 day ahead cum death,2020-06-03,38,North Dakota,point,,105.0
1035,2020-04-22,42 day ahead cum death,2020-06-03,53,Washington,point,,826.0
