forecast_date,target,target_end_date,location,type,quantile,value
2020-09-06,1 wk ahead cum death,2020-09-12,US,point,,194565.1509824097
2020-09-06,2 wk ahead cum death,2020-09-19,US,point,,199827.55895432827
2020-09-06,3 wk ahead cum death,2020-09-26,US,point,,204604.16468656066
2020-09-06,4 wk ahead cum death,2020-10-03,US,point,,208148.89864796397
2020-09-06,1 wk ahead cum death,2020-09-12,01,point,,2377.363849341869
2020-09-06,2 wk ahead cum death,2020-09-19,01,point,,2471.578238159418
2020-09-06,3 wk ahead cum death,2020-09-26,01,point,,2546.337151914835
2020-09-06,4 wk ahead cum death,2020-10-03,01,point,,2596.689370602369
2020-09-06,1 wk ahead cum death,2020-09-12,02,point,,65.62025797367096
2020-09-06,2 wk ahead cum death,2020-09-19,02,point,,70.64973914623259
2020-09-06,3 wk ahead cum death,2020-09-26,02,point,,89.24594628810883
2020-09-06,4 wk ahead cum death,2020-10-03,02,point,,103.02523908019066
2020-09-06,1 wk ahead cum death,2020-09-12,04,point,,5384.111268728972
2020-09-06,2 wk ahead cum death,2020-09-19,04,point,,5540.603946685791
2020-09-06,3 wk ahead cum death,2020-09-26,04,point,,5640.0649029910555
2020-09-06,4 wk ahead cum death,2020-10-03,04,point,,5718.6928337216395
2020-09-06,1 wk ahead cum death,2020-09-12,05,point,,974.5787595808507
2020-09-06,2 wk ahead cum death,2020-09-19,05,point,,1062.1714278459551
2020-09-06,3 wk ahead cum death,2020-09-26,05,point,,1139.5905392467976
2020-09-06,4 wk ahead cum death,2020-10-03,05,point,,1192.8742715716362
2020-09-06,1 wk ahead cum death,2020-09-12,06,point,,14469.7039206326
2020-09-06,2 wk ahead cum death,2020-09-19,06,point,,15158.591183096167
2020-09-06,3 wk ahead cum death,2020-09-26,06,point,,15790.012572258709
2020-09-06,4 wk ahead cum death,2020-10-03,06,point,,16219.314972013235
2020-09-06,1 wk ahead cum death,2020-09-12,08,point,,2015.7346938252447
2020-09-06,2 wk ahead cum death,2020-09-19,08,point,,2037.5040879249573
2020-09-06,3 wk ahead cum death,2020-09-26,08,point,,2080.6143069267277
