location,type,quantile,value,target_end_date,forecast_date,target
01,point,,2846,2021-05-15,2021-05-10,1 wk ahead inc case
01,point,,69,2021-05-15,2021-05-10,1 wk ahead inc death
01,point,,2870,2021-05-22,2021-05-10,2 wk ahead inc case
01,point,,70,2021-05-22,2021-05-10,2 wk ahead inc death
01,point,,2840,2021-05-29,2021-05-10,3 wk ahead inc case
01,point,,70,2021-05-29,2021-05-10,3 wk ahead inc death
01,point,,2819,2021-06-05,2021-05-10,4 wk ahead inc case
01,point,,67,2021-06-05,2021-05-10,4 wk ahead inc death
02,point,,817,2021-05-15,2021-05-10,1 wk ahead inc case
02,point,,1,2021-05-15,2021-05-10,1 wk ahead inc death
02,point,,782,2021-05-22,2021-05-10,2 wk ahead inc case
02,point,,1,2021-05-22,2021-05-10,2 wk ahead inc death
02,point,,729,2021-05-29,2021-05-10,3 wk ahead inc case
02,point,,1,2021-05-29,2021-05-10,3 wk ahead inc death
02,point,,701,2021-06-05,2021-05-10,4 wk ahead inc case
02,point,,1,2021-06-05,2021-05-10,4 wk ahead inc death
04,point,,4755,2021-05-15,2021-05-10,1 wk ahead inc case
04,point,,83,2021-05-15,2021-05-10,1 wk ahead inc death
04,point,,4809,2021-05-22,2021-05-10,2 wk ahead inc case
04,point,,84,2021-05-22,2021-05-10,2 wk ahead inc death
04,point,,4783,2021-05-29,2021-05-10,3 wk ahead inc case
04,point,,86,2021-05-29,2021-05-10,3 wk ahead inc death
04,point,,4895,2021-06-05,2021-05-10,4 wk ahead inc case
04,point,,87,2021-06-05,2021-05-10,4 wk ahead inc death
05,point,,1459,2021-05-15,2021-05-10,1 wk ahead inc case
05,point,,19,2021-05-15,2021-05-10,1 wk ahead inc death
05,point,,1580,2021-05-22,2021-05-10,2 wk ahead inc case
05,point,,20,2021-05-22,2021-05-10,2 wk ahead inc death
05,point,,1601,2021-05-29,2021-05-10,3 wk ahead inc case
05,point,,21,2021-05-29,2021-05-10,3 wk ahead inc death
05,point,,1617,2021-06-05,2021-05-10,4 wk ahead inc case
05,point,,21,2021-06-05,2021-05-10,4 wk ahead inc death
06,point,,11483,2021-05-15,2021-05-10,1 wk ahead inc case
06,point,,356,2021-05-15,2021-05-10,1 wk ahead inc death
06,point,,10758,2021-05-22,2021-05-10,2 wk ahead inc case
06,point,,331,2021-05-22,2021-05-10,2 wk ahead inc death
06,point,,10271,2021-05-29,2021-05-10,3 wk ahead inc case
06,point,,304,2021-05-29,2021-05-10,3 wk ahead inc death
06,point,,10009,2021-06-05,2021-05-10,4 wk ahead inc case
06,point,,277,2021-06-05,2021-05-10,4 wk ahead inc death
08,point,,8645,2021-05-15,2021-05-10,1 wk ahead inc case
08,point,,70,2021-05-15,2021-05-10,1 wk ahead inc death
08,point,,8000,2021-05-22,2021-05-10,2 wk ahead inc case
08,point,,69,2021-05-22,2021-05-10,2 wk ahead inc death
08,point,,7399,2021-05-29,2021-05-10,3 wk ahead inc case
08,point,,75,2021-05-29,2021-05-10,3 wk ahead inc death
08,point,,6834,2021-06-05,2021-05-10,4 wk ahead inc case
08,point,,76,2021-06-05,2021-05-10,4 wk ahead inc death
09,point,,3573,2021-05-15,2021-05-10,1 wk ahead inc case
09,point,,44,2021-05-15,2021-05-10,1 wk ahead inc death
09,point,,3263,2021-05-22,2021-05-10,2 wk ahead inc case
09,point,,43,2021-05-22,2021-05-10,2 wk ahead inc death
09,point,,2960,2021-05-29,2021-05-10,3 wk ahead inc case
09,point,,43,2021-05-29,2021-05-10,3 wk ahead inc death
09,point,,2554,2021-06-05,2021-05-10,4 wk ahead inc case
09,point,,43,2021-06-05,2021-05-10,4 wk ahead inc death
10,point,,1118,2021-05-15,2021-05-10,1 wk ahead inc case
10,point,,9,2021-05-15,2021-05-10,1 wk ahead inc death
10,point,,987,2021-05-22,2021-05-10,2 wk ahead inc case
10,point,,9,2021-05-22,2021-05-10,2 wk ahead inc death
10,point,,912,2021-05-29,2021-05-10,3 wk ahead inc case
10,point,,9,2021-05-29,2021-05-10,3 wk ahead inc death
10,point,,846,2021-06-05,2021-05-10,4 wk ahead inc case
10,point,,10,2021-06-05,2021-05-10,4 wk ahead inc death
11,point,,265,2021-05-15,2021-05-10,1 wk ahead inc case
11,point,,4,2021-05-15,2021-05-10,1 wk ahead inc death
11,point,,246,2021-05-22,2021-05-10,2 wk ahead inc case
11,point,,4,2021-05-22,2021-05-10,2 wk ahead inc death
11,point,,243,2021-05-29,2021-05-10,3 wk ahead inc case
11,point,,4,2021-05-29,2021-05-10,3 wk ahead inc death
11,point,,248,2021-06-05,2021-05-10,4 wk ahead inc case
11,point,,4,2021-06-05,2021-05-10,4 wk ahead inc death
12,point,,23679,2021-05-15,2021-05-10,1 wk ahead inc case
12,point,,477,2021-05-15,2021-05-10,1 wk ahead inc death
12,point,,20740,2021-05-22,2021-05-10,2 wk ahead inc case
12,point,,499,2021-05-22,2021-05-10,2 wk ahead inc death
12,point,,18096,2021-05-29,2021-05-10,3 wk ahead inc case
12,point,,519,2021-05-29,2021-05-10,3 wk ahead inc death
12,point,,15793,2021-06-05,2021-05-10,4 wk ahead inc case
12,point,,540,2021-06-05,2021-05-10,4 wk ahead inc death
13,point,,6099,2021-05-15,2021-05-10,1 wk ahead inc case
13,point,,166,2021-05-15,2021-05-10,1 wk ahead inc death
13,point,,5605,2021-05-22,2021-05-10,2 wk ahead inc case
13,point,,161,2021-05-22,2021-05-10,2 wk ahead inc death
13,point,,5212,2021-05-29,2021-05-10,3 wk ahead inc case
13,point,,156,2021-05-29,2021-05-10,3 wk ahead inc death
13,point,,4867,2021-06-05,2021-05-10,4 wk ahead inc case
13,point,,156,2021-06-05,2021-05-10,4 wk ahead inc death
15,point,,674,2021-05-15,2021-05-10,1 wk ahead inc case
15,point,,5,2021-05-15,2021-05-10,1 wk ahead inc death
15,point,,698,2021-05-22,2021-05-10,2 wk ahead inc case
15,point,,5,2021-05-22,2021-05-10,2 wk ahead inc death
15,point,,708,2021-05-29,2021-05-10,3 wk ahead inc case
15,point,,5,2021-05-29,2021-05-10,3 wk ahead inc death
15,point,,710,2021-06-05,2021-05-10,4 wk ahead inc case
15,point,,5,2021-06-05,2021-05-10,4 wk ahead inc death
16,point,,1191,2021-05-15,2021-05-10,1 wk ahead inc case
16,point,,15,2021-05-15,2021-05-10,1 wk ahead inc death
16,point,,1106,2021-05-22,2021-05-10,2 wk ahead inc case
16,point,,15,2021-05-22,2021-05-10,2 wk ahead inc death
16,point,,1043,2021-05-29,2021-05-10,3 wk ahead inc case
16,point,,15,2021-05-29,2021-05-10,3 wk ahead inc death
16,point,,971,2021-06-05,2021-05-10,4 wk ahead inc case
16,point,,15,2021-06-05,2021-05-10,4 wk ahead inc death
17,point,,13781,2021-05-15,2021-05-10,1 wk ahead inc case
17,point,,227,2021-05-15,2021-05-10,1 wk ahead inc death
17,point,,11827,2021-05-22,2021-05-10,2 wk ahead inc case
17,point,,231,2021-05-22,2021-05-10,2 wk ahead inc death
17,point,,10655,2021-05-29,2021-05-10,3 wk ahead inc case
17,point,,232,2021-05-29,2021-05-10,3 wk ahead inc death
17,point,,9697,2021-06-05,2021-05-10,4 wk ahead inc case
17,point,,233,2021-06-05,2021-05-10,4 wk ahead inc death
18,point,,7177,2021-05-15,2021-05-10,1 wk ahead inc case
18,point,,67,2021-05-15,2021-05-10,1 wk ahead inc death
18,point,,6945,2021-05-22,2021-05-10,2 wk ahead inc case
18,point,,66,2021-05-22,2021-05-10,2 wk ahead inc death
18,point,,6835,2021-05-29,2021-05-10,3 wk ahead inc case
18,point,,66,2021-05-29,2021-05-10,3 wk ahead inc death
18,point,,6782,2021-06-05,2021-05-10,4 wk ahead inc case
18,point,,66,2021-06-05,2021-05-10,4 wk ahead inc death
19,point,,1778,2021-05-15,2021-05-10,1 wk ahead inc case
19,point,,28,2021-05-15,2021-05-10,1 wk ahead inc death
19,point,,1549,2021-05-22,2021-05-10,2 wk ahead inc case
19,point,,27,2021-05-22,2021-05-10,2 wk ahead inc death
19,point,,1296,2021-05-29,2021-05-10,3 wk ahead inc case
19,point,,25,2021-05-29,2021-05-10,3 wk ahead inc death
19,point,,1130,2021-06-05,2021-05-10,4 wk ahead inc case
19,point,,24,2021-06-05,2021-05-10,4 wk ahead inc death
20,point,,1549,2021-05-15,2021-05-10,1 wk ahead inc case
20,point,,28,2021-05-15,2021-05-10,1 wk ahead inc death
20,point,,1616,2021-05-22,2021-05-10,2 wk ahead inc case
20,point,,31,2021-05-22,2021-05-10,2 wk ahead inc death
20,point,,1710,2021-05-29,2021-05-10,3 wk ahead inc case
20,point,,31,2021-05-29,2021-05-10,3 wk ahead inc death
20,point,,1782,2021-06-05,2021-05-10,4 wk ahead inc case
20,point,,32,2021-06-05,2021-05-10,4 wk ahead inc death
21,point,,3645,2021-05-15,2021-05-10,1 wk ahead inc case
21,point,,68,2021-05-15,2021-05-10,1 wk ahead inc death
21,point,,3743,2021-05-22,2021-05-10,2 wk ahead inc case
21,point,,63,2021-05-22,2021-05-10,2 wk ahead inc death
21,point,,3765,2021-05-29,2021-05-10,3 wk ahead inc case
21,point,,60,2021-05-29,2021-05-10,3 wk ahead inc death
21,point,,3780,2021-06-05,2021-05-10,4 wk ahead inc case
21,point,,57,2021-06-05,2021-05-10,4 wk ahead inc death
22,point,,3129,2021-05-15,2021-05-10,1 wk ahead inc case
22,point,,51,2021-05-15,2021-05-10,1 wk ahead inc death
22,point,,3254,2021-05-22,2021-05-10,2 wk ahead inc case
22,point,,49,2021-05-22,2021-05-10,2 wk ahead inc death
22,point,,3311,2021-05-29,2021-05-10,3 wk ahead inc case
22,point,,49,2021-05-29,2021-05-10,3 wk ahead inc death
22,point,,3378,2021-06-05,2021-05-10,4 wk ahead inc case
22,point,,49,2021-06-05,2021-05-10,4 wk ahead inc death
23,point,,2143,2021-05-15,2021-05-10,1 wk ahead inc case
23,point,,10,2021-05-15,2021-05-10,1 wk ahead inc death
23,point,,2204,2021-05-22,2021-05-10,2 wk ahead inc case
23,point,,11,2021-05-22,2021-05-10,2 wk ahead inc death
23,point,,2215,2021-05-29,2021-05-10,3 wk ahead inc case
23,point,,10,2021-05-29,2021-05-10,3 wk ahead inc death
