location,target,type,quantile,forecast_date,target_end_date,value
US,1 wk ahead cum death,point,,2020-05-18,2020-05-23,96943.5
01,1 wk ahead cum death,point,,2020-05-18,2020-05-23,614.0
02,1 wk ahead cum death,point,,2020-05-18,2020-05-23,10.0
04,1 wk ahead cum death,point,,2020-05-18,2020-05-23,896.0
05,1 wk ahead cum death,point,,2020-05-18,2020-05-23,128.0
06,1 wk ahead cum death,point,,2020-05-18,2020-05-23,3754.0
08,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1318.5
09,1 wk ahead cum death,point,,2020-05-18,2020-05-23,3710.0
10,1 wk ahead cum death,point,,2020-05-18,2020-05-23,336.0
11,1 wk ahead cum death,point,,2020-05-18,2020-05-23,438.0
12,1 wk ahead cum death,point,,2020-05-18,2020-05-23,2252.5
13,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1820.0
15,1 wk ahead cum death,point,,2020-05-18,2020-05-23,17.0
16,1 wk ahead cum death,point,,2020-05-18,2020-05-23,74.0
17,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5036.5
18,1 wk ahead cum death,point,,2020-05-18,2020-05-23,2089.0
19,1 wk ahead cum death,point,,2020-05-18,2020-05-23,471.0
20,1 wk ahead cum death,point,,2020-05-18,2020-05-23,212.0
21,1 wk ahead cum death,point,,2020-05-18,2020-05-23,378.0
22,1 wk ahead cum death,point,,2020-05-18,2020-05-23,2640.0
23,1 wk ahead cum death,point,,2020-05-18,2020-05-23,70.0
24,1 wk ahead cum death,point,,2020-05-18,2020-05-23,2301.0
25,1 wk ahead cum death,point,,2020-05-18,2020-05-23,6616.5
26,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5002.0
27,1 wk ahead cum death,point,,2020-05-18,2020-05-23,881.0
28,1 wk ahead cum death,point,,2020-05-18,2020-05-23,640.0
29,1 wk ahead cum death,point,,2020-05-18,2020-05-23,704.0
30,1 wk ahead cum death,point,,2020-05-18,2020-05-23,16.0
31,1 wk ahead cum death,point,,2020-05-18,2020-05-23,128.0
32,1 wk ahead cum death,point,,2020-05-18,2020-05-23,406.0
33,1 wk ahead cum death,point,,2020-05-18,2020-05-23,234.0
34,1 wk ahead cum death,point,,2020-05-18,2020-05-23,11378.5
35,1 wk ahead cum death,point,,2020-05-18,2020-05-23,326.0
36,1 wk ahead cum death,point,,2020-05-18,2020-05-23,27168.5
37,1 wk ahead cum death,point,,2020-05-18,2020-05-23,806.0
38,1 wk ahead cum death,point,,2020-05-18,2020-05-23,50.0
39,1 wk ahead cum death,point,,2020-05-18,2020-05-23,1992.0
40,1 wk ahead cum death,point,,2020-05-18,2020-05-23,331.5
41,1 wk ahead cum death,point,,2020-05-18,2020-05-23,150.0
42,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5499.5
72,1 wk ahead cum death,point,,2020-05-18,2020-05-23,134.0
44,1 wk ahead cum death,point,,2020-05-18,2020-05-23,582.0
45,1 wk ahead cum death,point,,2020-05-18,2020-05-23,478.0
46,1 wk ahead cum death,point,,2020-05-18,2020-05-23,44.0
47,1 wk ahead cum death,point,,2020-05-18,2020-05-23,298.0
