location,forecast_date,value,target_end_date,target,type,quantile
1001,2021-04-17,65.18962527000001,2021-04-24,1 wk ahead inc case,point,
1001,2021-04-17,63.92530980000001,2021-05-01,2 wk ahead inc case,point,
1001,2021-04-17,49.58429619,2021-05-08,3 wk ahead inc case,point,
1001,2021-04-17,67.13274909,2021-05-15,4 wk ahead inc case,point,
1003,2021-04-17,111.47413024,2021-04-24,1 wk ahead inc case,point,
1003,2021-04-17,104.35519798,2021-05-01,2 wk ahead inc case,point,
1003,2021-04-17,114.59940624,2021-05-08,3 wk ahead inc case,point,
1003,2021-04-17,114.9320249,2021-05-15,4 wk ahead inc case,point,
1005,2021-04-17,8.5808536,2021-04-24,1 wk ahead inc case,point,
1005,2021-04-17,29.28031146,2021-05-01,2 wk ahead inc case,point,
1005,2021-04-17,61.92828704,2021-05-08,3 wk ahead inc case,point,
1005,2021-04-17,100.11703532,2021-05-15,4 wk ahead inc case,point,
1007,2021-04-17,10.31937914,2021-04-24,1 wk ahead inc case,point,
1007,2021-04-17,11.27022838,2021-05-01,2 wk ahead inc case,point,
1007,2021-04-17,21.68903688,2021-05-08,3 wk ahead inc case,point,
1007,2021-04-17,20.40854796,2021-05-15,4 wk ahead inc case,point,
1009,2021-04-17,29.76072916,2021-04-24,1 wk ahead inc case,point,
1009,2021-04-17,27.46966304,2021-05-01,2 wk ahead inc case,point,
1009,2021-04-17,30.666284319999995,2021-05-08,3 wk ahead inc case,point,
1009,2021-04-17,25.54983984,2021-05-15,4 wk ahead inc case,point,
1011,2021-04-17,5.81585277,2021-04-24,1 wk ahead inc case,point,
1011,2021-04-17,5.8555497,2021-05-01,2 wk ahead inc case,point,
1011,2021-04-17,5.2590856499999985,2021-05-08,3 wk ahead inc case,point,
1011,2021-04-17,6.353529,2021-05-15,4 wk ahead inc case,point,
1013,2021-04-17,13.05894304,2021-04-24,1 wk ahead inc case,point,
1013,2021-04-17,12.72521536,2021-05-01,2 wk ahead inc case,point,
1013,2021-04-17,15.56501232,2021-05-08,3 wk ahead inc case,point,
1013,2021-04-17,17.46994392,2021-05-15,4 wk ahead inc case,point,
1015,2021-04-17,71.54274875,2021-04-24,1 wk ahead inc case,point,
1015,2021-04-17,94.42052365,2021-05-01,2 wk ahead inc case,point,
1015,2021-04-17,78.90321669999999,2021-05-08,3 wk ahead inc case,point,
1015,2021-04-17,80.1346949,2021-05-15,4 wk ahead inc case,point,
1017,2021-04-17,12.03661784,2021-04-24,1 wk ahead inc case,point,
1017,2021-04-17,35.3373631,2021-05-01,2 wk ahead inc case,point,
1017,2021-04-17,73.86943798,2021-05-08,3 wk ahead inc case,point,
1017,2021-04-17,74.06397388,2021-05-15,4 wk ahead inc case,point,
1019,2021-04-17,6.683909400000001,2021-04-24,1 wk ahead inc case,point,
1019,2021-04-17,7.5096073200000015,2021-05-01,2 wk ahead inc case,point,
1019,2021-04-17,8.83302924,2021-05-08,3 wk ahead inc case,point,
1019,2021-04-17,12.5622918,2021-05-15,4 wk ahead inc case,point,
1021,2021-04-17,23.89782120000001,2021-04-24,1 wk ahead inc case,point,
1021,2021-04-17,24.13151248,2021-05-01,2 wk ahead inc case,point,
1021,2021-04-17,24.54647000000001,2021-05-08,3 wk ahead inc case,point,
1021,2021-04-17,23.2269584,2021-05-15,4 wk ahead inc case,point,
1023,2021-04-17,1.88696521,2021-04-24,1 wk ahead inc case,point,
1023,2021-04-17,3.0571127600000003,2021-05-01,2 wk ahead inc case,point,
1023,2021-04-17,1.89879887,2021-05-08,3 wk ahead inc case,point,
1023,2021-04-17,2.29736661,2021-05-15,4 wk ahead inc case,point,
1025,2021-04-17,21.12728058,2021-04-24,1 wk ahead inc case,point,
1025,2021-04-17,38.96850474000001,2021-05-01,2 wk ahead inc case,point,
1025,2021-04-17,77.63346678,2021-05-08,3 wk ahead inc case,point,
1025,2021-04-17,79.6250376,2021-05-15,4 wk ahead inc case,point,
1027,2021-04-17,7.83287005,2021-04-24,1 wk ahead inc case,point,
1027,2021-04-17,5.436938,2021-05-01,2 wk ahead inc case,point,
1027,2021-04-17,5.5597588,2021-05-08,3 wk ahead inc case,point,
1027,2021-04-17,12.058673199999998,2021-05-15,4 wk ahead inc case,point,
1029,2021-04-17,7.0501935,2021-04-24,1 wk ahead inc case,point,
1029,2021-04-17,6.7664562,2021-05-01,2 wk ahead inc case,point,
1029,2021-04-17,8.6743398,2021-05-08,3 wk ahead inc case,point,
1029,2021-04-17,26.7384012,2021-05-15,4 wk ahead inc case,point,
1031,2021-04-17,30.40651464,2021-04-24,1 wk ahead inc case,point,
1031,2021-04-17,23.5565171,2021-05-01,2 wk ahead inc case,point,
1031,2021-04-17,22.9022421,2021-05-08,3 wk ahead inc case,point,
1031,2021-04-17,56.1184753,2021-05-15,4 wk ahead inc case,point,
1033,2021-04-17,28.33587095,2021-04-24,1 wk ahead inc case,point,
1033,2021-04-17,23.30838754,2021-05-01,2 wk ahead inc case,point,
1033,2021-04-17,26.09363876,2021-05-08,3 wk ahead inc case,point,
1033,2021-04-17,30.26212462,2021-05-15,4 wk ahead inc case,point,
1035,2021-04-17,2.04933861,2021-04-24,1 wk ahead inc case,point,
1035,2021-04-17,2.34365274,2021-05-01,2 wk ahead inc case,point,
