location,forecast_date,value,target_end_date,target,type,quantile
1001,2020-08-05,238,2020-08-22,2 wk ahead inc case,point,
1003,2020-08-05,1125,2020-08-22,2 wk ahead inc case,point,
1005,2020-08-05,85,2020-08-22,2 wk ahead inc case,point,
1007,2020-08-05,138,2020-08-22,2 wk ahead inc case,point,
1009,2020-08-05,279,2020-08-22,2 wk ahead inc case,point,
1011,2020-08-05,50,2020-08-22,2 wk ahead inc case,point,
1013,2020-08-05,59,2020-08-22,2 wk ahead inc case,point,
1015,2020-08-05,573,2020-08-22,2 wk ahead inc case,point,
1017,2020-08-05,117,2020-08-22,2 wk ahead inc case,point,
1019,2020-08-05,102,2020-08-22,2 wk ahead inc case,point,
1021,2020-08-05,257,2020-08-22,2 wk ahead inc case,point,
1023,2020-08-05,50,2020-08-22,2 wk ahead inc case,point,
1025,2020-08-05,79,2020-08-22,2 wk ahead inc case,point,
1027,2020-08-05,96,2020-08-22,2 wk ahead inc case,point,
1029,2020-08-05,62,2020-08-22,2 wk ahead inc case,point,
1031,2020-08-05,180,2020-08-22,2 wk ahead inc case,point,
1033,2020-08-05,326,2020-08-22,2 wk ahead inc case,point,
1035,2020-08-05,60,2020-08-22,2 wk ahead inc case,point,
1037,2020-08-05,21,2020-08-22,2 wk ahead inc case,point,
1039,2020-08-05,60,2020-08-22,2 wk ahead inc case,point,
1041,2020-08-05,10,2020-08-22,2 wk ahead inc case,point,
1043,2020-08-05,270,2020-08-22,2 wk ahead inc case,point,
1045,2020-08-05,62,2020-08-22,2 wk ahead inc case,point,
1047,2020-08-05,88,2020-08-22,2 wk ahead inc case,point,
1049,2020-08-05,467,2020-08-22,2 wk ahead inc case,point,
1051,2020-08-05,368,2020-08-22,2 wk ahead inc case,point,
1053,2020-08-05,12,2020-08-22,2 wk ahead inc case,point,
1055,2020-08-05,504,2020-08-22,2 wk ahead inc case,point,
1057,2020-08-05,67,2020-08-22,2 wk ahead inc case,point,
1059,2020-08-05,233,2020-08-22,2 wk ahead inc case,point,
1061,2020-08-05,147,2020-08-22,2 wk ahead inc case,point,
1063,2020-08-05,30,2020-08-22,2 wk ahead inc case,point,
1065,2020-08-05,66,2020-08-22,2 wk ahead inc case,point,
1067,2020-08-05,67,2020-08-22,2 wk ahead inc case,point,
1069,2020-08-05,614,2020-08-22,2 wk ahead inc case,point,
1071,2020-08-05,358,2020-08-22,2 wk ahead inc case,point,
