US,1 wk ahead cum death,point,,2020-07-01,2020-07-11,137683.13599999994
US,2 wk ahead cum death,point,,2020-07-01,2020-07-18,146679.6956
US,3 wk ahead cum death,point,,2020-07-01,2020-07-25,158812.1992
US,4 wk ahead cum death,point,,2020-07-01,2020-08-01,176944.90399999995
US,1 wk ahead cum death,point,,2020-07-03,2020-07-11,136303.49599999998
US,2 wk ahead cum death,point,,2020-07-03,2020-07-18,143105.31941600007
US,3 wk ahead cum death,point,,2020-07-03,2020-07-25,154001.37221600002
US,4 wk ahead cum death,point,,2020-07-03,2020-08-01,170025.339416
US,5 wk ahead cum death,point,,2020-07-03,2020-08-08,193581.915416
2020-07-08,1 wk ahead cum death,2020-07-18,US,point,,141564.36000000004
2020-07-08,1 wk ahead inc case,2020-07-18,US,point,,457055.2
2020-07-08,2 wk ahead cum death,2020-07-25,US,point,,148959.22800000006
2020-07-08,2 wk ahead inc case,2020-07-25,US,point,,576945.1
2020-07-08,3 wk ahead cum death,2020-08-01,US,point,,158100.33200000005
2020-07-08,3 wk ahead inc case,2020-08-01,US,point,,733468.3
2020-07-08,4 wk ahead cum death,2020-08-08,US,point,,169639.23400000005
2020-07-08,5 wk ahead cum death,2020-08-15,US,point,,184308.60000000003
2020-07-10,1 wk ahead cum death,2020-07-18,US,point,,141819.24000000005
2020-07-10,1 wk ahead inc case,2020-07-18,US,point,,451430.1
2020-07-10,2 wk ahead cum death,2020-07-25,US,point,,149589.65800000005
2020-07-10,2 wk ahead inc case,2020-07-25,US,point,,515804.6
2020-07-10,3 wk ahead cum death,2020-08-01,US,point,,158618.2600000001
2020-07-10,3 wk ahead inc case,2020-08-01,US,point,,581307.4
2020-07-10,4 wk ahead cum death,2020-08-08,US,point,,168934.3520000001
2020-07-10,5 wk ahead cum death,2020-08-15,US,point,,180560.5000000001
2020-07-11,1 wk ahead cum death,2020-07-18,US,point,,141732.82000000007
2020-07-11,2 wk ahead cum death,2020-07-25,US,point,,149581.48000000007
2020-07-11,3 wk ahead cum death,2020-08-01,US,point,,158892.8580000001
2020-07-11,4 wk ahead cum death,2020-08-08,US,point,,169561.59800000011
2020-07-11,5 wk ahead cum death,2020-08-15,US,point,,181634.0740000001
2020-07-11,6 wk ahead cum death,2020-08-22,US,point,,195278.46400000012
2020-07-11,1 wk ahead inc death,2020-07-18,US,point,,6786.160000000033
2020-07-11,2 wk ahead inc death,2020-07-25,US,point,,7848.660000000033
2020-07-11,3 wk ahead inc death,2020-08-01,US,point,,9311.378000000026
2020-07-11,4 wk ahead inc death,2020-08-08,US,point,,10668.740000000022
2020-07-11,5 wk ahead inc death,2020-08-15,US,point,,12072.475999999995
2020-07-11,6 wk ahead inc death,2020-08-22,US,point,,13644.389999999983
2020-07-11,1 wk ahead inc case,2020-07-18,US,point,,465568.9
2020-07-11,2 wk ahead inc case,2020-07-25,US,point,,533437.0
2020-07-11,3 wk ahead inc case,2020-08-01,US,point,,603623.8
2020-07-11,4 wk ahead inc case,2020-08-08,US,point,,682219.5
2020-07-18,1 wk ahead cum death,2020-07-25,US,point,,146269.89370117066
2020-07-18,2 wk ahead cum death,2020-08-01,US,point,,153324.6026199444
2020-07-18,3 wk ahead cum death,2020-08-08,US,point,,161399.71180343782
2020-07-18,4 wk ahead cum death,2020-08-15,US,point,,170663.90063369178
2020-07-18,5 wk ahead cum death,2020-08-22,US,point,,181330.73002725717
2020-07-18,1 wk ahead inc death,2020-07-25,US,point,,6174.893701170658
2020-07-18,2 wk ahead inc death,2020-08-01,US,point,,7054.708918773744
2020-07-18,3 wk ahead inc death,2020-08-08,US,point,,8075.1091834934205
2020-07-18,4 wk ahead inc death,2020-08-15,US,point,,9264.18883025396
2020-07-18,5 wk ahead inc death,2020-08-22,US,point,,10666.829393565391
2020-07-18,1 wk ahead inc case,2020-07-25,US,point,,527147.6
2020-07-18,2 wk ahead inc case,2020-08-01,US,point,,610543.9
2020-07-18,3 wk ahead inc case,2020-08-08,US,point,,707013.1
2020-07-18,4 wk ahead inc case,2020-08-15,US,point,,825702.0
2020-07-25,1 wk ahead cum death,2020-08-01,US,point,,153382.34928274664
2020-07-25,2 wk ahead cum death,2020-08-08,US,point,,161298.19712836758
2020-07-25,3 wk ahead cum death,2020-08-15,US,point,,169962.08681494065
2020-07-25,4 wk ahead cum death,2020-08-22,US,point,,179129.03622074495
2020-07-25,5 wk ahead cum death,2020-08-29,US,point,,188693.51301987446
2020-07-25,6 wk ahead cum death,2020-09-05,US,point,,198711.43060418926
2020-07-25,1 wk ahead inc death,2020-08-01,US,point,,6956.863695177832
2020-07-25,2 wk ahead inc death,2020-08-08,US,point,,7915.847845620941
2020-07-25,3 wk ahead inc death,2020-08-15,US,point,,8663.889686573064
2020-07-25,4 wk ahead inc death,2020-08-22,US,point,,9166.949405804306
2020-07-25,5 wk ahead inc death,2020-08-29,US,point,,9564.47679912948
2020-07-25,6 wk ahead inc death,2020-09-05,US,point,,10017.917584314826
2020-07-25,1 wk ahead inc case,2020-08-01,US,point,,480240.6
2020-07-25,2 wk ahead inc case,2020-08-08,US,point,,481938.1
2020-07-25,3 wk ahead inc case,2020-08-15,US,point,,500386.1
2020-07-25,4 wk ahead inc case,2020-08-22,US,point,,537494.8
2020-07-25,5 wk ahead inc case,2020-08-29,US,point,,584428.4
2020-07-27,1 wk ahead cum death,2020-08-01,US,point,,153382.34928274664
2020-07-27,2 wk ahead cum death,2020-08-08,US,point,,160753.56607984635
2020-07-27,3 wk ahead cum death,2020-08-15,US,point,,169120.2821224327
2020-07-27,4 wk ahead cum death,2020-08-22,US,point,,177766.2930613569
2020-07-27,5 wk ahead cum death,2020-08-29,US,point,,186603.03885361427
2020-07-27,6 wk ahead cum death,2020-09-05,US,point,,195622.92780169187
