forecast_date,target,target_end_date,location,type,quantile,value
2020-07-06,1 wk ahead cum death,2020-07-11,US,point,,122197.0
2020-07-06,1 wk ahead inc death,2020-07-11,US,point,,440.9104
2020-07-06,1 wk ahead inc case,2020-07-11,US,point,,39710.55
2020-07-06,2 wk ahead cum death,2020-07-18,US,point,,125136.7
2020-07-06,2 wk ahead inc death,2020-07-18,US,point,,405.1096
2020-07-06,2 wk ahead inc case,2020-07-18,US,point,,27527.63
2020-07-06,3 wk ahead cum death,2020-07-25,US,point,,127848.3
2020-07-06,3 wk ahead inc death,2020-07-25,US,point,,374.7671
2020-07-06,3 wk ahead inc case,2020-07-25,US,point,,21491.17
2020-07-06,4 wk ahead cum death,2020-08-01,US,point,,130365.6
2020-07-06,4 wk ahead inc death,2020-08-01,US,point,,348.8157
2020-07-06,4 wk ahead inc case,2020-08-01,US,point,,19552.4
2020-07-06,1 wk ahead cum death,2020-07-11,02,point,,18.095470000000002
2020-07-06,1 wk ahead inc death,2020-07-11,02,point,,0.26765209999999995
2020-07-06,1 wk ahead inc case,2020-07-11,02,point,,15.299920000000002
2020-07-06,2 wk ahead cum death,2020-07-18,02,point,,19.76377
2020-07-06,2 wk ahead inc death,2020-07-18,02,point,,0.22143160000000006
2020-07-06,2 wk ahead inc case,2020-07-18,02,point,,15.17005
2020-07-06,3 wk ahead cum death,2020-07-25,02,point,,21.21444
2020-07-06,3 wk ahead inc death,2020-07-25,02,point,,0.1985841
2020-07-06,3 wk ahead inc case,2020-07-25,02,point,,15.064789999999999
2020-07-06,4 wk ahead cum death,2020-08-01,02,point,,22.54806
2020-07-06,4 wk ahead inc death,2020-08-01,02,point,,0.1853721
2020-07-06,4 wk ahead inc case,2020-08-01,02,point,,14.976510000000001
2020-07-06,1 wk ahead cum death,2020-07-11,01,point,,1002.887
2020-07-06,1 wk ahead inc death,2020-07-11,01,point,,2.373631
2020-07-06,1 wk ahead inc case,2020-07-11,01,point,,1074.018
2020-07-06,2 wk ahead cum death,2020-07-18,01,point,,1017.439
2020-07-06,2 wk ahead inc death,2020-07-18,01,point,,1.894327
2020-07-06,2 wk ahead inc case,2020-07-18,01,point,,1042.01
2020-07-06,3 wk ahead cum death,2020-07-25,01,point,,1029.441
2020-07-06,3 wk ahead inc death,2020-07-25,01,point,,1.597083
2020-07-06,3 wk ahead inc case,2020-07-25,01,point,,972.7269
2020-07-06,4 wk ahead cum death,2020-08-01,01,point,,1039.754
2020-07-06,4 wk ahead inc death,2020-08-01,01,point,,1.389602
2020-07-06,4 wk ahead inc case,2020-08-01,01,point,,889.0199
2020-07-06,1 wk ahead cum death,2020-07-11,05,point,,320.4257
2020-07-06,1 wk ahead inc death,2020-07-11,05,point,,4.843627
2020-07-06,1 wk ahead inc case,2020-07-11,05,point,,450.6021
2020-07-06,2 wk ahead cum death,2020-07-18,05,point,,353.6585
2020-07-06,2 wk ahead inc death,2020-07-18,05,point,,4.677126
2020-07-06,2 wk ahead inc case,2020-07-18,05,point,,363.652
2020-07-06,3 wk ahead cum death,2020-07-25,05,point,,385.7772
2020-07-06,3 wk ahead inc death,2020-07-25,05,point,,4.5239199999999995
2020-07-06,3 wk ahead inc case,2020-07-25,05,point,,298.4068
2020-07-06,4 wk ahead cum death,2020-08-01,05,point,,416.8823
2020-07-06,4 wk ahead inc death,2020-08-01,05,point,,4.385431
2020-07-06,4 wk ahead inc case,2020-08-01,05,point,,250.7772
2020-07-06,1 wk ahead cum death,2020-07-11,04,point,,1972.461
2020-07-06,1 wk ahead inc death,2020-07-11,04,point,,26.24066
2020-07-06,1 wk ahead inc case,2020-07-11,04,point,,1664.246
2020-07-06,2 wk ahead cum death,2020-07-18,04,point,,2154.8920000000007
2020-07-06,2 wk ahead inc death,2020-07-18,04,point,,25.9211
2020-07-06,2 wk ahead inc case,2020-07-18,04,point,,1651.48
2020-07-06,3 wk ahead cum death,2020-07-25,04,point,,2334.9829999999997
2020-07-06,3 wk ahead inc death,2020-07-25,04,point,,25.58182
2020-07-06,3 wk ahead inc case,2020-07-25,04,point,,1643.066
2020-07-06,4 wk ahead cum death,2020-08-01,04,point,,2512.726
2020-07-06,4 wk ahead inc death,2020-08-01,04,point,,25.2518
2020-07-06,4 wk ahead inc case,2020-08-01,04,point,,1637.111
2020-07-06,1 wk ahead cum death,2020-07-11,06,point,,6795.616
2020-07-06,1 wk ahead inc death,2020-07-11,06,point,,60.14731999999999
2020-07-06,1 wk ahead inc case,2020-07-11,06,point,,8533.709
2020-07-06,2 wk ahead cum death,2020-07-18,06,point,,7214.446
2020-07-06,2 wk ahead inc death,2020-07-18,06,point,,59.60775
2020-07-06,2 wk ahead inc case,2020-07-18,06,point,,7942.78
2020-07-06,3 wk ahead cum death,2020-07-25,06,point,,7629.778
2020-07-06,3 wk ahead inc death,2020-07-25,06,point,,59.13579
2020-07-06,3 wk ahead inc case,2020-07-25,06,point,,7018.969
2020-07-06,4 wk ahead cum death,2020-08-01,06,point,,8042.035
2020-07-06,4 wk ahead inc death,2020-08-01,06,point,,58.7196
2020-07-06,4 wk ahead inc case,2020-08-01,06,point,,6173.388000000001
2020-07-06,1 wk ahead cum death,2020-07-11,08,point,,1744.128
2020-07-06,1 wk ahead inc death,2020-07-11,08,point,,5.916242
2020-07-06,1 wk ahead inc case,2020-07-11,08,point,,200.8586
2020-07-06,2 wk ahead cum death,2020-07-18,08,point,,1783.503
2020-07-06,2 wk ahead inc death,2020-07-18,08,point,,5.4184410000000005
2020-07-06,2 wk ahead inc case,2020-07-18,08,point,,192.6928
2020-07-06,3 wk ahead cum death,2020-07-25,08,point,,1819.701
2020-07-06,3 wk ahead inc death,2020-07-25,08,point,,4.995451
2020-07-06,3 wk ahead inc case,2020-07-25,08,point,,185.4918
2020-07-06,4 wk ahead cum death,2020-08-01,08,point,,1853.1889999999999
2020-07-06,4 wk ahead inc death,2020-08-01,08,point,,4.632994999999998
2020-07-06,4 wk ahead inc case,2020-08-01,08,point,,179.10299999999995
2020-07-06,1 wk ahead cum death,2020-07-11,09,point,,4418.58
2020-07-06,1 wk ahead inc death,2020-07-11,09,point,,9.727621000000001
2020-07-06,1 wk ahead inc case,2020-07-11,09,point,,110.2897
2020-07-06,2 wk ahead cum death,2020-07-18,09,point,,4481.762
2020-07-06,2 wk ahead inc death,2020-07-18,09,point,,8.536433
2020-07-06,2 wk ahead inc case,2020-07-18,09,point,,99.35924
2020-07-06,3 wk ahead cum death,2020-07-25,09,point,,4537.54
2020-07-06,3 wk ahead inc death,2020-07-25,09,point,,7.570131
2020-07-06,3 wk ahead inc case,2020-07-25,09,point,,90.27422
2020-07-06,4 wk ahead cum death,2020-08-01,09,point,,4587.27
2020-07-06,4 wk ahead inc death,2020-08-01,09,point,,6.776406
2020-07-06,4 wk ahead inc case,2020-08-01,09,point,,82.64048000000003
2020-07-06,1 wk ahead cum death,2020-07-11,11,point,,568.092
2020-07-06,1 wk ahead inc death,2020-07-11,11,point,,1.490523
2020-07-06,1 wk ahead inc case,2020-07-11,11,point,,38.85109
2020-07-06,2 wk ahead cum death,2020-07-18,11,point,,577.7669
2020-07-06,2 wk ahead inc death,2020-07-18,11,point,,1.306425
2020-07-06,2 wk ahead inc case,2020-07-18,11,point,,35.3173
2020-07-06,3 wk ahead cum death,2020-07-25,11,point,,586.2961
2020-07-06,3 wk ahead inc death,2020-07-25,11,point,,1.156777
2020-07-06,3 wk ahead inc case,2020-07-25,11,point,,32.32014
2020-07-06,4 wk ahead cum death,2020-08-01,11,point,,593.8879
2020-07-06,4 wk ahead inc death,2020-08-01,11,point,,1.0337
2020-07-06,4 wk ahead inc case,2020-08-01,11,point,,29.75817
2020-07-06,1 wk ahead cum death,2020-07-11,10,point,,519.8217
2020-07-06,1 wk ahead inc death,2020-07-11,10,point,,1.040553
2020-07-06,1 wk ahead inc case,2020-07-11,10,point,,58.93875
2020-07-06,2 wk ahead cum death,2020-07-18,10,point,,526.4949
2020-07-06,2 wk ahead inc death,2020-07-18,10,point,,0.8928285
2020-07-06,2 wk ahead inc case,2020-07-18,10,point,,54.537180000000006
2020-07-06,3 wk ahead cum death,2020-07-25,10,point,,532.2594
2020-07-06,3 wk ahead inc death,2020-07-25,10,point,,0.7752137
2020-07-06,3 wk ahead inc case,2020-07-25,10,point,,50.77036
2020-07-06,4 wk ahead cum death,2020-08-01,10,point,,537.295
2020-07-06,4 wk ahead inc death,2020-08-01,10,point,,0.6803137
2020-07-06,4 wk ahead inc case,2020-08-01,10,point,,47.521609999999995
2020-07-06,1 wk ahead cum death,2020-07-11,12,point,,3947.2509999999997
2020-07-06,1 wk ahead inc death,2020-07-11,12,point,,35.69878
2020-07-06,1 wk ahead inc case,2020-07-11,12,point,,9589.338
2020-07-06,2 wk ahead cum death,2020-07-18,12,point,,4196.706
2020-07-06,2 wk ahead inc death,2020-07-18,12,point,,35.59175
2020-07-06,2 wk ahead inc case,2020-07-18,12,point,,7538.7080000000005
2020-07-06,3 wk ahead cum death,2020-07-25,12,point,,4445.4659999999985
2020-07-06,3 wk ahead inc death,2020-07-25,12,point,,35.49800000000001
2020-07-06,3 wk ahead inc case,2020-07-25,12,point,,5317.124
2020-07-06,4 wk ahead cum death,2020-08-01,12,point,,4693.616
2020-07-06,4 wk ahead inc death,2020-08-01,12,point,,35.41520999999999
2020-07-06,4 wk ahead inc case,2020-08-01,12,point,,3621.6090000000004
2020-07-06,1 wk ahead cum death,2020-07-11,13,point,,2932.758
2020-07-06,1 wk ahead inc death,2020-07-11,13,point,,9.118485
2020-07-06,1 wk ahead inc case,2020-07-11,13,point,,2543.4120000000007
2020-07-06,2 wk ahead cum death,2020-07-18,13,point,,2988.47
2020-07-06,2 wk ahead inc death,2020-07-18,13,point,,7.232114
2020-07-06,2 wk ahead inc case,2020-07-18,13,point,,1479.025
2020-07-06,3 wk ahead cum death,2020-07-25,13,point,,3034.162000000001
2020-07-06,3 wk ahead inc death,2020-07-25,13,point,,6.070396
2020-07-06,3 wk ahead inc case,2020-07-25,13,point,,859.1189999999997
2020-07-06,4 wk ahead cum death,2020-08-01,13,point,,3073.352000000001
2020-07-06,4 wk ahead inc death,2020-08-01,13,point,,5.283327
2020-07-06,4 wk ahead inc case,2020-08-01,13,point,,682.2075
2020-07-06,1 wk ahead cum death,2020-07-11,15,point,,19.0
2020-07-06,1 wk ahead inc death,2020-07-11,15,point,,0.0
2020-07-06,1 wk ahead inc case,2020-07-11,15,point,,11.7757
2020-07-06,2 wk ahead cum death,2020-07-18,15,point,,19.0
2020-07-06,2 wk ahead inc death,2020-07-18,15,point,,0.0
2020-07-06,2 wk ahead inc case,2020-07-18,15,point,,11.644960000000001
2020-07-06,3 wk ahead cum death,2020-07-25,15,point,,19.0
2020-07-06,3 wk ahead inc death,2020-07-25,15,point,,0.0
2020-07-06,3 wk ahead inc case,2020-07-25,15,point,,11.55808
2020-07-06,4 wk ahead cum death,2020-08-01,15,point,,19.0
2020-07-06,4 wk ahead inc death,2020-08-01,15,point,,0.0
2020-07-06,4 wk ahead inc case,2020-08-01,15,point,,11.496410000000001
2020-07-06,1 wk ahead cum death,2020-07-11,19,point,,739.6449
2020-07-06,1 wk ahead inc death,2020-07-11,19,point,,2.501491
2020-07-06,1 wk ahead inc case,2020-07-11,19,point,,304.1464
2020-07-06,2 wk ahead cum death,2020-07-18,19,point,,755.8524
2020-07-06,2 wk ahead inc death,2020-07-18,19,point,,2.1855900000000004
2020-07-06,2 wk ahead inc case,2020-07-18,19,point,,300.5731
