forecast_date,target,target_end_date,location,type,quantile,value
2020-08-09,1 wk ahead inc death,2020-08-15,US,point,,7167
2020-08-09,2 wk ahead inc death,2020-08-22,US,point,,6805
2020-08-09,3 wk ahead inc death,2020-08-29,US,point,,6292
2020-08-09,4 wk ahead inc death,2020-09-05,US,point,,5846
2020-08-09,5 wk ahead inc death,2020-09-12,US,point,,5453
2020-08-09,6 wk ahead inc death,2020-09-19,US,point,,5164
2020-08-09,7 wk ahead inc death,2020-09-26,US,point,,4995
2020-08-09,8 wk ahead inc death,2020-10-03,US,point,,4926
2020-08-09,9 wk ahead inc death,2020-10-10,US,point,,4941
2020-08-09,10 wk ahead inc death,2020-10-17,US,point,,5013
2020-08-09,11 wk ahead inc death,2020-10-24,US,point,,5110
2020-08-09,12 wk ahead inc death,2020-10-31,US,point,,5200
2020-08-09,13 wk ahead inc death,2020-11-07,US,point,,5258
2020-08-09,14 wk ahead inc death,2020-11-14,US,point,,5269
2020-08-09,15 wk ahead inc death,2020-11-21,US,point,,5228
2020-08-09,16 wk ahead inc death,2020-11-28,US,point,,5142
2020-08-09,17 wk ahead inc death,2020-12-05,US,point,,5022
2020-08-09,18 wk ahead inc death,2020-12-12,US,point,,4884
2020-08-09,19 wk ahead inc death,2020-12-19,US,point,,4745
2020-08-09,20 wk ahead inc death,2020-12-26,US,point,,4618
2020-08-09,1 wk ahead cum death,2020-08-15,US,point,,169973
2020-08-09,2 wk ahead cum death,2020-08-22,US,point,,176779
2020-08-09,3 wk ahead cum death,2020-08-29,US,point,,183071
2020-08-09,4 wk ahead cum death,2020-09-05,US,point,,188916
2020-08-09,5 wk ahead cum death,2020-09-12,US,point,,194370
2020-08-09,6 wk ahead cum death,2020-09-19,US,point,,199534
2020-08-09,7 wk ahead cum death,2020-09-26,US,point,,204529
2020-08-09,8 wk ahead cum death,2020-10-03,US,point,,209454
2020-08-09,9 wk ahead cum death,2020-10-10,US,point,,214395
2020-08-09,10 wk ahead cum death,2020-10-17,US,point,,219408
2020-08-09,11 wk ahead cum death,2020-10-24,US,point,,224518
2020-08-09,12 wk ahead cum death,2020-10-31,US,point,,229718
2020-08-09,13 wk ahead cum death,2020-11-07,US,point,,234976
2020-08-09,14 wk ahead cum death,2020-11-14,US,point,,240245
2020-08-09,15 wk ahead cum death,2020-11-21,US,point,,245473
2020-08-09,16 wk ahead cum death,2020-11-28,US,point,,250615
2020-08-09,17 wk ahead cum death,2020-12-05,US,point,,255636
2020-08-09,18 wk ahead cum death,2020-12-12,US,point,,260520
2020-08-09,19 wk ahead cum death,2020-12-19,US,point,,265265
2020-08-09,20 wk ahead cum death,2020-12-26,US,point,,269883
2020-08-09,1 wk ahead inc death,2020-08-15,48,point,,1510
2020-08-09,2 wk ahead inc death,2020-08-22,48,point,,1161
2020-08-09,3 wk ahead inc death,2020-08-29,48,point,,869
2020-08-09,4 wk ahead inc death,2020-09-05,48,point,,658
2020-08-09,5 wk ahead inc death,2020-09-12,48,point,,599
2020-08-09,6 wk ahead inc death,2020-09-19,48,point,,494
2020-08-09,7 wk ahead inc death,2020-09-26,48,point,,441
2020-08-09,8 wk ahead inc death,2020-10-03,48,point,,423
2020-08-09,9 wk ahead inc death,2020-10-10,48,point,,444
2020-08-09,10 wk ahead inc death,2020-10-17,48,point,,503
2020-08-09,11 wk ahead inc death,2020-10-24,48,point,,590
2020-08-09,12 wk ahead inc death,2020-10-31,48,point,,697
2020-08-09,13 wk ahead inc death,2020-11-07,48,point,,799
2020-08-09,14 wk ahead inc death,2020-11-14,48,point,,855
2020-08-09,15 wk ahead inc death,2020-11-21,48,point,,837
2020-08-09,16 wk ahead inc death,2020-11-28,48,point,,748
2020-08-09,17 wk ahead inc death,2020-12-05,48,point,,624
2020-08-09,18 wk ahead inc death,2020-12-12,48,point,,507
2020-08-09,19 wk ahead inc death,2020-12-19,48,point,,393
2020-08-09,20 wk ahead inc death,2020-12-26,48,point,,295
2020-08-09,1 wk ahead cum death,2020-08-15,48,point,,10634
2020-08-09,2 wk ahead cum death,2020-08-22,48,point,,11795
2020-08-09,3 wk ahead cum death,2020-08-29,48,point,,12664
2020-08-09,4 wk ahead cum death,2020-09-05,48,point,,13323
2020-08-09,5 wk ahead cum death,2020-09-12,48,point,,13922
2020-08-09,6 wk ahead cum death,2020-09-19,48,point,,14416
2020-08-09,7 wk ahead cum death,2020-09-26,48,point,,14857
2020-08-09,8 wk ahead cum death,2020-10-03,48,point,,15281
2020-08-09,9 wk ahead cum death,2020-10-10,48,point,,15725
2020-08-09,10 wk ahead cum death,2020-10-17,48,point,,16228
2020-08-09,11 wk ahead cum death,2020-10-24,48,point,,16818
2020-08-09,12 wk ahead cum death,2020-10-31,48,point,,17515
2020-08-09,13 wk ahead cum death,2020-11-07,48,point,,18314
2020-08-09,14 wk ahead cum death,2020-11-14,48,point,,19169
2020-08-09,15 wk ahead cum death,2020-11-21,48,point,,20005
2020-08-09,16 wk ahead cum death,2020-11-28,48,point,,20753
2020-08-09,17 wk ahead cum death,2020-12-05,48,point,,21378
2020-08-09,18 wk ahead cum death,2020-12-12,48,point,,21885
2020-08-09,19 wk ahead cum death,2020-12-19,48,point,,22279
2020-08-09,20 wk ahead cum death,2020-12-26,48,point,,22573
2020-08-01,1 wk ahead inc death,2020-08-08,US,point,,10505
2020-08-01,2 wk ahead inc death,2020-08-15,US,point,,13792
2020-08-01,3 wk ahead inc death,2020-08-22,US,point,,17476
2020-08-01,4 wk ahead inc death,2020-08-29,US,point,,20513
2020-08-01,5 wk ahead inc death,2020-09-05,US,point,,21376
2020-08-01,6 wk ahead inc death,2020-09-12,US,point,,19217
2020-08-01,7 wk ahead inc death,2020-09-19,US,point,,15535
2020-08-01,8 wk ahead inc death,2020-09-26,US,point,,12843
2020-08-01,9 wk ahead inc death,2020-10-03,US,point,,10593
2020-08-01,10 wk ahead inc death,2020-10-10,US,point,,8851
2020-08-01,11 wk ahead inc death,2020-10-17,US,point,,7649
2020-08-01,12 wk ahead inc death,2020-10-24,US,point,,6840
2020-08-01,13 wk ahead inc death,2020-10-31,US,point,,6324
2020-08-01,14 wk ahead inc death,2020-11-07,US,point,,5918
2020-08-01,15 wk ahead inc death,2020-11-14,US,point,,5629
2020-08-01,16 wk ahead inc death,2020-11-21,US,point,,5536
2020-08-01,17 wk ahead inc death,2020-11-28,US,point,,5625
2020-08-01,18 wk ahead inc death,2020-12-05,US,point,,5898
2020-08-01,19 wk ahead inc death,2020-12-12,US,point,,6248
2020-08-01,20 wk ahead inc death,2020-12-19,US,point,,6373
2020-08-01,1 wk ahead cum death,2020-08-08,US,point,,164795
2020-08-01,2 wk ahead cum death,2020-08-15,US,point,,178587
2020-08-01,3 wk ahead cum death,2020-08-22,US,point,,196063
2020-08-01,4 wk ahead cum death,2020-08-29,US,point,,216576
