location,target,type,quantile,forecast_date,target_end_date,value
1,1 wk ahead cum death,point,,2020-05-25,2020-05-30,643
1,2 wk ahead cum death,point,,2020-05-25,2020-06-06,688
1,3 wk ahead cum death,point,,2020-05-25,2020-06-13,727
1,4 wk ahead cum death,point,,2020-05-25,2020-06-20,762
1,5 wk ahead cum death,point,,2020-05-25,2020-06-27,792
1,6 wk ahead cum death,point,,2020-05-25,2020-07-04,819
1,7 wk ahead cum death,point,,2020-05-25,2020-07-11,844
5,1 wk ahead cum death,point,,2020-05-25,2020-05-30,151
5,2 wk ahead cum death,point,,2020-05-25,2020-06-06,165
5,3 wk ahead cum death,point,,2020-05-25,2020-06-13,175
5,4 wk ahead cum death,point,,2020-05-25,2020-06-20,184
5,5 wk ahead cum death,point,,2020-05-25,2020-06-27,192
5,6 wk ahead cum death,point,,2020-05-25,2020-07-04,199
5,7 wk ahead cum death,point,,2020-05-25,2020-07-11,205
4,1 wk ahead cum death,point,,2020-05-25,2020-05-30,958
4,2 wk ahead cum death,point,,2020-05-25,2020-06-06,1109
4,3 wk ahead cum death,point,,2020-05-25,2020-06-13,1283
4,4 wk ahead cum death,point,,2020-05-25,2020-06-20,1474
4,5 wk ahead cum death,point,,2020-05-25,2020-06-27,1681
4,6 wk ahead cum death,point,,2020-05-25,2020-07-04,1901
4,7 wk ahead cum death,point,,2020-05-25,2020-07-11,2132
9,1 wk ahead cum death,point,,2020-05-25,2020-05-30,3955
9,2 wk ahead cum death,point,,2020-05-25,2020-06-06,4177
9,3 wk ahead cum death,point,,2020-05-25,2020-06-13,4353
9,4 wk ahead cum death,point,,2020-05-25,2020-06-20,4488
9,5 wk ahead cum death,point,,2020-05-25,2020-06-27,4589
9,6 wk ahead cum death,point,,2020-05-25,2020-07-04,4665
9,7 wk ahead cum death,point,,2020-05-25,2020-07-11,4721
11,1 wk ahead cum death,point,,2020-05-25,2020-05-30,506
11,2 wk ahead cum death,point,,2020-05-25,2020-06-06,541
11,3 wk ahead cum death,point,,2020-05-25,2020-06-13,569
11,4 wk ahead cum death,point,,2020-05-25,2020-06-20,592
11,5 wk ahead cum death,point,,2020-05-25,2020-06-27,610
11,6 wk ahead cum death,point,,2020-05-25,2020-07-04,625
11,7 wk ahead cum death,point,,2020-05-25,2020-07-11,638
10,1 wk ahead cum death,point,,2020-05-25,2020-05-30,410
10,2 wk ahead cum death,point,,2020-05-25,2020-06-06,461
10,3 wk ahead cum death,point,,2020-05-25,2020-06-13,510
10,4 wk ahead cum death,point,,2020-05-25,2020-06-20,558
10,5 wk ahead cum death,point,,2020-05-25,2020-06-27,605
10,6 wk ahead cum death,point,,2020-05-25,2020-07-04,650
10,7 wk ahead cum death,point,,2020-05-25,2020-07-11,692
15,1 wk ahead cum death,point,,2020-05-25,2020-05-30,57
15,2 wk ahead cum death,point,,2020-05-25,2020-06-06,90
15,3 wk ahead cum death,point,,2020-05-25,2020-06-13,149
15,4 wk ahead cum death,point,,2020-05-25,2020-06-20,282
15,5 wk ahead cum death,point,,2020-05-25,2020-06-27,593
15,6 wk ahead cum death,point,,2020-05-25,2020-07-04,1228
