forecast_date,target,target_end_date,location,type,quantile,value
2020-11-15,1 wk ahead inc case,2020-11-21,US,point,,913900.0
2020-11-15,2 wk ahead inc case,2020-11-28,US,point,,914300.0
2020-11-15,3 wk ahead inc case,2020-12-05,US,point,,929000.0
2020-11-15,4 wk ahead inc case,2020-12-12,US,point,,925000.0
2020-11-15,5 wk ahead inc case,2020-12-19,US,point,,926200.0
2020-11-15,6 wk ahead inc case,2020-12-26,US,point,,931300.0
2020-11-15,7 wk ahead inc case,2021-01-02,US,point,,952000.0
2020-11-15,8 wk ahead inc case,2021-01-09,US,point,,1023300.0
2020-11-22,1 wk ahead inc case,2020-11-28,US,point,,1252304.0
2020-11-22,2 wk ahead inc case,2020-12-05,US,point,,1296908.0
2020-11-22,3 wk ahead inc case,2020-12-12,US,point,,1348219.0
2020-11-22,4 wk ahead inc case,2020-12-19,US,point,,1378471.0
2020-11-22,5 wk ahead inc case,2020-12-26,US,point,,1392966.0
2020-11-22,6 wk ahead inc case,2021-01-02,US,point,,1413618.0
2020-11-22,7 wk ahead inc case,2021-01-09,US,point,,1414856.0
2020-11-22,8 wk ahead inc case,2021-01-16,US,point,,1382781.0
2020-11-29,1 wk ahead inc case,2020-12-05,US,point,,1151797.0
2020-11-29,2 wk ahead inc case,2020-12-12,US,point,,1160008.0
2020-11-29,3 wk ahead inc case,2020-12-19,US,point,,1174964.0
2020-11-29,4 wk ahead inc case,2020-12-26,US,point,,1185736.0
2020-11-29,5 wk ahead inc case,2021-01-02,US,point,,1217278.0
2020-11-29,6 wk ahead inc case,2021-01-09,US,point,,1247241.0
2020-11-29,7 wk ahead inc case,2021-01-16,US,point,,1271906.0
2020-11-29,8 wk ahead inc case,2021-01-23,US,point,,1321832.0
2020-12-07,1 wk ahead inc case,2020-12-12,US,point,,1404507.0
2020-12-07,2 wk ahead inc case,2020-12-19,US,point,,1463872.0
2020-12-07,3 wk ahead inc case,2020-12-26,US,point,,1494338.0
2020-12-07,4 wk ahead inc case,2021-01-02,US,point,,1509685.0
2020-12-07,5 wk ahead inc case,2021-01-09,US,point,,1526992.0
2020-12-07,6 wk ahead inc case,2021-01-16,US,point,,1551153.0
2020-12-07,7 wk ahead inc case,2021-01-23,US,point,,1576107.0
2020-12-07,8 wk ahead inc case,2021-01-30,US,point,,1644753.0
2020-12-13,1 wk ahead inc case,2020-12-19,US,point,,1557450.0
2020-12-13,2 wk ahead inc case,2020-12-26,US,point,,1602434.0
2020-12-13,3 wk ahead inc case,2021-01-02,US,point,,1624363.0
2020-12-13,4 wk ahead inc case,2021-01-09,US,point,,1643710.0
2020-12-13,5 wk ahead inc case,2021-01-16,US,point,,1674500.0
2020-12-13,6 wk ahead inc case,2021-01-23,US,point,,1685008.0
2020-12-13,7 wk ahead inc case,2021-01-30,US,point,,1650101.0
2020-12-13,8 wk ahead inc case,2021-02-06,US,point,,1574397.0
2020-12-20,1 wk ahead inc case,2020-12-26,US,point,,1470888.0
2020-12-20,2 wk ahead inc case,2021-01-02,US,point,,1514659.0
2020-12-20,3 wk ahead inc case,2021-01-09,US,point,,1563801.0
2020-12-20,4 wk ahead inc case,2021-01-16,US,point,,1604077.0
2020-12-20,5 wk ahead inc case,2021-01-23,US,point,,1611185.0
2020-12-20,6 wk ahead inc case,2021-01-30,US,point,,1542474.0
2020-12-20,7 wk ahead inc case,2021-02-06,US,point,,1460581.0
2020-12-20,8 wk ahead inc case,2021-02-13,US,point,,1394596.0
2020-12-27,1 wk ahead inc case,2021-01-02,US,point,,1352968.0
2020-12-27,2 wk ahead inc case,2021-01-09,US,point,,1427079.0
2020-12-27,3 wk ahead inc case,2021-01-16,US,point,,1420718.0
2020-12-27,4 wk ahead inc case,2021-01-23,US,point,,1331654.0
2020-12-27,5 wk ahead inc case,2021-01-30,US,point,,1231461.0
2020-12-27,6 wk ahead inc case,2021-02-06,US,point,,1140850.0
2020-12-27,7 wk ahead inc case,2021-02-13,US,point,,1062258.0
2020-12-27,8 wk ahead inc case,2021-02-20,US,point,,973519.9
2021-01-03,1 wk ahead inc case,2021-01-09,US,point,,1517811.0
2021-01-03,2 wk ahead inc case,2021-01-16,US,point,,1566951.0
2021-01-03,3 wk ahead inc case,2021-01-23,US,point,,1571598.0
2021-01-03,4 wk ahead inc case,2021-01-30,US,point,,1513006.0
2021-01-03,5 wk ahead inc case,2021-02-06,US,point,,1435960.0
2021-01-03,6 wk ahead inc case,2021-02-13,US,point,,1356772.0
2021-01-03,7 wk ahead inc case,2021-02-20,US,point,,1269482.0
2021-01-03,8 wk ahead inc case,2021-02-27,US,point,,1218490.0
2021-01-10,1 wk ahead inc case,2021-01-16,US,point,,1801148.0
2021-01-10,2 wk ahead inc case,2021-01-23,US,point,,1860185.0
2021-01-10,3 wk ahead inc case,2021-01-30,US,point,,1867891.0
2021-01-10,4 wk ahead inc case,2021-02-06,US,point,,1787329.0
2021-01-10,5 wk ahead inc case,2021-02-13,US,point,,1693429.0
2021-01-10,6 wk ahead inc case,2021-02-20,US,point,,1603221.0
2021-01-10,7 wk ahead inc case,2021-02-27,US,point,,1521280.0
2021-01-10,8 wk ahead inc case,2021-03-06,US,point,,1459682.0
2021-01-17,1 wk ahead inc case,2021-01-23,US,point,,1551251.0
2021-01-17,2 wk ahead inc case,2021-01-30,US,point,,1464251.0
2021-01-17,3 wk ahead inc case,2021-02-06,US,point,,1364731.0
2021-01-17,4 wk ahead inc case,2021-02-13,US,point,,1263957.0
2021-01-17,5 wk ahead inc case,2021-02-20,US,point,,1178236.0
2021-01-17,6 wk ahead inc case,2021-02-27,US,point,,1097788.0
2021-01-17,7 wk ahead inc case,2021-03-06,US,point,,1031274.0
2021-01-17,8 wk ahead inc case,2021-03-13,US,point,,950525.0
2021-01-24,1 wk ahead inc case,2021-01-30,US,point,,1169503.0
2021-01-24,2 wk ahead inc case,2021-02-06,US,point,,1093767.0
2021-01-24,3 wk ahead inc case,2021-02-13,US,point,,1020671.0
2021-01-24,4 wk ahead inc case,2021-02-20,US,point,,947402.0
2021-01-24,5 wk ahead inc case,2021-02-27,US,point,,881520.0
2021-01-24,6 wk ahead inc case,2021-03-06,US,point,,817212.0
2021-01-24,7 wk ahead inc case,2021-03-13,US,point,,761250.0
2021-01-24,8 wk ahead inc case,2021-03-20,US,point,,700172.0
2021-01-31,1 wk ahead inc case,2021-02-06,US,point,,974715.0
2021-01-31,2 wk ahead inc case,2021-02-13,US,point,,898429.0
2021-01-31,3 wk ahead inc case,2021-02-20,US,point,,830617.0
2021-01-31,4 wk ahead inc case,2021-02-27,US,point,,772058.0
2021-01-31,5 wk ahead inc case,2021-03-06,US,point,,720639.0
2021-01-31,6 wk ahead inc case,2021-03-13,US,point,,670125.0
2021-01-31,7 wk ahead inc case,2021-03-20,US,point,,625569.0
2021-01-31,8 wk ahead inc case,2021-03-27,US,point,,589215.0
