,location,target,type,quantile,forecast_date,target_end_date,value
230,17,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5652.91
231,17,1 wk ahead inc death,point,,2020-05-18,2020-05-23,970.785
232,17,2 wk ahead cum death,point,,2020-05-18,2020-05-30,6666.105
233,17,2 wk ahead inc death,point,,2020-05-18,2020-05-30,1013.195
234,17,3 wk ahead cum death,point,,2020-05-18,2020-06-06,7716.02
235,17,3 wk ahead inc death,point,,2020-05-18,2020-06-06,1049.915
236,17,4 wk ahead cum death,point,,2020-05-18,2020-06-13,8795.285
237,17,4 wk ahead inc death,point,,2020-05-18,2020-06-13,1079.265
238,17,5 wk ahead cum death,point,,2020-05-18,2020-06-20,10105.735
239,17,5 wk ahead inc death,point,,2020-05-18,2020-06-20,1310.45
