location,target,type,quantile,forecast_date,target_end_date,value
17,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5652.91
17,1 wk ahead inc death,point,,2020-05-18,2020-05-23,970.785
17,2 wk ahead cum death,point,,2020-05-18,2020-05-30,6666.105
17,2 wk ahead inc death,point,,2020-05-18,2020-05-30,1013.195
17,3 wk ahead cum death,point,,2020-05-18,2020-06-06,7716.02
17,3 wk ahead inc death,point,,2020-05-18,2020-06-06,1049.915
17,4 wk ahead cum death,point,,2020-05-18,2020-06-13,8795.285
17,4 wk ahead inc death,point,,2020-05-18,2020-06-13,1079.265
17,5 wk ahead cum death,point,,2020-05-18,2020-06-20,10105.735
17,5 wk ahead inc death,point,,2020-05-18,2020-06-20,1310.45
