quantile,value,type,location,target,forecast_date,target_end_date
,13,point,2,1 wk ahead cum death,2020-04-26,2020-05-02
,14,point,2,2 wk ahead cum death,2020-04-26,2020-05-09
,15,point,2,3 wk ahead cum death,2020-04-26,2020-05-16
,16,point,2,4 wk ahead cum death,2020-04-26,2020-05-23
,324,point,1,1 wk ahead cum death,2020-04-26,2020-05-02
,419,point,1,2 wk ahead cum death,2020-04-26,2020-05-09
,516,point,1,3 wk ahead cum death,2020-04-26,2020-05-16
,619,point,1,4 wk ahead cum death,2020-04-26,2020-05-23
,88,point,5,1 wk ahead cum death,2020-04-26,2020-05-02
,134,point,5,2 wk ahead cum death,2020-04-26,2020-05-09
,209,point,5,3 wk ahead cum death,2020-04-26,2020-05-16
,326,point,5,4 wk ahead cum death,2020-04-26,2020-05-23
,390,point,4,1 wk ahead cum death,2020-04-26,2020-05-02
,501,point,4,2 wk ahead cum death,2020-04-26,2020-05-09
,665,point,4,3 wk ahead cum death,2020-04-26,2020-05-16
,803,point,4,4 wk ahead cum death,2020-04-26,2020-05-23
,2491,point,6,1 wk ahead cum death,2020-04-26,2020-05-02
,3389,point,6,2 wk ahead cum death,2020-04-26,2020-05-09
,4379,point,6,3 wk ahead cum death,2020-04-26,2020-05-16
,5454,point,6,4 wk ahead cum death,2020-04-26,2020-05-23
,965,point,8,1 wk ahead cum death,2020-04-26,2020-05-02
,1334,point,8,2 wk ahead cum death,2020-04-26,2020-05-09
,1834,point,8,3 wk ahead cum death,2020-04-26,2020-05-16
,2377,point,8,4 wk ahead cum death,2020-04-26,2020-05-23
,2927,point,9,1 wk ahead cum death,2020-04-26,2020-05-02
,4003,point,9,2 wk ahead cum death,2020-04-26,2020-05-09
,5209,point,9,3 wk ahead cum death,2020-04-26,2020-05-16
,6234,point,9,4 wk ahead cum death,2020-04-26,2020-05-23
,253,point,11,1 wk ahead cum death,2020-04-26,2020-05-02
,356,point,11,2 wk ahead cum death,2020-04-26,2020-05-09
,467,point,11,3 wk ahead cum death,2020-04-26,2020-05-16
,581,point,11,4 wk ahead cum death,2020-04-26,2020-05-23
,189,point,10,1 wk ahead cum death,2020-04-26,2020-05-02
,277,point,10,2 wk ahead cum death,2020-04-26,2020-05-09
,387,point,10,3 wk ahead cum death,2020-04-26,2020-05-16
,503,point,10,4 wk ahead cum death,2020-04-26,2020-05-23
,1438,point,12,1 wk ahead cum death,2020-04-26,2020-05-02
,1742,point,12,2 wk ahead cum death,2020-04-26,2020-05-09
,2062,point,12,3 wk ahead cum death,2020-04-26,2020-05-16
,2279,point,12,4 wk ahead cum death,2020-04-26,2020-05-23
,1382,point,13,1 wk ahead cum death,2020-04-26,2020-05-02
,1760,point,13,2 wk ahead cum death,2020-04-26,2020-05-09
,2200,point,13,3 wk ahead cum death,2020-04-26,2020-05-16
,2638,point,13,4 wk ahead cum death,2020-04-26,2020-05-23
,17,point,15,1 wk ahead cum death,2020-04-26,2020-05-02
,20,point,15,2 wk ahead cum death,2020-04-26,2020-05-09
,22,point,15,3 wk ahead cum death,2020-04-26,2020-05-16
,24,point,15,4 wk ahead cum death,2020-04-26,2020-05-23
,244,point,19,1 wk ahead cum death,2020-04-26,2020-05-02
,474,point,19,2 wk ahead cum death,2020-04-26,2020-05-09
,970,point,19,3 wk ahead cum death,2020-04-26,2020-05-16
,1932,point,19,4 wk ahead cum death,2020-04-26,2020-05-23
,75,point,16,1 wk ahead cum death,2020-04-26,2020-05-02
,89,point,16,2 wk ahead cum death,2020-04-26,2020-05-09
,100,point,16,3 wk ahead cum death,2020-04-26,2020-05-16
,109,point,16,4 wk ahead cum death,2020-04-26,2020-05-23
,3030,point,17,1 wk ahead cum death,2020-04-26,2020-05-02
,4202,point,17,2 wk ahead cum death,2020-04-26,2020-05-09
,5698,point,17,3 wk ahead cum death,2020-04-26,2020-05-16
,7165,point,17,4 wk ahead cum death,2020-04-26,2020-05-23
,1125,point,18,1 wk ahead cum death,2020-04-26,2020-05-02
,1407,point,18,2 wk ahead cum death,2020-04-26,2020-05-09
,1706,point,18,3 wk ahead cum death,2020-04-26,2020-05-16
,1940,point,18,4 wk ahead cum death,2020-04-26,2020-05-23
,227,point,20,1 wk ahead cum death,2020-04-26,2020-05-02
,366,point,20,2 wk ahead cum death,2020-04-26,2020-05-09
,611,point,20,3 wk ahead cum death,2020-04-26,2020-05-16
,1043,point,20,4 wk ahead cum death,2020-04-26,2020-05-23
,347,point,21,1 wk ahead cum death,2020-04-26,2020-05-02
,504,point,21,2 wk ahead cum death,2020-04-26,2020-05-09
,733,point,21,3 wk ahead cum death,2020-04-26,2020-05-16
,1055,point,21,4 wk ahead cum death,2020-04-26,2020-05-23
,1979,point,22,1 wk ahead cum death,2020-04-26,2020-05-02
,2193,point,22,2 wk ahead cum death,2020-04-26,2020-05-09
,2371,point,22,3 wk ahead cum death,2020-04-26,2020-05-16
,2474,point,22,4 wk ahead cum death,2020-04-26,2020-05-23
,4490,point,25,1 wk ahead cum death,2020-04-26,2020-05-02
,6603,point,25,2 wk ahead cum death,2020-04-26,2020-05-09
,9219,point,25,3 wk ahead cum death,2020-04-26,2020-05-16
,11912,point,25,4 wk ahead cum death,2020-04-26,2020-05-23
,1459,point,24,1 wk ahead cum death,2020-04-26,2020-05-02
,2164,point,24,2 wk ahead cum death,2020-04-26,2020-05-09
,3006,point,24,3 wk ahead cum death,2020-04-26,2020-05-16
,3963,point,24,4 wk ahead cum death,2020-04-26,2020-05-23
,64,point,23,1 wk ahead cum death,2020-04-26,2020-05-02
,80,point,23,2 wk ahead cum death,2020-04-26,2020-05-09
,98,point,23,3 wk ahead cum death,2020-04-26,2020-05-16
,113,point,23,4 wk ahead cum death,2020-04-26,2020-05-23
,4130,point,26,1 wk ahead cum death,2020-04-26,2020-05-02
