location,target,type,quantile,forecast_date,target_end_date,value
01,1 wk ahead inc death,point,,2020-04-20,2020-04-25,10.57142857
01,2 wk ahead inc death,point,,2020-04-20,2020-05-02,7.714285714
01,3 wk ahead inc death,point,,2020-04-20,2020-05-09,3.142857143
01,4 wk ahead inc death,point,,2020-04-20,2020-05-16,1.0
01,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
01,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
01,1 wk ahead cum death,point,,2020-04-20,2020-04-25,229.28571430000002
01,2 wk ahead cum death,point,,2020-04-20,2020-05-02,298.4285713999999
01,3 wk ahead cum death,point,,2020-04-20,2020-05-09,337.5714286000001
01,4 wk ahead cum death,point,,2020-04-20,2020-05-16,352.42857139999984
01,5 wk ahead cum death,point,,2020-04-20,2020-05-23,356.85714289999993
01,6 wk ahead cum death,point,,2020-04-20,2020-05-30,358.14285710000007
02,1 wk ahead inc death,point,,2020-04-20,2020-04-25,0.28571428600000004
02,2 wk ahead inc death,point,,2020-04-20,2020-05-02,0.28571428600000004
02,3 wk ahead inc death,point,,2020-04-20,2020-05-09,0.28571428600000004
02,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.28571428600000004
02,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.7142857140000001
02,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.7142857140000001
02,1 wk ahead cum death,point,,2020-04-20,2020-04-25,11.28571429
02,2 wk ahead cum death,point,,2020-04-20,2020-05-02,14.57142857
02,3 wk ahead cum death,point,,2020-04-20,2020-05-09,18.14285714
02,4 wk ahead cum death,point,,2020-04-20,2020-05-16,22.14285714
02,5 wk ahead cum death,point,,2020-04-20,2020-05-23,26.71428571
02,6 wk ahead cum death,point,,2020-04-20,2020-05-30,32.35714286
04,1 wk ahead inc death,point,,2020-04-20,2020-04-25,14.57142857
04,2 wk ahead inc death,point,,2020-04-20,2020-05-02,13.28571429
04,3 wk ahead inc death,point,,2020-04-20,2020-05-09,8.714285713999999
04,4 wk ahead inc death,point,,2020-04-20,2020-05-16,4.571428571
04,5 wk ahead inc death,point,,2020-04-20,2020-05-23,2.142857143
04,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.7142857140000001
04,1 wk ahead cum death,point,,2020-04-20,2020-04-25,274.57142860000005
04,2 wk ahead cum death,point,,2020-04-20,2020-05-02,380.7142857
04,3 wk ahead cum death,point,,2020-04-20,2020-05-09,461.14285710000007
04,4 wk ahead cum death,point,,2020-04-20,2020-05-16,509.07142860000016
04,5 wk ahead cum death,point,,2020-04-20,2020-05-23,533.5714286
04,6 wk ahead cum death,point,,2020-04-20,2020-05-30,545.0
05,1 wk ahead inc death,point,,2020-04-20,2020-04-25,1.571428571
05,2 wk ahead inc death,point,,2020-04-20,2020-05-02,1.285714286
05,3 wk ahead inc death,point,,2020-04-20,2020-05-09,0.7142857140000001
05,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.28571428600000004
05,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
05,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
05,1 wk ahead cum death,point,,2020-04-20,2020-04-25,51.57142857
05,2 wk ahead cum death,point,,2020-04-20,2020-05-02,63.14285714
05,3 wk ahead cum death,point,,2020-04-20,2020-05-09,71.0
05,4 wk ahead cum death,point,,2020-04-20,2020-05-16,74.85714286
05,5 wk ahead cum death,point,,2020-04-20,2020-05-23,77.14285714
05,6 wk ahead cum death,point,,2020-04-20,2020-05-30,78.14285714
06,1 wk ahead inc death,point,,2020-04-20,2020-04-25,67.28571429
06,2 wk ahead inc death,point,,2020-04-20,2020-05-02,43.71428571
06,3 wk ahead inc death,point,,2020-04-20,2020-05-09,18.71428571
06,4 wk ahead inc death,point,,2020-04-20,2020-05-16,6.714285714
06,5 wk ahead inc death,point,,2020-04-20,2020-05-23,2.142857143
06,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.7142857140000001
06,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1601.4285710000001
06,2 wk ahead cum death,point,,2020-04-20,2020-05-02,2009.142857
06,3 wk ahead cum death,point,,2020-04-20,2020-05-09,2219.571429
06,4 wk ahead cum death,point,,2020-04-20,2020-05-16,2305.357143
06,5 wk ahead cum death,point,,2020-04-20,2020-05-23,2335.857143
06,6 wk ahead cum death,point,,2020-04-20,2020-05-30,2347.357143
08,1 wk ahead inc death,point,,2020-04-20,2020-04-25,13.71428571
08,2 wk ahead inc death,point,,2020-04-20,2020-05-02,5.428571429
08,3 wk ahead inc death,point,,2020-04-20,2020-05-09,1.285714286
08,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.0
08,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
08,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
08,1 wk ahead cum death,point,,2020-04-20,2020-04-25,522.1428571
08,2 wk ahead cum death,point,,2020-04-20,2020-05-02,588.7142857000001
08,3 wk ahead cum death,point,,2020-04-20,2020-05-09,610.2857142999999
08,4 wk ahead cum death,point,,2020-04-20,2020-05-16,615.0
08,5 wk ahead cum death,point,,2020-04-20,2020-05-23,615.8571429
08,6 wk ahead cum death,point,,2020-04-20,2020-05-30,616.0
09,1 wk ahead inc death,point,,2020-04-20,2020-04-25,58.42857143
09,2 wk ahead inc death,point,,2020-04-20,2020-05-02,24.71428571
09,3 wk ahead inc death,point,,2020-04-20,2020-05-09,5.285714286
09,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.7142857140000001
09,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
09,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
09,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1543.142857
09,2 wk ahead cum death,point,,2020-04-20,2020-05-02,1833.9285710000001
09,3 wk ahead cum death,point,,2020-04-20,2020-05-09,1925.285714
09,4 wk ahead cum death,point,,2020-04-20,2020-05-16,1941.5
09,5 wk ahead cum death,point,,2020-04-20,2020-05-23,1944.4285710000001
