forecast_date,target,target_end_date,quantile,type,location,value
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1001,285.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1001,284.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1001,264.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1001,201.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1003,1011.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1003,961.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1003,879.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1003,728.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1005,92.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1005,82.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1005,72.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1005,59.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1007,106.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1007,100.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1007,78.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1007,53.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1009,236.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1009,188.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1009,146.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1009,119.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1011,65.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1011,62.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1011,54.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1011,36.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1013,74.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1013,75.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1013,75.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1013,67.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1015,572.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1015,580.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1015,527.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1015,360.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1017,133.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1017,120.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1017,108.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1017,88.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1019,69.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1019,71.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1019,65.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1019,48.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1021,164.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1021,142.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1021,124.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1021,102.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1023,19.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1023,25.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1023,26.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1023,24.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1025,147.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1025,164.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1025,180.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1025,153.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1027,43.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1027,47.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1027,44.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1027,34.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1029,47.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1029,51.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1029,52.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1029,45.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1031,227.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1031,226.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1031,219.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1031,189.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1033,254.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1033,254.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1033,239.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1033,188.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1035,25.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1035,23.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1035,23.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1035,23.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1037,28.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1037,21.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1037,16.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1037,12.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1039,135.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1039,139.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1039,138.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1039,122.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1041,57.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1041,57.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1041,52.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1041,36.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1043,352.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1043,289.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1043,222.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1043,161.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1045,171.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1045,162.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1045,152.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1045,128.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1047,123.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1047,124.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1047,120.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1047,98.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1049,301.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1049,264.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1049,217.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1049,171.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1051,546.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1051,532.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1051,512.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1051,438.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1053,168.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1053,167.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1053,161.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1053,136.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1055,603.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1055,555.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1055,432.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1055,304.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1057,74.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1057,66.0
2021-01-04,3 wk ahead inc case,2021-01-23,,point,1057,50.0
2021-01-04,4 wk ahead inc case,2021-01-30,,point,1057,33.0
2021-01-04,1 wk ahead inc case,2021-01-09,,point,1059,133.0
2021-01-04,2 wk ahead inc case,2021-01-16,,point,1059,122.0
