forecast_date,target,target_end_date,location,type,quantile,value
2020-12-05,1 wk ahead cum death,2020-12-12,1,point,,3972.9931460854987
2020-12-05,2 wk ahead cum death,2020-12-19,1,point,,4151.568790009365
2020-12-05,3 wk ahead cum death,2020-12-26,1,point,,4323.138182919607
2020-12-05,4 wk ahead cum death,2021-01-02,1,point,,4487.198212286684
2020-12-05,5 wk ahead cum death,2021-01-09,1,point,,4643.703591771636
2020-12-05,6 wk ahead cum death,2021-01-16,1,point,,4792.836876522987
2020-12-05,7 wk ahead cum death,2021-01-23,1,point,,4813.571961651537
2020-12-05,1 wk ahead inc death,2020-12-12,1,point,,26.617892089007913
2020-12-05,2 wk ahead inc death,2020-12-19,1,point,,25.91066663069251
2020-12-05,3 wk ahead inc death,2020-12-26,1,point,,24.94873754542641
2020-12-05,4 wk ahead inc death,2021-01-02,1,point,,23.921829389903003
2020-12-05,5 wk ahead inc death,2021-01-09,1,point,,22.806786269567056
2020-12-05,6 wk ahead inc death,2021-01-16,1,point,,21.725284424926034
2020-12-05,7 wk ahead inc death,2021-01-23,1,point,,20.73508512855005
2020-12-05,1 wk ahead cum death,2020-12-12,2,point,,149.58443997955928
2020-12-05,2 wk ahead cum death,2020-12-19,2,point,,166.38218175867436
2020-12-05,3 wk ahead cum death,2020-12-26,2,point,,183.8649902441924
2020-12-05,4 wk ahead cum death,2021-01-02,2,point,,201.7701080472
2020-12-05,5 wk ahead cum death,2021-01-09,2,point,,220.10979598475149
2020-12-05,6 wk ahead cum death,2021-01-16,2,point,,238.82267318818884
2020-12-05,7 wk ahead cum death,2021-01-23,2,point,,241.44356750642032
2020-12-05,1 wk ahead inc death,2020-12-12,2,point,,2.3080045988920967
2020-12-05,2 wk ahead inc death,2020-12-19,2,point,,2.4891490356545205
2020-12-05,3 wk ahead inc death,2020-12-26,2,point,,2.5797825277618074
2020-12-05,4 wk ahead inc death,2021-01-02,2,point,,2.606446695949728
2020-12-05,5 wk ahead inc death,2021-01-09,2,point,,2.675407264692126
2020-12-05,6 wk ahead inc death,2021-01-16,2,point,,2.723475525734102
2020-12-05,7 wk ahead inc death,2021-01-23,2,point,,2.620894318231393
2020-12-05,1 wk ahead cum death,2020-12-12,4,point,,6992.672142524051
2020-12-05,2 wk ahead cum death,2020-12-19,4,point,,7166.865746039749
2020-12-05,3 wk ahead cum death,2020-12-26,4,point,,7336.309067379693
2020-12-05,4 wk ahead cum death,2021-01-02,4,point,,7500.2154744023255
2020-12-05,5 wk ahead cum death,2021-01-09,4,point,,7658.1232591403505
2020-12-05,6 wk ahead cum death,2021-01-16,4,point,,7809.790175539914
2020-12-05,7 wk ahead cum death,2021-01-23,4,point,,7830.931529397179
2020-12-05,1 wk ahead inc death,2020-12-12,4,point,,25.540783130035376
2020-12-05,2 wk ahead inc death,2020-12-19,4,point,,25.13340107085515
2020-12-05,3 wk ahead inc death,2020-12-26,4,point,,24.527401607160755
2020-12-05,4 wk ahead inc death,2021-01-02,4,point,,23.751995847783288
2020-12-05,5 wk ahead inc death,2021-01-09,4,point,,22.915515405074984
2020-12-05,6 wk ahead inc death,2021-01-16,4,point,,22.057372916648088
2020-12-05,7 wk ahead inc death,2021-01-23,4,point,,21.141353857263308
2020-12-05,1 wk ahead cum death,2020-12-12,5,point,,2761.567909471109
2020-12-05,2 wk ahead cum death,2020-12-19,5,point,,2913.5445141008668
